username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
joaomcanales,,,Lisbon-Portugal,2021,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],PT
423bwl,,,Athens-Greece,2019,,12.0,3.0,0.0,0.0,0.0,0.0,12.0,[],GR
permia,,,Ireland,2006,196.0,652.0,6.0,0.0,1.0,7.0,422.0,2.0,[],IE
Temer2,woman,35-49,Horley-United Kingdom,2008,275.0,380.0,6.0,0.0,8.0,44.0,112.0,219.0,"['Art and Architecture Lover', 'Nature Lover', 'Beach Goer', 'Luxury Traveler']",GB
bettylopez10,woman,50-64,Brampton-Canada,2008,546.0,366.0,6.0,1.0,35.0,685.0,617.0,91.0,[],CA
J8949WPmarks,,,Zurich-Switzerland,2020,,,,,,,,,[],CH
unab2000,,,Cork-Ireland,2015,4.0,9.0,3.0,0.0,0.0,0.0,3.0,6.0,[],IE
R8131BWmaryj,,,Cape May-New Jersey,2020,,2.0,,,,,,,[],US
ljpeacock,Woman,,Liverpool-United Kingdom,2014,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,[],GB
hannahpE956LZ,woman,25-34,London-United Kingdom,2018,24.0,34.0,4.0,2.0,3.0,8.0,9.0,13.0,"['Art and Architecture Lover', 'Foodie', 'Nature Lover', 'Thrifty Traveler']",GB
Tom3588,,,Wokingham-United Kingdom,2013,10.0,24.0,4.0,0.0,0.0,2.0,6.0,16.0,[],GB
PCO,man,50-64,London,2006,120.0,90.0,5.0,0.0,2.0,17.0,24.0,47.0,[],GB
KatieW1561,,,,2007,32.0,2.0,2.0,,,,,,[],
554iw,man,50-64,Barrow Upon Soar-United Kingdom,2015,44.0,155.0,6.0,0.0,2.0,15.0,39.0,105.0,[],GB
stavrosm881,Man,,Nikaia-Greece,2017,57.0,112.0,6.0,3.0,5.0,29.0,55.0,20.0,[],GR
danSt1004,,,,2020,,3.0,2.0,0.0,0.0,0.0,0.0,3.0,[],
Shallwegothere,,,Ulceby-United Kingdom,2016,46.0,78.0,6.0,2.0,2.0,2.0,25.0,51.0,[],GB
LindyLindaB,,,,2020,,,,,,,,,[],
speak0fthejamie,,,Dublin-Ireland,2015,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,[],IE
srablair,Woman,,Lytham St Anne's-United Kingdom,2013,238.0,611.0,6.0,1.0,5.0,41.0,271.0,299.0,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Eco-tourist']",GB
ddU2932PD,,,Lisbon-Portugal,2020,4.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,[],PT
joern76870,man,50-64,Landau in der Pfalz-Germany,2010,141.0,335.0,6.0,2.0,5.0,30.0,182.0,120.0,[],DE
ritalourencogranito,,,Oeiras-Portugal,2017,15.0,17.0,3.0,1.0,1.0,2.0,2.0,11.0,[],PT
Ginges_revenge,man,35-49,Brisbane-Australia,2015,227.0,630.0,6.0,6.0,32.0,133.0,305.0,181.0,"['Like a Local', 'Thrifty Traveler', 'Family Vacationer']",AU
jordromani,man,35-49,Kavala-Greece,2017,204.0,438.0,6.0,7.0,11.0,33.0,97.0,321.0,[],GR
vanessasueroz,,,Munich-Germany,2019,173.0,54.0,5.0,0.0,1.0,6.0,18.0,32.0,[],DE
492svend,,,Norderstedt-Germany,2013,10.0,25.0,4.0,2.0,2.0,0.0,10.0,12.0,[],DE
JopK11,,,London-United Kingdom,2011,110.0,24.0,4.0,1.0,2.0,0.0,0.0,21.0,[],GB
SmithSmith321,,,,2019,5.0,9.0,2.0,0.0,0.0,1.0,2.0,6.0,[],
lagoon08,man,50-64,Venice-Italy,2008,388.0,348.0,6.0,1.0,2.0,34.0,186.0,128.0,[],AT
Turbonero,,,Los Angeles-California,2016,40.0,95.0,6.0,2.0,1.0,8.0,64.0,23.0,[],US
SusannahP191,Woman,,Tiverton-United Kingdom,2013,934.0,503.0,6.0,12.0,24.0,90.0,190.0,188.0,[],GB
stephanelive,,,London-United Kingdom,2020,5.0,9.0,3.0,0.0,0.0,1.0,2.0,7.0,[],GB
BevSimon2013,woman,50-64,Sheffield-United Kingdom,2013,28.0,44.0,4.0,0.0,0.0,5.0,16.0,24.0,[],GB
DoratheExplorer1983,,,Bristol-United Kingdom,2017,157.0,75.0,5.0,2.0,4.0,14.0,7.0,50.0,[],GB
Maroundtheworld143,,,Doha-Qatar,2019,186.0,94.0,6.0,0.0,3.0,20.0,46.0,26.0,[],QA
Paul_Cra,,,,2010,158.0,13.0,3.0,0.0,1.0,1.0,3.0,8.0,[],
stevebG6121BX,man,,London-United Kingdom,2015,544.0,980.0,6.0,8.0,15.0,64.0,408.0,520.0,"['Foodie', 'Nature Lover', '60+ Traveler', 'Peace and Quiet Seeker']",GB
CorinaNitu,Woman,,Bucharest-Romania,2017,24.0,38.0,6.0,0.0,0.0,5.0,14.0,19.0,[],RO
27Anja,,,Hamburg-Germany,2010,124.0,8.0,3.0,0.0,0.0,1.0,0.0,7.0,[],DE
LucasM7279,man,18-24,Belgium,2013,117.0,29.0,4.0,0.0,0.0,3.0,11.0,15.0,[],BE
Massi400,,,Rome-Italy,2012,19.0,40.0,4.0,0.0,1.0,13.0,22.0,6.0,[],IT
SpaceAgeDad,Man,,Fleet-United Kingdom,2009,22.0,8.0,3.0,0.0,0.0,0.0,2.0,6.0,[],GB
251julienr,,,,2015,26.0,48.0,5.0,5.0,3.0,11.0,13.0,16.0,"['Foodie', 'Like a Local', 'Thrill Seeker', 'Nature Lover']",
petervo20,,,,2019,13.0,29.0,4.0,0.0,1.0,2.0,12.0,14.0,[],
longlove2,,,,2017,13.0,19.0,3.0,1.0,0.0,1.0,11.0,6.0,[],
happyour1989,,,Paris-France,2020,5.0,23.0,5.0,0.0,1.0,4.0,7.0,11.0,[],FR
becky1487,,,Reading-United Kingdom,2019,3.0,26.0,4.0,0.0,1.0,1.0,5.0,19.0,[],GB
marinacova,,,,2010,49.0,102.0,6.0,1.0,4.0,23.0,47.0,29.0,[],
noonanny67,,,,2019,4.0,9.0,3.0,0.0,0.0,0.0,0.0,10.0,[],
DanAdventure,man,25-34,Willesden-United Kingdom,2007,122.0,423.0,6.0,35.0,40.0,86.0,123.0,141.0,[],GB
OliLdn,,,London-United Kingdom,2019,11.0,20.0,3.0,1.0,0.0,0.0,0.0,20.0,[],GB
juliew493,woman,50-64,Sheffield-United Kingdom,2012,156.0,254.0,6.0,0.0,4.0,21.0,65.0,166.0,[],GB
AX1890,man,18-24,London-United Kingdom,2007,550.0,219.0,6.0,6.0,8.0,12.0,56.0,139.0,[],GB
668katb,,,Wirral-United Kingdom,2020,16.0,38.0,5.0,0.0,1.0,1.0,18.0,18.0,[],GB
LisaMB112,,,,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
chiefninja2016,,,Manchester-United Kingdom,2016,23.0,45.0,5.0,0.0,0.0,7.0,15.0,27.0,[],GB
guyth0mps0n,Man,,London-United Kingdom,2014,81.0,158.0,6.0,2.0,6.0,4.0,20.0,129.0,[],GB
Companion705713,,,,2017,2.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,[],
Jelena2304,,,,2019,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,[],
Rosh145,Man,,London-United Kingdom,2014,126.0,415.0,6.0,0.0,6.0,23.0,118.0,268.0,['Foodie'],GB
DvDdV,,,Den Bosch-The Netherlands,2015,10.0,29.0,4.0,1.0,2.0,4.0,13.0,9.0,[],NL
Shally_Branswick,,,Canada-Kentucky,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],US
A75Milano,man,35-49,Milan-Italy,2011,201.0,123.0,6.0,8.0,2.0,8.0,50.0,55.0,[],IT
382abdm,,,,2018,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
Leannemgiraffe,,,,2019,24.0,59.0,5.0,0.0,3.0,3.0,9.0,45.0,[],
Colinkaljee,,,,2018,5.0,5.0,2.0,0.0,2.0,0.0,0.0,4.0,[],
Silverleviathan,,,,2017,4.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,[],
varadharajanC2109,man,25-34,Frankfurt-Germany,2014,35.0,79.0,5.0,0.0,0.0,3.0,48.0,29.0,[],DE
ganteney,woman,25-34,Carvoeiro-Portugal,2009,142.0,82.0,6.0,0.0,0.0,4.0,21.0,62.0,[],PT
lboa248,,,Amsterdam-The Netherlands,2015,28.0,118.0,6.0,4.0,3.0,26.0,60.0,25.0,[],NL
runeveroug,,,Ostend-Belgium,2020,2.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,[],BE
276dimitrist,,,Barcelona-Spain,2015,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,[],ES
maryjowallace53,,,,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
hollyannlees01,,,Leicestershire-United Kingdom,2020,,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],GB
deadgrassdog,man,50-64,Yuba City-California,2007,431.0,220.0,6.0,4.0,2.0,32.0,100.0,84.0,[],US
MarieSummers,,,Athens-Greece,2020,5.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,[],GR
caysera,woman,35-49,Bournemouth-United Kingdom,2010,67.0,27.0,4.0,0.0,0.0,5.0,9.0,13.0,"['Foodie', 'Urban Explorer', 'Like a Local', 'Luxury Traveler']",GB
JeroenH951,man,35-49,Heemstede-The Netherlands,2010,51.0,17.0,3.0,0.0,2.0,2.0,5.0,8.0,[],NL
alexdawn,,,,2019,16.0,24.0,4.0,0.0,0.0,0.0,2.0,23.0,[],
395philipc,Man,,Antwerp-Belgium,2016,8.0,10.0,3.0,0.0,0.0,2.0,3.0,5.0,[],BE
mirjamannen,,,Steinen-Switzerland,2020,5.0,9.0,3.0,1.0,0.0,1.0,1.0,7.0,[],CH
Greg9313,man,50-64,Virginia Beach-Virginia,2008,12.0,4.0,3.0,0.0,0.0,1.0,1.0,10.0,[],US
paulinelyepohlinl,,,Penang Island-Malaysia,2019,5.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,[],MY
aleksandras769,,,Belgrade-Serbia,2011,198.0,194.0,6.0,9.0,10.0,17.0,62.0,96.0,[],RS
G8839NHjohannab,,,Germany,2020,2.0,2.0,,,,,,,[],DE
quakiix3,woman,18-24,Lucerne-Switzerland,2016,194.0,56.0,5.0,5.0,3.0,15.0,22.0,12.0,[],CH
katniss_di_angelo,,,Gdansk-Poland,2020,16.0,28.0,5.0,0.0,0.0,1.0,3.0,24.0,[],PL
urbanshelley,man,35-49,Rotkreuz-Switzerland,2012,671.0,46.0,5.0,1.0,2.0,11.0,18.0,16.0,[],CH
467DavidM,,,Basel-Switzerland,2012,8.0,13.0,3.0,0.0,0.0,0.0,2.0,12.0,[],CH
Shraspink,woman,35-49,London-United Kingdom,2011,68.0,94.0,5.0,0.0,1.0,9.0,52.0,32.0,[],GB
CarolinaE5247ZH,,,Highlands-New Jersey,2013,43.0,69.0,5.0,3.0,2.0,6.0,5.0,55.0,[],US
alessandromG7102EB,,,Rome-Italy,2018,14.0,39.0,4.0,0.0,1.0,3.0,8.0,27.0,[],IT
A_Amri,man,25-34,Manama-Bahrain,2013,59.0,106.0,6.0,0.0,5.0,22.0,56.0,23.0,[],BH
eelSeattle,Man,,Seattle-Washington,2008,135.0,609.0,6.0,10.0,21.0,78.0,307.0,201.0,[],US
JalynCameron,,,Vancouver-Canada,2018,8.0,30.0,5.0,0.0,0.0,5.0,12.0,15.0,[],CA
WeakKneeTraveler,woman,35-49,Singapore-Singapore,2008,745.0,407.0,6.0,6.0,35.0,376.0,1.0,975.0,"['Like a Local', 'History Buff', 'Nature Lover', 'Peace and Quiet Seeker']",SG
fotiss257,,,Paleo Faliro-Greece,2017,12.0,52.0,5.0,1.0,1.0,3.0,31.0,16.0,[],GR
pearson-lyverse,,,San Francisco-California,2020,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],US
Citydweller01,,,London-United Kingdom,2020,3.0,6.0,2.0,0.0,0.0,0.0,1.0,5.0,[],GB
Andreas-Vasso,man,35-49,Cholargos-Greece,2013,49.0,24.0,4.0,4.0,1.0,4.0,3.0,12.0,[],GR
amandria1,woman,35-49,Fort Lauderdale-Florida,2006,96.0,62.0,5.0,2.0,1.0,1.0,27.0,32.0,['Family Vacationer'],US
Shamaa_Aminah,,,Mauritius,2015,21.0,18.0,3.0,1.0,1.0,0.0,1.0,15.0,[],MU
Johan176,,,Birmingham-United Kingdom,2015,30.0,64.0,5.0,1.0,2.0,4.0,16.0,44.0,[],GB
