username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags

joaomcanales,,,Lisbon-Portugal,2021,2,4,1,0,0,0,0,4,[]
423bwl,,,Athens-Greece,2019,,12,3,0,0,0,0,12,[]
permia,,,Ireland,2006,196,652,6,0,1,7,422,2,[]
Temer2,woman,35-49,Horley-United Kingdom,2008,275,380,6,0,8,44,112,219,"['Art and Architecture Lover', 'Nature Lover', 'Beach Goer', 'Luxury Traveler']"
bettylopez10,woman,50-64,Brampton-Canada,2008,546,366,6,1,35,685,617,91,[]
J8949WPmarks,,,Zurich-Switzerland,2020,,,,,,,,,[]
unab2000,,,Cork-Ireland,2015,4,9,3,0,0,0,3,6,[]
R8131BWmaryj,,,Cape May-New Jersey,2020,,2,,,,,,,[]
ljpeacock,Woman,,Liverpool-United Kingdom,2014,2,4,2,0,0,0,0,4,[]
hannahpE956LZ,woman,25-34,London-United Kingdom,2018,24,34,4,2,3,8,9,13,"['Art and Architecture Lover', 'Foodie', 'Nature Lover', 'Thrifty Traveler']"
Tom3588,,,Wokingham-United Kingdom,2013,10,24,4,0,0,2,6,16,[]
PCO,man,50-64,London,2006,120,90,5,0,2,17,24,47,[]
KatieW1561,,,,2007,32,2,2,,,,,,[]
554iw,man,50-64,Barrow Upon Soar-United Kingdom,2015,44,155,6,0,2,15,39,105,[]
stavrosm881,Man,,Nikaia-Greece,2017,57,112,6,3,5,29,55,20,[]
danSt1004,,,,2020,,3,2,0,0,0,0,3,[]
Shallwegothere,,,Ulceby-United Kingdom,2016,46,78,6,2,2,2,25,51,[]
LindyLindaB,,,,2020,,,,,,,,,[]
speak0fthejamie,,,Dublin-Ireland,2015,4,6,2,0,0,2,2,2,[]
srablair,Woman,,Lytham St Anne's-United Kingdom,2013,238,611,6,1,5,41,271,299,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Eco-tourist']"
ddU2932PD,,,Lisbon-Portugal,2020,4,6,2,0,0,0,0,6,[]
joern76870,man,50-64,Landau in der Pfalz-Germany,2010,141,335,6,2,5,30,182,120,[]
ritalourencogranito,,,Oeiras-Portugal,2017,15,17,3,1,1,2,2,11,[]
Ginges_revenge,man,35-49,Brisbane-Australia,2015,227,630,6,6,32,133,305,181,"['Like a Local', 'Thrifty Traveler', 'Family Vacationer']"
jordromani,man,35-49,Kavala-Greece,2017,204,438,6,7,11,33,97,321,[]
vanessasueroz,,,Munich-Germany,2019,173,54,5,0,1,6,18,32,[]
492svend,,,Norderstedt-Germany,2013,10,25,4,2,2,0,10,12,[]
JopK11,,,London-United Kingdom,2011,110,24,4,1,2,0,0,21,[]
SmithSmith321,,,,2019,5,9,2,0,0,1,2,6,[]
lagoon08,man,50-64,Venice-Italy,2008,388,348,6,1,2,34,186,128,[]
Turbonero,,,Los Angeles-California,2016,40,95,6,2,1,8,64,23,[]
SusannahP191,Woman,,Tiverton-United Kingdom,2013,934,503,6,12,24,90,190,188,[]
stephanelive,,,London-United Kingdom,2020,5,9,3,0,0,1,2,7,[]
BevSimon2013,woman,50-64,Sheffield-United Kingdom,2013,28,44,4,0,0,5,16,24,[]
DoratheExplorer1983,,,Bristol-United Kingdom,2017,157,75,5,2,4,14,7,50,[]
Maroundtheworld143,,,Doha-Qatar,2019,186,94,6,0,3,20,46,26,[]
Paul_Cra,,,,2010,158,13,3,0,1,1,3,8,[]
stevebG6121BX,man,,London-United Kingdom,2015,544,980,6,8,15,64,408,520,"['Foodie', 'Nature Lover', '60+ Traveler', 'Peace and Quiet Seeker']"
CorinaNitu,Woman,,Bucharest-Romania,2017,24,38,6,0,0,5,14,19,[]
27Anja,,,Hamburg-Germany,2010,124,8,3,0,0,1,0,7,[]
LucasM7279,man,18-24,Belgium,2013,117,29,4,0,0,3,11,15,[]
Massi400,,,Rome-Italy,2012,19,40,4,0,1,13,22,6,[]
SpaceAgeDad,Man,,Fleet-United Kingdom,2009,22,8,3,0,0,0,2,6,[]
