username,placeLocation,latitude,longitude,code,location
thehunk32,"Tel Aviv, Israel",32.0852997,34.7818064,,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל"
thehunk32,"Tel Aviv, Israel",32.0852997,34.7818064,,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל"
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,,"Budapest, V. kerület, Közép-Magyarország"
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,,"Budapest, V. kerület, Közép-Magyarország"
thehunk32,"Athens, Greece",37.9839412,23.7283052,,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
thehunk32,"Athens, Greece",37.9839412,23.7283052,,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
thehunk32,"Athens, Greece",37.9839412,23.7283052,,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
thehunk32,"Split, Croatia",43.5116383,16.4399659,,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
thehunk32,"Split, Croatia",43.5116383,16.4399659,,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
thehunk32,"Rome, Italy",41.8933203,12.4829321,,"Roma, Roma Capitale, Lazio, Italia"
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,,"Budapest, V. kerület, Közép-Magyarország"
thehunk32,World,25.2528888,55.17696777178696,,"العالم, دبي, الإمارات العربية المتحدة"
thehunk32,"Milan, Italy",45.4668,9.1905,,"Milano, Lombardia, Italia"
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,,"Budapest, V. kerület, Közép-Magyarország"
JuliusKeijzer,"Lagos, Portugal",37.15313005,-8.741896477086119,NL,"Lagos, Faro, Portugal"
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς"
JuliusKeijzer,"New York City, New York",40.7127281,-74.0060152,NL,"New York, United States"
JuliusKeijzer,"New York City, New York",40.7127281,-74.0060152,NL,"New York, United States"
339josephm,"Tierra Verde, Florida",27.6919746,-82.7234337,US,"Tierra Verde, Pinellas County, Florida, 33715, United States"
339josephm,"Arcadia, Florida",27.2244502,-81.86105273443341,US,"Arcadia, DeSoto County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Pete Beach, Florida",27.7253065,-82.741212,US,"St. Pete Beach, Pinellas County, Florida, 33706, United States"
339josephm,"Kittery, Maine",43.088448,-70.736847,US,"Kittery, York County, Maine, United States"
339josephm,"Kingston, New York",41.9287812,-74.0023702,US,"Kingston, Ulster County, New York, 12401, United States"
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US,"Red Hook, Brooklyn, Kings County, New York, 112321, United States"
339josephm,"Barnstable, Massachusetts",41.7001132,-70.2994666,US,"Barnstable, Barnstable County, Massachusetts, United States"
339josephm,"Maynard, Massachusetts",42.4321064,-71.4539683,US,"Maynard, Middlesex County, Massachusetts, 01754, United States"
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US,"Red Hook, Brooklyn, Kings County, New York, 112321, United States"
339josephm,"Kingston, New York",41.9287812,-74.0023702,US,"Kingston, Ulster County, New York, 12401, United States"
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US,"Red Hook, Brooklyn, Kings County, New York, 112321, United States"
339josephm,"New London, Connecticut",41.331256,-72.09643715791685,US,"New London, New London County, Connecticut, 06320, United States"
339josephm,"Germantown, New York",42.1345339,-73.8917982,US,"Germantown, Town of Germantown, Columbia County, New York, United States"
339josephm,"Germantown, New York",42.1345339,-73.8917982,US,"Germantown, Town of Germantown, Columbia County, New York, United States"
339josephm,"Stanfordville, New York",41.8673152,-73.7142954,US,"Stanfordville, Town of Stanford, Dutchess County, New York, 12506, United States"
339josephm,"Saugerties, New York",42.0775906,-73.9529126,US,"Saugerties, Town of Saugerties, Ulster County, New York, United States"
339josephm,"Tivoli, New York",42.058528,-73.908913,US,"Tivoli, Town of Red Hook, Dutchess County, New York, 12583, United States"
339josephm,"West Springfield, Massachusetts",42.105237,-72.6213712,US,"West Springfield, Hampden County, Massachusetts, 01089, United States"
339josephm,"Saugerties, New York",42.0775906,-73.9529126,US,"Saugerties, Town of Saugerties, Ulster County, New York, United States"
339josephm,"Lake Katrine, New York",41.988841,-73.99046231543329,US,"Lake Katrine, Town of Ulster, Ulster County, New York, 12449, United States"
339josephm,"Ghent, New York",42.3292525,-73.6156736,US,"Ghent, Town of Ghent, Columbia County, New York, United States"
339josephm,"Hopewell Junction, New York",41.584752,-73.80004907608696,US,"Hopewell Junction, Town of East Fishkill, Dutchess County, New York, 12533, United States"
339josephm,"Harpswell, Maine",43.8075279,-69.9348805,US,"Harpswell, Cumberland County, Maine, United States"
339josephm,"Kittery, Maine",43.088448,-70.736847,US,"Kittery, York County, Maine, United States"
339josephm,"Mashpee, Massachusetts",41.6484421,-70.4811383,US,"Mashpee, Barnstable County, Massachusetts, 02649, United States"
339josephm,"Rangeley, Maine",44.966741,-70.643463,US,"Rangeley, Franklin County, Maine, 04970, United States"
339josephm,"Stratton, Maine",45.1411653,-70.4406231,US,"Stratton, Franklin County, Maine, 04982, United States"
339josephm,"Rangeley, Maine",44.966741,-70.643463,US,"Rangeley, Franklin County, Maine, 04970, United States"
339josephm,"Norway, Maine",44.214202,-70.545273,US,"Norway, Oxford County, Maine, 04268, United States"
339josephm,"Hyannis, Massachusetts",41.651513,-70.2825918,US,"Hyannis, Barnstable, Barnstable County, Massachusetts, 02601-5542, United States"
339josephm,"Eastham, Massachusetts",41.8301081,-69.973907,US,"Eastham, Barnstable County, Massachusetts, United States"
339josephm,"Truro, Massachusetts",41.993437,-70.0497457,US,"Truro, Barnstable County, Massachusetts, United States"
339josephm,"Wellfleet, Massachusetts",41.9376051,-70.0327996,US,"Wellfleet, Barnstable County, Massachusetts, United States"
339josephm,"Eastham, Massachusetts",41.8301081,-69.973907,US,"Eastham, Barnstable County, Massachusetts, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
339josephm,"St. Pete Beach, Florida",27.7253065,-82.741212,US,"St. Pete Beach, Pinellas County, Florida, 33706, United States"
339josephm,"Indian Rocks Beach, Florida",27.891338,-82.84518880012078,US,"Indian Rocks Beach, Pinellas County, Florida, United States"
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US,"St. Petersburg, Pinellas County, Florida, United States"
