title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lockdown Fish and Chips,"Thank you all for great, fresh fish and chips. Super piece of cod, nice and thick, cooked with light batter and served with minty mushy peas and tartare sauce.

We'll be back

Definitely recommend",May 2020,The Four Horseshoes,https://www.tripadvisor.com/Restaurant_Review-g1820401-d3172859-Reviews-The_Four_Horseshoes-Eye_Suffolk_East_Anglia_England.html,"Eye, United Kingdom",restaurants,4.0,4.0
Business trip,"Used the Doubletree as a venus for a meeting, the personalised service was excellent. The facilities were spotless and equipment provided new and simple to connect to.
Lunch was simple, but hot and tasty

Good value for money in the centre of York and easily accessible - 15 minutes walk from the station.",October 2018,DoubleTree by Hilton York,https://www.tripadvisor.com/Hotel_Review-g186346-d192669-Reviews-DoubleTree_by_Hilton_York-York_North_Yorkshire_England.html,"York, United Kingdom",hotels,4.0,3.5
Enjoyable lunch,"Met some friends in this pub in the centre of Ely, what a joy...
Menu varied, food hot and tasty and good price. Staff were attentive and helpful.
I had the scallops to start which were cooked perfectly, the presentation was definitely a high point and gastropub describes this pub well.

Food fresh and therefore a little slow, but not a concern.

will definitely return",November 2018,Prince Albert,https://www.tripadvisor.com/Attraction_Review-g186226-d2054348-Reviews-Prince_Albert-Ely_Cambridgeshire_England.html,"Ely, United Kingdom",attractions,4.0,4.0
Poopped in for lunch,"Visited the hardware store on the other side of the road to EmZo's and noticed a food sign, had a lovely, freshly made sandwich that was good value and good quality. Really enjoyed the food and the staff are great",October 2018,EmZo Café,https://www.tripadvisor.com/Attraction_Review-g2012152-d2311621-Reviews-EmZo_Cafe-Cotton_Suffolk_East_Anglia_England.html,"Cotton, United Kingdom",attractions,4.0,4.5
"Great food, great value for money","Ate at The Bell on Friday night, good menu serving locally sourced ingredients. The menu had good choices and suitable for just about anyone.
Jordan was very attentive and went the extra mile to inform us where the ingredients came from. Food came out of the kitchen at a good pace and was hot and tasty.
The Seafood starter was plentiful and full of flavour, steak cooked to perfection and locally sourced cheeses finished off the meal.
Lively atmosphere that added to the experince.
Ate there with friends, who thoroughly enjoyed the food too and will definitely be returning",October 2018,The Bell Inn,https://www.tripadvisor.com/Restaurant_Review-g7269633-d3675493-Reviews-The_Bell_Inn-Rickinghall_Suffolk_East_Anglia_England.html,"Rickinghall, United Kingdom",restaurants,4.0,4.0
Unbelievable,"It's not often that I am stuck for words but the Acropolis did this to me.
You simply have to go and experience the feeling, even in poor weather the visit was fantastic",September 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Quick lunch,"Popped in for a quick lunch and was surprised by the experience, friendly staff, good price, quick service and tasty food. I had a burger that was fresh and cooked to perfection, my wife had the artisan fish finger sandwich. Lots of cakes on offer but resisted but did notice a couple next to us who had cake and they were generous portions.",November 2017,Number Sixteen,https://www.tripadvisor.com/Restaurant_Review-g1932265-d2521391-Reviews-Number_Sixteen-Bingham_Nottinghamshire_England.html,"Bingham, United Kingdom",restaurants,4.0,4.5
Birthday meal for my Brother,"Arrived early and was seated by the friendly staff, as we were quite early they brought as a couple of tasters - a nice touch (and very tasty)
Food was fresh, hot and plentiful, I think I have a big appetite but they filled me up.
Crepe suzette, not really Indian, cooked at the table was impressive and very tasty. On the pricey side but worth it and we did have three courses

Thanks to all at Haveli - we will be back",October 2017,Haveli,https://www.tripadvisor.com/Restaurant_Review-g1930080-d2316273-Reviews-Haveli-Chilwell_Nottinghamshire_England.html,"Chilwell, United Kingdom",restaurants,5.0,4.5
Family birthday meal,"Food good, set price and decent value. Service good and atmosphere pleasant. We were able to have a table for 12 which was appreciated.",October 2017,The Crown Inn Elton,https://www.tripadvisor.com/Restaurant_Review-g6775021-d4774087-Reviews-The_Crown_Inn_Elton-Elton_Peterborough_Cambridgeshire_England.html,"Elton, United Kingdom",restaurants,4.0,4.0
Pleasantly Surprised,"Wasn't 100% sure about booking the Castle View but went with it, great reception from the team there and the food was very tasty and plentiful
Nine of us attended and had a variety of currys from mild to hot, everyone commented that the quality was great.
At the end of the evening was pleasantly surprised by the bill as was great value - would recommend a visit",July 2017,Castle view Indian cuisine,https://www.tripadvisor.com/Restaurant_Review-g186336-d11866801-Reviews-Castle_view_Indian_cuisine-Lincoln_Lincolnshire_England.html,"Lincoln, United Kingdom",restaurants,4.0,5.0
