title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Bar experience only but loved it,"So loved this atmosphere and so have to go back for dinner there.

Great negroni and absolutely loved the bar staff who were very efficient and friendly with a smile. Haven’t seen service like that for a long time in Australia

I will be calling - bar and food",May 2019,Embla,https://www.tripadvisor.com/Restaurant_Review-g255100-d9873628-Reviews-Embla-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.5
Girls night out,"So nice for girls to chat and have some peace and great food . Some of the dishes appeared a tad contrived but for a one off meal like this we were ok with that.

Fabulous wine selection to die for

Service was good and not over the top",May 2019,Lesa,https://www.tripadvisor.com/Restaurant_Review-g255100-d15096771-Reviews-Lesa-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.5
Great bar,"Wow stumbled across this and had a quick drink before dinner booking at another venue- place looked busy but was a Friday night so we believe you would need to book a table

Food looked great too

Loved the atmosphere. We will be back for a meal there",May 2019,Juliet Melbourne,https://www.tripadvisor.com/Restaurant_Review-g255100-d12917866-Reviews-Juliet_Melbourne-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,5.0,4.0
Fabulous food and service,"We were on a time limit due to a show at Her Majesty’s and the staff were amazing to ensure we had time to enjoy the meal and make the show.

The oysters in the coconut curry were out of this world we had to order another serve.

The spanner crab was so different, tasty and great element of spice. The octopus was tender and lovely spice to it

Fabulous wine selection by wait staff too.

Yes highly recommend and we will be back for more time so not so rushed",May 2019,Sunda,https://www.tripadvisor.com/Restaurant_Review-g255100-d14082323-Reviews-Sunda-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,5.0,4.5
"Excellent wines, attention to service and food","Wow, a must visit - highly recommend as the staff know their wines and food, cocktails also amazing- service was knowledgeable and efficient without interfering in our night out so we could still talk.

Menu caters for all food likes, sharing plates also fabulous to relax over a meal and wine

Highly recommend this venue and I hope it doesn’t change as it gets complacent - as many venue do.

We will be back",March 2019,Young's Wine Rooms,https://www.tripadvisor.com/Restaurant_Review-g844564-d15970692-Reviews-Young_s_Wine_Rooms-Hawthorn_Boroondara_Greater_Melbourne_Victoria.html,"Hawthorn, Australia",restaurants,5.0,4.0
Fabulous,"Very impressed with the food, service and location. Oh and the wines

We did the discovery meal and pairing wines and none of us were disappointed. Having said that we did find that maybe the 5 courses would have been enough as the 7 was very filling.

The wines were perfectly matched.

Yes I would go back if I lived in Auckland",December 2018,SidArt,https://www.tripadvisor.com/Restaurant_Review-g255106-d1627689-Reviews-SidArt-Auckland_Central_North_Island.html,"Auckland Central, New Zealand",restaurants,5.0,5.0
Different,"Quite enjoyed this space - loved the 80’s decor but we sat outside as a gorgeous Saturday afternoon

It’s a visit once place (as I am from Australia) my Auckland friends always take me to different places

It’s worth a visit if you walk the Orakei Basin as we did",December 2018,Brothers Beer Orakei,https://www.tripadvisor.com/Restaurant_Review-g2558473-d12587883-Reviews-Brothers_Beer_Orakei-Remuera_North_Island.html,"Remuera, New Zealand",restaurants,4.0,4.0
Fabulous spot to stop for a drink,"Friends live 500metres from here and very jealous. So we did a fabulous 10km walk on Saturday and wow did I want a drink on walk home. So why not right? Hot and sweaty the barman nailed it with serving us sloe gin sour - yum. So good we ordered a second one.

Pity we couldn’t settle in for the remainder of the afternoon

Will be back",December 2018,Morell,https://www.tripadvisor.com/Restaurant_Review-g2558473-d13274155-Reviews-Morell-Remuera_North_Island.html,"Remuera, New Zealand",restaurants,5.0,4.5
Hidden gem in a country town,"Wow, what a find and completely unexpected as we hadn’t been to Maldon for a couple of years (or more time flies)

The gentleman behind the counter (I think owner) was so generous with his patience as I worked out what cheeses I wanted to eat with a lovely glass of wine.

He helped and offered suggestions and I wasn’t disappointed

Worth driving out of you way to spend time choosing and eating cheese with a lovely wine",November 2018,Le Sel,https://www.tripadvisor.com/Restaurant_Review-g552205-d10140313-Reviews-Le_Sel-Maldon_Victoria.html,"Maldon, Australia",restaurants,5.0,4.5
Oh what a fab night,"Soooo many choices and not enough room in tummy to try them all.

Scared of food envy of others so why not go more than once. Anyhow, very well run, great Pimms bar and great Vietnamese

Also great dessert, pity there was no ice-kechang.....with Durian - yum",November 2018,Birrarung Marr,https://www.tripadvisor.com/Attraction_Review-g255100-d7606125-Reviews-Birrarung_Marr-Melbourne_Victoria.html,"Melbourne, Australia",attractions,5.0,4.0
Nice lunch,"Cute venue, lovey menu, nice clean good, great service

Tables a bit tight so feels a bit claustrophobic",November 2018,Bruno & Co,https://www.tripadvisor.com/Restaurant_Review-g255100-d15095736-Reviews-Bruno_Co-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.5
Very satisfying,"I was very surprised how good the food was here. Haven’t been a fan of the other sister restaurants.

Prawn souva was yum as was the chicken. Salad was fresh and tasty

Great wine list, mastiha on menu too

Service was excellent

Yeah I recommend Gazi",November 2018,Gazi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255100-d4293222-Reviews-Gazi_Restaurant-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.0
Fabulous,"Excellent - loved the atmosphere and fit out to start with.

Entree amazing had school prawns and kingfish to share - tasty tasty tasty

Rockling main was tasty and fresh with herbs and mints and noc nuam- good size meal too. Other party had sirloin and that was not disappointing at all as I had a taste.

Great wine list too

Reasonably priced and great service

Yep I will be back",November 2018,Annam,https://www.tripadvisor.com/Restaurant_Review-g255100-d12930607-Reviews-Annam-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.5
Loved it,"Always concerned with Bridge Rd cafes these days, and stumbled across this one.

Excellent coffee and great breakfast selection. Citrus cured salmon was amazing - so tasty refreshing and light.

Great service

Clean cafe too which isn’t so common that end of bridge Rd as we walked in and out of 3 others before we dined here.

We will be back so yes we do recommend ducking in for a bite to eat",October 2018,Fifty Acres,https://www.tripadvisor.com/Restaurant_Review-g635736-d4043722-Reviews-Fifty_Acres-Richmond_Yarra_Greater_Melbourne_Victoria.html,"Richmond, Australia",restaurants,4.0,4.0
A must stay,"We stayed here 4 years ago for one night and loved it

Hasn’t changed - loved it and stayed 5 nights this time -

Staff are amazing, fabulous location being Oltrarno and away from tourist crowds, close to great restaurants, clean and quite

Fab housekeeping too

Yes highly recommend Palazzo Magnani Feroni",September 2018,Palazzo Magnani Feroni,https://www.tripadvisor.com/Hotel_Review-g187895-d233494-Reviews-Palazzo_Magnani_Feroni-Florence_Tuscany.html,"Florence, Italy",hotels,5.0,4.5
Great platters,"Thoroughly enjoyed a last minute let’s have a beer and platter....

Service was exceptional and plenty of love as the staff prepared our platter of cured meats and amazing cheese.

Very friendly place and would go back if we lived there",September 2018,La Prosciutteria Crudi e Bollicine - Firenze,https://www.tripadvisor.com/Restaurant_Review-g187895-d15081337-Reviews-La_Prosciutteria_Crudi_e_Bollicine_Firenze-Florence_Tuscany.html,"Florence, Italy",restaurants,4.0,4.5
Loved it,"Thanks to our Bergamo tour guide we were taken to this place for lunch otherwise we would never have found it.

Our guide recommended the local ravioli which was sensational

Weather was great so eating outdoors was no issue. We were lucky we timed our arrival so that there was no wait for a table. Otherwise there was quite a wait for late comers

I do recommend that you support restaurant who support their community",September 2018,Il Circolino Citta Alta,https://www.tripadvisor.com/Restaurant_Review-g187830-d1798985-Reviews-Il_Circolino_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,"Bergamo, Italy",restaurants,4.0,4.0
Great,"We never eat near Duomo or Galleria as too touristy for us. However whenever I arrive in Milan I must see Duomo as soon as I can. And we were hungry so happy to drop into a table and eat

The vongole was fabulous and service was efficient and friendly

Would we eat there again, yes we would",September 2018,Biffi,https://www.tripadvisor.com/Restaurant_Review-g187849-d1541347-Reviews-Biffi-Milan_Lombardy.html,"Milan, Italy",restaurants,4.0,3.5
Beyond expectations,"I guess you get what you pay for but in this instance you get more. The staff are amazing. They welcome you each time you walk by lobby. The staff at the bar are the same, always welcoming. Even door staff downstairs are amazingly friendly.

Additionally the staff were great in arranging skip the line tours and arranging a trip outside of Milano for the day. The staff arranged the day tour the night before which was a big ask during fashion week.

The room was a great size and housekeeping were also fabulous

Cocktails and food at bamboo bar was excellent.

So impressed we will be back and we can’t wait to see all the staff again",September 2018,Armani Hotel Milano,https://www.tripadvisor.com/Hotel_Review-g187849-d2340336-Reviews-Armani_Hotel_Milano-Milan_Lombardy.html,"Milan, Italy",hotels,5.0,4.5
I guess it has to be done,I am wondering what the big deal is as I have seen some amazing sunsets many places around the world. Still trying to figure out why people line up for hours before hand to watch sunset and then clap when it’s done?????,September 2018,Sunset in Oia,https://www.tripadvisor.com/Attraction_Review-g482941-d3369820-Reviews-Sunset_in_Oia-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,4.0,4.5
Nice villa great sunset lovely staff,"Found the bed awkward being in tight corner of room with no window light and small access to bed. But it’s just to sleep right? Air conditioning didn’t quite make it to the bed area so found the night time sleeps a tad warm and uncomfortable

However the staff made up for the bed issue as they were so accomodating and even housekeeping was a lovely young lass who did a fabulous job and with such a lovely smile.

I am not a fan of Santorini as I found it with too many people and too far up from the water as I love to be in the water not look at it.

However if you are a fan of Santorini I would recommend Fanari Villas",September 2018,Fanari Villas,https://www.tripadvisor.com/Hotel_Review-g482941-d278859-Reviews-Fanari_Villas-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,5.0
Food tour was with Carolina,"Wow, what a day. Carolina is so passionate and knows her city so well.

I lost count on different items we tasted but the outstanding was the yoghurt (sheeps milk) with honey and walnuts. So memorable I hope to find same back in Melbourne.

The spoon desserts with coffee were also memorable and I will try to get recipe for the spiced walnuts - so yum.

The whole day was super and I would do that tour again. Well worth a great way to see Athens too - and Carolina is a delight",August 2018,Athens Culinary Backstreets Walks,https://www.tripadvisor.com/Attraction_Review-g189400-d4509209-Reviews-Athens_Culinary_Backstreets_Walks-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Love the Plaka,Ok might be touristy but I loved it and I believe all visitors would too. There are loads of hidden treasures to be found at Plaka so enjoy and find your own,August 2018,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
It’s gotta be done,"Well luckily end of August so but so hot but still hot for many people. Wear a hat

Enjoyable but for people pushing and shoving to get best selfie photos. Pity people don’t live in the moment

But one has to visit this right?",August 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Wow fabulous place,"I so will be back next year to Athens and so will book Electra Metropolis Hotel

The staff are amazing and can’t do enough for you

The room was clean and bright

The breakfast buffet is spoilt for choice and loved it - again staff amazing

The pool is so welcoming after a long day of sight seeing in the Athens heat.

Again the rooftop staff were welcoming and accomodating at all visits

I would highly recommend this great hotel also in a great location",September 2018,Electra Metropolis Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d10798588-Reviews-Electra_Metropolis_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
OMG the best,"This was amazing. Loved every bit of it was a great memory for me

I wish I could visit this spring every week and envy those who live nearby

Highly recommend this experience",September 2018,Healing Springs of Lesvos: Eftalou,https://www.tripadvisor.com/Attraction_Review-g1191869-d2602308-Reviews-Healing_Springs_of_Lesvos_Eftalou-Eftalou_Lesbos_Northeast_Aegean_Islands.html,"Lesbos, Greece",attractions,5.0,4.0
Nice hotel,"I liked the bright rooms and great views from terrace balcony

I liked hearing the goats in the morning with their bells on

Breakfast buffet very mediocre.

No complaints but no amazing memory of this hotel either - so average rating from me",September 2018,Sunrise Resort Hotel,https://www.tripadvisor.com/Hotel_Review-g1191869-d1225550-Reviews-Sunrise_Resort_Hotel-Eftalou_Lesbos_Northeast_Aegean_Islands.html,"Lesbos, Greece",hotels,3.0,4.5
Great service,"We were on a tour so no choice of booking hotels. This was a fabulous choice. Loved being near the beach.

Lovely water views too.

The manager and staff were amazing and went beyond call of duty as I was really sick with flu

The breakfast choices were fabulous. I can see how families with kids would be beside themselves with the choice of kids activities too.

I would return here and I would highly recommend this resort.",September 2018,Lemnos Village Resort Hotel,https://www.tripadvisor.com/Hotel_Review-g189478-d655341-Reviews-Lemnos_Village_Resort_Hotel-Lemnos_Northeast_Aegean_Islands.html,"Lemnos, Greece",hotels,4.0,4.5
