title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wonderful B&B!,"Our stay at the Rio Grande B&B far exceeded my expectations. Our room was upstairs and was very comfortable and clean. The bathroom was beautiful and even had heated floors. We had a spacious sitting room which was great to relax at the end of the evening. The hosts provided many comforts to make our stay enjoyable including freshly baked cookies, a container of bleach wipes (during Covid this was especially important!), a tote bag of beach towels for the Glenwood Hot Springs, and more. The breakfast was absolutely incredible! The quality and quantity was exceptional. The orange creme brûlée was my favorite! It is also conveniently located, and it is easy to walk into town or to the hot springs. We will definitely stay here the next time we visit Glenwood! I highly recommend staying here!",July 2020,Rio Grande Bed and Breakfast,https://www.tripadvisor.com/Hotel_Review-g33446-d12454050-Reviews-Rio_Grande_Bed_and_Breakfast-Glenwood_Springs_Colorado.html,"Glenwood Springs, Colorado",hotels,5.0,5.0
"Hidden Gem, Peaceful Place!","Our stay at the Double G Guestranch was outstanding! Our hosts, Frank and Sandra, were gracious, accommodating, friendly, and helpful. From the minute we arrived we were treated wonderfully. Our room, the ""Eagle's Nest"" was spacious, clean, and comfortable. The 360 views were stunning. We ate dinner at the resort, and Sandra prepared a delicious homemade meal. Breakfast was also wonderful. Although a small and remote property, it is beautiful--horses, views, privacy! We enjoyed everything about our stay, and we hope to go back again!",July 2020,Double G Guestranch,https://www.tripadvisor.com/Hotel_Review-g33559-d17547039-Reviews-Double_G_Guestranch-Montrose_Colorado.html,"Montrose, Colorado",hotels,5.0,5.0
"Excellent service, great pizza!","We were in Vincennes for Thanksgiving week and ate at Renine Thanksgiving night. We were all tired after a day at Versailles, but were able to make a reservation here based on great reviews. When we got there, the server did not speak much English, and my French is barely passable. However, she was amazingly patient with me, and together, we were able to order for all of us (we were a party of six plus two babies). Her attitude, service, and help was incredible (I wish I knew/remembered her name to give her the credit!. The pizzas were delicious (although not our typical Thanksgiving meal in France!), and we had a wonderful experience. I can't wait to go back here when in Vincennes again. Excellent!",December 2019,Renine,https://www.tripadvisor.com/Restaurant_Review-g790302-d6541469-Reviews-Renine-Vincennes_Val_de_Marne_Ile_de_France.html,"Vincennes, France",restaurants,5.0,4.5
"Lots of potential, charming Bayeux","Hotel Chateau De Bellefontaine has incredible potential. We took our family there and booked three rooms (our daughters and their families have babies). We had three separate rooms, and we were surprised how differently appointed they all were! My husband's and my room was quite spacious, and the bathroom was huge. It did not have a shower, just a shower handle in a tub. The grounds are beautiful, and they provide an extensive breakfast (although not inexpensive). It is in a great location, and in summer would be amazing. We were there at a chilly time of year. The hotel is a little tired and could use some maintenance, but we did enjoy our stay here. I would go back for sure, but I would prefer the summer so I could spend time on their magnificent grounds.",November 2019,Hôtel Château De Bellefontaine,https://www.tripadvisor.com/Hotel_Review-g187181-d243839-Reviews-Hotel_Chateau_De_Bellefontaine-Bayeux_Calvados_Basse_Normandie_Normandy.html,"Bayeux, France",hotels,4.0,4.0
Amazing Parisian Suburb--surpassed expectations!,"We stayed here for Thanksgiving week with our whole family--daughters, sons-in-laws, and grandbabies. We were so pleasantly surprised with how much space the condo had! We had a three-bedroom, and we had more than enough room for six adults and two babies (with two cribs and high chairs, and a baby bath--provided by the resort). The kitchen was adequately accommodated and fit all of us. The living/family room was quite spacious, too. Vincennes was a quaint little town with all you could need. The metro ride into Paris was easy as well. The front desk staff varied (some knew every way to help us, and others did not have much knowledge). I ordered breakfast items to be in the room prior to our visit, and that was not done correctly, but the staff quickly handled it, and by the morning, we had what we ordered. Fresh croissants, coffee, baguettes, and more. The only real negative was the wifi was not good at all. We tried to talk to the front desk about this, but they were completely unable to fix it for us. I will definitely stay here again (especially with a larger group). We loved our stay!",November 2019,Royal Regency by Diamond Resorts,https://www.tripadvisor.com/Hotel_Review-g790302-d646737-Reviews-Royal_Regency_by_Diamond_Resorts-Vincennes_Val_de_Marne_Ile_de_France.html,"Vincennes, France",hotels,4.0,4.0
Our favorite restaurant at Denver International Airport,"We eat here before almost every trip out of DIA, and we are never disappointed. Although a bit pricey, we enjoy every meal here. We find it to provide good service, great food, and a relaxing atmosphere. We like the set up (great baggage storage!), the menu (I can get a good gluten free meal), the drinks, and the overall feel. This is always a stop for us, especially before an international trip. We find it to be consistent and reliable. I'd recommend it for sure when traveling through Denver.",December 2019,Elway's DIA,https://www.tripadvisor.com/Restaurant_Review-g33388-d4367247-Reviews-Elway_s_DIA-Denver_Colorado.html,"Denver, Colorado",restaurants,4.0,4.0
Not a bad choice at DIA,"We typically eat somewhere else when at DIA, but we were traveling with our daughter, son-in-law, and 2 month old grandson, so we picked the easiest, and what we thought would be the fasted, location. While the food was good, the service was extremely slow. Our server was pleasant enough, but it seemed challenging to get orders in on time. We ordered to-go meals as well as we were traveling internationally, so maybe that was part of the slow down. I would maybe go back, but we have other favorites while traveling through DIA.",December 2019,Denver Chophouse and Brewery,https://www.tripadvisor.com/Restaurant_Review-g33388-d4519606-Reviews-Denver_Chophouse_and_Brewery-Denver_Colorado.html,"Denver, Colorado",restaurants,3.0,3.5
Delicious BBQ,Shorty's is part of my past--I grew up going here for as long as I can remember (even to the original location that burned down). The bbq pork platter is delicious--go hungry for sure! We love the Shorty's sauce even more than the bbq sauce--smoky and yummy. The corn on the cob is a must (although it has a ton of butter--yum!). We go every time we go to South Florida for great bbq!,December 2019,Shorty's Bar-B-Q,https://www.tripadvisor.com/Restaurant_Review-g34170-d493404-Reviews-Shorty_s_Bar_B_Q-Davie_Broward_County_Florida.html,"Davie, Florida",restaurants,4.0,4.0
Seafood!,"We've been going to the Rustic Inn for many, many years. Their seafood is delicious, and they offer many choices. (This trip wasn't quite as good as I remembered, but it was still great.) We took all our parents for dinner, and they all loved their meals. The portions are huge! The service was very good. Great south Florida restaurant on the water. Go hungry!!",December 2019,Rustic Inn Crabhouse,https://www.tripadvisor.com/Restaurant_Review-g34227-d431929-Reviews-Rustic_Inn_Crabhouse-Fort_Lauderdale_Broward_County_Florida.html,"Fort Lauderdale, Florida",restaurants,4.0,4.0
Chicken Wings!,"We have been coming to Rickey's for more years than I care to admit. We grew up in South Florida, and frequented this restaurant on a regular basis. We moved from FL almost 30 years ago, and we make it a point to go here at least once on every visit. We were just there this weekend, and as usual, we had the chicken wings and were very happy. It's a small little bar, and not fancy at all! That adds to its charm! I will always visit this neighborhood bar for a great meal! (Their spicy bloody mary's are also awesome!)",December 2019,Rickey's,https://www.tripadvisor.com/Restaurant_Review-g34296-d870448-Reviews-Rickey_s-Hollywood_Broward_County_Florida.html,"Hollywood, Florida",restaurants,4.0,4.0
