title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"great location, disappointing service","I am a Hilton Gold member and we recently stayed for multiple nights at this property. It is in an excellent location with great views of the ocean. However, the service is lackluster (as it is in all of Panama, really). We had called ahead of time and emailed the hotel for specific bedding requests and were assured that everything was in order. On arrival, on checking, we were told again, that our requests were taken care of, but, of course when we get to the room, our bedding request had not been taken care of. It took an extra hour after check in and multiple requests to even get some one to come up.
In addition, even though we were Thanked for our loyalty to Hilton based on our time share ownership and Gold status with Hilton Honors, not once were we told the location of, or invited to the Executive lounge at check in- a privilege accorded to us at every Hilton worldwide.It was left to us and a wonderful lounge attendant to figure out the location etc
The service in the restaurants similarly, was variable. The wait for a server to come to the table was uniformly long once seated, service times were again variable, once orders had been placed. The Bell persons were hit or miss, sometimes they would be available for help; at others they could not be located at all.
The sad part is that this could be, with some attention, a great Hilton in Latin America. The rooms were wonderful, the location is outstanding and the place is generally well kept ; we just wish the service matched the other aspects of the Hotel.",December 2019,Hilton Panama,https://www.tripadvisor.com/Hotel_Review-g294480-d6562541-Reviews-Hilton_Panama-Panama_City_Panama_Province.html,"Panama City, Panama",hotels,3.0,4.5
Take a guide,"This is a quiet archaeological site that almost everyone that visits Cusco comes to see, however, just walking thru here is not good enough. to really bring out the essence of this wonderful site, I recommend that you get local guide and get a complete picture of what this site was and its importance to the inca",August 2019,Sacsayhuaman,https://www.tripadvisor.com/Attraction_Review-g294314-d311726-Reviews-Sacsayhuaman-Cusco_Cusco_Region.html,"Cusco, Peru",attractions,5.0,4.5
Interesting place to people watch,This bustling area of town is great place in the evenings to watch the city go by and to explore. There are a lot of stores and Colonial sites around this area as well as good [alces to garb bait. Plan to spend 3-4 hours,August 2019,Centro Historico De Cusco,https://www.tripadvisor.com/Attraction_Review-g294314-d2422362-Reviews-Centro_Historico_De_Cusco-Cusco_Cusco_Region.html,"Cusco, Peru",attractions,5.0,4.5
comfortable and clean,"we took Inca rail on our recent trip to Machu pichu and were impressed withy the cleanliness and service on board. The seats are comfortable and the train is usually punctual, they sometimes have a little cultural show and/or a fashion show put on by the staff showcasing Peru’s textiles and Alpaca products. Overall an excellent way to travel",August 2019,Inca Rail,https://www.tripadvisor.com/Attraction_Review-g294314-d2151998-Reviews-Inca_Rail-Cusco_Cusco_Region.html,"Cusco, Peru",attractions,5.0,4.0
Fantastic,"This is one of the great boutique hotels in the world in my opinion. We were here for 3 nights and the polite staff, attentive service and great food totally blew us away. The rooms are charming and the facilities are more than adequate.
Of note, one of the members of our party was quite ill for 2 days, and the service provided as well as the kindness shown by the staff was something you would not seen in a hospital!
Definitely my first choice when in Cusco",August 2019,Inkaterra La Casona,https://www.tripadvisor.com/Hotel_Review-g294314-d650806-Reviews-Inkaterra_La_Casona-Cusco_Cusco_Region.html,"Cusco, Peru",hotels,5.0,5.0
Good airline,"The plane was well kept and clean, leg room was adequate and boarding was efficient. Two things however , cast a shadow on an otherwise excellent flight: one departure was delayed from Cairo for reasons unknown and no announcement was made for many minutes that the flight was delayed. Second, the announcements on the plane by the staff were unintelligible. I understand that English was perhaps not the first language for the staff, but it was hard to understand even a few words, the accent was extremely heavy. Now, I don’t think that the announcements were of great importance on the plane, but if there was an emergency, I don’t think that many passengers on the flight would have been able to follow instructions, most of them being Western tourists.",May 2019,Royal Jordanian,https://www.tripadvisor.com/Airline_Review-d8729138-Reviews-Royal-Jordanian,World,flights,4.0,3.0
Adequate,"Egypt Air has been an airline I have dreaded to fly in all the years I have been flying all over the world. On my recent trip to Egypt, I had no choice to fly them, and, I was pleasantly surprised to say the least. The planes(s) were comfortable, clean and appeared to be well maintained. The restroom was basic, with minimal but adequate amenities for Economy class. The flights were on time and generally the service was courteous and professional. I would have no hesitation flying them again in Egypt.",April 2019,EGYPTAIR,https://www.tripadvisor.com/Airline_Review-d8729067-Reviews-EGYPTAIR,World,flights,4.0,3.5
Excellent airline,"Great service and excellent onboard cuisine was we found on our recent trip from Amman to Istanbul and then on to Chicago. The staff were courteous, the planes although slightly older, were well maintained and clean. Onboard entertainment was adequate. The cuisine was fantastic with the presence of an onboard chef from Istanbul to Chicago. Departure and arrival were on time and overall, the journey was A Plus.
An additional bonus was the New Istanbul airport with its fantastic array of shops, restaurants and Lounges. Do not miss the Turkish Business Lounge, its one of the best!",May 2019,Turkish Airlines,https://www.tripadvisor.com/Airline_Review-d8729174-Reviews-Turkish-Airlines,World,flights,5.0,4.0
Excellent company,"Untame Belize is a your company which operates hotels, provides excursions and provides transportation services in Belize. We booked 2 transfers and an excursion with this company and were greatly satisfied with the service.
The owner is a native of Belize and his responsiveness and service were excellent.
We took an excursion with this company’s tour guide Edgar and greatly enjoyed it. His careful driving, attention to detail and knowledge of historical sites was much appreciated. He was always cheerful, kept the vehicle clean and had a great sense of humor.
This is a great company and it was a pleasure doing business with them",December 2018,Untame Belize Tours & Transfers,https://www.tripadvisor.com/Attraction_Review-g635532-d12246000-Reviews-Untame_Belize_Tours_Transfers-Hopkins_Stann_Creek.html,"Hopkins, Belize",attractions,5.0,5.0
Mixed bag,"This resort has a lot of potential, situated as it is on a private island. Sadly, it does not live up to its potential and leaves a traveller only disappointed.

Pros: Ideal location, limited number of people, Excellent staff.
Cons: Poor maintainence, horrible food, rooms (some) are poorly designed, Overpriced excursions.Poor communication within the organization

There are many reviews on this forum which praise this resort, so I will not discuss the Pros further, I will, however discuss the shortcomings as I saw them, in an effort to improve the functioning of this resort.

Poor Maintainence: We were 2 couples who arrived on this island after a rather harrowing boat ride through 6 foot waves because of a minor storm. We were completely soaked and cold. We were taken to our rooms, which were disappointingly designed(more later) and found that we had no hot water to take a shower after being completely drenched in cold salt water. We took cold showers and reported this to management an hour later. we were informed during dinner that the problem was fixed. The next morning we had no hot water again and it was still cold outside. To make a long story short, it took the management almost 36 hours to “fix” a problem.On another day a guest on the island told us he fell into the water walking around near an overwater bar when a rotted plank on the walkway broke under him. In addition there was too much accumulated rotting vegetation on the island to make walking around on this island a pleasant experience. Walkways around the island were poorly maintained and poorly lit.We were told by the manager that there were improvement”plans” in the works, but, other than increasing the number of rooms, we don’t believe there were any concrete plans for improvement.

Horrible food: This is a real shortcoming. There literally was no choice offered. One entree was allowed at each meal, the dishes were uninspiring, not flavorful and on most occasions were served cold. Happy hour was characterized by free flowing liquor but the appetizers were either chips and salsa, cold sausages and hot dogs in canned tomato sauce and a variety of unflavorful ,cold pastries of some sort. On one day , a member of our party was tired of the bad food and asked for a grilled cheese sandwich or a PBJ and was told that there was no bread! Imagine a resort without a loaf of bread.

We were booked into what were called ""ocean facing cabanas” and while the location was good, the rooms were tiny and were completely taken up up by the bed. There was no place to hang any clothes or outerwear. There were drawers under the bed, but that's hardly the place for hanging wet outerwear.The rooms were poorly appointed and other than a water Jar and had no coffee/tea makers or supplies. There were no places to hang anything in the bathroom. Finally , there was no place to sit in the room! If you wanted to read or listen to music quietly, you had to sit on the bed or outside on the Patio. The tiny room did not even have place for a chair. The solution IMHO for these rooms which were side by side is that they should both be combined into one room, to at least chair to be put in the room and allow for quiet relaxation inside. To be honest, we asked the manager to be moved if possible, and were taken on a tour of the property’s rooms . These were much better designed and equipped , however they were apparently all booked. We obtained our rooms after bidding at a charity auction and therefore were reluctant to push further in an effort to keep the charity out of an unpleasant situation for us.

Overpriced excursions: The snorkeling and dive excursions as well as island tours were priced at least 20-30% higher than comparable offerings elsewhere.

Poor communication: the resort offers shuttle boat transfer from the mainland, and while we understand that weather conditions dictate where they dock, communicating this to the guests is essential. We were initially told to assemble at a resort on the mainland for our transfer to the island and arrived there to be told that because of the weather the transfer skiff would dock about 30-40 minutes away. This was fine and we were transferred to the other dock without incident. On our return, the weather was perfect and we assumed that we would be returned to our original docking point on the mainland. We therefore made arrangements with a driver to pick up at the mainland resort and transfer us to the international airport in Belize city which was a 2 hour drive away. We checked with the staff at the island regarding the times of departure , arrival at the dock and whether we would have adequate time for the land transfer etc and were assured everything was fine. Imagine our surprise, therefore, when the return skiff docked not at the mainland resort but at the alternative dock and our driver was now 30-40 minutes away waiting for us. We asked to be driven to the mainland resort and were accommodated, but a little more communication that morning would have led to less stress and worry not to mention the driver wondering what had happened. Its important that when plans change, the resort informs its guests ahead of time, although we could not understand why the skiff could not dock at the original location as the weather was excellent.

This resort prides itself as being of the "" casual luxury/barefoot elegant” variety. Based on our experience, it is neither luxurious nor elegant. We have stayed at a number of such resorts all over the world and this resort at best is a poor imitator. I take no pride in this poor review, but, it is my hope that management takes these issues seriously.",December 2018,"Thatch Caye, a Muy'Ono Resort",https://www.tripadvisor.com/Hotel_Review-g5921325-d1015315-Reviews-Thatch_Caye_a_Muy_Ono_Resort-Coco_Plum_Cay_Belize_Cayes.html,"Coco Plum Cay, Belize",hotels,2.0,4.5
