title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great restaurant,"During our 2 weeks in Croatia we came to this place 2 times.Location is great,not to far from Riva but far enough from big crowds and noise. Considering Covid-19 situation,very easy to get a table outside and with the distance(remember Split could be very busy).Food was great,first time we had grill meats plata for 2 and risotto with shrimps, delicious .Service a bit slow but still it was worth a wait.Price was good considering quality and variety (all Split restaurants around Riva/center are overpriced)",September 2020,Trattoria Tinel,https://www.tripadvisor.com/Restaurant_Review-g295370-d3420083-Reviews-Trattoria_Tinel-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",restaurants,4.0,4.0
Great service,"Our ferry service from Hvar to Split was excellent. It was the last one to Split that evening.Krilo Ferry had more time choices then Jadrolinija even though ,we took Jadrolinija from Split to Hvar.Very simple and easy booking on line.For both of these ferry companies you need to be careful when in Split to really check where does the boat depart as it could be confusing (even if you speak Croatian :).Its good to know the name of the catamaran and come a bit earlier .",September 2020,Krilo Ferry,https://www.tripadvisor.com/Attraction_Review-g2034431-d8744085-Reviews-Krilo_Ferry-Krilo_Jesenice_Split_Dalmatia_County_Dalmatia.html,"Krilo Jesenice, Croatia",attractions,4.0,3.5
Great takeaway,"Even though it has few tables and chairs outside,it's more takeaway place.We really wanted to eat cevapcici,so it was the best place to try original version -with lepinja,type of flat bread and ajvar).In restaurants usually you will get it with fries. Anyhow, price was right,service great,and food delicious.",August 2020,Big Bang fast food,https://www.tripadvisor.com/Restaurant_Review-g303808-d12483752-Reviews-Big_Bang_fast_food-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",restaurants,5.0,4.5
Rent boat to Pakleni islands,"Your location

Rent a Boat Mate

Šetalište put Križa 23, 21450, Excellent service from the start to the finish.Price was right , better then other places we checked but thats not why we decided to go with them.Mate and his team were very friendly and honest we felt they really whanted us to feel safe and enjoy our time( what we did!)They got as well prepared for our own excursion of Pakleni islands with 15 min lesson of how to use the boat,docking...Boats were clean and fully equipped (cooler box , ladder).Great tips of which bays to visit to swim and relaxed to avoid crowds of people and boats ...Highly recommend.

￼",August 2020,Rent a Boat Mate,https://www.tripadvisor.com/Attraction_Review-g303808-d17672636-Reviews-Rent_a_Boat_Mate-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",attractions,5.0,5.0
Apartment with best sunset view,"This apartment was one of the best apartments that we stayed in Croatia.Beautiful view from the terace ,very spacious , kitchen full with all cooking essential,10 min downhill to the Pokonji Dol beach,20 min to the town.Owners were very friendly and made us feel welcome. Definitely would like to stay there again if visiting Hvar.",August 2020,White House Hvar,https://www.tripadvisor.com/Hotel_Review-g303808-d15815321-Reviews-White_House_Hvar-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",hotels,5.0,5.0
Dinner with friends,"We enjoyed our dinner. Variety of dishes to choose,especially for our friends who wanted to try some Croatian food.Price was good considering huge portions. Kids liked pizzas(huge), dalm.pasticada was good , but the best of all was a sea bass (l think it was sea food platter).",August 2020,Alviz,https://www.tripadvisor.com/Restaurant_Review-g303808-d1535011-Reviews-Alviz-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",restaurants,4.0,4.5
Rent a boat to Pakleni islands,"Best way to explore the islands is to rent a little boat on your own ,dont need licence or any major skills to do it and its so fun.We got our little boat from Rent a Boat Mate
Excellent service from the start to the finish.Price was right , better then other places we checked but thats not why we decided to go with them.Mate and his team were very friendly and honest we felt they really wanted us to feel safe and enjoy our time( what we did!)They got as well prepared for our own excursion of Pakleni islands with 15 min lesson of how to use the boat,docking...Boats were clean and fully equipped (cooler box , ladder).Great tips of which bays to visit to swim and relaxed to avoid crowds of people and boats ...Highly recommend.",August 2020,Pakleni Islands,https://www.tripadvisor.com/Attraction_Review-g303808-d552466-Reviews-Pakleni_Islands-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",attractions,5.0,4.5
Spanjola,"Great place for the photos,view of the city Hvar and Pakleni islands.Takes some 20 min up hill but you won't be sorry as view is really amazing.We didnt go in ,as we did our little hike just after the beach and before sunset picked up some bureks and drinks and had picnic dinner.",August 2020,Tvrdava Fortica,https://www.tripadvisor.com/Attraction_Review-g303808-d552473-Reviews-Tvrdava_Fortica-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",attractions,5.0,4.5
great location,"even though my room was quite basic for 1 night it was fine.location is great as only take less then 5 min bus ride (free bus #105,111,140) from Terminal 2/3.
continental breakfast from 4 a.m.,excellent option for early departures",February 2020,ibis London Heathrow Airport Hotel,https://www.tripadvisor.com/Hotel_Review-g191260-d193683-Reviews-Ibis_London_Heathrow_Airport_Hotel-Hayes_Greater_London_England.html,"Hayes, United Kingdom",hotels,4.0,3.5
museum,"we did morning visit to museum followed by the evening tour to the Acropolis. Definitely helped to understand and enjoy our visit to Acropolis as we already had some fact that we ""learned'in museum.For young kids (,up to 12)museum has fun interactive ""game"" to make visit more fun(even for adults as it is too many info and facts to take in )",October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
