title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Come here for steaks.,"We ordered a ribeye steak each, shoe string potatoes, creamed spinach, a salad, one blood sausage (for me to sample), a bottle of Malbec and a dessert. The salad was fresh, crisp and delicious, blood sausage was not what I expected, the shoe string potatoes were perfect in size and well fried, creamed spinach was delicious (not too creamy) and the ribeye steaks were superbly done medium. Our food and the Malbec recommended by our waiter paired well. For dessert we shared ice cream with dulce de leche, which was a great end to our meal. Despite the fact that we did not speak any Spanish and our waiter spoke very little English, the service was very good. I recommend this restaurant for Argentinian steaks. We thought the cost of our meal was reasonable.",January 2020,El Mirasol de La Recova,https://www.tripadvisor.com/Restaurant_Review-g312741-d812595-Reviews-El_Mirasol_de_La_Recova-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,4.0,4.5
Beautiful natural landscape,"This is the first of our tour of the Du Pont properties. It is by far the best. There was an exhibit of clothes from ""The Crown"" series there on our visit. The mansion is interesting but the gardens are well planned and there is a trolley that will drive you to parts of it. Highly recommend Winterthur.",June 2019,"Winterthur Museum, Garden & Library",https://www.tripadvisor.com/Attraction_Review-g34060-d138300-Reviews-Winterthur_Museum_Garden_Library-Winterthur_Delaware.html,"Winterthur, Delaware",attractions,4.0,4.5
Terrible service!,"My husband and I went to Bank's because it was recommended to us. His clam chowder had lots of potatoes and hardly any clams. When we asked our server about it, his reply was ""that's the way it is"". My husband ordered a white wine and that was not served until after our entrees were served by another waiter. He asked the second waiter about his white wine but the second waiter simply ignored us and walked away.
After speaking to the manager about the appalling service, she apologised but never return to see how our meal was. It was bad dining experience for us. I do not recommend this restaurant. Go to Bardea, on 620 N Market St, instead.",June 2019,Banks' Seafood Kitchen,https://www.tripadvisor.com/Restaurant_Review-g34059-d14070040-Reviews-Banks_Seafood_Kitchen-Wilmington_Delaware.html,"Wilmington, Delaware",restaurants,1.0,4.0
Fresh ramen and more.,The ribs are well seasoned and fell off the bone. Ramen was fresh and the broth tasty. The Charred Snap Peas with the kimchi was pleasantly different. Our favourite was the whole Dover Sole - cooked to perfection with just the right types of dipping sauce.,June 2019,Momofuku Noodle Bar,https://www.tripadvisor.com/Restaurant_Review-g48236-d16673280-Reviews-Momofuku_Noodle_Bar-New_City_New_York.html,"New City, New York",restaurants,4.0,4.5
"Ambiance, Tasty food and Great service","This was our first visit to this restaurant. My husband's steak was more rare than he liked. Shane, the manager, came to our table to ask how we were and my husband told him about his steak. Immediately Shane asked if he wanted a new steak and salad. He asked for his steak to be cooked a little more and new salad. That was served 5 minutes later. Our hanger steaks were well seasoned and our salads were very fresh. At different times, both Shane and Tony (our waiter) came over to inquired about our steaks. Before we asked for the bill, Shane surprised us by placing their signature dessert (salted caramel cheesecake with a dollop of vanilla ice cream) on our table. That was delicious. Service with a smile was what Tony gave us. We enjoyed our meal and will return again.",June 2019,Parker & Quinn,https://www.tripadvisor.com/Restaurant_Review-g60763-d4331649-Reviews-Parker_Quinn-New_York_City_New_York.html,"New York City, New York",restaurants,4.0,4.0
Well prepared food with good service,"The cabbage roil with sauerkraut were absolutely mouthwatering and paired well together. The sauerkraut was well cooked and seasoned. Goulash was good too. Their polenta was rich and tasty. If you like cabbage roll and sauerkraut, you need to dine here. .",May 2019,La Mama Ateneu,https://www.tripadvisor.com/Restaurant_Review-g294458-d799970-Reviews-La_Mama_Ateneu-Bucharest.html,"Bucharest, Romania",restaurants,4.0,3.5
Sanctuary for the sandhill cranes in a non-profit organisation,"It was our first time to see the sandhill cranes migration in Kearney, NE. Rowe Sanctuary is a lovely place to visit. We highly recommend that you view the sandhill cranes in the blinds here. It gave us a spectacular view of these magnificent birds. There are more volunteers than full time staff here. The gift shop has interesting items and are reasonably priced. All profit goes back to Rowe Sanctuary, which is a non-profit entity. We highly recommend a visit here and plan to return in the near future.",March 2019,Audubon Rowe Sanctuary,https://www.tripadvisor.com/Attraction_Review-g45584-d263763-Reviews-Audubon_Rowe_Sanctuary-Gibbon_Nebraska.html,"Gibbon, Nebraska",attractions,4.0,5.0
Spectacular!,"The symmetry of this vast complex with the Taj Mahal in the centre is amazing. Taj Mahal with its history is definitely a ""must see"". No sharp objects are allowed - pens, penknives, nail files, pins, etc. - into the compound. It is crowded but definitely worth a visit.",February 2019,Taj Mahal,https://www.tripadvisor.com/Attraction_Review-g297683-d317329-Reviews-Taj_Mahal-Agra_Agra_District_Uttar_Pradesh.html,"Agra, India",attractions,4.0,5.0
Majestic Greek ancient citadel,"The Acropolis with the Parthenon, the Erechtheion, and the Temple of Athena Nike is a sight to behold. These architectural marvels were constructed between 460-430 BC. Just imagine that! It was worth climbing the steps, enduring the heat and jostling with lots of people to see these stunning structures. From there you get a panoramic view of modern Athens. Wear walking shoes as the ground is uneven, sunscreen and a hat. Bring water to keep hydrated.",September 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Delicious almond cookies, ginger cookies and varieties of peanut candy","Koi Kei Bakery is famous in Macau and Hong Kong for their peanut candies. I have been a fan of their almond cookies for years. But it was on my first trip to Macau this May that I discovered their ginger cookies. They give you small samples of their cookies and candies to taste. If not for the fact that I lack space in my suitcase, I would have purchased more goodies from them. There is a big variety of cookies, candies and snacks available. Visit one of their outlets and savour these delicious snacks for yourself.",May 2018,Koi Kei Bakery- Rua S. Paulo,https://www.tripadvisor.com/Restaurant_Review-g664891-d2159412-Reviews-Koi_Kei_Bakery_Rua_S_Paulo-Macau.html,"Macau, China",restaurants,4.0,4.0
