title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lunch,"Had a lovely lunch woodland salad was delicious.
with friendly service
My sister had the duck sandwich.",July 2019,BYTE a modern bistro,https://www.tripadvisor.com/Restaurant_Review-g34178-d5522576-Reviews-BYTE_a_modern_bistro-DeLand_Florida.html,"DeLand, Florida",restaurants,5.0,4.0
Stetson mansion,"Wow what a wonderful job on renovations !
The tour was wonderful Cindy and JoAnn, . These ladies are awesome and full of energy and entertaining with a wealth of information about family and the mansion .
JT and Michael your vision and decorating of the mansion was outstanding .
Looking forward to another project you both might be doing in future to add to my tours .
Thanks for a great outing I enjoyed this with tour my sister .",July 2019,Stetson Mansion,https://www.tripadvisor.com/Attraction_Review-g34178-d2355042-Reviews-Stetson_Mansion-DeLand_Florida.html,"DeLand, Florida",attractions,5.0,5.0
Nan Lian Gardens,Great spot in the city yet you want to get out of the hustle bustle of the big city . Nice quiet and tranquil .,September 2018,Nan Lian Garden,https://www.tripadvisor.com/Attraction_Review-g294217-d1645928-Reviews-Nan_Lian_Garden-Hong_Kong.html,"Hong Kong, China",attractions,5.0,4.5
Excellent food and staff,"Had a great Steak with mushroom sauce .
Staff was amazing as was the company I was with .
I would definitely go back .its a small place but I do recommend it .",August 2018,El Desnivel,https://www.tripadvisor.com/Restaurant_Review-g312741-d1066258-Reviews-El_Desnivel-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.0
Cocktail hour !,Very nice place for cocktails before dinner or after . Great view of Acropolis lite up at night ! Definite Photo opp .,July 2018,A for Athens Breakfast Lounge,https://www.tripadvisor.com/Restaurant_Review-g189400-d3773993-Reviews-A_for_Athens_Breakfast_Lounge-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Wow,"It’s been years since I’ve been to Acropolis but they are doing a great job on restoring it .
You can make a full day of walking around the area .",July 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
High tea!,"Had hight tea and champagne with my sister !
This is our favorite store to visit anytime we’re in London!
Love the architect of the building inside and out :",July 2018,Liberty London,https://www.tripadvisor.com/Attraction_Review-g186338-d522874-Reviews-Liberty_London-London_England.html,"London, United Kingdom",attractions,5.0,4.5
My favorite coffee,This is by far my favorite coffee choice in London or any country that has one . I will always chose this over other coffee places,July 2018,Costa Coffee,https://www.tripadvisor.com/Restaurant_Review-g186338-d7285458-Reviews-Costa_Coffee-London_England.html,"London, United Kingdom",restaurants,5.0,3.5
Lunch at the crypt,"Enjoy going to the Crypt for lunch on my visits to London .
Food is good enjoy the surroundings . I recommend this to friends
And family .",April 2018,Cafe in the Crypt,https://www.tripadvisor.com/Restaurant_Review-g186338-d2570383-Reviews-Cafe_in_the_Crypt-London_England.html,"London, United Kingdom",restaurants,5.0,4.0
Wonderful service and food,"Wow had a great meal and wonderful service !
Highly recommend
Wait staff was amazing ! I would definitely go back again .",August 2018,Broccolino,https://www.tripadvisor.com/Restaurant_Review-g312741-d1083992-Reviews-Broccolino-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.0
Dinner,"We had a group of 7 and everyone had a delicious meal !
I would recommend this play great steaks !
Looking forward to going again on next visit .",June 2018,Las Nazarenas,https://www.tripadvisor.com/Restaurant_Review-g312741-d1105671-Reviews-Las_Nazarenas-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.0
Cape Canaveral cruise parking,"Go Port Canaveral parking was painless and I would highly recommend .
You can book ahead online which made our vacation stress free .",September 2017,Go Port,https://www.tripadvisor.com/Attraction_Review-g34515-d11827119-Reviews-Go_Port-Orlando_Florida.html,"Orlando, Florida",attractions,5.0,4.5
Girls night out,"Loved the Place and the food was wonderful,! I highly recommend for food or just drinks great atmosphere .",June 2017,The Bank on College Green,https://www.tripadvisor.com/Restaurant_Review-g186605-d1123767-Reviews-The_Bank_on_College_Green-Dublin_County_Dublin.html,"Dublin, Ireland",restaurants,5.0,4.5
Titanic,"Great day spent at the museum ,enjoyed learning more details about the making of the ship and its fateful sailing . .
Also visited the Nomadic and learned about its history having no previous knowledge of this ship .
A must see if your visiting Belfast .",November 2015,Titanic Belfast,https://www.tripadvisor.com/Attraction_Review-g186470-d2322884-Reviews-Titanic_Belfast-Belfast_Northern_Ireland.html,"Belfast, United Kingdom",attractions,5.0,4.5
Hilton,"Comfortable hotel with a Costa coffee shop on property . The staff are very helpful with arranging tours .
The tour I book even picked up and dropped off at hotel . Also about a 20 min walk to to Tiranic Museum .",November 2015,Hilton Belfast,https://www.tripadvisor.com/Hotel_Review-g186470-d190114-Reviews-Hilton_Belfast-Belfast_Northern_Ireland.html,"Belfast, United Kingdom",hotels,5.0,4.0
Giant causeway tour,"Great tour of the Giant Causway with Derek the tour guide / driver . I would highly recommend this tour company and Derek.
I enjoyed my lunch at Bushmills distillery and the beautiful coastal drive .
All in all it was a fun and informative day . Thanks Derek for your professionalism
And bad jokes lol.",November 2015,McComb's Coach Travel,https://www.tripadvisor.com/Attraction_Review-g186470-d2212986-Reviews-McComb_s_Coach_Travel-Belfast_Northern_Ireland.html,"Belfast, United Kingdom",attractions,5.0,4.5
