title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Seriously Overrated,"We have been staying at several NYC hotels in this price range post COVID. This one has a beautiful lobby and especially the bar area (which is closed and preparing to re-open).
We got a deluxe queen room. It was very small and dark. We thought it was an error and we called the receptionist to check. No upholstered chair, just a small desk and hard chair. No move around room. No value here. Can’t compare to several competitive properties. We booked direct to get the best available rate.
Bedding was fine, bathroom was small with a small shower (no tub). It was tiled with a heated floor—a plus.
We can see the attraction fir some visitors seeking character. We will be moving on.",April 2021,The Evelyn Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99389-Reviews-The_Evelyn_Hotel-New_York_City_New_York.html,"New York City, New York",hotels,3.0,5.0
Unique Flavors. None Better,"Simply a great home made ice cream shop. Special flavors. Simple cones and cups, but the “real” customers get the complex offerings—think sundaes, etc.. Highly recommended.",April 2021,Snowflake Ice Cream Shoppe,https://www.tripadvisor.com/Restaurant_Review-g48502-d4616830-Reviews-Snowflake_Ice_Cream_Shoppe-Riverhead_Long_Island_New_York.html,"Riverhead, New York",restaurants,5.0,5.0
Locals Found Here,"Just off the Main Street. Locals clearly hang out here either at the bar, the inside tables or on the enclosed large porch area. Plenty to choose from on the menu, but it is really hard to ignore the burgers. More varieties of burgers than you can ever imagine. We tried them and they were great.",March 2021,Fellingham's Restaurant Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g48658-d449664-Reviews-Fellingham_s_Restaurant_Sports_Bar-Southampton_Long_Island_New_York.html,"Southampton, New York",restaurants,4.0,4.0
A NYC Gem,"A friendly team makes a variety of items. The paninis are great—recipes, ingredients, crusty bread. Coffee, beverages, pastries, bagels, sandwiches, etc. Mostly take out. Many “regulars” stopping in for their favorite items.",March 2021,Eat Pretty,https://www.tripadvisor.com/Restaurant_Review-g60763-d23260220-Reviews-Eat_Pretty-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,5.0
"Trendy Place, Young Crowd","An upbeat place, simply designed, good service, decent menu. A popular place for people tired of staying home. Good COVID management practices. Disappointing dessert selection.",March 2021,La Pecora Bianca,https://www.tripadvisor.com/Restaurant_Review-g60763-d8545251-Reviews-La_Pecora_Bianca-New_York_City_New_York.html,"New York City, New York",restaurants,4.0,4.0
Comfortable and Sophisticated,"Opened recently in this well planned and decorated environment. Feeling comfortable on arrival you are warmly greeted and offered a menu that is both classic and creative. The choices are first rate, the service thoughtful and attentive. The chef in the kitchen is obviously on her game and striving for even more. There is a very good wine list and bar. I am glad that I live nearby and I expect to soon raise my rating to excellent.",January 2021,Pearl Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g47827-d23070303-Reviews-Pearl_Restaurant_Bar-Greenport_North_Fork_Long_Island_New_York.html,"Greenport, New York",restaurants,4.0,4.5
Two Visits and Counting,"We visited last month with friends and last night again for a quiet dinner out. We really like the venue, both inside and out on the deck. The inside is spacious, calming and comfortable. The outside deck had vertical space heaters and those diners looked cozy. The marina views add to the vibe. Both of our servers were competent and thoughtful, especially Jay last night. We have now tried several appetizers. The beet salad with oranges is better than most. The meatballs with multiple ingredients and a special sauce and topping were gone before our main courses arrived. The shrimp with linguine was great and the striped bass (caught locally) with fennel etc was even better. We skipped dessert last night since we are aware that a couple of selections come in huge sizes. We hope that this venue stays open over the winter. Highly recommended.",October 2020,Porto Bello,https://www.tripadvisor.com/Restaurant_Review-g47827-d543744-Reviews-Porto_Bello-Greenport_North_Fork_Long_Island_New_York.html,"Greenport, New York",restaurants,5.0,4.0
Better Than Most,"The first time I called for takeout they politely said they had more orders than they could bake for the rest of the evening. Really? Now I know why. The pizza is great. Thin crust, high on quality ingredients and flavor. Friendly service. Really great pizza. Sorry that only the take out window was open.",May 2020,1943 Pizza Bar,https://www.tripadvisor.com/Restaurant_Review-g47827-d6856476-Reviews-1943_Pizza_Bar-Greenport_North_Fork_Long_Island_New_York.html,"Greenport, New York",restaurants,5.0,4.5
Takeout Pizza Time,"Times are right for takeout food. Our first try here got us a Margarita Pizza. We are looking forward to sampling the full menu. Meanwhile, this is a very good pizza. Friendly people and an opportunity to sample more in the future.",March 2020,La Capricciosa Pizza,https://www.tripadvisor.com/Restaurant_Review-g47827-d448911-Reviews-La_Capricciosa_Pizza-Greenport_North_Fork_Long_Island_New_York.html,"Greenport, New York",restaurants,4.0,4.5
Always Seems Crowded for a Reason,"We finally had a chance to have dinner here. It was lots of fun. We got a good welcome and a quick table even though there was a crowd. There are plenty of drinks to choose from, but we settled for beers. The menu is first rate. We started with a triple header—-salsa, cheese and guacamole with chips. This is a great combo. We then had several different tacos—offered in hard or soft shell. One was more tasty than the next. The food is very good, the prices are decent and the crowd validates the ratings. A fun place.",March 2020,Lucharito's,https://www.tripadvisor.com/Restaurant_Review-g47827-d3831148-Reviews-Lucharito_s-Greenport_North_Fork_Long_Island_New_York.html,"Greenport, New York",restaurants,5.0,4.5
