title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Sunday roast on the doorstep...literally,"Ordered 2 Sunday roasts, delivered to the door, only phoned on Sunday morning, very helpful, great value at 7.50 each, no delivery charge, we live about 3 miles away. Delivered in agreed time window, a choice of beef or gammon, came with veg, roast potatos, Yorkshire pudding and gravy in a separate pot. Will order again.",January 2021,Winterbourne Arms 2019,https://www.tripadvisor.com/Restaurant_Review-g19114312-d7649651-Reviews-Winterbourne_Arms_2019-Winterbourne_Dauntsey_Winterbourne_Wiltshire_England.html,"Winterbourne Dauntsey, United Kingdom",restaurants,5.0,4.0
Quietly attractive village.,"Like most other reviews it's hard not to find the quaint feeling of this village somewhat nostalgic with a glimpse into the past. However it is just a short visit. We parked in the free car park and walked down the reasonably steep hill, note no footpath, and through the centre to the river and back, takes less than hour unless you visit a cafe or pub. Worth a quick stop once though.",September 2020,Castle Combe Village,https://www.tripadvisor.com/Attraction_Review-g528765-d566530-Reviews-Castle_Combe_Village-Castle_Combe_Cotswolds_England.html,"Castle Combe, United Kingdom",attractions,4.0,4.5
Enjoyable spa experience,Only reason 4 stars because unfortunately due to Covid some areas were not open but the main pool was lovely and great that we could swim from inside to outside.,September 2020,Aquarias Spa,https://www.tripadvisor.com/Attraction_Review-g528768-d559574-Reviews-Aquarias_Spa-Easton_Grey_Malmesbury_Cotswolds_England.html,"Easton Grey, United Kingdom",attractions,4.0,4.5
Fabulous dining experience,"Enjoyed a taster menu, all courses were a delight, many interesting combination of flavours, a real treat.",September 2020,The Dining Room at Whatley Manor,https://www.tripadvisor.com/Restaurant_Review-g528768-d733178-Reviews-The_Dining_Room_at_Whatley_Manor-Easton_Grey_Malmesbury_Cotswolds_England.html,"Easton Grey, United Kingdom",restaurants,5.0,4.5
"Everything a hotel should be, a modern vintage","We were very fortunate to stay for a night and have a taster menu in the evening. We hired a classic car for 24 hours, an Alfa Spider from Vintage Classics in Melksham, and the whole experience was perfect. The room was stunning, overlooking the entrance courtyard, he grounds were beautiful and the spa delightful. After a walk and a swim came dinner. There were 10 of us, split 6 and 4 and the constant innovative stream of mini courses was a delight to the taste buds. Finished off with a whisky in the bar at midnight. Would highly recommend.",September 2020,Whatley Manor,https://www.tripadvisor.com/Hotel_Review-g528768-d14876775-Reviews-Whatley_Manor-Easton_Grey_Malmesbury_Cotswolds_England.html,"Easton Grey, United Kingdom",hotels,5.0,5.0
Enjoyable first visit,"Had lunch here on a Friday, booked online a few days before our visit. Made welcome, social distancing well handled, the room we ate in had a lovely stone fireplace, the garden looked lovely too. We had 4 small plates each, 4 for £15 and this was ideal for lunch, a tasty variety of food. Will go again.",September 2020,Sign of the Angel,https://www.tripadvisor.com/Restaurant_Review-g315994-d2070813-Reviews-Sign_of_the_Angel-Lacock_Wiltshire_England.html,"Lacock, United Kingdom",restaurants,4.0,4.5
Amazing Alfa fun,"Hired an 1972 Alfa Spider for 24 hours from Friday midday to Saturday midday to stay at Whatley Manor. From my initial enquiry to the final wave goodbye the experience was exceptional. All the paperwork stuff is clearly explained, social distancing was well handled and didn't affect the enjoyment. Videos about the experience and the car in advance where very use. It was a professional experience but also a personal one as well, you really felt how they cared for the cars and know so much about them.
The car itself was great fun to drive, old school, choke, heavy stearing and soft brakes, low to the road real driving. We were lucky with weather to be able to have the top down.
Would highly recommend, hopefully we can hire again sometime.",September 2020,Vintage Classics,https://www.tripadvisor.com/Attraction_Review-g528775-d6380061-Reviews-Vintage_Classics-Melksham_Wiltshire_England.html,"Melksham, United Kingdom",attractions,5.0,5.0
Complete post lockdown fail,"So disappointed, having stayed here before and really enjoyed.
Fully aware of the current lockdown rules, pity the Hilton isn't. For such a massive chain with a once great reputation the messages were unclear, uninforced and ill conceived.
In and out but no one way. Masks in some areas, not in the bar right next to reception, staff unfriendly, no explanations all they wanted was to charge from parking, not on the website, apparently management decision.
Room was okay but corridors unclean, lining strewn about. Minimal breakfast options, pool closed, wouldn't even bring a coffee to the room, reluctant to bring ice. Post lockdown it seems the so called poorly treated travel industry has forgotten service, experience and value, I will support and independent next time who probably has been offered a fat government handout.
If this is what The Hilton believes is acceptable now then they should just close there doors and give up.",August 2020,DoubleTree by Hilton Bristol North,https://www.tripadvisor.com/Hotel_Review-g1217951-d192933-Reviews-DoubleTree_by_Hilton_Bristol_North-Bradley_Stoke_Gloucestershire_England.html,"Bradley Stoke, United Kingdom",hotels,1.0,3.5
"Lovely beach, overcrowded","Parking needs contactless, so many people trying to get a signal to pay by app, £10 for the day, which is fine but who has that in coins?
Lovely beach but poor social distancing measures, also whilst it's good to have so many activities they swamp the beach.
Toilets clean but again social distancing not really managed, nobody in attendance to supervise. Covid 19 kills, I think people forget that, both organisers after money and visitors who are thoughtless or forgetful.",August 2020,Knoll Beach,https://www.tripadvisor.com/Restaurant_Review-g551718-d10735839-Reviews-Knoll_Beach-Studland_Swanage_Isle_of_Purbeck_Dorset_England.html,"Studland, United Kingdom",restaurants,3.0,4.0
Beautiful stop with reasonable access,"My first walk from Knoll beach to Old Harry, which is mad since I have been to the area many times. Car park at Knoll beach needs contact less facility, as its cash or pay by app. The walk is fairly easy, the views spectacular, be aware of the edges with young children and dogs, kept our on a lead, plenty of grass area for a picnic, will be back.",August 2020,Studland beach and Nature Reserve,https://www.tripadvisor.com/Attraction_Review-g551718-d2165496-Reviews-Studland_beach_and_Nature_Reserve-Studland_Swanage_Isle_of_Purbeck_Dorset_England.html,"Studland, United Kingdom",attractions,5.0,4.5
