title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wonderful Stay,"We came to Meeru to celebrate our 10th anniversary. The welcoming, the service, the location, the food, the smiles.... all was beyond our expectations.
It was a trip of a lifetime, we were sorry that we didn't have a few more days to enjoy the island.",December 2019,Meeru Island Resort And Spa,https://www.tripadvisor.com/Hotel_Review-g4171801-d316973-Reviews-Meeru_Island_Resort_And_Spa-Meerufenfushi.html,Meerufenfushi,hotels,5.0,4.5
Quiet Elegance,"A burst of taste with every bite, and we sampled quite a bit. The Endive salad as well as the citrus salad were very refreshing, while the Butternut Sage soup was comforting and meditative. Had I not felt like a glutton, I would have ordered a second one. The scallops were cooked to perfection and the salmon was superb.
This is a place to take your love, or to treat a close friend during a special occasion.",January 2019,Madison's Grill,https://www.tripadvisor.com/Restaurant_Review-g154914-d706496-Reviews-Madison_s_Grill-Edmonton_Alberta.html,"Edmonton, Canada",restaurants,5.0,4.5
Good place to get lost,"You may know where you are heading, but you will soon find out that you have taken a turn and ended up somewhere completely different. This maze of shops, colors, sights and smells is simply amazing. The gold souq will lure you, but be sure to try and haggle for a better price, just as you would in the fabric shops. There is something for everyone at Mutrah. A great place to get all your souvenirs in one spot.",December 2018,Mutrah Souq,https://www.tripadvisor.com/Attraction_Review-g294007-d502259-Reviews-Mutrah_Souq-Muscat_Governorate.html,"Muscat Governorate, Oman",attractions,5.0,4.0
Eat like a Sultan,"From outside, the place doesn't look that appealing, but as one steps inside, one is aware that a new culinary experience will be experienced.

The decor is inviting. The service is top notch. The food is authentic.
You start off the meal with a refreshing glass of frankincense water. This drink set the tone for the rest of the meal.
Among the choices on the menu, one can find seafood, for the pescatarian, a tasty Okra dish for the vegetarian and good old skewers (mishkaks), for those who enjoy chicken and beef.
The dessert and the coffee are a great way to end the meal, especially if one is lucky enough to get a seat on the balcony facing the water and the yachts.
A few steps away is the old souk, where one can walk off the feast while getting lost in the maze of shops.
If you are in Muscat, stop by for the unique experience.",November 2017,Bait Al Luban Omani Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1940497-d7841569-Reviews-Bait_Al_Luban_Omani_Restaurant-Muscat_Muscat_Governorate.html,"Muscat, Oman",restaurants,5.0,4.5
"Savory, Sweets and Sunset","We sat on the couch facing the sea and ordered our drinks while waiting for the food to arrive. Our meals arrived, a Thai dish and an Italian pasta. Both delicious and satisfying. The cold bottle of Prosecco and desserts- millefeuille for me, and cheesecake for him, only added to the lovely sunset.

Yes it was pricey, but well worth the cost.",July 2018,Flisvos Sportclub,https://www.tripadvisor.com/Attraction_Review-g189431-d6706745-Reviews-Flisvos_Sportclub-Naxos_Cyclades_South_Aegean.html,"Naxos, Greece",attractions,5.0,4.5
A Memorable Weekend,"We chose Al Haush to celebrate my father's birthday. It was a decision I will never regret. The serenity of the location, the attention the guests receive are thoughtful, right down to the minutest detail.
We enjoyed the the comfort of the rooms, the organic food right from the garden, the walking paths, the discreet nooks and sitting areas, the fresh pool. We slumbered on very comfortable beds and air conditioned rooms, then had a full breakfast on the terrace. If we got hungry before lunch or supper we helped ourselves to the apples and plums ripening on the fruit trees that provide shade for those lounging around the pool.
We spend two nights, but a guest may easily spend three or four nights, becoming one with nature, learning how to make various preserves on site, meditating or simply ... being.
What a lovely way to celebrate my father's 86th and enjoying the company of my siblings who live in various places around the world! What a wonderful place to reaffirm the beauty of Lebanon, and its unlimited possibilities... and dream.",August 2018,Al Haush Agritourism,https://www.tripadvisor.com/Hotel_Review-g23085034-d13970685-Reviews-Al_Haush_Agritourism-Houch_El_Ghanam_Bekaa_Governorate.html,"Houch El Ghanam, Lebanon",hotels,5.0,5.0
Lovely cruise,"The full day cruise gave us a chance to visit a few different islands and to soak in their uniqueness. Each ha its own charm, each had its own beauty.
The meal provided on the cruise itself is somewhat disappointing and tasteless. That can be improved as well as booking less people of the boat so that those who are traveling enjoy the experience without feeling overcrowded.",July 2018,Full Day Cruise to Greek Islands from Athens: Poros - Hydra - Aegina,https://www.tripadvisor.com/AttractionProductReview-g3695532-d13857583-Full_Day_Cruise_to_Greek_Islands_from_Athens_Poros_Hydra_Aegina-Paleo_Faliro_Atti.html,"Paleo Faliro, Greece",activities,4.0,3.5
Memorable,"The site is well organized, and the view from the top is magnificent. It's a good climb, but well worth the trouble.
Unfortunately, the cafe/kiosk ran out of bottled water and the only drinks available were juices and slushies, which in turn were not allowed on the site itself, so we had to drink up ours really fast before being allowed onto the premises. Make sure you take your own water bottles with you.",July 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A whole new world,"What a lovely day! We were picked up on time by our Captain, Fahed. He explained the trip before we left and one could see his passion for his job, his country and the environment.
Fahed took us 40 minutes off shore and helped us discover a world only visible through snorkeling goggles... but what a world! Fish of indescribable colors, giant, untouched corals where thousands of marine life can be found. Turquoise water and beautiful bays that mesmerize. Fahed made our trip even more special with his sense of humor and kindness. He had fruits, cookies, sandwiches and juices to keep us going in between dives.
We have decided to go again in two weeks time. Yes, that's how much we enjoyed the day and the sights.",April 2018,Daymaniat Shells,https://www.tripadvisor.com/Attraction_Review-g1940497-d9867143-Reviews-Daymaniat_Shells-Muscat_Muscat_Governorate.html,"Muscat, Oman",attractions,5.0,5.0
Excellent Pizza,"The place is small. the tables are extremely close to one another. One is rubbing shoulders with other patrons, as one does in most of Paris' eating establishments. But that is okay, in fact that is part of the charm of Pizza Di Gio. There are only two servers, but the cooks are on an upper floor and a dumb waiter delivers the food to the dining area.
Di Gio is owned by M. Gio, an Italian accented man who serves a most remarkable thin crust pizza, salads and pasta.
In the 7 days we stayed in that part of Paris, we visited M. Gio's establishment 3 times, with the third being on our very last day before leaving Paris. At first I was very much focused on consuming my Pizza Classica.But as I realized that I had only a few bites left, I decided to close my eyes and focus on the medley taking place in my mouth; the crust, the pruscito, the mushrooms, the cheese.
All that went down perfectly with half a carafe of red wine that I shared with my husband. I refused to eat anything else for a while after that so as not to lose the taste of that last morsel of fresh mushrooms and unpretentious sauce.",April 2018,Pizza Di Gio,https://www.tripadvisor.com/Restaurant_Review-g187147-d4462696-Reviews-Pizza_Di_Gio-Paris_Ile_de_France.html,"Paris, France",restaurants,5.0,4.5
