title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Absolutely Wonderful!!!!,"This tour was fantastic! I knew I wanted to see a flamenco show during my visit to Spain, but I needed to understand it better in order to truly appreciate it. This tour was exactly what I needed. Plus, learning about the different nuances with the food and the tapas process proved to be a huge benefit later during our 2-week trip around Andalusia.

Our guide, Elena, was fantastic! She was extremely welcoming, personable, and she knew what she was talking about! By the end of night, all of us in the group were friends, even if only for that one evening. We had a great time while learning more than I ever expected.

Elena also gave us advice on places to eat in the various cities and towns we would be visiting during the rest of our trip (none of those cities had Devour Tours), and her suggestions were the best meals we had in Spain.

This tour was worth every penny, especially when you realize how much you eat and drink along the way, and of course the tickets to the show. I highly recommend it!",June 2019,Seville Tapas & Flamenco Tour,https://www.tripadvisor.com/AttractionProductReview-g187443-d12224968-Seville_Tapas_Flamenco_Tour-Seville_Province_of_Seville_Andalucia.html,"Seville, Spain",activities,5.0,5.0
You have to here if you go to Seville,"Obviously, anyone visiting Seville will tour this site. It's a beautiful palace with amazing fountains and gardens. Alcazars in Andalusia like this one are different from the rest of Europe because of the tile work, architecture, painting design, and lack of over-the-top ornate gold decoration. It's not the same old thing you've seen in other parts of Europe.

Also, the gardens were great. There was a great maze made of hedges and peacocks everywhere.",June 2019,Real Alcazar de Sevilla,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-Real_Alcazar_de_Sevilla-Seville_Province_of_Seville_Andalucia.html,"Seville, Spain",attractions,5.0,4.5
Nice cathedral,"Beautiful and ornate. Probably one of the better cathedrals in Europe. Christopher Columbus' tomb is the highlight historically, and I'm glad I got to see it. The high alter was the highlight from a viewer's standpoint. Get your tickets ahead of time.",June 2019,Catedral de Sevilla,https://www.tripadvisor.com/Attraction_Review-g187443-d191137-Reviews-Catedral_de_Sevilla-Seville_Province_of_Seville_Andalucia.html,"Seville, Spain",attractions,5.0,4.5
Excellent!,"This was better than the Acropolis itself. It's right across the street from the Acropolis. Historians took all the statues and sculptures from the Parthenon & other temples on the Acropolis and put them in this museum to protect them. It's very informative, organized, and well done.

We went in late July (peak season). We got there about 10:00 or so and had no wait. But as we left about 1 to 1.5 hours later, there was a huge line. So go early.",July 2018,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
You have to see it,"Go a few minutes before 8am to get in line for tickets. If you already have tickets, there is no line to enter at 8am. By 9 or 9:30, the line is huge. Entrance is on the west side of the Acropolis. There's a little place that serves orange juice, snacks, and beer while you're waiting. The orange juice is freshly squeezed just like everywhere else in Greece. It hits the spot at 7:45 in the morning. But if you prefer to start off with a beer, go right ahead!",July 2018,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Of course you have to go!,"Go a few minutes before 8am to get in line for tickets. If you already have tickets, there is no line to enter at 8am. By 9 or 9:30, the line is huge. Entrance is on the west side of the Acropolis. There's a little place that serves orange juice, snacks, and beer while you're waiting. The orange juice is freshly squeezed just like everywhere else in Greece. It hits the spot at 7:45 in the morning. But if you prefer to start off with a beer, go right ahead!",July 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
It's part of the Acropolis,"It's just 20 steps away from the Parthenon on the Acropolis. Get to the Acropolis a few minutes before 8am to get in line for tickets. If you already have tickets, there is no line to enter at 8am. By 9 or 9:30, the line is huge. Entrance is on the west side of the Acropolis. There's a little place that serves orange juice, snacks, and beer while you're waiting. The orange juice is freshly squeezed just like everywhere else in Greece. It hits the spot at 7:45 in the morning. But if you prefer to start off with a beer, go right ahead!",July 2018,Erechtheion,https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Spend 10 minutes and then head to the Ancient Agora,"Not much to see here. If you bought the combo ticket, you might as well go in it, but it's not worth more than about 10 minutes. It's pretty low on the list of interesting things to see in Athens.",July 2018,Roman Agora,https://www.tripadvisor.com/Attraction_Review-g189400-d242841-Reviews-Roman_Agora-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.0
OK I guess,You just walk by and look at it on your way to the Temple of Zeus. It literally takes 1 minute and is free. I barely even noticed it.,July 2018,Arch of Hadrian (Pili tou Adrianou),https://www.tripadvisor.com/Attraction_Review-g189400-d242820-Reviews-Arch_of_Hadrian_Pili_tou_Adrianou-Athens_Attica.html,"Athens, Greece",attractions,2.0,4.0
Very cool place,"Really cool temple. It's really huge! It has a few signs posted explaining what it is. It has a few trees for shade, but it's mostly very sunny and hot during the summer. Only takes about 15 minutes to walk around it, take some pics, and read everything. It's definitely worth the time.",July 2018,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
Part of the Ancient Agora. Excellent little museum and offers shade.,It's part of the Ancient Agora. It's the old shopping mall/market of the Agora. Lots of statues & sculptures. Shaded. Cool little museum of things they found in the Ancient Agora.,July 2018,Stoa of Attalos,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
