title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"sushi good (not great), take outs served before table guests","Disappointing. We were there on a reservation for a birthday dinner, party of 6. Appetizers were served quickly. Tempura veggies were bland, as was dipping broth served with them. Sushi was good but far from the best I've had. Staff seemed very disorganized. It took a ridiculously long time to get our sushi. After the third person in our group asked about the delay we were advised they had ""a lot of take out orders"". I would think the guests who are actually IN your restaurant would be your priority. Also they did nothing to recognize the birthday.",December 2019,Domo Sushi,https://www.tripadvisor.com/Restaurant_Review-g51048-d5990419-Reviews-Domo_Sushi-Toledo_Ohio.html,"Toledo, Ohio",restaurants,3.0,4.0
exceptional meal!,I only wish we had found this spot earlier in our trip so we could try ALL of their dishes! Staff was so welcoming and attentive! Beautiful spot on the beach!,September 2019,The Five Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189415-d17848422-Reviews-The_Five_Restaurant-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,5.0
fresh and delicious!,One of the best meals we had in Greece! Staff is very welcoming! Ginger mojito is a must-try! Lovely and quiet location for lunch!,September 2019,Ginger Concept,https://www.tripadvisor.com/Restaurant_Review-g189415-d12537811-Reviews-Ginger_Concept-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
good food and drink,This spot was close to our Airbnb and we liked the neighborhood feel. Food was very good although more pricey than many similar meals we had. Our mixed drinks house cocktails whose names I cannot recall- one alcoholic and one not- were most excellent!,September 2019,Frankie,https://www.tripadvisor.com/Restaurant_Review-g189400-d13282632-Reviews-Frankie-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
hidden gem!,"This building is gorgeous and the collection is outstanding! Lovely, cool respite from the touristy street!",September 2019,Archaeological Museum of Chania,https://www.tripadvisor.com/Attraction_Review-g189415-d2514979-Reviews-Archaeological_Museum_of_Chania-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.0
beautiful spot,Lovely during the day and enchanting at night! Shops and restaurants right on the harbor are quite touristy; we found the best meals a few blocks back.,September 2019,Old Venetian Harbor,https://www.tripadvisor.com/Attraction_Review-g189415-d3502361-Reviews-Old_Venetian_Harbor-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.5
bad food and service,"Not sure where all of these good reviews are coming from! We ate our most expensive and worst tasting meal here. Almost everything on their grilled seafood platter was flavorless and oddly textured. The wait staff never stopped back to ask how the food was, which would have been obvious to a good waiter after seeing how much food we left on the platter. It's in a beautiful spot on the harbor, but DON'T waste your money here!",September 2019,Plateia,https://www.tripadvisor.com/Restaurant_Review-g189415-d4274223-Reviews-Plateia-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,1.0,4.5
Sunset cruise,"My sister and I enjoyed the relaxed sunset cruise. Raki and fruit were a nice treat and all of the staff we encountered were very friendly. Beautiful spot to enjoy and photograph the sunset, and lovely to see the harbor all lit up on our journey back to the dock. One large concern tho - when I asked where the life jackets were located, well into the cruise, the response I received was ""why, are you afraid?"". I realize that this was a short cruise just into the harbor, but I have NEVER been on any type of boating activity during which the crew didn't give at least a brief safety presentation.Also, never saw a life jacket!",September 2019,Manoscruises - Ferryman Boat,https://www.tripadvisor.com/Attraction_Review-g189415-d17591765-Reviews-Manoscruises_Ferryman_Boat-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,4.0,5.0
Delicious and inexpensive,"We had a great meal here! Good service, open kitchen so fun to watch them cooking, nice relaxed and comfortable atmosphere. Had chickpea quinoa salad, chicken tikka, roti, and one beer for 20 euros. More than enough delicious food for the 2 of us!",September 2019,BabaJi Indian Food,https://www.tripadvisor.com/Restaurant_Review-g189400-d10700222-Reviews-BabaJi_Indian_Food-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Unplanned delight,"On the way to the Amalia hotel pickup for a different 2 day tour my sister's passport was stolen on the metro. We are so grateful to Chat tours for rescheduling us for this tour later that day, and another to Delphi the next day! And for their assistance in obtaining a new passport. This tour was well organized, Dora our guide was lovely. We enjoyed the scenic drive along the coast and the beautifully dramatic location of the temple! We felt we had just the right amount of time to explore and absorb the history! On a side note, after reading other reviews I would definitely recommend meeting any tour at the Amalia if at all possible, rather than being picked up elsewhere. Why make the pickup rounds on the bus when you can be walking around Athens seeing other sites? We found Athens to be much more compact than we thought it would be.",September 2019,Cape Sounion and Temple of Poseidon Half-Day Trip from Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d11448503-Cape_Sounion_and_Temple_of_Poseidon_Half_Day_Trip_from_Athens-Athens_Attica.html,"Athens, Greece",activities,5.0,4.0
Must see!,"I can't imagine being in Athens without going here! Spectacular site, awesome views! We arrived midmorning on 21 September; crowded but not unbearably so. It was very breezy that day and we witnessed several people losing their hats! Wear sturdy shoes with good grip- some spots can be quite slippery. Loved that we could spend as much time there as we wanted. We visited the museum the day before and definitely recommend doing so before your visit here.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Incredible! Visit before the acropolis,Beautiful museum with a great collection! Definitely recommend a visit here before touring the acropolis to obtain a good knowledge base!,September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Highlight of our trip to Greece,"On the way to the hotel pick up location for a 2 day tour my sister's passport was stolen on the metro so we had to cancel that tour. We are SO grateful to Chat tours for immediately rescheduling us on 2 other tours, including this one! And for their assistance with obtaining a new passport. Delphi is an amazing place to visit and our tour was made even better by our guide Effie. She shared her extensive knowledge clearly and with delightful wit, even during the bus ride there and back! Loved the Delphi museum visit!! We felt totally safe in the hands of our driver. Lunch was very good with large portions.This tour was definitely a highlight of our trip to Greece.",September 2019,Delphi Day Trip from Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d11448505-Delphi_Day_Trip_from_Athens-Athens_Attica.html,"Athens, Greece",activities,5.0,4.5
fun tour!,We booked this tour as part of an 85th birthday celebration. All 5 of the adults enjoyed it. It was so fun to be UNDER that bridge for once! Love that this is a family company - all of them were super nice and knowledgeable!,July 2019,Ugly Anne Boat Cruises,https://www.tripadvisor.com/Attraction_Review-g42424-d2249431-Reviews-Ugly_Anne_Boat_Cruises-Mackinaw_City_Cheboygan_County_Michigan.html,"Mackinaw City, Michigan",attractions,5.0,5.0
