title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very good and clean museum,We had a short time before they closed but it was ok. Lots of things to see and we liked it very much.,December 2019,War Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d498309-Reviews-War_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Very nice and very good restaurant,"We had a good but a long walk upp to the hill. Must were good shoes but you can also take caple car upp and down the hill.
Most wonderful spot in this area and the view, omg.
We got dinner at the restaurant and it was very good and exelant service.",December 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must go there,"We had a good but a long walk upp to Acropolis. Somewere it was very slippy so be cereful and were good shoes.
Most wonderful spot in this area and the view, omg.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Very good pizza,Very good and large pizza. Service was friendly and the place had a good and clean space. Thank you for a nice dinner.,January 2020,La Pasteria,https://www.tripadvisor.com/Restaurant_Review-g189400-d3709083-Reviews-La_Pasteria-Athens_Attica.html,"Athens, Greece",restaurants,4.0,3.5
Great staff,"We came for familydinner and most of us had the menu of the night.
The staff was very frendly and the fodd was good especially the starters and dessert.",July 2019,Da Silva's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1898634-d10062288-Reviews-Da_Silva_s_Restaurant-Ciudad_Quesada_Province_of_Alicante_Valencian_Country.html,"Ciudad Quesada, Spain",restaurants,5.0,5.0
One of our favorits,"very nice restaurant, with best view, best service and great food. We had pizza, snitchel, chicken, pasta and lots of cocktails. Vety nice for kids",July 2019,Antica Italia,https://www.tripadvisor.com/Restaurant_Review-g1898634-d2291901-Reviews-Antica_Italia-Ciudad_Quesada_Province_of_Alicante_Valencian_Country.html,"Ciudad Quesada, Spain",restaurants,5.0,4.5
Nice,"Nice ride but most of the time was standing in line, even thoug we had fast track tickets. If you want to see more we recoment The Shard where you can see from the 72th floor.",February 2019,London Eye,https://www.tripadvisor.com/Attraction_Review-g186338-d553603-Reviews-London_Eye-London_England.html,"London, United Kingdom",attractions,4.0,4.5
Sinfonia very nice and clean,"Sinfonia is very nice and clean place to sit down and have a lovely dinner.
We had, chiken fahitas, buritos, salmon and ribs.
Everything was very good and exilant service.",October 2018,Sinfonia International,https://www.tripadvisor.com/Restaurant_Review-g1064248-d13331768-Reviews-Sinfonia_International-Rojales_Costa_Blanca_Province_of_Alicante_Valencian_Coun.html,"Rojales, Spain",restaurants,5.0,4.5
Nice place,"To sit down after 18 holes át UNIK cafe is very nice. Little expensive but nice.
We eat lunch and dinner and it was very good. Service is much better now.",September 2018,unik,https://www.tripadvisor.com/Restaurant_Review-g12708498-d2373365-Reviews-Unik-Orihuela_Costa_Costa_Blanca_Province_of_Alicante_Valencian_Country.html,"Orihuela Costa, Spain",restaurants,4.0,4.0
Best golfcourse in Spain,"We was here for a week and we loved it.
Staff was very friendly and good service. The Golfcourse is the best we have visit and we will be back.
Thank you very much for everyhing.",September 2018,Las Colinas Golf & Country Club,https://www.tripadvisor.com/Attraction_Review-g7022981-d4406587-Reviews-Las_Colinas_Golf_Country_Club-Dehesa_de_Campoamor_Orihuela_Province_of_Alicante_.html,"Dehesa de Campoamor, Spain",attractions,5.0,4.5
Best sushi,"We got a very good sushi in Enso Sushibar at Las Colinas and we will be back.
Service was very good and we got mixed sushi from the chef and very good white house vine.",September 2018,Enso Sushibar,https://www.tripadvisor.com/Restaurant_Review-g12708498-d4064460-Reviews-Enso_Sushibar-Orihuela_Costa_Costa_Blanca_Province_of_Alicante_Valencian_Countr.html,"Orihuela Costa, Spain",restaurants,5.0,4.0
Very nice place,"It's a very nice and quiet place to relaxing but the pool is very cold.
Near the beach Campomore
Very good good
Vert nice staff",September 2018,Las Colinas Beach Club,https://www.tripadvisor.com/Restaurant_Review-g7022981-d3974698-Reviews-Las_Colinas_Beach_Club-Dehesa_de_Campoamor_Orihuela_Province_of_Alicante_Valenci.html,"Dehesa de Campoamor, Spain",restaurants,4.0,4.0
Very good fillet steak,"Very good fillet steak with mushroom saus and baked potato.
We loved the food, vine and service.
We will be back",April 2017,Restaurante EL Gaucho,https://www.tripadvisor.com/Restaurant_Review-g494960-d3568317-Reviews-Restaurante_EL_Gaucho-Lloret_de_Mar_Costa_Brava_Province_of_Girona_Catalonia.html,"Lloret de Mar, Spain",restaurants,5.0,4.5
