title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good refreshments,"During your stay in teh areal of thermal spa Bukfurdo you sometimes need a rest. And it is a good place for it! Good coffee, good sweets, some fast food.",August 2019,Kiss-Erős Cafe,https://www.tripadvisor.com/Restaurant_Review-g274888-d10749201-Reviews-Kiss_Eros_Cafe-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",restaurants,4.0,4.5
Good lunch inside the area of Bukfurdo,Good choice if you are hungry during your stay in Bukfurdo and do not want to go anywehre outside. Prices are not bad when we count we are just next to the pool. And the quality of dishes is perfect.,August 2019,Péter Büfé Bükfürdő,https://www.tripadvisor.com/Restaurant_Review-g274888-d9777591-Reviews-Peter_Bufe_Bukfurdo-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",restaurants,4.0,5.0
It cured my backache there,I do not believe in miracles. But some 12 years ago I went there with long term backache and I cured it there. Since then I have been going there every year for several days and I am satisfied with everything.,August 2019,Bükfürdő Health and Adventure Center,https://www.tripadvisor.com/Attraction_Review-g274888-d4702833-Reviews-Bukfurdo_Health_and_Adventure_Center-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",attractions,5.0,4.0
"Good dishes, reasonable prices","Once I had bad luck and our children got untasty pasta. On the other side, I was there 5 times later and dishes were very good.",August 2019,KesPub Restaurant,https://www.tripadvisor.com/Restaurant_Review-g274888-d10066535-Reviews-KesPub_Restaurant-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",restaurants,4.0,4.5
"Good prices, quite good dishes","There is a bit limited menu but prices are very reasonable. Unfortunately, sometimes there is possible to feel the smoke from the kitchen.",August 2019,Kiskakas Restaurant,https://www.tripadvisor.com/Restaurant_Review-g274888-d15104841-Reviews-Kiskakas_Restaurant-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",restaurants,4.0,4.0
Perfect Hungarian cuisine,"When you want to taste Hungarian cuisine for middle prices, it is the best place in Bük. You can try different national dishes, different fish, red wine...",August 2019,Fehérló Restaurant,https://www.tripadvisor.com/Restaurant_Review-g274888-d10123266-Reviews-Feherlo_Restaurant-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",restaurants,5.0,4.0
"Whenever I go to Bük, I have to eat there!","I often go to Bük to the spa. One day I discovered Feher Lo and since then I have visited it many times. The cuisine is absolutely perfect! The staff is able to speak several languages, sometimes there is also live music performance.",August 2019,Feher Lo Fogado,https://www.tripadvisor.com/Hotel_Review-g274888-d2697865-Reviews-Feher_Lo_Fogado-Buk_Vas_County_Western_Transdanubia.html,"Buk, Hungary",hotels,5.0,4.5
A small excursion to history in the centre of Athens,"If you want to spend one hour seeing ancient Greeks sights without long queues, it is the right place for you. You can catch the spirit of history and maybe later you will go to climb Akropolis!",November 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Taste of Greece in daily menu,"When you are tired of seeing all collections in the museum, you can try to taste Greek cuisine in the restaurant. There are also “daily menus” with very good prices.",November 2019,Acropolis Museum Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d2076068-Reviews-Acropolis_Museum_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
A history lesson in practice,The location is something unique what is not possible to be seen anywhere else in the world. I felt like a student in 3D history lesson.,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
