title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Only a pleasure!!!,Please make use of this service it is great. I had an absolute fantastic driver who went out of his way to make sure that I had an incredibly pleasant trip.,March 2020,Taxi Brussels - Your Private Driver,https://www.tripadvisor.com/Attraction_Review-g188644-d13566424-Reviews-Taxi_Brussels_Your_Private_Driver-Brussels.html,"Brussels, Belgium",attractions,5.0,4.5
Will not use Alitalia again!!,"I was so happy last year when I used Alitalia but something has changed. It is not the same anymore. We were served a single pastry for breakfast. The air hostesses were really unfriendly. The foldout table of the passenger next to me was broken. We were seated tight behind premium economy and it would have been ideal to move him there since he paid extra for the little extra legroom he had. He didn't want the full service, he just wanted a table that worked. Don't fly with Alitalia!!! I am already dreading my return flight.",March 2020,Alitalia,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,World,flights,2.0,3.0
"New menu, new prices, not the same","We are regular M&B visitors because of the size of the portions and the fact that it is value for money. Always been on the more expensive side of moderate but we have never had an issue with this. It has changed!!! When you have an item on the menu I expect this to be available. The scone was unavailable. The ""sliver"" of cake that was served to us was ridiculous. We had to send this back and what we got back was only slightly better. I personally had a Chicken and Sesame salad that was very tasty but I had to hunt to find the actual chicken. Not one of our best experiences ever.",October 2019,Mugg & Bean,https://www.tripadvisor.com/Restaurant_Review-g1165248-d8364483-Reviews-Mugg_Bean-Middelburg_Mpumalanga.html,"Middelburg, South Africa",restaurants,3.0,4.0
Not all is well!,"The service was very good! The steaks were good but the baked chocolate milkskake that promised so much was a disaster. Not close to what was mentioned on the menu. The salted caramel was non-existant, the chocolate volcano was not good, it was a piece of chocolate cake more than anything else.",September 2019,Crawdaddy's,https://www.tripadvisor.com/Restaurant_Review-g312583-d3602411-Reviews-Crawdaddy_s-Pretoria_Gauteng.html,"Pretoria, South Africa",restaurants,3.0,4.5
Very good pancakes! Great service!,"It was one of our best visits to a Harries Pancakes. Maybe, because it wasn't as crowded as we expected, or just because the service was really good. Visit this place for a really good pancake.",September 2019,Harrie's Pancakes,https://www.tripadvisor.com/Restaurant_Review-g1060377-d2183895-Reviews-Harrie_s_Pancakes-Cullinan_Gauteng.html,"Cullinan, South Africa",restaurants,4.0,4.5
A sad experience!!!,I visit this establishment on a regular basis and I have never before had any reason to complain or even be dissatisfied. This last Saturday 31 August 2019 was very different however. Although the rest of my Big Ben dish was really good the English muffin was a complete disaster. The one half was burnt while the other half was so hard that I was unable to even cut into it with a knife. There was furthermore a table of patrons that was so noisy and loud that we sometimes could not even hear one another at our own table. I must admit that this will make me think twice before I visit again.,August 2019,Mugg & Bean,https://www.tripadvisor.com/Restaurant_Review-g5001415-d12999156-Reviews-Mugg_Bean-Emalahleni_Mpumalanga.html,"Emalahleni, South Africa",restaurants,2.0,4.0
"Great food, exceptional service!","Nice to be welcomed by friendly staff, to be served by a friendly waiter and to get good food! Make sure to make time for a visit.",August 2019,Cappuccinos,https://www.tripadvisor.com/Restaurant_Review-g1165248-d8389832-Reviews-Cappuccinos-Middelburg_Mpumalanga.html,"Middelburg, South Africa",restaurants,5.0,4.0
Needs an urgent makeover desperately!!!,"The room was clean, but that is where it ended!!! Some of the curtains are in terrible condition. Most of the curtains don't fit. The shower curtain doesn't fit. The cutlery and crockery don't match. The rest of the resort is most certainly in need of TLC. The only area that appeared to be not to bad is the bar area. This place can be so much more!",August 2019,Ruby River Resort,https://www.tripadvisor.com/Hotel_Review-g1190922-d8687351-Reviews-Ruby_River_Resort-Groblersdal_Limpopo_Province.html,"Groblersdal, South Africa",hotels,2.0,3.0
What a great place for a visit,I spent way too little time here. I would have absolutely loved to spend a whole morning here and will do so if I ever have the opportunity.,May 2019,Deutsches Museum,https://www.tripadvisor.com/Attraction_Review-g187309-d190295-Reviews-Deutsches_Museum-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",attractions,5.0,4.5
A must visit,What a nice place to see. I just love European culture and architecture and this place did not disappoint. I would love to visit again when I have more time to experience the ambiance.,May 2019,Marienplatz,https://www.tripadvisor.com/Attraction_Review-g187309-d190283-Reviews-Marienplatz-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",attractions,4.0,4.5
Very nice mall,"This is a really beautiful mall filled with shops so that you may find whatever your hart desires. My visit was short, but very enjoyable, wish I had more time.",May 2019,Riem Arcaden,https://www.tripadvisor.com/Attraction_Review-g187309-d4590898-Reviews-Riem_Arcaden-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",attractions,4.0,4.0
Great for access to the Messe!,"This is a great place to stay for a visit to the Messe. Nothing fancy, but very comfortable. Excellent value for money. Close to public transport. Breakfast is standard European, and the coffee is very nice. The reception is very friendly and very professional and even though I arrived early they had a room ready for me.",May 2019,B&B Hotel Muenchen-Messe,https://www.tripadvisor.com/Hotel_Review-g1009702-d638397-Reviews-B_B_Hotel_Muenchen_Messe-Aschheim_Upper_Bavaria_Bavaria.html,"Aschheim, Germany",hotels,4.0,4.0
I will gladly award 5 stars but...,"The food was excellent, the service was atrocious!! The waitress was soooo slow!!! I waited about 15 minutes to be noticed and at the end of my meal I had to approach her for my bill!! Very bad. Will not visit again even knowing that the food is really good.",May 2019,zum Spoeckmeier,https://www.tripadvisor.com/Restaurant_Review-g187309-d964567-Reviews-Zum_Spoeckmeier-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",restaurants,3.0,4.0
RocoMamas at Sun City is always a winner!!!,"The food and service at this branch are always excellent!!! The fact that the concept is a little quirky also makes for a nice difference from other restaurants. I was further surprised at the fact that our names were on a list, as they were very busy, and we were contacted five minutes later about a ready table.",April 2019,RocoMamas Sun City,https://www.tripadvisor.com/Restaurant_Review-g312652-d11548999-Reviews-RocoMamas_Sun_City-Sun_City_Moses_Kotane_Local_Municipality_North_West_Province.html,"Sun City, South Africa",restaurants,4.0,4.0
