title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"An extraordinary meal, filled with creativity and a bit of humor","We finally made it to Ileana Regan's fine restaurant. Chef was there to help explain the theme: Harry Potter. The place is small, you prepay well in advance, and is filled with nice staff willing to answer my questions (I've worked in restaurants and play in the kitchen a lot at home). The theme hit many of the characters' favorite dishes (Dumbledore, Hagrid, etc.), with titles like Herbology, Fleur, Stoat Sandwich, Butter Beer. The portions are thankfully small - with 11 or 12 courses, that helps with what can be an overfilling experience. Our favorites were the mandrake - a radish in edible soil with cultured butter on the bottom; the pasties, one of peas, one of pastrami, and lamb in a tiny cast iron skillet; a spiny lobster disk with saffron; a porridge with chicken stock (Chef told me how they get such a deep flavor - they reduce it); and we ended with her take on butter beer - an oat ginger cake with butterscotch and white chocolate. A fun meal, served well",March 2020,Elizabeth,https://www.tripadvisor.com/Restaurant_Review-g35805-d3653167-Reviews-Elizabeth-Chicago_Illinois.html,"Chicago, Illinois",restaurants,5.0,4.0
A new favorite or ours,"We were searching for a place to entertain a relative near one of our children's home in Barrington. We found this restaurant, relatively new in the area (they have about 9 or 10 restaurants of this type around the country) and we were quite pleased. Their fish and chips were delightful - without the extra grease that so often comes with this dish (avoidable by keeping the frying oil at a constant temperature). The coastal salad, with shrimp and crab, was quite good. Another time, my wife had crabcakes which were also delicious. She likes it so much that she's going again in a day or so.",January 2020,The Hampton Social,https://www.tripadvisor.com/Restaurant_Review-g36716-d18189340-Reviews-The_Hampton_Social-South_Barrington_Illinois.html,"South Barrington, Illinois",restaurants,5.0,3.5
"Staying at the Costabaja Hotel, this was a convenient and good choice for a meal","After fellow-travelers recommended this restaurant, we had a very good meal there. I had the fish in garlic sauce which was crisp on the outside, tender and flaky on the inside - quite tasty. My wife had the tortilla soup which was quite a large meal in itself. We shared the clam chowder which was quite good. We also shared flan vainilla de rompope (a custard dessert with an eggnog-type alcoholic beverage in the sauce), which was very delicious.",January 2020,Steinbeck's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g150771-d2073679-Reviews-Steinbeck_s_Restaurant-La_Paz_Baja_California.html,"La Paz, Mexico",restaurants,4.0,4.0
Comfortable and pleasant stay,"Right at the marina, this hotel is quite good - the staff was competent and pleasant (the concierge was very helpful when we had to change our flight home). The rooms are on the small side, but quite adequate. Though it is some distance from the marina restaurants and the La Paz malecon (waterfront walkway), they have hotel transport that is quite easy to use.",January 2020,Costabaja Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g150771-d645635-Reviews-Costabaja_Resort_Spa-La_Paz_Baja_California.html,"La Paz, Mexico",hotels,4.0,4.5
We took a private snorkeling and kayak tour and loved it,"Pepe, our guide, was flexible and very helpful, not only in helping us get our gear on, but suggesting it was too rough to go out in kayaks to the Cabo arch and taking us to a more protected inlet (I think the name was Santa Maria). Before, he got us close to the arch so we could take pictures. The water was cold (between 65 and 70 degrees F), but we were prepared. I had my own wetsuit and High Tide provided one for my wife. We kayaked and snorkeled for several hours and were very pleased.",January 2020,Private Los Cabos Arch & Playa del Amor tour by Glass bottom kayak,https://www.tripadvisor.com/AttractionProductReview-g152515-d19260925-Private_Los_Cabos_Arch_Playa_del_Amor_tour_by_Glass_bottom_kayak-Cabo_San_Lucas_Lo.html,"Cabo San Lucas, Mexico",activities,5.0,5.0
An elegant place to have a lovely meal,"This restaurant is mainly for tourists - principally because of the cost - but it does deliver on fine cuisine. I had the short ribs, which were wonderfully flavorful. I ended up sharing much of my dish with my wife who chose stuffed poblanos (called chiles relleno on the bill). We warned her that it might be a bit spicy for her and, unfortunately, it turned out to be so. That's not the restaurant's fault, of course. We ended with sharing a pumpkin mousse (mousse de calabaza), which was perfectly done.",January 2020,Don Sanchez Restaurant,https://www.tripadvisor.com/Restaurant_Review-g152516-d1747977-Reviews-Don_Sanchez_Restaurant-San_Jose_del_Cabo_Los_Cabos_Baja_California.html,"San Jose del Cabo, Mexico",restaurants,4.0,4.5
"Highly recommended by Valeria at our hotel, Casa Natalia, we were very pleased","Just a block or two from our hotel on the main plaza, we were treated to an excellent meal. We started with six oysters, delightfully fresh and tasty. The bonita - the fish of the day - was tender and deliciously sauced. The arroz de mar (risotto with octopus, mahi mahi, clams, and oysters) was delightful. We finished by sharing the creme brulee, unusually and nicely flavored with coffee and anise.",January 2020,La Revolución. Comedor de Baja California,https://www.tripadvisor.com/Restaurant_Review-g152516-d11916125-Reviews-La_Revolucion_Comedor_de_Baja_California-San_Jose_del_Cabo_Los_Cabos_Baja_Califo.html,"San Jose del Cabo, Mexico",restaurants,5.0,4.5
"Away from the teeming multitudes, this small hotel delivers grandly","Away from the hordes in Cabo San Lucas, this hotel has delightfully different rooms, decorated individually, a very pleasant and helpful staff (especially Valeria, who guided this food lover to great places to eat), a location right on the main plaza, and all at a reasonable cost. We stayed two nights before a whale shark snorkeling trip off La Paz and then one more night at the end of our journey. The food at their restaurant, Mosaic, was exceptionally good.",January 2020,Casa Natalia Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g152516-d152879-Reviews-Casa_Natalia_Boutique_Hotel-San_Jose_del_Cabo_Los_Cabos_Baja_California.html,"San Jose del Cabo, Mexico",hotels,5.0,4.5
Impressive and a must-see - it should be on everyone's bucket list!,"It is hard to describe the impressive experience that is Petra - the Siq (a winding sandstone passageway with incredible beauty), the Treasury (actually a tomb that just appears at the end of the Siq), the other tombs on the way that demonstrate the extraordinary carving skills of the Nabatean culture. Some tourist stuff to buy, including frankincense and myrrh (my wife took this back to a cleric she knows well - who loved it) and many scarves. Don't miss the jewelry shop run by the New Zealand author, Marguerite Van Geldermalsen who wrote the memoir, ""Married to a Bedouin."" She is often there to tell you of her work with the locals who make a living working on the jewelry designs.",October 2019,Petra,https://www.tripadvisor.com/Attraction_Review-g318895-d319461-Reviews-Petra-Petra_Wadi_Musa_Ma_an_Governorate.html,"Petra - Wadi Musa, Jordan",attractions,5.0,5.0
The location is outstanding; the hotel could use an update,"You can't get closer to Petra than this hotel and still have a relatively comfortable night. The rooms are fairly small and service can be spotty, but it was an ideal place to visit the Nabatean ruins in Petra. (Oddly, it is an Accor-owned hotel, but you can't get Accor credits for staying there.)",October 2019,Mövenpick Resort Petra,https://www.tripadvisor.com/Hotel_Review-g318895-d603281-Reviews-Movenpick_Resort_Petra-Petra_Wadi_Musa_Ma_an_Governorate.html,"Petra - Wadi Musa, Jordan",hotels,4.0,4.0
A sprawling and beautiful hotel on the Dead Sea,"It is hard to describe adequately the beauty of the grounds, the pools, the rooms, but it is only one of many hotels built fairly recently catering to the luxury tourist trade. The rates are high, even though the hotel did not seem full. The food was good, though at one meal the flies were so persistent, we moved to an inside elevator lobby to eat our food - the servers were apologetic and helpful even given the problem. We're not sure why, but many restaurants listed at the hotel were either closed or had quite inconvenient hours - we think there were staffing problems.",October 2019,Kempinski Hotel Ishtar Dead Sea,https://www.tripadvisor.com/Hotel_Review-g951923-d614207-Reviews-Kempinski_Hotel_Ishtar_Dead_Sea-Sweimah_Dead_Sea_Region.html,"Sweimah, Jordan",hotels,4.0,4.5
One of the best hotels in Cairo,"Prior to visiting the Pyramids and other sights in Giza, we stayed at this wonderful hotel. The rooms were very spacious and nicely decorated. The hotel is near attractions, though we did not go out of the hotel without our group (with security, since there are still safety issues).",October 2019,Four Seasons Hotel Cairo at the First Residence,https://www.tripadvisor.com/Hotel_Review-g294202-d574866-Reviews-Four_Seasons_Hotel_Cairo_at_the_First_Residence-Giza_Giza_Governorate.html,"Giza, Egypt",hotels,5.0,4.5
An elegant hotel with views of the Nile and Tahrir Square,"The rooms at this hotel are very large and well-appointed. They billed our room as having a 'pyramid view,' but that is misleading - if you have powerful binoculars and clear weather, you might see the pyramids way off in the distance. The food was very good in the restaurants (they don't suggest walking around the area at night), but it was very expensive.",October 2019,"The Nile Ritz-Carlton, Cairo",https://www.tripadvisor.com/Hotel_Review-g294201-d8704648-Reviews-The_Nile_Ritz_Carlton_Cairo-Cairo_Cairo_Governorate.html,"Cairo, Egypt",hotels,4.0,4.5
"Dominating the city, this is a marvel not to be missed","Do get a guide - it will increase your pleasure many-fold. There is so much to see and learn, from the history to the remaining ruins.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A dazzling display of history and culture,"Prior to going to the Acropolis, we spent time with a guide sampling Greek sculpture and culture in this relatively new and beautifully displayed museum. Many of the sculptures (in particular, the man with the sacrificial animal on his shoulder, which appears in many basic art books). The exhibit of the Pathenon marbles, most of which are in the British Museum (the Elgin Marbles), was well done, but you could tell the Greeks' ache and anger that such a marvel is not where it belongs. The museum is a great introduction to a visit to the Acropolis, but it offers much more. It is a must see in Athens.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A wonderful tour of downtown Athens' food offerings,"Our guide, Carolina, was delightful (she runs the operation in Athens). We have been on two other Culinary Backstreet tours - Istanbul and Barcelona. This was was the equal of our excellent past experiences. The food ranged from coffee prepared so carefully, to beef pounded thin with olive oil, to sweets of all sorts, to olives, a honey tasting (what a variety!), and commentary that helped us understand how this food came to be so good. Our time in the central market, too, was hectic and fun.",September 2019,Athens Culinary Backstreets Walks,https://www.tripadvisor.com/Attraction_Review-g189400-d4509209-Reviews-Athens_Culinary_Backstreets_Walks-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
A wonderful meal and great conversations with the chefs,"This restaurant was recommended by our guide, Carolina, from Culinary Backstreets (they conduct food tours in many countries). The food was carefully prepared. We had the best octopus we have ever had - it was cooked in a clay pot with fava beans. We also had their version of dolmades (sarmadakia), Itsli Kefte (beef, pine nuts, and bulgur wheat), pork leg (also cooked in a clay pot), and a local dessert, mahalepi. All of this satisfied us wonderfully.",September 2019,Fabrica tou Efrosinou,https://www.tripadvisor.com/Restaurant_Review-g189400-d8681849-Reviews-Fabrica_tou_Efrosinou-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
A family gathering - everyone was pleased: tough to do!,"We met our daughter, her husband, and two grandchildren (8 and 6) and tested whether everyone would get something they like (we're not vegetarian; they are). We were more than pleased. I had a waffle with two eggs and bacon - quite good. The kids had pancakes with loads of whipped cream. Their parents had two very good vegetarian dishes.",November 2019,Southern Belles Pancake House,https://www.tripadvisor.com/Restaurant_Review-g35647-d10116727-Reviews-Southern_Belles_Pancake_House-Barrington_Illinois.html,"Barrington, Illinois",restaurants,4.0,4.0
A very good find on our way elsewhere,"We were heading to another place to eat when we chose this place instead - we were quite pleased. We had their version of Pad Thai, using glass noodles with shrimp - it was delicious. We added their Thai Inbox rolls which were also quite tasty. The cost was reasonable, which made it even more pleasant.",November 2019,Thai Inbox,https://www.tripadvisor.com/Restaurant_Review-g36889-d3309593-Reviews-Thai_Inbox-Wilmette_Illinois.html,"Wilmette, Illinois",restaurants,4.0,4.0
A wonderful and creative pre-theatre meal,"Prior to going to the Cadillac Palace Theatre, we ate at this restaurant part of Block 37. Our friends had eaten there for brunch and lunch before, but not for dinner. They (and we) were quite pleased. I had the seared yellowfin tuna which was as rare as I like it with a nice sauce and sunchoke chips. My wife had the Rohan duck breast which was excellent - the salad of brussels sprouts, confit of duck and figs, and candied walnuts was devoured completely. One of our friends had the Scottish salmon with a sweet Thai chili sauce and loved it. His wife had a smaller appetite and had the meze plate, with stuffed grape leaves (a bit dry), hummus, eggplant dip (baba ganoush), etc. We shared two desserts - the chocolate cherry bombe was the favorite (dark chocolate and cherry mousse), though I liked the apple cider donuts (they were kind enough to substitute vanilla bean ice cream for the whiskey flavored ice cream. Our server, Monet, was delightful - she even giggled at my jokes - she even had a good architecture discussion (she's an architecture student) with our architecture expert.",September 2019,The Dearborn,https://www.tripadvisor.com/Restaurant_Review-g35805-d10483208-Reviews-The_Dearborn-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,4.5
A fine Italian meal,"Prior to a performance at Steppenwolf, we returned to this restaurant not only because of its convenience to the theatre, but because of the excellent food and service. This time we shared a special tagliatelle dish which was quite tasty - veal meatballs in a light tomato sauce and house-made pasta. In addition, we shared another special, a roulade of beef (spidine) with fontina cheese and nicely sauteed spinach. We finished with a pistachio semifreddo (a light ice cream-like dish) which, while very good, was not as rich as the one I make (said my wife). Marco was very attentive even after the rain had us move inside.",September 2019,Trattoria Gianni,https://www.tripadvisor.com/Restaurant_Review-g35805-d430788-Reviews-Trattoria_Gianni-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,4.5
"Unfortunately, the donuts were not up to what we expected","The four of us tried three donuts, none of which were very tasty - mostly 'bready' and not much jelly (in one) or cinnamon in another. Two we saved for the evening had custard which had turned rancid by evening, though it was kept in the fridge. It is not a place we will return to.",July 2019,Stan's Donuts & Coffee,https://www.tripadvisor.com/Restaurant_Review-g35805-d11796026-Reviews-Stan_s_Donuts_Coffee-Chicago_Illinois.html,"Chicago, Illinois",restaurants,1.0,4.0
A reliable chain with carefully prepared and presented food,"We have eaten at other members of this restaurant group (Las Vegas most recently) and find it reliable and with very good choices. My wife and I shared the French onion soup (yes, she let me have some), which, as usual had a depth of flavor, loads of caramelized onions, and a large amount of delicious gruyere cheese on top. She had a salad (which she did not share) and I had escargot (snails, in case there's a failure of your French :-)). Both were quite good - the escargot were tender and in a not-too-buttery/garlicky sauce. Our friends had the steak frites and they were quite pleased. For dessert, the creme brulee, the chocolate mousse were very tasty. Because it was one of our friend's birthday, our server, Chrissy, brought a gougere with vanilla ice cream and chocolate sauce - with a candle. We all shared bites quite happily.",August 2019,Mon Ami Gabi,https://www.tripadvisor.com/Restaurant_Review-g36468-d426882-Reviews-Mon_Ami_Gabi-Oak_Brook_DuPage_County_Illinois.html,"Oak Brook, Illinois",restaurants,4.0,4.5
We have stopped by a few times in our trips from Chicago to Milwaukee and have not been disappointed,"Lots of food choices - even a sitdown seafood restaurant - but we opted for raclette cheese with a smoked polish sausage and another raclette cheese dish with ham and toasted baguette slices from West Allis Cheese and Sausage. Both were delicious. We bought some spices from a branch of an Evanston stalwart, the Spice House, and some terrific cookies (try the flourless chocolate!).",August 2019,Milwaukee Public Market,https://www.tripadvisor.com/Attraction_Review-g60097-d625152-Reviews-Milwaukee_Public_Market-Milwaukee_Wisconsin.html,"Milwaukee, Wisconsin",attractions,4.0,4.5
A great and unusual museum in a lovely building,"We were in town for a baseball game, but heard very good things about this museum on the campus of the Milwaukee School of Engineering. It is designed to show paintings (some photos, too) of people at work, from glassblowing to blacksmithing to medicine, etc. The arrangement of the artworks, some better executed than others, but all on the theme, is impressive. There are works from the 16th century (even a Bruegel) to the 20th (a wonderful Normal Rockwell - the Bookworm, on the cover of Saturday Evening Post in 1926). We had the museum to ourselves - it was a Friday afternoon - and had the company of Ann, one of the staff members in charge of many member and guest functions at the museum, who showed us around several places not ordinarily visited. Dr. Grohmann was there in his impressive office and was kind enough to let us come in and see the gorgeous stained glass windows (the images are of artwork in the museum). Dr. Grohman, Ann told us, owned a forge company in Milwaukee and made a gift of his collection to the MSOE - which has been added to since the museum opened in 2007. A wonderful and unexpectedly pleasant experience.",August 2019,Grohmann Museum,https://www.tripadvisor.com/Attraction_Review-g60097-d2489437-Reviews-Grohmann_Museum-Milwaukee_Wisconsin.html,"Milwaukee, Wisconsin",attractions,5.0,4.5
High quality and many good choices,"After our Northwestern alumnae classes, we twice went with friends to this small but friendly Asian restaurant. I had pad thai with shrimp and my wife had soft shell crab curry, both of which were very good. There were several lunch specials and one of our group had the shrimp tempura lunch box, also quite tasty.",July 2019,Dozika,https://www.tripadvisor.com/Restaurant_Review-g35972-d431439-Reviews-Dozika-Evanston_Illinois.html,"Evanston, Illinois",restaurants,4.0,4.0
Each visit to this sometimes noisy but excellent place to eat keeps satisfying us,"We took my wife's brother and his friend here when they were visiting from the east. Two of us had the fish and chips, which, while a bit greasy, still tasted delightful. Another of our party had the blackened bass sandwich - delicious. The last of our group had a half salmon sandwich and a cup of soup, both of which were quite good.",July 2019,The Gage,https://www.tripadvisor.com/Restaurant_Review-g35805-d845748-Reviews-The_Gage-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,4.5
Millenium Park continues to amaze,"We brought my wife's brother and friend to see this incredible site - the Bean (actually called Cloud Gate), the fountains with the images sending water over screaming (with joy) kids, and the Geary pavilion all provided a thrill to our visitors and, frankly, to us as we keep coming back.",July 2019,Millennium Park,https://www.tripadvisor.com/Attraction_Review-g35805-d278811-Reviews-Millennium_Park-Chicago_Illinois.html,"Chicago, Illinois",attractions,5.0,4.5
A very good choice for a pre-opera meal,"After several substandard meals in the Lyric building and around, we decided to try One North and were quite pleased. A friend and I ate here for lunch in April and the grilled cheese and spinach salad were excellent (though I was a little surprised when there were extra charges for bacon, $3, substituting for a side salad, also $3, and, most odd, adding a tomato slice to the sandwich cost $1!). Putting this aside, because of the quality of the meals, my wife and I came back before one of our operas in May. We had the filet sliders, which were quite tender and tasty, an order of grilled asparagus, also delicious, fish and chips (a bit greasy, but that seems quite common - still delightful), and ended sharing the good bread pudding. Though it was also my wife's birthday and we were told there would be something coming, our server was so busy that that just got lost among the crowds of diners trying to get to the performance.",May 2019,One North Kitchen & Bar,https://www.tripadvisor.com/Restaurant_Review-g35805-d479638-Reviews-One_North_Kitchen_Bar-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,3.5
Surprisingly great lobster rolls,"After a long volunteer session at the Newberry Library Book Fair, we were quite pleased to get into this lovely restaurant - it is small and, we were told, had fewer staff that night, though the service was still quick and expert - Natalie was very nice - and funny.... We had the lobster rolls - my wife is from New England and loves them. We were pleased they had just a bit of sauce and were mostly lobster, just like the best we've had in Maine. A nice find.",July 2019,20 East,https://www.tripadvisor.com/Restaurant_Review-g35805-d12614599-Reviews-20_East-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,4.5
We have made many visits here and at its flagship spot in Chinatown and remain pleased,"We think the lemon shrimp (called mayonnaise shrimp in Chinatown) is one of the best dishes we have ever had: a thin crispy coating on the shrimp and a great flavorful sauce. We often also get a more standard fried rice dish, but decided to try a different ""fried rice"" meal - Yang Zhou fried rice. It was very bland and we ate very little of it - when I got home, I added soy, sesame oil, a bit of fish sauce to what we brought home. I then fried the rice and made it more to our liking.",July 2019,Lao Sze Chuan Evanston,https://www.tripadvisor.com/Restaurant_Review-g35972-d7015074-Reviews-Lao_Sze_Chuan_Evanston-Evanston_Illinois.html,"Evanston, Illinois",restaurants,4.0,4.0
A high level of flavor and excellent food,"After our Northwestern alumnae class, we went to this highly-rated Asian restaurant and were not disappointed. Three of us had the crab meat curry, which all thought was creatively presented and delicious. I had the coconut curry with white prawns, which was equally delightful. We were surprised there were so few people in the restaurant, but it is a bit pricey, but well worth it for the quality.",July 2019,NaKorn,https://www.tripadvisor.com/Restaurant_Review-g35972-d11854811-Reviews-NaKorn-Evanston_Illinois.html,"Evanston, Illinois",restaurants,5.0,4.5
"Close to our Northwestern alumnae classes, it was a treat","In the Orrington Hotel, the location is good, the decor is pleasant, and the food is quite good. We had the tasty Farmer's grilled cheese, which comes with an excellent malted tomato soup for slurping and dipping. My wife had a Farmhouse Lunch with a 1/2 ham and gruyere sandwich, a small salad, and added a cup of tomato soup - all well done. Our friends had a burger on a gluten-free bun and the BLT, both of which were quite good.",July 2019,Farmhouse,https://www.tripadvisor.com/Restaurant_Review-g35972-d4588333-Reviews-Farmhouse-Evanston_Illinois.html,"Evanston, Illinois",restaurants,4.0,4.0
Another visit and still quite good,"We came back to Eris, this time with a group. The food was still quite good, with one exception. We had portabella sliders which were excellent - nice flavor and texture. Two of our group had the Hodag, a bacon-wrapped polish sausage - it was so big, according to one, that he couldn't finish it; both liked it. The chopped salad was full of great ingredients and tasted very good. The only exception: I had what they call the Northwest Havana, a take on the Cuban sandwich - unfortunately, the pulled pork had a significant amount of fat. I did not eat any more of it. When I told our waiter, he voluntarily removed it from our bill, which I thought was a wise move.",July 2019,Eris Brewery and Cider House,https://www.tripadvisor.com/Restaurant_Review-g35805-d13418130-Reviews-Eris_Brewery_and_Cider_House-Chicago_Illinois.html,"Chicago, Illinois",restaurants,4.0,4.5
A delightful stay on our way to the Marquesas with Lindblad/National Geographic,"We stayed here three nights and one afternoon/early evening. The people were very welcoming and helpful. The food, though expensive (most has to be imported from some distance), was quite good in the main restaurant. The saltwater lagoon with many, many beautiful fish was a great place to try out my iPhone XR (with a waterproof case) for terrific pictures. It was easy getting into town and the concierge guided us to the food trucks on the ocean - a very good meal and fun to be there with lots of children playing. The room was large enough, the bed comfortable, and our view was pleasant enough (garden view). When we came back from our trip to the Tuomotu Archipelago and the Marquesas, we were able to use the traveler's rooms to take a shower before our very long flights back to Chicago - a cool amenity at no additional cost.",May 2019,InterContinental Tahiti Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g1190275-d307165-Reviews-InterContinental_Tahiti_Resort_Spa-Faa_a_Tahiti_Society_Islands.html,"Tahiti, French Polynesia",hotels,5.0,4.0
"A large group, including kids, all found something very good to eat","We gathered family and a friend with her two young kids and were not sure everyone would find something to his or her liking. We were surprised and pleased! We had a burrata appetizer, which was quite delicious, followed by a crispy prosciutto pizza, which was one of the tastiest we've had. Our friend had scallops, which were, she said, delightful. Others had variations on pasta and, when one of the kids was more taken with her brother's choice, the server took it away and gave her the same dish as her brother had - very nice. The calamari were crisp and tasty, shared by all. The bill was a bit high and the service a little slow, given that there were not that many diners, but, all in all, a good experience.",April 2019,Vivo 53,https://www.tripadvisor.com/Restaurant_Review-g58349-d8640542-Reviews-Vivo_53-Bellevue_Washington.html,"Bellevue, Washington",restaurants,4.0,3.5
Chihuly at his finest!,"We had been to the Chihuly museum in Tampa and has seen many displays of his work in a Chicago park and in Las Vegas' Bellagio, but this is an extraordinary presentation of his skills.",April 2019,Chihuly Garden and Glass,https://www.tripadvisor.com/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,"Seattle, Washington",attractions,5.0,5.0
A seafood treat in a seafood city,"We ate here with my son and his significant other (his treat!). We started with raw oysters - I asked whether they had my favorite, Kumamoto oysters, but the server said the Hammersley they did have were as good - she was right; they were delicious. We shared the Point Judith calamari - there were plenty, but they were hidden by a very delicious basil, escarole, radish, onion mix. My wife and I shared the branzino, perfectly cooked (and boned at our table) with eggplant puree, pickled onions. We also had a taste of our son's Fijian Yellowfin Tuna, which was also quite good. A bit noisy, but quite delightful.",April 2019,Rockcreek Seafood & Spirits,https://www.tripadvisor.com/Restaurant_Review-g60878-d4833801-Reviews-Rockcreek_Seafood_Spirits-Seattle_Washington.html,"Seattle, Washington",restaurants,4.0,4.5
Highly rated and it didn't disappoint,"On my son's recommendation, we ate here before we drove up to Seattle to see his family. What a treat! We started with the langostinos amelcochados - we were told it was a relatively recent addition to the menu. It was superb - the shrimp were coated in a mildly sweet, but crunchy coating which was wonderful. It was served on pureed cauliflower - my wife liked it, but I found it a bit bland. We then had stuffed piquillo peppers rellenos, which was small, but delicious - just enough spice. We shared the Peruvian equivalent of paella, Arroz con Mariscos, which was excellent - since my wife is allergic to mussels, it came with more of the other seafood: shrimp, octopus, whitefish, scallops, and calamari. We ended the meal with the Peruvian flan, Leche Asada, which was thicker than the Mexican flan I make, but delightful nonetheless. Though I've been to Peru, I had not had the widely-used lucuma fruit, but the Sublime con Lucuma, a chocolate bar with mousse and a lucuma panna cotta - it was, as the name suggests, sublime. The surprise came with the bill - it was not as expensive as the quality of the food warranted.",April 2019,Andina Restaurant,https://www.tripadvisor.com/Restaurant_Review-g52024-d440005-Reviews-Andina_Restaurant-Portland_Oregon.html,"Portland, Oregon",restaurants,5.0,4.5
