title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent view of Acropolis over the Monesteraki square,"We went up mainly ro see the view, and it is great. The best in all Athens in my opinion. We would have stayed for drinks but it was very full and there was a line for the tables. So we just took some pictures and left because we didn't want to spend the evening waiting for a table. We went at sunset, other times might not be that crowded.",March 2020,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
So beautiful surroundings and interesting history,"The place is absolutely stunning. The landscape over the valley is so beautiful and the history of the whole archeological site is super interesting.

In winter time admission was only 6 euros per person, very reasonable. It also includes the museum, which is worth visiting as well.

Can be tricky finding a parking spot. Not far from the town of Delphi, so easily walkable if no parking places are available at the site.",March 2020,Temple of Apollo,https://www.tripadvisor.com/Attraction_Review-g189408-d199058-Reviews-Temple_of_Apollo-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,4.5
"Unique interior, good cocktails","This place is totally unique and awesome looking. Very cool! Can be quite crowded so go early or book a table.

We also had food, risotto and pizza and both were good. I would recommend.",March 2020,Noel,https://www.tripadvisor.com/Restaurant_Review-g189400-d8310138-Reviews-Noel-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Excellent historical place,"Go early in morning and use the South East entrance, it is less crowded. Be carefull, the marble stones are very slippery. In winter time it was pretty quiet in the morning and no queuing.

Excellent views over the city of athens.",March 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Imaginative cocktails,"Excellent and imaginative drinks and cocktails! They come in burning, smoking and different forms, nothing boring. It's like sciense.

Staff is super friendly and helpful.",March 2020,MoMix Molecular Mixology Kerameikos,https://www.tripadvisor.com/Attraction_Review-g189400-d10538615-Reviews-MoMix_Molecular_Mixology_Kerameikos-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Self guided hike to Alta Canyon viewpoint,"We did a super nice hike to the viewpoint of Alta Canyon. Put Gargia Lodge to your navigator and from there continue to the gravel road for bout 4 km untill you reach the parking lodge. The gravel road is mainly in good condition, at the end there are some potholes, but just drive carefully and you should be fine with a normal car.

The hike to the viewpoint is about 7 km one way. Mostly easy pathway but I would recommend good hiking boots, since the pathway is very muddy and wet in some places. You need to cross 3 streams, for the middle one we devided to take our boots off and hang them on our necks and cross the stream that is about knee high at some points (note, this is in late June, could be more earlier with the melt water). All three crossings have wooden planks but the middle one looked quite difficult to use.

It's mostly gentle ups and downs, before the viewpoint at the very end of the trail there is quite steep downhill on the way to the viewpoint.

Before the steep part at the end, there is picnic table for some snacks.

It took us about 5 hours total with many photo breaks, snacks break and the river crossing operation. Can definitely be done faster too. We took our sweet time ;)",June 2019,Alta Canyon and the Alta Dam,https://www.tripadvisor.com/Attraction_Review-g226916-d1764219-Reviews-Alta_Canyon_and_the_Alta_Dam-Alta_Alta_Municipality_Finnmark_Northern_Norway.html,"Alta, Norway",attractions,4.0,4.5
"Interesting museum, worth visiting","Interesting museum about Sami history and culture! We learned a lot about f.e. Sami people, shamans and even raindeer.

Very helpful and friendly staff!",June 2019,Varanger Sami Museum,https://www.tripadvisor.com/Attraction_Review-g12477484-d10797718-Reviews-Varanger_Sami_Museum-Varangerbotn_Nesseby_Municipality_Finnmark_Northern_Norwa.html,"Varangerbotn, Norway",attractions,4.0,4.5
Plane was late and toilet was horrible,"The flight was 30 minutes late. Not too bad, but it was a bit confusing, since there was one bus to the plane that left the terminal and returned to the terminal afterwards. There was no reason given of why did it happen. It seemed a bit weird and for someone suffering from fear of flying, that might have been suspicious, if there was something wrong with the plane or something like that. I assume that the plane just was not ready yet, and the staff should have announced that for the passengers.

Also the toilet was filthy with urine all over the floor.",April 2019,Air Baltic,https://www.tripadvisor.com/Airline_Review-d8728996-Reviews-Air-Baltic,World,flights,3.0,3.5
"Nice place, good location, nice restaurant downstairs","Nice place. The bed was not the most comfortable one, but ok. Everything was clean. Decoration was nice and the restaurant downs rears also very nice. Staff was very nice.

The elevator is like the slowest elevator in the world, that was a bit annoying. Also I was wondering about the ""no external food and drinks""-rule, which seemed a bit weird. I have never seen that anywhere else.",March 2019,Generator Stockholm,https://www.tripadvisor.com/Hotel_Review-g189852-d10342615-Reviews-Generator_Stockholm-Stockholm.html,"Stockholm, Sweden",hotels,3.0,4.0
Historic coffee shop with excellent pastries,"You can sense the history in this lovely coffeeshop! They have excellent pastries and coffee. The place seems to be very popular so it is crowded and you might have to wait a while to get a table, even though the place is quite big. Everything I had was excellent and I really love the original deco of the place!",March 2019,Vete-Katten,https://www.tripadvisor.com/Restaurant_Review-g189852-d1880334-Reviews-Vete_Katten-Stockholm.html,"Stockholm, Sweden",restaurants,4.0,4.5
