title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lovely castle with extensive views,"Fantastic example of a concentric castle , not for the faint hearted , built by Edward 1 to protect the central part of wales to control the welsh . Booking is required as times are strictly adhered to due to COVID restrictions, this actually is a bonus because it means the castle can be viewed relatively easily without too many other people to spoil the atmosphere, a wonderful guide ,very knowledgeable about the castle ,in the centre courtyard was on hand to answer any queries ,the area is lovely and the town has the dubious attraction of having the steepest road in Britain !",September 2020,Harlech Castle,https://www.tripadvisor.com/Attraction_Review-g551984-d190550-Reviews-Harlech_Castle-Harlech_Snowdonia_National_Park_North_Wales_Wales.html,"Harlech, United Kingdom",attractions,4.0,4.5
Absolutely superb!,"Not to be missed , the vibrant colours and wonderful lighting in the tomb were a wonderful sight to behold , you are only allowed ten minutes but could do with longer to take it all in , fantastic to have had this experience.",November 2019,Tomb of Queen Nefertari,https://www.tripadvisor.com/Attraction_Review-g294205-d12134904-Reviews-Tomb_of_Queen_Nefertari-Luxor_Nile_River_Valley.html,"Luxor, Egypt",attractions,5.0,5.0
Sonesta st George 1,"Superb travelling experience on the sonesta cruise boat , comfortable room with fantastic views of the Nile , air conditioning in all rooms , very comfortable and serviced daily , food was of an extremely high standard with different dishes every day , entertainment most nights but to be honest we went to bed as the trips tired us out , some never to be forgotten sights .There is a pool on top deck and a couple of small shops on board , this boat is elegantly furnished and not overcrowded so the feeling of being in a small group is maintained , all the staff were excellent , nothing was too much trouble, and as we were in a small groups visiting the historical sites was a lovely experience, the main complaint is the amount of rubbish polluting the river which I suppose is part and parcel of modern life but could do with addressing, anyone who uses the horse drawn carts would be upset at the sight of some of the animals but we were told this situation is improving , there is an obvious tourist police presence and security never felt like an issue though running the gauntlet of the souvenir vendors was at times a daunting experience !",November 2019,Nile River Cruise,https://www.tripadvisor.com/Attraction_Review-g294205-d15328555-Reviews-Nile_River_Cruise-Luxor_Nile_River_Valley.html,"Luxor, Egypt",attractions,4.0,4.0
Fantastic and not to be missed !,"Wonderful sights and atmosphere, but so very very busy and beware the touts, sellers and poor looking animals ! The pyramids at Sakkara (the stepped pyramidand it’s complex along with the collapsed pyramid of unas ).At dahshur ( the bent and the red pyramid) have an atmosphere which seems more redolent of the ancient times and one gets a feeling of the emptiness of the deserts in which they were built .",November 2019,Pyramids of Giza,https://www.tripadvisor.com/Attraction_Review-g294202-d317746-Reviews-Pyramids_of_Giza-Giza_Giza_Governorate.html,"Giza, Egypt",attractions,4.0,4.5
Think about when to visit !,"We visited the museum and had a fabulous full day , we saw the palette of narmer, Tutankhamun treasures , the scribe and other fantastic things as well as visiting the mummy room far far too much to mention , but and it is a big but from now until the new museum opens hopefully in late next year various exhibits are disappearing piece by piece and the museum is a building site with empty cabinets abounding and to be honest the exhibits need to have better and more descriptive labelling this would make the experience an outstanding one as the contents are world class but presented in a disappointing way that somewhat dulls the experience so anyone visiting I would say wait until the new museum opens next year ! A museum of world class exhibits presented appallingly .",November 2019,The Museum of Egyptian Antiquities,https://www.tripadvisor.com/Attraction_Review-g294201-d308825-Reviews-The_Museum_of_Egyptian_Antiquities-Cairo_Cairo_Governorate.html,"Cairo, Egypt",attractions,4.0,4.5
Not as expected,"Called for a meal about 5pm , half the restaurant was closed off , when we asked if we could have a meal we were told they couldn’t accommodate us at all , the staff were actually quite rude and unwelcoming and couldn’t be bothered to check whether they had a table for later , just walked off and proceeded to ignore us , maybe ok but wouldn’t bother even trying this again , not very impressed at all !",September 2019,The Shepherd & Shepherdess Inn Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1982745-d4087278-Reviews-The_Shepherd_Shepherdess_Inn_Restaurant-Beamish_Stanley_County_Durham_England.html,"Beamish, United Kingdom",restaurants,2.0,4.0
Surpassed expectations,"Wonderful visit to beamish over two days , trams buses and lots of things to experience , the only downside was not many exhibits were actually doing much , apparently they were short staffed , and no horse drawn vehicles or farm animals were on show or working . For the disabled visitor it would be a challenge as only one vehicle was equipped to transport wheelchair users and you need to do lots of walking .All said a wonderful trip and well worth seeing.",September 2019,Beamish Museum,https://www.tripadvisor.com/Attraction_Review-g1982745-d216478-Reviews-Beamish_Museum-Beamish_Stanley_County_Durham_England.html,"Beamish, United Kingdom",attractions,4.0,4.5
Little known gem of an attraction,"This was the fort that supplied hadrians wall for the Romans’ , reconstructed buildings and friendly willing helpful staff made this a gem of a place to visit , little known to ordinary folk it was a lovely treat to find this , lucky we got to see it as they shut at the end of sept till next season , we’ll worth a visit for anyone interested in the Roman history of the region .",September 2019,"Arbeia, South Shields Roman Fort",https://www.tripadvisor.com/Attraction_Review-g504186-d566492-Reviews-Arbeia_South_Shields_Roman_Fort-South_Shields_Tyne_and_Wear_England.html,"South Shields, United Kingdom",attractions,5.0,4.5
Well kept house .,"Lovely house built by and lived in by the same family (the Terry chocolate )till bought by the national trust , the house itself was a bit disappointing but the garden and tea room were superb , a lovely peek into a pre and post Second World War life of a wealthy family of the time .",July 2019,Goddards House and Garden,https://www.tripadvisor.com/Attraction_Review-g186346-d2181540-Reviews-Goddards_House_and_Garden-York_North_Yorkshire_England.html,"York, United Kingdom",attractions,4.0,4.5
Henry v,"We were expecting at least a decent performance, sadly it was abysmal , poor projection meant we could in almost every scene not make out the spoken word .The production was disjointed and seemed to consist of unconnected ideas that failed to provide a coherent vision of the play .An extremely poor production (we left at the interval ) we could find nothing positive to say .The drinks and food were very expensive , very very disappointed .I can see why there were very few people attending and lots of empty seats .",July 2019,Shakespeare's Rose Theatre,https://www.tripadvisor.com/Attraction_Review-g186346-d14770909-Reviews-Shakespeare_s_Rose_Theatre-York_North_Yorkshire_England.html,"York, United Kingdom",attractions,1.0,4.5
