title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Old Florida -- 1970 -- Great Lunch,Nice local place with good food and staff. Enjoyed a wonderful lunch from the outside upper bar overlooking the canal.,May 2021,Billy's Stone Crab,https://www.tripadvisor.com/Restaurant_Review-g34690-d395862-Reviews-Billy_s_Stone_Crab-Tierra_Verde_Florida.html,"Tierra Verde, Florida",restaurants,5.0,3.5
Wonderful Air-Boat Ride,"Our first air-boat ride. There were four of us and everyone enjoyed the trip. Great guide. Pleasant hour on the river. Great value at $45 per person. We saw alligators, bird life, and a beautiful river.

We would do this again.",April 2021,Up River Adventures,https://www.tripadvisor.com/Attraction_Review-g29172-d13543250-Reviews-Up_River_Adventures-Arcadia_Florida.html,"Arcadia, Florida",attractions,5.0,5.0
Inconsistant,"Excellent Cornbread Madelines ($6). Very good roasted carrots ($7). Jack Daniels BBQ Beans A++.

Sliced pastrami plate ($16) only OK, a bit too much fat (and yes, there should be some fat) that washed out the pastrami flavor. Ray's famous Italian Beef sandwich ($14) was good. Big Wedgie Salad was good ($14). Overall, the mains weren't memorable.

Dinner for four was $129.

Good service, but slow kitchen. Good atmosphere. Decent parking for downtown.",May 2021,Dr. BBQ,https://www.tripadvisor.com/Restaurant_Review-g34607-d12455713-Reviews-Dr_BBQ-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,3.0,4.0
Excellent Modern Urban Park,"Excellent example of modern urban public park.

Lots of open space for walking and viewing. Restaurants, ice cream, and a small area of craft stalls. Adjacent to marina. Nice view of skylines and airport. Public art. Great splash pad for kids. Great playground. A small beach. Festive atmosphere. Fishing spot at the end of the pier. Nice small museum by Tampa Bay Watch.

A nice place to stroll, sit, and relax. A good spot to bring kids.

Clean. Shuttles. Parking is OK.

More cities should invest in public spaces such as this.",May 2021,St. Pete Pier,https://www.tripadvisor.com/Attraction_Review-g34607-d21117923-Reviews-St_Pete_Pier-St_Petersburg_Florida.html,"St. Petersburg, Florida",attractions,5.0,4.0
Better than last time.,"We had dinner here - outside on the sidewalk. Enjoyed the food more than last time.

I had the Margharita Pizza ($14). Very good. Thin crust, but a little doughy. Also at the table Tagliatelle alle Bolognese ($17) served only warm, not hot from the kitchen. Also Ravioli al Formaggio -- very good ($19), and a Prosciutto Cotto Pizza with Arugula ($18). The Ricotta Meatballs (Meatballs, sauce, and little balls of ricotta cheese) was excellent ($11).

We all enjoyed the wine -- a bottle of ""Conundrum"" ($41), a red blend from California. We recommend.

Good service. Dinner for four $147. We will come back.",May 2021,Bavaro's Pizza Napoletana and Pastaria,https://www.tripadvisor.com/Restaurant_Review-g34607-d10336789-Reviews-Bavaro_s_Pizza_Napoletana_and_Pastaria-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,4.0,4.0
Causal Outdoor Dinning -- Ok Food,"We had dinner here. The fish spread appetizer is very good. The rest of the meal was average at best. Probably a better place for drinks and an appetizer or two, than for dinner. Excellent location and atmosphere.

Slow kitchen. Long wait for food.

I had the chicken tenders sandwich (Island Time Dockwhich - $14) and fries. Boring.
We had the grilled street corn ($7.50) and was OK, but I think they boiled it first.

Service was average.

Plastic cups for beer and cocktails.

I won't rush back, but I might give it a second chance.",May 2021,Tiki Docks Skyway Bar + Grill,https://www.tripadvisor.com/Restaurant_Review-g34607-d21142920-Reviews-Tiki_Docks_Skyway_Bar_Grill-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,3.0,3.0
Great Lunch Spot,"We had lunch here. Four people $112. Food was good, but not excellent or outstanding. However it exceeded expectations for a place with such a good view/location. High end pub food.

I had a Mojo Pork Sandwich ($11). Around the table was Fish Tacos ($14), Grouper Sandwich ($20), and Tropical Salad with Blacken Mahi ($23). Everyone satisfied.

Lightly battered or breaded french fries -- not my favorite.

Nice outdoor seating with great views. Live music. Good Service.

They serve drinks in plastic cups with plastic straws. I would prefer real glasses for look and feel, as well as environmental reasons. Use paper straws for the cocktails instead of plastic.

We will return.",April 2021,Doc Ford's Rum Bar & Grille - St. Pete,https://www.tripadvisor.com/Restaurant_Review-g34607-d21054591-Reviews-Doc_Ford_s_Rum_Bar_Grille_St_Pete-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,4.0,5.0
Nothing Special - Poor Value,"Rumfish is dated and worn. The hotel and grounds lack good flow and function. For instance, you walk to the Rumfish restaurant through parking garage traffic or backing delivery trucks -- no walkway. The path to beach front is down a dark hall or around the edge of the building on a narrow path between the wall and the fence.

Don't forget to figure in the extra $45/day activity fee when you price your room. Read careful what it includes and if you are actually going to use much of it. The things we tend use the most are free at a Holiday Inn Express -- towels, pool, WiFi, movies, exercise room, and such.

Mixed experience with the staff. Check-in (late at night) was excellent. Check-out at 8AM was awful --- one person at the desk with a line where some people needed 10 minutes of help and others only a minute. When we tried to ask at the office if we really needed to check-out in person we were barked at to get back in line. How about online check out????

Security theater at the front gate, and the night security officer was 350 pounds in a white shirt with a badge.

Mattress was uncomfortable. Sheets rough. Towels excellent. Room furnishings old. Marginally clean -- air vents full of dust, corners full dust, etc. Your typical Holiday Inn Express is 100% better for comfort and the condition of the room.

Free generic, unbranded coffee (as part of the $45 daily fee) in your room, or $4.50 coffee in the grill.

Cabana's come with the $45 fee, but the online system to reserve them doesn't work so your reservation isn't real. (Cabana staff says it hasn't worked for months.) You must physically present yourself the day before at 2PM to get a cabana. And, cabana's with a view of the water are $15 extra.

I won't go back. Not a good value. Failed to meet expectations. St. Pete Beach is great, but it is the same beach no matter which place you stay at.",April 2021,RumFish Beach Resort by TradeWinds,https://www.tripadvisor.com/Hotel_Review-g34606-d309575-Reviews-RumFish_Beach_Resort_by_TradeWinds-St_Pete_Beach_Florida.html,"St. Pete Beach, Florida",hotels,3.0,4.5
It felt different and slipping.....but still good seafood.,"We had fish sandwiches, an order of cole slaw, and two sodas ($38). It was slow getting our food and they weren't overly busy (empty tables inside and out). The fish was very good and we enjoyed our sandwiches. (But we thought they used to come with lettuce & tomato -- they don't.) The cole slaw was boring. The french fries not great, just OK.

You order at the window, pay, find a table and they call name.

Clean. Window staff very good.

Parking is tough -- we park at the Kittery Trading Post, walk over for lunch, and then shop at the Trading Post.",April 2021,Bob's Clam Hut,https://www.tripadvisor.com/Restaurant_Review-g40699-d412965-Reviews-Bob_s_Clam_Hut-Kittery_Maine.html,"Kittery, Maine",restaurants,4.0,4.5
Great Ice Cream & Hot Dogs,"We stopped for dinner & ice cream. We had Texas Hot Wieners ($2 each) with their ""secret sauce"" and Shoe String Fries ($3.25) each. Nicely done.

The ice cream was big winner. A small soft serve ($2.25) and a Regular Size Mint Sundae Special ($3.95) with mint chocolate chip ice cream, oreos, hot fudge, whipped cream, cherry and sprinkles.

Classic old school roadside ice cream joint. Excellent value.

And, they have Vegan Ice Cream and Shakes.

We will return.",April 2021,Mickey's Igloo,https://www.tripadvisor.com/Restaurant_Review-g48003-d828309-Reviews-Mickey_s_Igloo-Kingston_Catskill_Region_New_York.html,"Kingston, New York",restaurants,5.0,4.5
