title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Disappointing,"I have been to almost all the restaurants at Cyber Hub, so for a change we went there. But I was really disappointed with the very limited menu, quality and service. I really expected more from this place. So I won’t visit this place again.",August 2018,Olly,https://www.tripadvisor.com/Restaurant_Review-g297615-d14023496-Reviews-Olly-Gurugram_Gurgaon_Gurgaon_District_Haryana.html,"Gurugram (Gurgaon), India",restaurants,3.0,4.5
Good Hotel with excellent location,"This hotel is centrally located with good connectivity with metro. The hotels offer all the services that any business traveller or leisure traveller will look for. Closer to India Gate, Parliament House, Connaught Place.

They offer a delicious buffet breakfast with a wide variety and they have a bar and different restaurants to satisfy your taste buds.

On top of it, the staff is very good.",September 2017,Le Meridien New Delhi,https://www.tripadvisor.com/Hotel_Review-g304551-d301904-Reviews-Le_Meridien_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"New Delhi, India",hotels,4.0,4.5
Good Ambience and Music,"The wine and company offer you excellent service along with tasty food, cocktails and mocktails. I have visited this place on several occasion, and I can recommend this place for an evening outing.",October 2017,The Wine Company,https://www.tripadvisor.com/Restaurant_Review-g297615-d5969627-Reviews-The_Wine_Company-Gurugram_Gurgaon_Gurgaon_District_Haryana.html,"Gurugram (Gurgaon), India",restaurants,4.0,4.0
Great Location and good hotel,I have stayed in this hotel on several occasions. Last year my husband and I stayed at this hotel once again. The hotel is close to Buckingham Palace and many other sights seeing places. There is a good Indian restaurant which is next to it in case you are craving for the Indian Food. The rooms are bit small in size.,September 2017,"St. James Court, A Taj Hotel, London",https://www.tripadvisor.com/Hotel_Review-g186338-d265539-Reviews-St_James_Court_A_Taj_Hotel_London-London_England.html,"London, United Kingdom",hotels,4.0,4.5
Nice place with great cocktails,My friend and I went there yesterday evening. Ambience was nice and best part was there vodka based signature cocktails. I tried two different types and both tasted very good. Even food menu was good.,August 2018,Pier 38,https://www.tripadvisor.com/Restaurant_Review-g297615-d12277448-Reviews-Pier_38-Gurugram_Gurgaon_Gurgaon_District_Haryana.html,"Gurugram (Gurgaon), India",restaurants,4.0,4.0
Good Hotel with Metro connectivity,"The hotel is good and provides all the basic amenities. It’s closer to Metro station, so the commuting becomes easier. You get free WiFi and water. The breakfast buffet menu is good. They keep an Indian spread also. We stayed in this hotel during Christmas, so this was fully occupied. Overall good stay.",December 2017,Novotel World Trade Centre Dubai,https://www.tripadvisor.com/Hotel_Review-g295424-d299705-Reviews-Novotel_World_Trade_Centre_Dubai-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",hotels,4.0,4.5
Delicious Food,"I love Cheesecake Factory. You order anything out of their menu and the food is very delicious. I have been to this place several times, but food never disappoints me. Though you have to wait for a long time on Thursday, Friday and Saturday for your number.",December 2017,The Cheesecake Factory,https://www.tripadvisor.com/Restaurant_Review-g295424-d3421508-Reviews-The_Cheesecake_Factory-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",restaurants,5.0,4.5
Good beach with clean water,"I loved the water in this beach. You have ample restaurants around which provides beach beds with different pricing. There is a particular restaurant around this beach which I personally found to be a cheater. They charge 50 Euro’s for the beach bed and they will offer you that you can drink or eat worth 50 Euros from their restaurant for paying for beach bed. You will order just one drink and they will say that your 50 Euros are over.

But beach is nice for sure",July 2018,Platis Gialos Beach,https://www.tripadvisor.com/Attraction_Review-g659660-d2445564-Reviews-Platis_Gialos_Beach-Platys_Gialos_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.0
Not that great,I found Little Venice just an ok place. This area has lot of restaurants and other market area which makes it worth a visit.,July 2018,Little Venice,https://www.tripadvisor.com/Attraction_Review-g662620-d519760-Reviews-Little_Venice-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,3.0,4.5
Not that great,"I personally didn’t find anything much interesting about this place. But Mykonos any which ways does not have much to offer except good beaches and the night life. So you will end up visiting all these places, as you don’t have much choices.",July 2018,The Windmills (Kato Milli),https://www.tripadvisor.com/Attraction_Review-g662620-d669289-Reviews-The_Windmills_Kato_Milli-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,4.0,4.0
Good Insight into Greek History,"There was a long line to buy the tickets for Acropolis, though I managed to buy skip the line for the Acropolis museum tickets. As we visited this place in mid July hence weather was little warm. But all the wait was worth going up the hill to see the Acropolis. Good insight into history And you can see entire Athens city from the top. A must visit place.",July 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
