title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Avoid at all costs.,"I was inadvertently transferred to Cape Air when a United flight caused me to miss my original flight with Seaborne Air (another loser airline). The Cape Air flight was on a Cessna 8 seater where the noise level was unbearable. They didn't have my luggage to put on my flight but assured me it would be on the flight leaving 20 minutes later. Surprise....no luggage arrived. In St. Croix they put in a search but with very little help. Trips to the airport and calls yielded nothing. My luggage was brought to my hotel FOUR days after my arrival, late in the evening. The bag had clearly been ransacked and items stolen. Their level of concern regarding my missing luggage was zero. Avoid this airline at all costs.",May 2019,Cape Air,https://www.tripadvisor.com/Airline_Review-d8729044-Reviews-Cape-Air,World,flights,1.0,3.5
"After seeing the Acropolis, not to be missed","You could probably spend a whole day here looking at all the antiquities. Our tour guide knew which highlights to show us, so we went through it in a couple of hours. But not be missed after your visit to the Acropolis.",August 2018,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Time travelling,Words really can't describe walking through this ancient city. We were lucky enough to have I-Pads which were provided by our tour guide that showed locations in 3-D as to how they would have looked thousands of years ago. Truly a site not to be missed.,August 2018,Archaeological Site of Delos,https://www.tripadvisor.com/Attraction_Review-g202339-d4297568-Reviews-Archaeological_Site_of_Delos-Delos_Cyclades_South_Aegean.html,"Delos, Greece",attractions,5.0,4.5
Jaw dropping,"Ok, I've seen ruins, but this was an experience that so far topped anything I'd seen before. An ancient city that is only partially uncovered that is beyond anything you've seen. Walking the ancient stones and hearing the tour guide tell the story behind everything made it an experience of a lifetime.",August 2018,Ancient City of Ephesus,https://www.tripadvisor.com/Attraction_Review-g293976-d548950-Reviews-Ancient_City_of_Ephesus-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html,"Selcuk, Turkey",attractions,5.0,5.0
Awesome,"We visited the cave where St. John received the Book of Revelation in the Bible. Whether you're a believer or not, one can't help but be moved by the location and the story told by the tour guide. Then you go up to the monastery and see the ancient frescoes and the attached museum. And as you walk down the hill after the visit there are cafes and shops to meander in. Truly a wonderful afternoon.",August 2018,Monastery of St. John,https://www.tripadvisor.com/Attraction_Review-g189447-d207187-Reviews-Monastery_of_St_John-Patmos_Dodecanese_South_Aegean.html,"Pátmos, Greece",attractions,5.0,4.5
Walk into the past,The site of these ruins was fascinating and covered by a huge roof to protect the ruins. Went with a tour guide who knew everything there was to know about the site. (Greek tour guides spend three years training.),August 2018,Akrotiri Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g1189834-d4126654-Reviews-Akrotiri_Archaeological_Site-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.0
An eye opener,"Spent a wonderful afternoon here, hanging out at the beach, having lunch in the wonderful restaurant and relaxing with drinks until the sun came down. Not to be missed.",August 2018,Jackie O' Mykonos,https://www.tripadvisor.com/Restaurant_Review-g6581364-d4813583-Reviews-Jackie_O_Mykonos-Plintri_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,5.0,4.5
Like to shop?,"The Plaka is a great destination for shopping in Athens. From souvenirs to beautiful clothes, etc. it is the location to be.",August 2018,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Not to be missed,You can't see Athens until you've been to the Acropolis. It is center stage and to walk the stones that have been there for thousands of years is an experience not be missed.,August 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Simply perfect,"Though all the food in this restaurant was delicious, you've never had a Greek salad until you've had one of theirs.",August 2018,Metropolis Roof Garden,https://www.tripadvisor.com/Restaurant_Review-g189400-d11750196-Reviews-Metropolis_Roof_Garden-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
