title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Harry P. Leu Gardens,"Harry P. Len Gardens is 50 acres, a museum and Botanical. Facilities, Covid 19 procedures, everything labeled. Walking trails, benches, birds, wildlife : squirrels, rabbits.",May 2021,Harry P. Leu Gardens,https://www.tripadvisor.com/Attraction_Review-g34515-d116401-Reviews-Harry_P_Leu_Gardens-Orlando_Florida.html,"Orlando, Florida",attractions,4.0,4.5
Lion Country Safari,"Lion Country Safari just a wonderful experience, they have a great staff. They operate under CDC and Covid 19 procedures. We totally disagree with the Gov. DeSantis lifting masks restrictions. The park has many animals, but the star this week was not the lions, elephants, rhinos, it was a brand new just born baby zebra.",May 2021,Lion Country Safari,https://www.tripadvisor.com/Attraction_Review-g34404-d318734-Reviews-Lion_Country_Safari-Loxahatchee_Florida.html,"Loxahatchee, Florida",attractions,4.0,4.5
Lake Griffin State Park,"Lake Griffin State Park is in full bloom, they have great facilities, birds, wildlife. They have lots of things to do.",May 2021,Lake Griffin State Park,https://www.tripadvisor.com/Attraction_Review-g34240-d553943-Reviews-Lake_Griffin_State_Park-Fruitland_Park_Lake_County_Florida.html,"Fruitland Park, Florida",attractions,3.0,4.0
DeLeon Springs State Park,"DeLeon Springs State Park is wonderful, great staff, Covid 19 procedures, facilities. Lots of things to do, swimming, snorkeling, birds, wildlife. The Sugar Mill is super restaurant.",May 2021,De Leon Springs State Park,https://www.tripadvisor.com/Attraction_Review-g34174-d7396548-Reviews-De_Leon_Springs_State_Park-De_Leon_Springs_Florida.html,"De Leon Springs, Florida",attractions,4.0,4.5
Sikorski's Deli,"Sikorski's Deli is using Covid 19 procedures, parking. a very good staff. I enjoyed the polish deli part of the menu.",May 2021,Sikorski's Deli & Fish Market,https://www.tripadvisor.com/Restaurant_Review-g34379-d3836841-Reviews-Sikorski_s_Deli_Fish_Market-Largo_Florida.html,"Largo, Florida",restaurants,4.0,3.5
Florida Botanical Gardens,"Florida Botanical Gardens is keeping with Covid 19 procedures, they have a very good staff, facilities. Its spring and this place is beautiful. They have plants, birds and wildlife.",May 2021,Florida Botanical Gardens,https://www.tripadvisor.com/Attraction_Review-g34379-d640659-Reviews-Florida_Botanical_Gardens-Largo_Florida.html,"Largo, Florida",attractions,4.0,4.5
Hawkers Asian Street Food,"Hawkers has a casual decor with tables and booths, They use Covid 19 procedures, with a very good staff. They have an open kitchen, a street food menu. I am not sure about spelling, I had Tummy Wum, Pat Ty.",May 2021,Hawkers Asian Street Food,https://www.tripadvisor.com/Restaurant_Review-g34179-d21070630-Reviews-Hawkers_Asian_Street_Food-Delray_Beach_Florida.html,"Delray Beach, Florida",restaurants,4.0,4.5
Ayesha Lebanese,"Ayesha has a Mediterranean decor, they use Covid 19 procedures, parking, very good staff. Their customers are mainly middle aged locals. I enjoyed catch of the day.",May 2021,Ayesha lebanese,https://www.tripadvisor.com/Restaurant_Review-g34342-d10470884-Reviews-Ayesha_lebanese-Key_Biscayne_Florida.html,"Key Biscayne, Florida",restaurants,4.0,4.0
Dunkin',"Dunkin' is fantastic coffee, great menu, very good staff . Its Covid 19 procedures, parking, great location.",May 2021,Dunkin',https://www.tripadvisor.com/Restaurant_Review-g34297-d13561126-Reviews-Dunkin-Holmes_Beach_Anna_Maria_Island_Florida.html,"Anna Maria Island, Florida",restaurants,4.0,3.5
Keewaydin Island,"Keewaydin Island is just beautiful white sand, very clean. You need to bring your own drinks, or they have food boats. You can use your own boat, or the shuttle. It's a day trip.",May 2021,Keewaydin Island,https://www.tripadvisor.com/Attraction_Review-g34420-d1838569-Reviews-Keewaydin_Island-Marco_Island_Florida.html,"Marco Island, Florida",attractions,4.0,4.5
