title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Tasty Lunch,"Very enjoyable lunch with various dishes selected
Clean and tidy venue
Extremely COVID-Safe with all measures in place",January 2021,BangPop,https://www.tripadvisor.com/Restaurant_Review-g255100-d4176680-Reviews-BangPop-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.0
Another Brilliant Christmas Lunch,"Thank you again in 2020 for a truly beautiful Christmas Lunch.
From the delicious seafood to the selection of main meals, amazing desserts and of course, the cheese platter.
SkyHigh have once again delivered a fantastic Lunch.
Thank you to Richard and Staff for making Christmas so very special.
See you again this year.",December 2020,SkyHigh Mount Dandenong,https://www.tripadvisor.com/Restaurant_Review-g774972-d1058207-Reviews-SkyHigh_Mount_Dandenong-Mount_Dandenong_Victoria.html,"Mount Dandenong, Australia",restaurants,5.0,3.5
Great Coffee,"Thanks to the staff at Degraves Espresso
We thoroughly enjoyed our big breakfast and the coffee and fresh juice were the best we found in Melbourne, to date.
Will definitely be back.",January 2021,Degraves Espresso Bar,https://www.tripadvisor.com/Restaurant_Review-g255100-d1111272-Reviews-Degraves_Espresso_Bar-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,3.5
High Tea,"Enjoyable High Tea
Very clean establishment
Perhaps rather than being squashed in the back corner, we could have been seated towards the front.",January 2021,Damon Bradley,https://www.tripadvisor.com/Restaurant_Review-g255100-d9792748-Reviews-Damon_Bradley-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,4.0
Clean and Tidy,"Well positioned hotel
Easy walk to restaurants and coffee shops
Very clean and tidy from the foyer through to the rooms
Well mannered staff
Good pricing
The only downsize was the mattress was lumpy and the pillows were uncomfortable.",January 2021,Travelodge Hotel Melbourne Southbank,https://www.tripadvisor.com/Hotel_Review-g255100-d257808-Reviews-Travelodge_Hotel_Melbourne_Southbank-Melbourne_Victoria.html,"Melbourne, Australia",hotels,4.0,4.0
Fantastic Breakfast,"From the time we arrived until the time we left we were taken care of.
Our questions were answered by tentative staff with a good knowledge of the Menu.
The breakfast was presented well and absolutely delicious.
Clean and tidy inside and out
Good job to the owners and the staff.
We will definitely be back",December 2020,Enrik's Cafe and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g2019137-d944243-Reviews-Enrik_s_Cafe_and_Restaurant-Blackburn_Whitehorse_Greater_Melbourne_Victoria.html,"Blackburn, Australia",restaurants,4.0,4.0
OK,"As there are a lot of fish and chip shops in Hastings - this one is average in comparison. The chips are crispy, the hamburgers do not pack much flavor. The staff are definitely not friendly.",August 2020,Plaza Fish & Chippery,https://www.tripadvisor.com/Restaurant_Review-g552180-d15581557-Reviews-Plaza_Fish_Chippery-Hastings_Mornington_Peninsula_Victoria.html,"Hastings, Australia",restaurants,3.0,3.0
Great Staff,"Great atmosphere and friendly staff
Food was quite nice
The spirits are on the high side.
Restaurant was clean as were the toilets
Entertainment on a Sunday was good fun after a few drinks.",December 2019,Geonbae Korean BBQ- Hastings,https://www.tripadvisor.com/Restaurant_Review-g552180-d19097291-Reviews-Geonbae_Korean_BBQ_Hastings-Hastings_Mornington_Peninsula_Victoria.html,"Hastings, Australia",restaurants,4.0,5.0
Under-whelming,"Went for lunch.
Arancini Balls were cold by the time they got to the table.
The wedges were small and looked they came from the bottom of the bag.
The calamari was quiet nice although the entree was over-priced for the amount you received.
Most other foods were average.
No atmosphere.
Wont be going back.",March 2020,La Porchetta Pizza Restaurant,https://www.tripadvisor.com/Restaurant_Review-g552180-d4821376-Reviews-La_Porchetta_Pizza_Restaurant-Hastings_Mornington_Peninsula_Victoria.html,"Hastings, Australia",restaurants,3.0,4.0
Beautiful Surrounds,"Peaceful surrounds out on the deck.
Good coffee.
The Big Breakfast was certainly big and not disappointing.
However, the smashed avocado on toast was underwhelming and over-priced.
Some of the younger staff need to learn to smile.",January 2020,Remuce,https://www.tripadvisor.com/Restaurant_Review-g6653099-d12981353-Reviews-Remuce-Bittern_Mornington_Peninsula_Victoria.html,"Bittern, Australia",restaurants,4.0,4.0
