title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Hudge lines,The waiting line where hudge to each atraction point and this definitly ruins the experience. I was waiting for one hour to buy a hot dog and a bottle of water and I left the que becouse I still had 20 persons in front.,January 2020,LEGOLAND Deutschland,https://www.tripadvisor.com/Attraction_Review-g580189-d261317-Reviews-LEGOLAND_Deutschland-Gunzburg_Swabia_Bavaria.html,"Gunzburg, Germany",attractions,4.0,4.0
decent greek restaurant,"If you want to eat greek food in Bucharest there are few possibilities, and this is one of the best. The food is ok, but the service is not that good and the prices are high respect any other greek restaurant in Bucharest.",July 2019,La Kostas,https://www.tripadvisor.com/Restaurant_Review-g294458-d7008888-Reviews-La_Kostas-Bucharest.html,"Bucharest, Romania",restaurants,4.0,4.0
to spicy for me,To be honest I'm not a fan of Mexican food so this could be the reason that I didn't liked very much this restaurant. The sweet beer is awful don't tryout.,August 2019,El Torito,https://www.tripadvisor.com/Restaurant_Review-g294458-d2494403-Reviews-El_Torito-Bucharest.html,"Bucharest, Romania",restaurants,4.0,4.5
very good pizza,"The pizza is very good is made in traditional Italian forn, al forno, I've been there with both of my kinds an we have spent a very nice evening",July 2019,Cuptorul Cu Lemne,https://www.tripadvisor.com/Restaurant_Review-g294458-d12858615-Reviews-Cuptorul_Cu_Lemne-Bucharest.html,"Bucharest, Romania",restaurants,5.0,4.5
Amazing building,The restaurant is placed in a very well renovated old building on Pache Protopopescu street. The food is very good and the service is fast and client needs oriented.,July 2019,Hanu' Berarilor Casa Elena Lupescu,https://www.tripadvisor.com/Restaurant_Review-g294458-d1809238-Reviews-Hanu_Berarilor_Casa_Elena_Lupescu-Bucharest.html,"Bucharest, Romania",restaurants,5.0,4.5
40 min for a bad pizza,we have spend 40 minutes waiting for a pizza that you can buy from every corner of the streets. The waiter tried his best but was not enough. They where faster with the greek salad,January 2020,Ciao Italia - Pangrati,https://www.tripadvisor.com/Restaurant_Review-g189400-d8067753-Reviews-Ciao_Italia_Pangrati-Athens_Attica.html,"Athens, Greece",restaurants,3.0,3.5
very nice dinner,"very good food, local products, the service was perfect even we didn't booked before they have offered a table for 4 persons. Fried zucchini and some tomatoes and cheese balls where just amazing.",January 2020,Mavro Provato,https://www.tripadvisor.com/Restaurant_Review-g189400-d3397800-Reviews-Mavro_Provato-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
history,"Is a very special place, you're feeling that you walking where the biggest mans of Ancient Greece used to walk 2000 years ago. Impressive.",January 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
amazing view,amazing 360 degrees view of Athens. You can see all the important points of Athens from the highest point of the city.,January 2020,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A lot of rocks,"Very nice museum, if you interested in ancient history is a perfect place for you if you’re not could e boring",January 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
