title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The premier archaelogical museum,The National Archaeological Museum holds the treasures of ancient Greece. It starts with Minoan cultures and progresses through the Roman and Byazantine eras.,November 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful climb,"We climbed from the Placa and wound through Hadrian's Library, the Forum, and up the hill to reach the top of the Acropolis and the Parthenon. The views are striking and the pathway is fairly well marked.",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Get lost in the Plaka!!,"The Plaka is the perfect place to get lost! There are pedestrian streets, restaurants and lovely shops.",November 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Fabulous Service,We contracted with George's Taxi to pick us up at the airport and take us to our hotel. The driver was waiting for us exactly where the emails told us he would be. He knew the city and how to get around the traffic jams. He knew the city well and conversed with us about a wide variety of things for us to see and do in Athens.,November 2019,George's Taxi,https://www.tripadvisor.com/Attraction_Review-g189400-d1905851-Reviews-George_s_Taxi-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Athena!!,Virtually all of the Parthenon was dedicated to the worship of Athena. What majesty!! The architects knew the secrets of designing structures that awe! Don't miss the Erechtheion where Athena fought Poseidon for naming rights to the city of Athens.,November 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Lovely Placa Guest House,"The location of the Palladian Home could not be more perfect. We stepped out onto our balcony to a view of the Acropolis! The hotel is near the shops and restaurants of the Placa. The staff was friendly and accomodating. Our room was delightful with high ceilings and a very modern, elegant bathroom. We enjoyed the wine they gave us and the breakfast the next morning.",November 2019,Palladian Home,https://www.tripadvisor.com/Hotel_Review-g189400-d12505463-Reviews-Palladian_Home-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Elegant Palaces,The Palatine Hill was home to the emperors. The ruins of their elegant palaces sparks the imagination of what life was like. Can you believe they had heated floors in the grand dining room?,December 2019,Palatine Hill,https://www.tripadvisor.com/Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Stunningly Beautiful,One of the best parts about visiting Rome is that you never know what is around the next corner. Turning the corner to discover the beautiful Piazza Novona was another delight. The Piazza contains three beautifu fountains including the stunning Four Rivers Fountain. Don't forget to stip in Tre Scalini for their Gelato Tartufo!,December 2019,Piazza Navona,https://www.tripadvisor.com/Attraction_Review-g187791-d190121-Reviews-Piazza_Navona-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Flowing waters,The Trevi Fountain is magical! It spans a city block and draws crowds even in the off season. The fountain is stunningly beautiful. A must see!,December 2019,Trevi Fountain,https://www.tripadvisor.com/Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Across the River,"Life has a different pace just across the Tiber River. There are beautiful cathedrals, lovely winding alleyways crisscross the city. Restaurants and piazzas form the living room of the city.",December 2019,Trastevere,https://www.tripadvisor.com/Attraction_Review-g187791-d190123-Reviews-Trastevere-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Sprawling Ruins,The Roman Forum housed the life of ancient Rome. The city's great monuments were here along with temples for the worship of the various deities. Commercial activity centered here as to government of the city.,December 2019,Roman Forum,https://www.tripadvisor.com/Attraction_Review-g187791-d2154770-Reviews-Roman_Forum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Standing in the Arena,"The Colosseum is even larger from inside. We stood on the floor of the arena and got to see the workings of the Colosseum that produced the spectacles that entertained the Romans of the first century. Incredibly, it held 50,000 spectators.",December 2019,Colosseum,https://www.tripadvisor.com/Attraction_Review-g187791-d192285-Reviews-Colosseum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Early Entry with a Live Guide,"Elaine with What a Life Tours made sure that we were the first group to enter tye Vatican Museums last Thursday. What a Life Tours provided a continental breakfast so that we had a early start and then they arranged for another employee to pick up tickets so that we could enter the museum as soon as the doors were open. We had the amazing privilege of seeing hall after hall with only our small group. Elaine brought the museum to life. She ensured that we gained background knowledge as we walked and talked so that the Sistene Chapel and St Peter's Basilica were brilliantly meaningful. The tour guide makes all the difference and a live guide is critical to fully understanding the Vatican. Elaine east, drinks, and dreams the Vatican. She is extremely knowledgeable and brings a strong sense of humor to to keep focus on the myriad works of art.",December 2019,What a Life Tours,https://www.tripadvisor.com/Attraction_Review-g187793-d2021631-Reviews-What_a_Life_Tours-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,5.0,5.0
