title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice,"Last Saturday I visit this beautiful place paradise on earth.
The people came from all around the world.",March 2021,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Best of Best indian food in Athens,"I want to describe my review about Indian haveli, Due to lockdown situation we make an delivery near Holton area.
We found same quality which we get when we dine in restaurant.
The food was hot and came very fast.",March 2021,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Satisfied prices and amazing taste,"We order chicken tikka masala ,dal makhni,chicken tikka with garlic and mix chilly naan all are tasty and fresh food.its my 6th order to haveli indian restaurant. Before covid every weekend we enjoy there and staff also very helpful thanks to INDIAN HAVELI .",January 2021,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Excellent Delivery Service.,"Actually, We are regular customer of Indian Haveli restaurant.
But due to lockdown we regularly ordered delivery. All the time we found delicious Indian food.
We love chicken korma with khandari nan and mango lassi. Of course papadam as usually.",November 2020,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Excellent food and service,"We love indian food. So we regularly choose indian haveli.
All the time we found good food at Haveli.
Must try butter chicken with garlic naan.",October 2020,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Best Indian Meal near Acropolis stations,"Best Indian Meal near Acropolis stations.
We ordered chicken Tikka and pulao rice and in sweet gulab jamun.
All of them amaging.",August 2020,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Delicius indian food and fast service,"Delicius indian food and fast service.
We live in Athens and usually we visit this restaurant once a month.
one reason we go usually because they use real spices as like india.
price is normal for a couple 20-25 euro.",February 2020,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Good food and great staff,"I visit that restaurant second time.
everything was good. Food came on time. we ordered chicken tikka masala with poulao and naan.",December 2019,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
origenal spicy food,The food was really fresh and delicus . The service was very good and frindly staff. and option have everything like jain and veg.,December 2019,TARKA Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d13506586-Reviews-TARKA_Indian_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Good tour with tarka restaurent,The food was very deliceus and the staff was friendly and fast servise . amezing experience with indian food .,November 2019,TARKA Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d13506586-Reviews-TARKA_Indian_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Best indian resturent in athens,it was very good food . chiken tika masala it verry nice . mango lassi my best . chiken korma also good .,September 2019,TARKA Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d13506586-Reviews-TARKA_Indian_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Great Indian restaurant excellent service,The food was very delicious Dall makhni it was amazing with butter naan. Very well decorated Haveli.,July 2019,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
