title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Historical,Love the place and especially now that they're taking care more of the place..amazing beautiful place!,December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Rude servers,"We asked to switch place since a couple has left and we just came and sat down in an uncomfortable place. The server just immediately said no and said we need to do reservations and started placing reserved on the table. It's not a customer service for people who are greeks, it's such a shame. It's not my first time in this place and just that day I brought my greek husband with me and that's his first time experience with his greek people..",December 2019,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.0
Don't expect too much,"Well my first time to visit the place and since it's the best of the year I was looking forward to see all their festive decorations. So I wanted to go at the big place and didn't let me in cause I'm alone so they told me to go in their other place which has a small place, they don't tell on their page about how many place they have and which one a person or number of people can go...
Since i am alone and i smoke, i had to go out to have a cigarette, into my last cigarette I had to take my scarf going out with my coffee since it's breezy but i left my takeaway on my table, when i came back someone else has taken my place. I paid the 13euros of coffee and a plate of red velvet. I didn't want to make a scene but i told the lady that she could have asked me before she placed other people on my seat.... I was having a nice time but it really makes me sad how sometimes greeks they treat people without respect. My husband told me that I shouldn't pay for it since I was like being kicked out but because I don't want to be mean and I always believe in Karma, I paid anyway.",December 2019,Little Kook,https://www.tripadvisor.com/Restaurant_Review-g189400-d9710322-Reviews-Little_Kook-Athens_Attica.html,"Athens, Greece",restaurants,3.0,4.0
Disappointed,"I can't complain how beautiful the sea is but when I came with my family, we tried to find a empty sunbeds. Usually if its reserved they're putting covers in it. So we found one which was empty and when we're about to sit. A guy named Kostas told us that it's reserved and we can't sit whenever we want. Like seriously talking about customer service? Very poor and disrespectful. I am not sure maybe they are looking for people who looks rich and all that. But even in Mykonos or Santorini we were never treated this way. I feel bad for beach bars like this, you can't be good if your staff doesn't know customer service, may it be greeks or foreigners. Plus coffees came after an hour that we had to order again, as well as the sunbeds location the guy gave us doesn't have a small trash bin that usually it should have. Will never recommend neither come back to this place with staff like this.",August 2019,Zattero Seaside Bar,https://www.tripadvisor.com/Attraction_Review-g1191813-d7258175-Reviews-Zattero_Seaside_Bar-Fourka_Kassandra_Halkidiki_Region_Central_Macedonia.html,"Fourka, Greece",attractions,2.0,4.0
Great food in affordable prices!!,"Love their dishes, seafood are fresh and in big servings! Staff are kind and the place is awesome! Totally worth it ☺️",April 2018,To Elliniko,https://www.tripadvisor.com/Restaurant_Review-g189473-d3404582-Reviews-To_Elliniko-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,"Thessaloniki, Greece",restaurants,5.0,4.5
Quick getaway,"4hrs 30mins drive from Athens, If you want to travel without taking the ferry. Love the place, more parking space, a lot of sun-beds, great restaurant with pool which is sea water (for kids to enjoy if the sea is not so calm), not so pricey, staff are friendly.The sea is such a beauty.",August 2017,Kathisma Beach,https://www.tripadvisor.com/Attraction_Review-g1786926-d3422036-Reviews-Kathisma_Beach-Agios_Nikitas_Lefkada_Ionian_Islands.html,"Lefkada, Greece",attractions,5.0,4.5
Family dinner,"Arrived at the place with full of people, so we had to be in the waiting list before having dinner. We waited for 2 hours, luckily there's a cafe beside it which you can seat, have coffee, enjoy the sunset and nice view (if you come earlier) to wait for our place in the restaurant. It's windy because the place is quite in a higher place, but they offer blankets (you just have to ask where they put it). The restaurant is kind of expensive probably because it's a tourist spot, but then it has a great food and friendly staff. Great view and a great place to dine!",August 2017,Rachi,https://www.tripadvisor.com/Restaurant_Review-g12487010-d2436208-Reviews-Rachi-Exanthia_Lefkada_Ionian_Islands.html,"Lefkada, Greece",restaurants,5.0,4.5
A visit,"Can't say it's a nice place for food or coffee, can be a great place for night life and drinking liquor. However, it has a nice sea view and sunset (if you come earlier). Staff are friendly and it's accessible for outdoor activities for kids.",August 2017,Penarrubia Lounge,https://www.tripadvisor.com/Restaurant_Review-g642168-d8525314-Reviews-Penarrubia_Lounge-Alimos_Attica.html,"Alimos, Greece",restaurants,3.0,3.0
My other me time,"Nice to swim in the sea, beautiful view, friendly staff, great coffee, nice food, nice place to unwind and relax. Accessible to other beaches and cafe.",August 2017,Nalu All Day Cafe,https://www.tripadvisor.com/Restaurant_Review-g642168-d7002958-Reviews-Nalu_All_Day_Cafe-Alimos_Attica.html,"Alimos, Greece",restaurants,4.0,4.0
Best so far,"Well I can say that this is the best stay in a hotel for me. Stayed in executive room, with a free access of executive lounge. Staff are very accommodating, food is very good and the rooms are cozy comfortable. Will make you want to come back and check-in again. It's accessible to coffee shops or 7-11 and Malls.",August 2017,"Crimson Hotel Filinvest City, Manila",https://www.tripadvisor.com/Hotel_Review-g312690-d3499370-Reviews-Crimson_Hotel_Filinvest_City_Manila-Muntinlupa_Metro_Manila_Luzon.html,"Luzon, Philippines",hotels,5.0,4.5
