title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Amazing experience.,"This place is amazing. Great people working there and made us feel like English Royalty!! Food is great and surprisingly affordable too. Service for house keeping , valet parking or even people working at front desk and gate and in Restaurant are just great and so respectful. A must visit Hotel with lots of history.",October 2019,The Deer Path Inn,https://www.tripadvisor.com/Hotel_Review-g36233-d87832-Reviews-The_Deer_Path_Inn-Lake_Forest_Lake_County_Illinois.html,"Lake Forest, Illinois",hotels,5.0,5.0
Birthday Celebration,"Made reservations for 8. They were nice enough to take as they usually don’t take reservations. Excellent food and wine and to end the day with , they provided free cake. Thank you",May 2019,Carrabba's Italian Grill,https://www.tripadvisor.com/Restaurant_Review-g54121-d835651-Reviews-Carrabba_s_Italian_Grill-Warwick_Rhode_Island.html,"Warwick, Rhode Island",restaurants,5.0,4.0
Destination wedding,"On a free day we took a minibus tour to the grand mosque. Open from 8 to 11 for visitors of any religion. Ah I a calming place and once you enter , you can feel God and you will start praying. Nice and cool inside due to marble structure. Rug is a one PCs and weighs about 17 tons. Chandilier with Swarovski crystals weighs 9 tons. A must visit place.",December 2018,Sultan Qaboos Grand Mosque,https://www.tripadvisor.com/Attraction_Review-g1940497-d321349-Reviews-Sultan_Qaboos_Grand_Mosque-Muscat_Muscat_Governorate.html,"Muscat, Oman",attractions,5.0,5.0
Destination wedding,"Amazing place , Amazing people and Amazing city. Can’t say more about it. It was fun filled experience and plan to visit again. Many many places to see. Relaxing place for a nice and quite vacation. Lagoon rooms are amazing and uniquely situated on the property.",December 2018,Al Bustan Palace A Ritz-Carlton Hotel,https://www.tripadvisor.com/Hotel_Review-g1940497-d808466-Reviews-Al_Bustan_Palace_A_Ritz_Carlton_Hotel-Muscat_Muscat_Governorate.html,"Muscat, Oman",hotels,5.0,4.5
Nice late night dinner.,Food was very good and not too expensive either. Was surprised to find a Good Indian Restaurant in this Island.,December 2018,Mahek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1185571-d3355159-Reviews-Mahek_Restaurant-Beau_Vallon_Mahe_Island.html,"Mahe Island, Seychelles",restaurants,5.0,4.0
Short vacation during our trip to India.,"Today is our last day and it almost feels like we are leaving our family and friends.

Thank you so much for the hospitality here at Fishermen’s cove. It’s an amazing place and people are so great.

Thank you for the wonderful time provided to my family and my friend’s family.

Oliver and girls at the front desk , Julian and Bernadette and girls at Cardinal are so Friendly people that they took care of us for four days as Family members.

MICHIEL ZOONEN , personal thank you to you and your Amazing team for being so gracious and thoughtful of our convenience and comfort.

Due to restrictions of stars , I can just offer the best which is 5 star but I wish they had 10 stars and I still would be asking for more stars.

We will be leaving you today but memories will remain with us throughout our life time.

Thank you once again MICHIEL And the team for everything.",December 2018,Fishermans Cove Resort,https://www.tripadvisor.com/Hotel_Review-g482879-d302667-Reviews-Fishermans_Cove_Resort-Bel_Ombre_Mahe_Island.html,"Mahe Island, Seychelles",hotels,5.0,4.0
Twkenout,Great food and great price. Fresh food and great taste. Will surly visit over and over agin. All of their curries and starters are amazing.,October 2018,Nam Khong,https://www.tripadvisor.com/Restaurant_Review-g54126-d11924908-Reviews-Nam_Khong-Westerly_Washington_County_Rhode_Island.html,"Westerly, Rhode Island",restaurants,5.0,5.0
Adult night out,Place was full due to an engagement party so we set at the bar. Ordered dinner at the bar. Service was fantastic at the bar and bar tender was very responsive but I am not sure what happened to the taste of food. Ordered club sandwich and got wrap. My wife asked for salad and cutons were like large PCs of bread. I am not sure what is going on but they need to tighten on quality and presentation. What happened to the best potato fries ? And the reason for 3 instead of five star. Always was five star.,September 2018,Eleven Forty Nine Restaurant,https://www.tripadvisor.com/Restaurant_Review-g54121-d1019123-Reviews-Eleven_Forty_Nine_Restaurant-Warwick_Rhode_Island.html,"Warwick, Rhode Island",restaurants,3.0,4.0
Worst experience,"We were trying at Petinos Beach Hotel. Restaurant right under our room. Thought owned by same owners , room charge aaa not allowed. Asked to sit in open space close to water but kept saying it’s windy etc etc just to discourage us in occupying larger table. Worst food and attitude of people at restaurant was horrible.",August 2018,Blue Myth Restaurant,https://www.tripadvisor.com/Restaurant_Review-g659660-d1473431-Reviews-Blue_Myth_Restaurant-Platys_Gialos_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,1.0,4.5
Perfect service AAA rating by us.,"Pre arranged out Airport transfer on line and Nikos was quick in replying. In time at Athens Aiport and our way to Electra Palace. Chauffeur was very polite and knowledgeable and guided us for lots to see in Athens. Called Nikos on his cell phone and requested to arrange city taxi service for next two days. Made several 5 -6 hours trips to see various places. The chauffeur Consto was truly a great chauffeur and guide combined. We really enjoyed our time with him.

Last evening , sent a message to Nikos for time hangs on next morning flight and got answer back in few minutes confirming the change. I came to know that Nikos was on vacation but still attended to work. This guy is a workaholic.

Great for us that we found them. It was truly a pleasure visiting Athens and learning the history. Will surly visit back when time permits.

ATS is a must have service.",August 2018,ATS - Athens Taxi Services,https://www.tripadvisor.com/Attraction_Review-g189400-d7856183-Reviews-ATS_Athens_Taxi_Services-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
