title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great for Vegetarian Diners,I visited here recently - I'm not a vegetarian however many of my vegetarian friends adore this restaurant. I think for the type of dining this restaurant is clearly above and beyond. Some of the dishes were very good - some I found to be good (but not mind-blowing for this non-vegetarian). Unfortunately due to time issues with the seatings - we were hurried out the door despite having a set menu with matching wines. While I understand the issues with COVID - it was a bit of a dampener on the evening - plus we would have stayed for coffees and dessert wine! Overall though - I'm glad I tried it - I'm definitely a carnivore though!,November 2020,Yellow,https://www.tripadvisor.com/Restaurant_Review-g255060-d5491295-Reviews-Yellow-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.0
Fantastic Sri Lankan Food,This restaurant has been around a while and always gets really good reviews - have wanted to visit for a while now. A few of the reviews here comment on the poor service - however this wasn't my experience on a busy weekend. Found the service to be efficient and friendly - so they may have new staff - or newer staff who are now more experienced than before. The food itself is fantastic - the set menu is the perfect amount of food - some interesting drink choices - and the sambal platter component of the set menu is something I haven't had before in Sydney. Nice cozy venue - definitely book ahead.,November 2020,Lankan Filling Station,https://www.tripadvisor.com/Restaurant_Review-g255060-d15003116-Reviews-Lankan_Filling_Station-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,5.0,4.0
Bottomless Brunch,"First experience at this restaurant and also the ""bottomless brunch"" concept. The food was great - more modern Mexican style than Tex Mex - which is a great refreshing change. The venue is small and offers outdoor seating as well - which is nice in the warmer weather. The value for the brunch is good - they were very generous with the beverage service - and the food was well paced. You get to try all the tacos on the menu and then you can order more as you need it. It's only a small venue so definitely book ahead. The brunch on Sunday was pretty much fully booked for the morning and afternoon seatings.",November 2020,Sonora,https://www.tripadvisor.com/Restaurant_Review-g255060-d19649271-Reviews-Sonora-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,5.0,4.0
Such an interesting concept,Peruvian Japanese inspired dining? Definitely don't get that every day. Visited here recently and had the tasting menu with paired wines. Absolutely loved everything we were served and the wine pairing was great (they do offer it but didn't see in on the menu - just ask). The service was efficient and friendly - very informative with the meals/ingredients and the wines. Interesting range of cocktails that you also don't see just anywhere. Nice atmosphere. Definitely recommend for something different. I got more of a Peruvian vibe than a Japanese vibe - but that was fine with me considering I wanted something different.,November 2020,Nikkei Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255060-d19585143-Reviews-Nikkei_Bar_Restaurant-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,5.0,4.5
Special Occasion Option in Dubbo,I had dinner here one night when visiting the area. The venue itself is very nice and had more of an upmarket feel to it. The food is good quality - and the waitstaff were pleasant (and quite hard working given the place was so busy). The only issue we experienced was a very long wait between courses - entree to main took literally just over an hour. Apart from that - good experience. Definitely book ahead as this venue gets completely booked out.,October 2020,Veldt Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255320-d8089153-Reviews-Veldt_Restaurant-Dubbo_New_South_Wales.html,"Dubbo, Australia",restaurants,4.0,4.5
Quirky Local Place - Packed and the Place to Be!,This really is the place to be in Bourke - whenever I walked past it was busy - and when I had dinner there on Friday night - people were being turned away due to no tables. The food itself is reasonably priced and the menu has a fair bit of variety. Full bar and drinks. We were likely some of the very few out of towners dining there - so it is nice to see the Bourke local community out and about - given that during summer the heat keeps people indoors. Would give this place top points for atmosphere and life! Apparently VERY popular weekend breakfast venue - perhaps book ahead.,October 2020,Diggers on the Darling,https://www.tripadvisor.com/Restaurant_Review-g528927-d3398272-Reviews-Diggers_on_the_Darling-Bourke_New_South_Wales.html,"Bourke, Australia",restaurants,4.0,4.0
Fantastic Stay,I really enjoyed staying at this property. The owners are friendly and each of the rooms are unique. The property itself is nicely maintained and I enjoyed having some drinks in the vast outdoor areas in the afternoon. The property is a short walk from two of the three main dining options in town. The property is secure and safe in terms of parking and during your stay overnight - gates are locked in the evenings until morning. Good amount of parking available for those staying.,October 2020,Bourke Riverside Motel,https://www.tripadvisor.com/Hotel_Review-g528927-d631276-Reviews-Bourke_Riverside_Motel-Bourke_New_South_Wales.html,"Bourke, Australia",hotels,5.0,4.0
An excellent choice for something,An excellent choice for something a bit different. I had the nasi goreng which I haven’t had in years and wasn’t disappointed. Fresh food - good portions at reasonable prices. Delicious.,August 2020,Medan Ciak,https://www.tripadvisor.com/Restaurant_Review-g255060-d10836658-Reviews-Medan_Ciak-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.0
Good Afternoon Drink Venue,Good wine for an early afternoon drink. Service was efficient and friendly. Insanely huge selection of rum on the menu from all over the world. Good selection of other choices if you aren’t keen on rum too - but recommend giving it a go since rum is their specialty!,August 2020,Brix Distillers,https://www.tripadvisor.com/Restaurant_Review-g255060-d15136649-Reviews-Brix_Distillers-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.5
Great Variety of Fried Chicken,"Quite enjoyed some take away on the COVID19 environment. We ordered the ""Rainbow Platter"" which is a huge amount of food and a great deal of variety amongst the multitude of fried chicken ""flavours"" they offer at this venue. The food was flavoursome and exactly what you expect when ordering Korean fried chicken.",May 2020,Chicken V,https://www.tripadvisor.com/Restaurant_Review-g255060-d13171041-Reviews-Chicken_V-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,3.5
