title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Don’t look for a smoke house or a welcome,"Don’t come looking for a Smokehouse. On arrival, I excitedly answered the server (Maria as it happened) that we were here for the smoked fish. Without hesitation, she answered, “we haven’t had smoked fish for five years.” Disappointed, we finished our beer and left for an apolitical establishment.",April 2021,Maria's Smokehouse and Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g34231-d402062-Reviews-Maria_s_Smokehouse_and_Seafood_Restaurant-Fort_Myers_Beach_Florida.html,"Fort Myers Beach, Florida",restaurants,1.0,3.5
Really just Ok. A bit of a disappointment.,The train ride was interesting but a bit short and expensive. The locomotive is admittedly beautifully restored. The house tour is cursory and really underwhelming compared to any historic house I’ve experienced. The sugar plantations along the river road in Louisiana come to mind as much more thorough and informative. The tasting was inadequate compared to either Foursquare or Mt. Gay. The saving grace was the movie which was really first rate.,February 2020,St. Nicholas Abbey,https://www.tripadvisor.com/Attraction_Review-g1183146-d154047-Reviews-St_Nicholas_Abbey-Saint_Peter_Parish_Barbados.html,Barbados,attractions,3.0,4.5
Great stop,Really nice lunch stop. Everything was great prepared fresh. Nice place for a beer and cutter at one of the picnic tables or inside.,February 2020,Sand Dunes Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3473353-d2034881-Reviews-Sand_Dunes_Bar_Restaurant-Belleplaine_Saint_Andrew_Parish_Barbados.html,Barbados,restaurants,5.0,4.5
Think of it as a food tour,"We went for the lunch buffet. I had heard that it was expensive and maybe is for lunch, but you pay way more for a food tour and you wouldn’t get the variety or the quality. Do a little reading on the cuisine before you go and enjoy it all.",February 2020,Brown Sugar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g147263-d1600216-Reviews-Brown_Sugar_Restaurant-Bridgetown_Saint_Michael_Parish_Barbados.html,Barbados,restaurants,5.0,4.0
Best fish cutter,Many of the reviews say this is the best place for flying fish cutter. He was serving marlin on the day I went. It was still the best fish sandwich I had on the island. Don’t hesitate.,March 2020,Cuz's Fish Stand,https://www.tripadvisor.com/Restaurant_Review-g147263-d3453434-Reviews-Cuz_s_Fish_Stand-Bridgetown_Saint_Michael_Parish_Barbados.html,Barbados,restaurants,5.0,4.5
Great place for breakfast,They get busy at about 10 but you can pick a table by the sand earlier. The Blue Pineapple sandwich and the burrito were both very good.,February 2020,Blue Pineapple Barbados,https://www.tripadvisor.com/Restaurant_Review-g666611-d15644064-Reviews-Blue_Pineapple_Barbados-Hastings_Christ_Church_Parish_Barbados.html,Barbados,restaurants,4.0,4.0
Maybe worth a stop just for a drink,"In a great location, but food service is slow, uninterested and when it arrives we’ll below standard.",February 2020,Blakey's on the Boardwalk,https://www.tripadvisor.com/Restaurant_Review-g666611-d2182738-Reviews-Blakey_s_on_the_Boardwalk-Hastings_Christ_Church_Parish_Barbados.html,Barbados,restaurants,1.0,4.0
"Stunning, a vision of paradise.","Truly a spot that will stay with you. Unfortunately, I don’t think a picture can capture it. I know mine couldn’t so you’ll have to spend some time to sit and soak it in. If you ever liked gardens you’ll be enchanted.",February 2020,Hunte's Gardens,https://www.tripadvisor.com/Attraction_Review-g1183257-d1868421-Reviews-Hunte_s_Gardens-Saint_Joseph_Parish_Barbados.html,Barbados,attractions,5.0,5.0
"No need to go in the cave, the view from the cliff is nice.","Really I thought the cave tour was a ripoff and dangerous to boot. $15 US for 10 minutes of struggling not to kill yourself on slippery, wet cave floor that has been polished by decades of feet. You see one pool with a few inch to inch and a half sea anemones and then, if you want, 10 minutes to swim in a pool about the size of a modest hotel pool. Really a let down. Maybe it appeals to folks who have never seen a cave.",March 2020,Animal Flower Cave,https://www.tripadvisor.com/Attraction_Review-g1183170-d149914-Reviews-Animal_Flower_Cave-Saint_Lucy_Parish_Barbados.html,Barbados,attractions,1.0,4.5
Just another review saying you need to go,"You do need to go. If your shy of crowds, I am, go early say around 5pm or a little after. Food will taste just as good. Don’t pass it up.",February 2020,Oistins Fish Fry,https://www.tripadvisor.com/Restaurant_Review-g1183194-d3622807-Reviews-Oistins_Fish_Fry-Oistins_Christ_Church_Parish_Barbados.html,Barbados,restaurants,5.0,4.5
