title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
easy,"we took the hop on hop off bus from the cruise port.
Took us right to the Acropolis and back.
No worry, super easy.",October 2019,My Athens Transfers,https://www.tripadvisor.com/Attraction_Review-g189400-d9846275-Reviews-My_Athens_Transfers-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Wow!,"A must see when in Athens.
$20.00 euros each to get in , but worth the money.
Hard to explain the size of the building, and how it was ever made.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
must do,"quick way to get to the top of the mountain to Thera.
great views.
the line ups look long, but it goes fast.",October 2019,Santorini Cable Car,https://www.tripadvisor.com/Attraction_Review-g482942-d10336407-Reviews-Santorini_Cable_Car-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,4.0,4.0
very interrsting,"very cool walking street in Close to the harbour where the cruise ships come in.
neat shops, and friendly people.",October 2019,Rue Meynadier,https://www.tripadvisor.com/Attraction_Review-g187221-d219389-Reviews-Rue_Meynadier-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Cannes, France",attractions,5.0,4.0
fast!!,"used the drive thru for coffee in the morning a few times, even if it looks busy, it`s very fast. Great coffee.",September 2019,McDonald's,https://www.tripadvisor.com/Restaurant_Review-g154937-d4873526-Reviews-McDonald_s-Penticton_Okanagan_Valley_British_Columbia.html,"Penticton, Canada",restaurants,4.0,2.5
What happened to the food!,"My wife , her sister, and my daughter went for dinner before the Many Hats show.
The food was not good.
My wife and her sister had gnoochi. It was dry and tasteless.
My wife told the server, and ordered a small nachos. The nachos were no better.
We have eaten here before and it was very good, what happened?
Even when my wife complained, they only gave her a discount, even when she didn`t eat the meal. Should have taken it off the bill. Will not eat there again, we will go elsewhere before the Many Hats Show.",September 2019,The Nest,https://www.tripadvisor.com/Restaurant_Review-g154937-d11686423-Reviews-The_Nest-Penticton_Okanagan_Valley_British_Columbia.html,"Penticton, Canada",restaurants,2.0,4.5
excellent food!,"Great lunch buffet. Good selection, fresh, and flavorful.
Staff are friendly. Enjoy a chai tea, and dessert from the buffet too.
Been there lots, and love it.",June 2018,Spice Magic,https://www.tripadvisor.com/Restaurant_Review-g154937-d6601097-Reviews-Spice_Magic-Penticton_Okanagan_Valley_British_Columbia.html,"Penticton, Canada",restaurants,5.0,4.0
Full service rv resort.,"Full hook ups, indoor and outdoor pools, 2 indoor hot tubs, one out door hot tub.
Good internet($) Convenience store, Propane sales. Great stop over on the way to the coast or to the ok valley. We stayed 4 nights an had a great time.
Highway is a little noisy, but nothing really bad. Will stay again.",June 2018,Sunshine Valley RV Resort & Cabins,https://www.tripadvisor.com/Hotel_Review-g21551159-d2261699-Reviews-Sunshine_Valley_RV_Resort_Cabins-Sunshine_Valley_British_Columbia.html,"Sunshine Valley, Canada",hotels,4.0,4.0
Pepperoni,"Best pepperoni , and the best price.
Try it , you will love it.
Best in Penticton b.c.
Parking is a little tricky, but worth the effort.",May 2018,A and K Grimm's Sausage,https://www.tripadvisor.com/Restaurant_Review-g154937-d761890-Reviews-A_and_K_Grimm_s_Sausage-Penticton_Okanagan_Valley_British_Columbia.html,"Penticton, Canada",restaurants,5.0,4.5
"Quiet, and clean.","We stayed for 2 nights, and found it to be very quiet and clean.
The people running the campground were very nice. We have a class-c rv , and found the site nice and level and the water , power , and sewer hookups were in the proper place. Would stay here again next trip.",July 2017,Mowhinna Creek Campground,https://www.tripadvisor.com/Hotel_Review-g154941-d3405108-Reviews-Mowhinna_Creek_Campground-Salt_Spring_Island_British_Columbia.html,"Salt Spring Island, Canada",hotels,4.0,4.0
ver nice,"Nice level sites for your rv. Nice grounds, and a small lake. (large pond). Great wood carving. Nice and quiet. Friendly office staff. Would stay here again next trip.Nice and close to the ferry terminal, to Powell River.",June 2017,Seal Bay RV Park & Campground,https://www.tripadvisor.com/Hotel_Review-g181789-d6807136-Reviews-Seal_Bay_RV_Park_Campground-Courtenay_Comox_Valley_Vancouver_Island_British_Columbia.html,"Vancouver Island, Canada",hotels,4.0,4.5
