title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Place to Stay in Greece,"We were on a Land Tour in Greece and one of the hotels we stayed in was The Amalia Hotel. It is a very big hotel with a few buildings. It is beautiful hotel and a well appointed hotel to stay. The staff were friendly, the rooms were nice including the bathrooms and very clean. The food was good. There is a town near by the sea. The town is worth seeing.We would stay there again and recommend this hotel.",March 2019,Amalia Hotel,https://www.tripadvisor.com/Hotel_Review-g319780-d506469-Reviews-Amalia_Hotel-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",hotels,5.0,4.0
A Must See In Greece,This is a place you must see when traveling in Greece. It is just amazing the workmenship of people of many centries ago.,March 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Something To See,You won't believe your eyes of the things that were built so many years ago. Site worth seeing. Take the whole family and learn about such great history.,March 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Athens Experience,"We went on a Land Tour to Greece. One of the hotels we stayed in was the Zafolia Hotel on Alexandras Ave. It is a 4 star hotel. Good location, friendly staff, nice rooms and good breakfast. On our Land Tour we stayed in this hotel 3 different times. If we ever get back to Athens again we would stay there. We recommend this hotel.",March 2019,Athens Zafolia Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228892-Reviews-Athens_Zafolia_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
We came Back Again,"Our first visit to The Holiday was May 2017. We came back again in November 2018 on the way home from a cruise. It is still the nice place it was back in 2017. I will say it again. The hotel is clean. The rooms and bath are well appointed. The staff are friendly. The breakfast was good and a great location. Near Old Town, the Outlets, Interstate 95 and may restaurants. It is a good place to stay. My husband and I recommend this hotel to everyone.",November 2018,Holiday Inn Express & Suites Saint Augustine North,https://www.tripadvisor.com/Hotel_Review-g34599-d1674825-Reviews-Holiday_Inn_Express_Suites_Saint_Augustine_North-St_Augustine_Florida.html,"St. Augustine, Florida",hotels,5.0,4.5
Good Pizza,My husband and I with my friend who lives in St. Augustine went to Borrillo's in November 2018. We have been there several times in the past. They make their own pizza dough on site. A variety menu for all. The prices are average. It is not a fancy place but if you want good pizza this is the place to go. And the locals go there too such as my friend. It is located on the main street in St Augustine. The staff are friendly. We recommend this place for good food.,November 2018,Borrillo's Pizzeria and Beer & Wine Garden,https://www.tripadvisor.com/Restaurant_Review-g34599-d1157971-Reviews-Borrillo_s_Pizzeria_and_Beer_Wine_Garden-St_Augustine_Florida.html,"St. Augustine, Florida",restaurants,5.0,4.0
Something For Everyone,We have been dealing with Kay's since 2006 in the Caribbean. Our last visit was November 2018. I tell people if you can't find something you like at Kay's then there is something wrong with you. They have the most beautiful jewelry and a wide selection. They are nice people to deal with. You do not get pressured to buy something like some other jewelry stores do. Their prices are good and you get treated well. My husband and I recommend Kay's Fine Jewelry to everyone.,November 2018,Kay's Fine Jewelry,https://www.tripadvisor.com/Attraction_Review-g147347-d2267963-Reviews-Kay_s_Fine_Jewelry-Philipsburg_Sint_Maarten_St_Martin_St_Maarten.html,St Martin / St Maarten,attractions,5.0,5.0
Something for Everyone,"In May, my husband and I were Krakow, Poland. We visited The Cloth Hall. Everything that is for sale has been made in Poland. The craftmenship is wonderful on all of the products. Great place to pick up a gift for someone or yourself. Outside in the Town Square, there cafes set up for eating or drinking. I was impressed with the beauty of the flowers that surround these cafes. It was a nice touch. On one of the side streets leading to the square is a bakery. The display case almost sits of the sidewalk and is lined with a variety of delicious looking donuts. There are a number of places to shop, get coffee or sit and enjoy the day in the Town Square. I recommend the area and would visit again when in Krakow.",May 2018,Sukiennice (Cloth Hall),https://www.tripadvisor.com/Attraction_Review-g274772-d276743-Reviews-Sukiennice_Cloth_Hall-Krakow_Lesser_Poland_Province_Southern_Poland.html,"Krakow, Poland",attractions,5.0,4.0
Fly The Friendly Skies,We had direct round trip flights The planes were on time. The food was good and the crew were very nice on both flights. And our luggage was not lost! Would fly United again.,May 2018,United Airlines,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-United-Airlines,World,flights,4.0,3.0
Never Again Would Stay,"My husband and I did a land tour and one of the hotels we stayed in was Plaza Alto Hotel in Prague. I requested a shower and traded with the coach driver with the approval of the desk clerk. Our room was sub standard. Night table next to bed was missing. We went to the desk. As I approached the desk, the women desk clerk looked at me and said ""you are the women who had to have a shower"" in a loud and nasty voice. Then the male clerk started shouting in a loud and nasty voice ""you got a shower what more do you want""? I asked nicely if I could have a night table for my side of the bed. You could see that at one time there was a table from the indentations in the carpet. The male desk clerk kept yelling. I told him this is no was to treat guests. As I walked away the female clerk yelled ""you can't have a table from the lobby"". We have traveled for many years and have stayed in many hotels and have never been treated like this. It has never occurred to me to ask for a lobby table or receive one. I did not tell them that our TV did not work or the toilet seat was falling off. I waited for the night clerk to come on duty and told him about the toilet seat. He said someone would be there in the morning to fix it. It was never fixed and we were there for 2 days. In the morning our coach group and other guests were having breakfast in the dining room. When one of our fellow tour guests asked the busboy if he would clean off a table since there was no other place to sit. His response was to yell""OK, OK, OK"". This was disruptive to the other guests trying to eat their breakfast. These people need a course in How To Treat Hotel Guests. We do not recommend this hotel to anyone and we will never stay there again.",May 2018,Plaza Prague Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html,"Prague, Czech Republic",hotels,1.0,4.0
