title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Location,"We stayed on a powered waterfront site, it is a short walk to town and unlike staying right in the town do do not tend to get the really high winds They keep the pet area away from the sites without pets which is also really good. Can get a little noisy early morning but you should be up and moving anyways.",February 2021,Ingenia Holidays South West Rocks,https://www.tripadvisor.com/Hotel_Review-g261628-d672533-Reviews-Ingenia_Holidays_South_West_Rocks-South_West_Rocks_New_South_Wales.html,"South West Rocks, Australia",hotels,4.0,4.5
Great park,Just enjoyed our 10 days at this very clean park - Rob was fantastic getting us parked up. Very busy over the weekends but we certainly will return. We did not want to leave today as we felt we were just starting to settle in.,August 2020,Noosa Caravan Park,https://www.tripadvisor.com/Hotel_Review-g1772458-d1650170-Reviews-Noosa_Caravan_Park-Tewantin_Noosa_Sunshine_Coast_Queensland.html,"Tewantin, Australia",hotels,5.0,4.0
Good chinese restaurant,Good old fashioned chinese - it is exactly what it sounds like not a top restaurant but good for what it is,September 2020,The Bistro at Tewantin Noosa Bowls Club,https://www.tripadvisor.com/Restaurant_Review-g1772458-d6000621-Reviews-The_Bistro_at_Tewantin_Noosa_Bowls_Club-Tewantin_Noosa_Sunshine_Coast_Queensland.html,"Tewantin, Australia",restaurants,3.0,3.5
Great day,Really enjoyed our day staff were really nice food was good not fantastic but it is the whole experience that you pay for,September 2020,Noosa Cruiser Restaurant and Bar,https://www.tripadvisor.com/Restaurant_Review-g1772458-d1181700-Reviews-Noosa_Cruiser_Restaurant_and_Bar-Tewantin_Noosa_Sunshine_Coast_Queensland.html,"Tewantin, Australia",restaurants,5.0,5.0
Good cocktails with nice music,We went twice during our stay there was music both times and we will return it is pleasant sitting near the water,September 2020,Harbour Wine Bar,https://www.tripadvisor.com/Restaurant_Review-g1772458-d12123339-Reviews-Harbour_Wine_Bar-Tewantin_Noosa_Sunshine_Coast_Queensland.html,"Tewantin, Australia",restaurants,4.0,3.5
Very good food,"This little restaurant had great food the service was a little ordinary but they could have been training the young girl.

Would return",September 2020,Bombay Bliss,https://www.tripadvisor.com/Restaurant_Review-g1772458-d4867678-Reviews-Bombay_Bliss-Tewantin_Noosa_Sunshine_Coast_Queensland.html,"Tewantin, Australia",restaurants,4.0,4.5
Food is Fantastic,"We were the only diners so early in the evening so no worries about social distancing.
The owner and cook came and talked to us about his plans very interesting
People of Laurieton visit this Indian although we did not order a lot of food it was fresh and very tasty. It was perfect Indian. Cannot wait for our next trip to Laurieton.",August 2020,Bollywood Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g528983-d7942425-Reviews-Bollywood_Indian_Restaurant-Laurieton_Camden_Haven_New_South_Wales.html,"Laurieton, Australia",restaurants,5.0,4.0
Wow cleanest chinese ever,"This restaurant has the COVID restrictions down pat.
Truly impressed with measures and how clean everything was.
It makes you feel comfortable straight away.
Food - we had the lunch specials great size and quite tasty not fantastic but for the cost and the comfort will def return",August 2020,Golden Inn Chinese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g528983-d5096928-Reviews-Golden_Inn_Chinese_Restaurant-Laurieton_Camden_Haven_New_South_Wales.html,"Laurieton, Australia",restaurants,4.0,4.0
Great spot but a downside,"This is a fantastic spot for a caravan park - right on the river with great fishing from the boat ramp and sensational views.
It is a long walk to the amenities seems a little odd where they are.
On the flip side these amenities are dated but spotless.
Sadly there had been a lot of rain just before our visit so the ground was cold and wet also being winter there was very little sunshine as the park is very tree lined which would be fantastic in summer but made it quite cool
In saying all this we would return but in summer it is close to town and beaches fishing and hiking",August 2020,Diamond Waters Caravan Park,https://www.tripadvisor.com/Hotel_Review-g2144956-d7908398-Reviews-Diamond_Waters_Caravan_Park-Dunbogan_Camden_Haven_New_South_Wales.html,"Dunbogan, Australia",hotels,4.0,4.5
Average meal in beautiful setting,"Great social distancing set up -
Food was typical pub fare and was very good for what it was
Fantastic views will return",July 2020,Pacific Hotel,https://www.tripadvisor.com/Restaurant_Review-g529051-d2467241-Reviews-Pacific_Hotel-Yamba_New_South_Wales.html,"Yamba, Australia",restaurants,3.0,4.0
