title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice interaction with sea animals,"When we visited the manta was under maintenance, but we tried the electric eel. It’s amazing! The polar experience, dolphins show, orca show, and sea lions are hilarious. Sit in the wet area to enjoy the fun! Don’t miss the pink flamingos and the water ride!!!",January 2019,SeaWorld,https://www.tripadvisor.com/Attraction_Review-g60750-d102793-Reviews-SeaWorld-San_Diego_California.html,"San Diego, California",attractions,5.0,4.0
Nice steak and yummy food,The food was great and the waiter was friendly. They serve you peanuts and yummy bread in the beginning as complimentary. You can even take peanuts with you when leaving for free. The beef in this place is tasty. One of the best places in Jeddah to eat steak and enjoy your meal.,January 2019,Texas Roadhouse,https://www.tripadvisor.com/Restaurant_Review-g295419-d6033903-Reviews-Texas_Roadhouse-Jeddah_Makkah_Province.html,"Jeddah, Saudi Arabia",restaurants,4.0,4.5
Amazing view and food is nice,The breakfast combo plate was tasty. All the food was fresh and yummy. There were some nice twists in this plate. The waffle was bad. Chocolate syrup is not tasty at all. The food takes time to be served. They forgot one cafe latte we ordered! Overall it’s not worth your money. You have better breakfast choices in Jeddah.,January 2019,Amara Terrace Restaurant,https://www.tripadvisor.com/Restaurant_Review-g295419-d5810452-Reviews-Amara_Terrace_Restaurant-Jeddah_Makkah_Province.html,"Jeddah, Saudi Arabia",restaurants,3.0,4.0
A play with a great performance,This play keeps you wondering about the ending and the suspence is amazing while watching it. It is a must see when being in London.,May 2018,The Mousetrap,https://www.tripadvisor.com/Attraction_Review-g186338-d2518293-Reviews-The_Mousetrap-London_England.html,"London, United Kingdom",attractions,5.0,4.0
Wonderful Musical,The musical is spectacular as well as the costumes of the actors. The live music and the huge theater are also amazing which makes it a whole new experience for me.,May 2018,The Lion King,https://www.tripadvisor.com/Attraction_Review-g186338-d1766159-Reviews-The_Lion_King-London_England.html,"London, United Kingdom",attractions,5.0,4.5
An Amazing Roman Bath,This place shows how advanced the Roman ages were. They were able to build such a place with a system for the water cycle. The place is amazing and there is a bus tour from London to the Roman Baths.,May 2018,The Roman Baths,https://www.tripadvisor.com/Attraction_Review-g186370-d187743-Reviews-The_Roman_Baths-Bath_Somerset_England.html,"Bath, United Kingdom",attractions,5.0,4.5
The best square to chill in Brussels,"This square is amazing with all kinds of restaurants, belgian chocolate shops, and different place. It is great for a cup of coffee or lunch.",October 2017,Grand Place,https://www.tripadvisor.com/Attraction_Review-g188644-d196151-Reviews-Grand_Place-Brussels.html,"Brussels, Belgium",attractions,4.0,4.5
Amazing Zoo in London,"This zoo has all animals that you might think of. It was my first time to see a lion, tiger, giraffe, kangaroo, cobra, and many other animals. This zoo is a nice experience and is divided in an amazing way.",May 2018,ZSL London Zoo,https://www.tripadvisor.com/Attraction_Review-g186338-d187553-Reviews-ZSL_London_Zoo-London_England.html,"London, United Kingdom",attractions,4.0,4.0
Amazing stay,I booked in this hotel for Oktoberfest since it is 5 mins walk away from the square where Oktoberfest in held. I booked one bedroom with shared bath but they upgraded my stay to a one bedroom with private bath for no extra price. The room was so clean and the hotel had umbrellas to take since it was raining. The breakfast was amazing!,October 2017,Jedermann Hotel,https://www.tripadvisor.com/Hotel_Review-g187309-d232589-Reviews-Jedermann_Hotel-Munich_Upper_Bavaria_Bavaria.html,"Munich, Germany",hotels,4.0,4.5
One of the best Museums in the World,This museum has different sections that describe the different cultures. It is huge and will take more than one day to check it all. One of the best places to visit in London.,May 2018,The British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html,"London, United Kingdom",attractions,4.0,4.5
Nice Zoo with lots of animals to see,"This zoo has all animals that you might think of. It was my first time to see a lion, tiger, giraffe, kangaroo, cobra, and many other animals. This zoo is a nice experience and is divided in an amazing way.",May 2018,London Zoo Entry Ticket,https://www.tripadvisor.com/AttractionProductReview-g186338-d11447831-London_Zoo_Entry_Ticket-London_England.html,"London, United Kingdom",activities,4.0,3.5
The worst flight I had in years!!!!!,"My flight was from Paris to Jeddah passing by Ankara. The Airport in Ankara is the worst airport ever! The lounge is so small with a little variety of food. I had a layover of 10 hours and this was the worst layover. I make more than 20 flights a year. I'm an elite member on skyteam and this was my first flight with a star alliance member. Turkish Airlines made it the worst.

In Ankara airport, they didn't let us go to the lounge as we are transit passengers. They made us wait for two hours on unconfortable chairs without internet or anything. The people doesn't speak english or understand what we are saying. Turkish Airlines never interfered to ensure the comfort of its passengers!

Finally as I reached Jeddah, my baggage didn't arrive on the same day (August 26, 2018). My flight arrived 8:15 am and I waited till 11 am in the airport which made me lose my working day and make the driver wait for almost 4 hours! Finally they told us no more baggage will arrive and I filed a complaint about my lost baggage. This is the first time I lose a baggage with an Airline.

After couple of days, no one from Turkish Airlines called to update me on the baggage status. I was calling the Jeddah Airport team every now and then which were so helpful. Turkish Airlines team was not helpful at all! I was sending them feedback on their online forum without any helpful reply. I had some important stuff that was lost and needed to buy some items instead! At the end I called Turkish Airlines after almost two weeks and no one from their side called me, their reply was to wait and they are still investigating! I was clear with them and said the only thing I need is my baggage.
This is any passenger's right when he trusts the Airlines and travels from one place to another. He should arrive safely to the destination with the baggage on time without any damages! Turkish Airlines failed in the last part!
On September 11, 2018 which is after 16 days of baggage delay they finally said the baggage was lost. The claims department decided to compensate only 950$ knowing that since day one I provided the Airlines with a detailed list showing my lost items which totals to more than 5000$!
Turkish Airlines have the worst customer service, bad staff, unreliable team, and they made my flight a nightmare! I advise anyone who gets attracted by the low prices of Turkish Airlines to pay more and take another flight with a more reliable Airlines since losing his baggage will make you lose more money than what you save on a flight!",August 2018,Turkish Airlines,https://www.tripadvisor.com/Airline_Review-d8729174-Reviews-Turkish-Airlines,World,flights,1.0,4.0
A confortable flight with great services,My flight was from Jeddah to Barcelona passing through Milan. I had a change of Airports in Milan. The Alitalia team is so helpful. A guide was waiting for me on the door of the plane to guide me how to change the airport from MXP to LIN. The experience was great and the Alitalia team and services are amazing.,October 2017,Alitalia,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,World,flights,4.0,3.0
A great itinerary with amazing price,I needed to travel to my homecountry Lebanon on Christmas so I was able to find this itinerary from JED to ATH in the early morning. I spend the day in Athens and then travel to BEY at the same day at 7 pm. The price was cheaper than the other direct flight and the flight arrives to BEY before it. The experience with Aegean was great and the baggage was received on time in Beirut knowing that a layover of more than 10 hours was in Athens.,December 2017,AEGEAN,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-AEGEAN,World,flights,4.0,4.0
Great ancient place in Athens,The acropolis is amazing and a must see in Athens if you are into history and cultural tourism. You can easily spend 4-5 hours there. The view from the Acropolis to Athens is breathtaking. It is a must see.,December 2017,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Great Airlines,"My experience with Saudia was amazing. I had something urgent in Dubai and wanted to reschedule my flight for the nearest date and they were able to find for me a flight on the same night and confirmed the flight before 2 pm, so I had enough time to checkout and go to the airport. All of this happened through the phone and the payment was so smooth.",February 2018,Saudia Airlines,https://www.tripadvisor.com/Airline_Review-d8729144-Reviews-Saudia-Airlines,World,flights,4.0,3.5
Nice Airlines with great prices,"My flight was so confortable especially with the priority check-in, fast track security check, and priority boarding since I have skyteam elite membership. The Airlines is amazing. My baggage was received as priority in Hamburg. The experiance was amazing.",August 2018,Air France,https://www.tripadvisor.com/Airline_Review-d8729003-Reviews-Air-France,World,flights,4.0,3.5
Best Planes and Awesome Seats,"The KLM planes are amazing and so clean. The team is so friendly and the food is tasty. Since I have sky priority membership on Skyteam I was able to benifit from priority check-in, fast track security check, and priority boarding which made my flight much easier.",August 2018,KLM Royal Dutch Airlines,https://www.tripadvisor.com/Airline_Review-d8729104-Reviews-KLM-Royal-Dutch-Airlines,World,flights,4.0,4.0
A Great Airline with good prices,Middle East Airlines is one of the best Airlines I traveled with up to now. The team is so nice. The service on the plane is great and the plane is clean. The food served is amazing especially the Kunafa in the morning! The on-board entertainment system is also good.,July 2018,Middle East Airlines,https://www.tripadvisor.com/Airline_Review-d8729119-Reviews-Middle-East-Airlines,World,flights,4.0,4.0
Nice Place to stay in barcelona,The hotel is close to Catalunya Square and a 10 mins walk to Las Ramblas i.e. the city center. The only problem was the small sized bed I got in the room knowing that the room was not cheap. Catalunya Square has several bus stations that can take you anywhere as well as a train station.,October 2017,Hotel Constanza Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d503136-Reviews-Hotel_Constanza_Barcelona-Barcelona_Catalonia.html,"Barcelona, Spain",hotels,4.0,4.5
An amazing hotel with lots of facilities,This hotel is amazing. There is a bar on the 72nd floor and the breakfast is so good but a bit expensive. The rooms are huge with all kinds of facilities available. The location is not near Burj Khalifa or Dubai mall so you might need to take a cab to reach there.,February 2018,JW Marriott Marquis Hotel Dubai,https://www.tripadvisor.com/Hotel_Review-g295424-d3447941-Reviews-JW_Marriott_Marquis_Hotel_Dubai-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",hotels,4.0,4.5
A nice place to stay in Hamburg,The apartments are amazing and are 10 mins walk from the station. The airport is so close to this place. You can also take the train for 20-25 mins and you reach the center of Hamburg. Trains are operational 24/7 so no need to worry.,August 2018,my4walls - Serviced Apartments,https://www.tripadvisor.com/Hotel_Review-g187331-d13546695-Reviews-My4walls_Serviced_Apartments-Hamburg.html,"Hamburg, Germany",hotels,4.0,4.5
Nice Party in Milano,The place is amazing but the staff is rude. We arrived the first night and they refused to let us in. They said we should arrive before 11 pm. The next night we came again and we got in but the bar tenders were so rude. The place is nice and the music is amazing as well as the ambience. It is worth the try if you were in Milano.,October 2017,Just Cavalli Milano - Club,https://www.tripadvisor.com/Attraction_Review-g187849-d8564881-Reviews-Just_Cavalli_Milano_Club-Milan_Lombardy.html,"Milan, Italy",attractions,3.0,2.5
Don't miss the visit to the dome. You have more than 700 stairs to reach up but it is totally worth it!,The line is always long but it moves so fast so don't worry about staying in queue. Within 20-30 mins you'll reach the cathedral.,October 2017,St. Peter's Basilica,https://www.tripadvisor.com/Attraction_Review-g187793-d631111-Reviews-St_Peter_s_Basilica-Vatican_City_Lazio.html,"Vatican City, Italy",attractions,4.0,5.0
