title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
What a Blast.,It was thrilling and exciting! Category 3 & 4 rapids were amazing. Our guide was Daniel and he made our trip perfect. He navigated the boat like a pro. Thanks Daniel for taking great care of us and insuring everyone had a blast!,July 2020,Ocoee River,https://www.tripadvisor.com/Attraction_Review-g28963-d108179-Reviews-Ocoee_River-Tennessee.html,Tennessee,attractions,5.0,5.0
What a great hike!,"Beautiful hiking in the nature. The Falls are worth the hike. The good news is this wonderful hike through the woods is not to far from Gatlinburg, TN.",July 2020,Laurel Falls,https://www.tripadvisor.com/Attraction_Review-g143031-d207106-Reviews-Laurel_Falls-Great_Smoky_Mountains_National_Park_Tennessee.html,"Great Smoky Mountains National Park, Tennessee",attractions,5.0,4.5
Great Adventure in the mountains,"Moose creek ranch is awesome. Tucked away in the mountains. The horses were all well trained and did not act up. We had friends that had not ridden for 50 years and they had a great time and felt safe on the horse they chose for them. It was great to actually go thru the woods up and down the mountains. Our guide was great!
After the ride there was a great picnic spot for lunch.",August 2019,Dry Ridge Outfitters,https://www.tripadvisor.com/Attraction_Review-g35437-d5058205-Reviews-Dry_Ridge_Outfitters-Driggs_Idaho.html,"Driggs, Idaho",attractions,5.0,5.0
Great Vineyard with a great atmosphere,Great place to unwind after a great ride on the Virginia Creeper with friends on a lovely day! you will love this place right on the river bank.,August 2019,Abingdon Vineyards,https://www.tripadvisor.com/Attraction_Review-g30220-d2190519-Reviews-Abingdon_Vineyards-Abingdon_Virginia.html,"Abingdon, Virginia",attractions,5.0,4.5
Delicious Food,We enjoyed the quanta atmosphere - the house turned into restaurant. My dinner was great chili salmon. Great flavor.,August 2019,128 Pecan,https://www.tripadvisor.com/Restaurant_Review-g30220-d3213769-Reviews-128_Pecan-Abingdon_Virginia.html,"Abingdon, Virginia",restaurants,5.0,4.5
Amazing place,"There is nothing like stepping back in time and seeing things thousands of years old, chock-full of history and amazing views.",September 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Walking trip of Athens,What a great trip behind the scenes. Places they don’t tell you about. We loved it and and highly recommend it. The tour guide was very knowledgeable of the history of Athens.,September 2018,Athens Free Walking Tour,https://www.tripadvisor.com/Attraction_Review-g189400-d3629217-Reviews-Athens_Free_Walking_Tour-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Delicious with a view!,No matter if you coming for breakfast lunch or dinner you would enjoy this place delicious food with view.,September 2018,SKIZA Cafe,https://www.tripadvisor.com/Restaurant_Review-g482941-d2252827-Reviews-SKIZA_Cafe-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.0
Loved this place,Whether it was for dinner or for a late night snack they have great food with an unbelievable view of the Aegean Sea!!!,September 2018,Skala Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482941-d1487712-Reviews-Skala_Restaurant-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.0
Amazing place on the Aegean Sea on the cliffs.,"Lots of restaurants on the water, great walk on the cliffs, shore and great swimming in clean, clear water. If you feel ambitious feel free to jump off the cliff from Saint Nicholas island or right where you are. It’s an exhilarating amazing experience!",September 2018,Amoudi Bay,https://www.tripadvisor.com/Attraction_Review-g482941-d1223227-Reviews-Amoudi_Bay-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
