title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great food & environment,"We have dined her several times in groups , the food is always excellent.

The staff are very friendly & helpful

The best Asian (Chinese) in the area.

It does not matter what you order, it is all lovely.

Yes it is a little pricy but you are paying for quality food.

If you want lobster, you need to preorder a few days in advance.",May 2021,Orchid 22 Chinese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g504277-d17594060-Reviews-Orchid_22_Chinese_Restaurant-Windsor_Hawkesbury_Valley_Blue_Mountains_New_South_.html,"Windsor, Australia",restaurants,5.0,4.5
Going backwards,"We find the quality & taste going backwards.

We have to say the staff are very friendly & helpful.

We dined as a group of 6.

I had the special, got the last one, 1/2 lobster mornay with chips & salad as I really struggle with the menu as many of the offer dishes we have had are not the best.
The lobster cooked well, the salad mostly lettuce & very bland.

Two others had rump steaks chips & vegs & chips & salad. Both steaks cooked medium but were tough.

Barramundi chips & salad the fish a little over cooked.

Schnitzels both cooked well.

We rarely go their now due to their poor execution of the menu.",May 2021,Bistro 36 Windsor RSL,https://www.tripadvisor.com/Restaurant_Review-g504277-d15183869-Reviews-Bistro_36_Windsor_RSL-Windsor_Hawkesbury_Valley_Blue_Mountains_New_South_Wales.html,"Windsor, Australia",restaurants,3.0,2.5
Very good but overpriced,"Being a group of two couples we booked last minute for a family apartment lounge & basic kitchen down stairs Two bedrooms & bathroom upstairs. We felt it was totally overpriced as we stayed at the Ridges the night before in a well appointed 3 bedroom 2 bathroom with spa , kitchen , all vey modern & it was cheaper.

They do have a lovely hot breakfast.

We had to ask for a microwave & toaster.

We struggled to wash our dishes as there was no dish cloths.

We also told them on our departure that the kitchen sink dripped continually & the toilet set needed fixing, things they certainly would have known about.",May 2021,Winning Post Motor Inn,https://www.tripadvisor.com/Hotel_Review-g262066-d262365-Reviews-Winning_Post_Motor_Inn-Mudgee_New_South_Wales.html,"Mudgee, Australia",hotels,4.0,4.0
Excellent valued beautiful Suite,"The views of the track & surround's is lovely

Being two couples we picked the 3 bedroom suite with a kitchen. Very impressed.

Would not hesitate to book again & thought it was good value for money.

The staff were very friendly & helpful.

Only 5 minute drive from town.",May 2021,Rydges Mount Panorama Bathurst,https://www.tripadvisor.com/Hotel_Review-g255317-d1557376-Reviews-Rydges_Mount_Panorama_Bathurst-Bathurst_New_South_Wales.html,"Bathurst, Australia",hotels,5.0,4.0
Quaint & well priced for the area,"Lovely basic rooms as per the photo's.

Some with microwave.

nice continental breakfast.

Rooms could be a little cleaner, eg cobwebs.

Nice surrounds. Plenty of birdlife.

Just watch the waste from the to local geese on the verandahs.

They even have a pit fire at night if you ask.

Friendly management",May 2021,Hill End Lodge Motel,https://www.tripadvisor.com/Hotel_Review-g504251-d2096318-Reviews-Hill_End_Lodge_Motel-Hill_End_New_South_Wales.html,"Hill End, Australia",hotels,4.0,4.0
The $99 banquet Over priced terrible food,"We wanted an ala carte menus but was told because of our large group size we had to have the $99 Banquet. WHAT A JOKE.

Totally over priced very very average food. NEVER Again. Group of 10 but they serviced food for 9????

Service what a joke, when you ordered drinks which was additional & had to keep asking for your drink ????????????

Give this place a big miss.",April 2021,Lotus Barangaroo,https://www.tripadvisor.com/Restaurant_Review-g255060-d11804460-Reviews-Lotus_Barangaroo-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,1.0,4.5
Very clean well located apartments,"We booked a 2 room water view self contained apartment. Very nice, full kitchen , also washer & dryer, great views.

Walking distance to town. Coles & Woolworths close by.

The reception staff was very friendly & helpful.

They do not have a restaurant so no meals but a private restaurant Skeetos is located on the premises on the waterfront serving Breakfast , lunch & dinner.

The rooms have a good supply of tea & coffee.

Rooms serviced on 3rd day.",March 2021,Mantra Geraldton,https://www.tripadvisor.com/Hotel_Review-g255365-d572807-Reviews-Mantra_Geraldton-Geraldton_Western_Australia.html,"Geraldton, Australia",hotels,5.0,4.5
Overpriced very average chinese,"Where to I start, very friendly wait staff. That's were it ends.

We had a small SPECIAL fried rice $12.90. Nothing special about it, the rice was hard, it had peas & 4 small prawns with an uneven coverage of soy.

A chefs special ""Sizzling Black pepper fillet steak"" a good serving with veggies but the meat was a little tough & it tasted like honey beef, nothing like black pepper.

Finally honey king prawns , a std honey prawns bulked out with batter, we should said no batter.

Give this one a miss.",March 2021,Golden Dragon Geraldton Chinese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255365-d20314317-Reviews-Golden_Dragon_Geraldton_Chinese_Restaurant-Geraldton_Western_Australia.html,"Geraldton, Australia",restaurants,2.0,2.5
"Sensational, Fantastic, Much more than we expected. A must do.","We thought the Abrolhos islands consist of 4 islands, one inhabited with old fishing shacks, How wrong were we.

The Abrolhos group consist of 4 cluster of islands protected by reefs, totaling 122 islands.

You must remember WA's west coast is the windy coast so each tour will vary depending on the weather.

We scored 3 perfect sensational days (very lucky) so we packed so much in.

Fantastic snorkeling, equipment supplied, If you do not snorkel there is a glass bottom boat option, they have two, so plenty of room.

Eco walks on several islands with an very knowledgeable specialized guide .

A visit to one of the habited islands.

Every day the opportunity to do an early morning lobster pot pull & fishing (6.30am). Over our trip we pulled over 220 crayfish & caught plenty of excellent fish.

On one night you fish off the back of the boat, fantastic the night we were there you could literally walk across the water as it was covered with bait fish, amongst the fish enjoying a meal were 4 bronze whalers, 2 Dolphins & a seal all competing for the bait fish that we were also catching. What a special night.

We had a new chef on board & boy does he now how to cook. What a great variety of lovely food & yes of cause plenty of Crayfish (lobsters) & he even had time to fit in a beautiful Birthday cake for a guest celebrating his birthday. What a nice touch

The crew, well every single of them were so accommodating & friendly we felt part of a large family. Certainly would recommend this adventure.

There is the option to fly back to the mainland instead of the 6 - 8 hour boat trip.

We took this option it certainly was the quicker better option but it would have been nice if the plain flew over the group of islands & commenting on sites like the Batavia wreck which was eluded to being part of the flight.

Bring on the Kimberly's",March 2021,Abrolhos Islands 5 Day Tours,https://www.tripadvisor.com/AttractionProductReview-g255365-d21310406-Abrolhos_Islands_5_Day_Tours-Geraldton_Western_Australia.html,"Geraldton, Australia",activities,5.0,5.0
"Lovely food, average lunch menu.","We ate as a group of 4.

We looked at the small lunch menu & was disappointed with the limited 4 main meal choice that we did not like except the duck breast $39.

Instead we chose several items from the entrees, 3 servings of oysters with a chardonnay sauce very nice $21 for 6.

Two servings of Duck spring rolls , 3 per serving , about $16

1 Garlic prawn pizza, very nice but a little short on prawns.

The wine list was well priced selling they wines at cellar door prices, round $25.

Good service, friendly staff.",March 2021,RidgeView Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255328-d2016952-Reviews-RidgeView_Restaurant-Pokolbin_Cessnock_Greater_Newcastle_New_South_Wales.html,"Pokolbin, Australia",restaurants,4.0,4.5
