title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Authentic Bosnian Experience,"Down the street from my daughter's home is a piece of Eastern Europe! Each and every day the Bosnian locals gather to enjoy their coffee or drinks. I had passed it so many times and finally ventured in for a Bosnian coffee and pastry. I was welcomed but found they served only Italian coffee but no pastries. It was delicious! Enjoyed visiting with the bartender and meeting the locals who sat outside daily even if I was looked at a bit sceptically. I try to make a stop each visit, and they always remember me.",June 2020,Caffe Palermo,https://www.tripadvisor.com/Restaurant_Review-g44881-d23279001-Reviews-Caffe_Palermo-Saint_Louis_Missouri.html,"Saint Louis, Missouri",restaurants,4.0,4.0
Quick Breakfast for Pickup,"Decided to order takeout to enjoy breakfast outside with my Dad at Bethany Homes. Always satisfying but I wouldn’t say amazing because it was 10+ minutes until we were able to eat it. But, my Dad was happy!",March 2021,IHOP,https://www.tripadvisor.com/Restaurant_Review-g49785-d816308-Reviews-IHOP-Fargo_North_Dakota.html,"Fargo, North Dakota",restaurants,4.0,3.5
Regular When I Visit,My daughter introduced me to this place when my grandson was born. Delicious pho and always ready for pick up when I arrived! Even my son-in-law who’s very picky loves the food.,June 2020,Pho Grand,https://www.tripadvisor.com/Restaurant_Review-g44881-d463850-Reviews-Pho_Grand-Saint_Louis_Missouri.html,"Saint Louis, Missouri",restaurants,4.0,4.5
Send Off Treat,"Had always noticed this donut shop as I headed for home and am not big on donuts, but when I saw so many people stopping I decided I could use a bit of a sugar lift for the road. Delicious! No wonder the locals stopped!",June 2020,World Fair Donut,https://www.tripadvisor.com/Restaurant_Review-g44881-d4168434-Reviews-World_Fair_Donut-Saint_Louis_Missouri.html,"Saint Louis, Missouri",restaurants,5.0,4.5
Quick Order,"I was hungry after my Covid test so ordered by phone telling them I’d be there in 10 minutes. I was impressed as I was there in 5, and they were waiting. Always good!",March 2021,Panera Bread,https://www.tripadvisor.com/Restaurant_Review-g20089580-d3443817-Reviews-Panera_Bread-Kenwood_Ohio.html,"Kenwood, Ohio",restaurants,4.0,3.0
Evening Stop,"Was coming home from hospital after my grandson was born looking for an evening meal. It was so early in the Covid pandemic, I was still paranoid about being inside. Ordered and sat outside. The service was wonderful and I took my meal home to eat. Would love to return when I’m back in St. Louis.",June 2020,Nova Cafe,https://www.tripadvisor.com/Restaurant_Review-g44881-d4214256-Reviews-Nova_Cafe-Saint_Louis_Missouri.html,"Saint Louis, Missouri",restaurants,4.0,5.0
Alternative to Fast food,We were tired of fast food as we worked on rehabbing my house so this was a nice alternative. Food was good and consistent.,May 2020,Frisch's Big Boy,https://www.tripadvisor.com/Restaurant_Review-g60993-d4257236-Reviews-Frisch_s_Big_Boy-Cincinnati_Ohio.html,"Cincinnati, Ohio",restaurants,4.0,3.0
Anniversary Dinner,Was excited to go out for our first meal since Covid began and were happy to be able to sit outside. But for a New Orleans style restaurant found out meals average and not particularly tasty even my dessert. No hurry to return.,May 2020,BrewRiver Creole Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60993-d16864845-Reviews-BrewRiver_Creole_Kitchen-Cincinnati_Ohio.html,"Cincinnati, Ohio",restaurants,3.0,2.5
Visited A Dedicated Tree,"A man from my hometown dedicated a tree in my father’s honor at this lovely site by the river. We weren’t even aware of this place had he not done so as we stay in Naples and only fly into Ft. Myers. Because we were limited on time, a staff member met us at the ticket office and provided us complimentary tickets so we could see the lovely African Tulip Tree and marker he had selected. What a wonderful way to remember my Dad nearly 2000 miles from his hometown. When we saw how beautiful the gardens were and how well maintained the homes of Edison and Ford were, we decided to skip visiting friends and take this wonderful opportunity to enjoy the grounds. I knew so little about these 2 amazing men and enjoyed soaking in the lovely setting.",March 2021,Edison and Ford Winter Estates,https://www.tripadvisor.com/Attraction_Review-g34230-d145417-Reviews-Edison_and_Ford_Winter_Estates-Fort_Myers_Florida.html,"Fort Myers, Florida",attractions,5.0,4.5
Dinner After A Ride On The Boat,My stepdaughter ordered two large pizzas and a Greek salad after our ride in their boat at sunset. The veggie pizza was delicious and I really like the crust and especially the compliment of salad. No wonder they order it so often!,March 2021,Moravela's Pizza,https://www.tripadvisor.com/Restaurant_Review-g34467-d5011445-Reviews-Moravela_s_Pizza-Naples_Florida.html,"Naples, Florida",restaurants,4.0,4.0
