title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lovely,"Great experience if you are in Greece this is a must see.. lovely wAlk in the past... history in every footstep, some of the most beautiful marble for the eyes to behold...",April 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Zeus Temple,Great visit to the temple of Zeus...it's unfortunate that there are only 14 columns left out 115...with an astr,April 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Museum fun,"Simply amazing, currently there is an Archological dig under the museum, the museum has a glass floor to view the dig....you have to visit and see this for yourself...",April 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Plaka Shopping,Trinkett shopping near the New Acropolis Archological Meuseum. Fun but watch out for pick pockets and remember to grab a Slovaki..yummy yummy...,April 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Day at the museum,"Absolutely lovely, pieces of the past trojan horse carving, statues of the Greek gods and goddess, ancient pottery and artifacts a must see ...",April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Day at the Acropols,"A pleasant walk in the past with Goddess Athena ... An amazing sight to behold, wear great walking shoes and be prepared for lots of tourist...You do not want to miss this opportunity to walk with the Greek Gods..",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Seafood Dinner,Food ok not the best ... service was great ....impecable view.. within 2 miles of the 4 seasons Astir...,April 2019,Labros Restaurant,https://www.tripadvisor.com/Restaurant_Review-g562635-d2275539-Reviews-Labros_Restaurant-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",restaurants,3.0,4.0
Holiday,"Absolutely Wonderful, beautiful beach, excellent hotel, everything is sparkling new!!! You will not be sorry!!! 6 star service and always the 4 Season charm after a delightful day in the city of Athens...",April 2019,Four Seasons Astir Palace Hotel Athens,https://www.tripadvisor.com/Hotel_Review-g562635-d569049-Reviews-Four_Seasons_Astir_Palace_Hotel_Athens-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",hotels,5.0,4.5
Dine in history,"Love Love Love the food, if your able to get in .....you absolutely must!!!! Great food, pleasant atmosphere and always a diverse group of people!!!",February 2019,Old Ebbitt Grill,https://www.tripadvisor.com/Restaurant_Review-g28970-d450339-Reviews-Old_Ebbitt_Grill-Washington_DC_District_of_Columbia.html,"Washington DC, District of Columbia",restaurants,5.0,4.5
Foreign Friends tour,If you have the opportunity to tour with Grand Atlas do not hesitate it is well worth the money. It's also great to hear the passion for America while learning so much...lots of fun facts to amaze friends and family with...Eric went out of his way to make sure we were satisfied and comfortable...thanks again and make your reservations early I guarantee your tour will be the highlight of your holiday....,February 2019,Grand Atlas Tours,https://www.tripadvisor.com/Attraction_Review-g28970-d11045013-Reviews-Grand_Atlas_Tours-Washington_DC_District_of_Columbia.html,"Washington DC, District of Columbia",attractions,5.0,5.0
Best Tour Ever,If your in Rome do not hesitate to take the golf tour and ask for Valentina she is the absolute best tour guide EVER....and the company is very accomodating.....you do not want to miss out on seeing Rome without Valentina giving you the experience of a life time and the history lesson you will never forget,August 2018,IterItaly,https://www.tripadvisor.com/Attraction_Review-g187791-d7393652-Reviews-IterItaly-Rome_Lazio.html,"Rome, Italy",attractions,5.0,5.0
