title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good value for money,"I would probably rate this restaurant a 3.5/5. The concept is brilliant and for £29 the dishes were of good value. I was a little disappointed that two of the meals were not warm enough (room temperature), and the pasta course was rather tasteless. The lemon tart was my favourite.",September 2020,Six by Nico,https://www.tripadvisor.com/Restaurant_Review-g186337-d19418223-Reviews-Six_by_Nico-Liverpool_Merseyside_England.html,"Liverpool, United Kingdom",restaurants,4.0,4.5
Great Bar,Three of us visited this bar on a Saturday night. The drinks were really nice and the table service was great. The venue itself has a lovely atmosphere to it with a great playlist playing in the background and pretty lighting.,September 2020,Aether,https://www.tripadvisor.com/Attraction_Review-g186337-d15105947-Reviews-Aether-Liverpool_Merseyside_England.html,"Liverpool, United Kingdom",attractions,5.0,4.5
Nice food and friendly service,"I would probably rate this a 3.5/5. I had a meal here on a Saturday night with two friends. The lady working as front of house was very friendly and informative. The food was also really nice, but we were disappointed with how spaced out in time the different dishes were. I understand that all dishes won't come together, but there was a 1 hour difference between when the first and last dish arrived (we were only a table of 3). I've not had this issue when visiting Maray on the Docks.",September 2020,Maray,https://www.tripadvisor.com/Restaurant_Review-g186337-d7006716-Reviews-Maray-Liverpool_Merseyside_England.html,"Liverpool, United Kingdom",restaurants,4.0,4.5
Great place,This restaurant was right next to our hotel and we ended up visiting it 3 times during our 1 week stay in NYC (once for dinner and twice for drinks and a small bite to eat during the daytime). The main thing that stood out to us was how welcoming the staff were. We also enjoyed the relaxed vibe of the restaurant. The food was really tasty and I had the best dessert I've ever had here. I can't remember its name but I've uploaded a picture :),October 2019,Tomino - Taberna Gallega,https://www.tripadvisor.com/Restaurant_Review-g60763-d12990804-Reviews-Tomino_Taberna_Gallega-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
Very happy with our stay :),"Staff were welcoming, room was clean, location was great, bed was comfortable and we slept well. So overall very happy with our stay.

There was no safety box in the room but there are some available at reception.
There is no lift and we had heavy suitcases. It didn't really bother us though as we knew this in advance.",October 2019,Hotel Boheme,https://www.tripadvisor.com/Hotel_Review-g60713-d112338-Reviews-Hotel_Boheme-San_Francisco_California.html,"San Francisco, California",hotels,4.0,4.0
Very happy with our stay :),"The hotel was modern and the staff were friendly. The room was super clean (first hotel I have been to that has zero dust in drawers and shelves in the wardrobe). The view from the roof top is surprising good, especially as the sun sets. The location as perfect, and i definitely recommend going for a meal/drinks two doors down to Tomino Taberna Gallega.",October 2019,NobleDEN Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d7363884-Reviews-NobleDEN_Hotel-New_York_City_New_York.html,"New York City, New York",hotels,5.0,4.5
Beautiful walk,It was the first time I've done this walk. It took me just over 2 hours and the walk itself is not hard. The views are beautiful.,December 2019,Precipice Walk,https://www.tripadvisor.com/Attraction_Review-g552001-d2044741-Reviews-Precipice_Walk-Dolgellau_Snowdonia_National_Park_North_Wales_Wales.html,"Dolgellau, United Kingdom",attractions,5.0,5.0
Nice meal and very friendly staff,This was our second visit to this restaurant. The food was tasty and the waitress that served us was very friendly and welcoming. All tables were nicely spaced out.,August 2020,Rustique,https://www.tripadvisor.com/Restaurant_Review-g186346-d1069066-Reviews-Rustique-York_North_Yorkshire_England.html,"York, United Kingdom",restaurants,4.0,4.5
Beautiful place,This is such a beautiful part of Corfu and should not be missed. It's particularly picturesque around the time the sun sets. Plus it's right in the town centre so you can then go visit the romantic narrow alleys of the town and go for a drink.,August 2020,Old Fortress Corfu,https://www.tripadvisor.com/Attraction_Review-g662629-d4696311-Reviews-Old_Fortress_Corfu-Corfu_Town_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,5.0,4.5
Lovely meal with beautiful view,If you want tasty traditional Greek food with a beautiful view this is the place to be. I recommend getting there before the sun sets so you can enjoy the view.,August 2020,Golden Sunset,https://www.tripadvisor.com/Restaurant_Review-g1182197-d8154471-Reviews-Golden_Sunset-Boukari_Corfu_Ionian_Islands.html,"Corfu, Greece",restaurants,5.0,4.5
Nice bar with nice drinks,This is a nice bar with a relaxing vibe to it located right by the beach. The cocktails are really nice and I would definitely go again.,August 2020,Barocco Beach Bar,https://www.tripadvisor.com/Attraction_Review-g1073595-d6988087-Reviews-Barocco_Beach_Bar-Messonghi_Corfu_Ionian_Islands.html,"Corfu, Greece",attractions,4.0,4.5
Tasty crepes,"This is a nice relaxed place that serves both sweet and savoury snacks e.g. crepes, waffles, club sandwiches etc. I had both a sweet and savoury crepe and they were both really tasty.",August 2020,Cosy,https://www.tripadvisor.com/Restaurant_Review-g664648-d4995334-Reviews-Cosy-Agios_Georgios_Corfu_Ionian_Islands.html,"Corfu, Greece",restaurants,4.0,4.5
Greek fast food at its best!,If you're looking for Greek fast food this is the place to go. The pittas are really tasty and filling. There's a couple of tables outside to sit at as well as 2-3 tables inside upstairs.,August 2020,Pitta Tou Pappou,https://www.tripadvisor.com/Restaurant_Review-g662629-d6976552-Reviews-Pitta_Tou_Pappou-Corfu_Town_Corfu_Ionian_Islands.html,"Corfu, Greece",restaurants,5.0,4.5
Amazing,Make sure you visit this historic site if you are in Athens (wear comfortable shoes). It's an amazing part of Greek history and the views of the city are also wonderful.,February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Fun day out :),"My husband and I spent around 3 hours here on a sunny day. It was busy as it was on a weekend, but not so busy that we could not enjoy it. It's a fun day both for adults and children.",October 2019,Warwick Castle,https://www.tripadvisor.com/Attraction_Review-g186400-d195569-Reviews-Warwick_Castle-Warwick_Warwickshire_England.html,"Warwick, United Kingdom",attractions,4.0,4.0
Coffee and cake with a view,"Stopped here with some friends after a long walk around Llangollen. Only had a coffee and cake but they were tasty, and we sat at a nice table outside in the sun. The cafe also had gluten free cake options.",October 2019,Riverbanc,https://www.tripadvisor.com/Restaurant_Review-g186439-d15242794-Reviews-Riverbanc-Llangollen_Denbighshire_North_Wales_Wales.html,"Llangollen, United Kingdom",restaurants,4.0,5.0
Lovely meal,My husband and I had a lovely meal here. The food is good and the service is excellent. The restaurant had a nice relaxed atmosphere to it.,October 2019,Crow Street Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186605-d15038602-Reviews-Crow_Street_Restaurant-Dublin_County_Dublin.html,"Dublin, Ireland",restaurants,4.0,4.5
Really glad I visited,This is such an educational and interesting tour. The tour guide was extremely knowledgeable and friendly. I strongly recommend a visit.,October 2019,Kilmainham Gaol Museum,https://www.tripadvisor.com/Attraction_Review-g186605-d191025-Reviews-Kilmainham_Gaol_Museum-Dublin_County_Dublin.html,"Dublin, Ireland",attractions,5.0,4.5
