title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice place to go shopping,"Clothes, food, gadgets, all brands, all budgets and an Attica shop included.

Gets packed on weekends but easy to park and walk around most of the time.

The younger ones will also have a good time as there are seasonal decorations and activities all year round.

Good crowd, no weirdos is a decisive factor considering how malls tend to attract some people you don’t want to meet with young children...",November 2018,Golden Hall Mall,https://www.tripadvisor.com/Attraction_Review-g562636-d2691981-Reviews-Golden_Hall_Mall-Chalandri_Attica.html,"Chalandri, Greece",attractions,5.0,4.0
What a wonderful surprise!,"Who would have thought you could find a genuine Italian restaurant in the most off the track area in Athens?
At Lollo’s, you come for the pizza and you end up trying a bit of everything. The pasta is amazing! The chef speaks many languages so no worries if you are not a local and there is an actual Italian Manager making sure you stick to the rule book.
All in all, a great place for a simple and tasty lunch or dinner.",January 2019,Lollo’s,https://www.tripadvisor.com/Restaurant_Review-g562636-d15597973-Reviews-Lollo_s-Chalandri_Attica.html,"Chalandri, Greece",restaurants,5.0,4.0
Epic finish of the Athens Marathon,"Run 5km, 10km or the whole 42km if you can, the finish will be the best experience you will ever have!!!
Crowd cheering, history literally at your feet, and overwhelming emotions, you will live all this and more should you find the time and courage to ruin the historic Athens Marathon!!",November 2018,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Enoteca with real Italian flair,"Vast choice of wines (it’s really a wine bar) and good dishes and platters to accompany the wine but most of all, a very professional and friendly staff, a very committed owner (it’s rare enough when you get to meet them) and a very original decoration and atmosphere makes this place a must go to for those who find themselves a bit hungry and thirsty for good wine after a shopping day in the city center.
Highly recommended!!!",December 2018,Brunello,https://www.tripadvisor.com/Restaurant_Review-g189400-d13834074-Reviews-Brunello-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Good surprise,"We were looking for a place to have a glass of wine and a steak and Vagabond appeared!
A plethora of wines and a very tasty steak made our night. If you are around, you can give it a go.
Quite busy on a Friday night but very nice atmosphere.",November 2018,Vagabond,https://www.tripadvisor.com/Restaurant_Review-g186338-d12443054-Reviews-Vagabond-London_England.html,"London, United Kingdom",restaurants,4.0,4.0
An amazing place for date night,"Finding places to eat is easy in Athens. Finding places to eat with a view is more rare. But finding the trifecta with a place to eat, enjoy the view and have a fantastic night out is unique!
Island is the place everyone dreams of. Great food, friendly staff, colorful drinks and dancing music all types of people can enjoy and dance to.
If you come earlier, you will admire a wonderful sunset and if you stay late, have a drink after your dinner and dance until the sun rises again.
Though the place is a bit pricey, you will definitely not regret it.",August 2018,Island Club Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3695551-d940249-Reviews-Island_Club_Restaurant-Vari_East_Attica_Region_Attica.html,"Vari, Greece",restaurants,5.0,3.5
Celebrating two Birthdays,"We made a reservation with the friendly maitre d and he booked one of the best tables in the place. Great view, good food and wonderful staff. The weather was perfect to sit on the terrace and enjoy the sunset and the view of the Acropolis, Monastiraki and Licabethus despite the seats still being soaking wet after the storm (the only negative note of the evening!).
I recommend the linguine with seafood if you are hungry as it seems to be a never ending dish!!!
Great job everyone for making us feel special, and a enjoy a wonderful evening.",August 2018,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Unforgettable,"What should I say? If you don’t go visit this historic gem when you are in Athens or even Greece, don’t bother coming to Greece.
3000 years of History, philosophy and humanity are there to make you feel immortal for a while.
One of the still standing 7 wonders is at your fingertips. Please be part of the myth, listen and feel the wind blowing through the columns of the temple and pause the World for a second",February 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Very touristy but hey, this is Athens and you are one of them","Yes, you will be asked to buy stuff. Yes, you will be begged to sit and have dinner. Yes, it’s crowded. And so what? Aren’t tourist attractions all the same? The difference is that this is not a tourist trap. There is actually a genuine Plaka. There are real antiques to be bought and there are delicious restaurants and enjoyable bars.
Just dive into it the same way you dive into the blue sea and have a great time.",August 2018,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A quiet place to eat,"The food is delicious whatever the time of the day.
Brunch, lunch, dinner or simply have a coffee and a piece of cake in the afternoon, this place is the perfect choice.
You can enjoy a non smoking area inside (seat close to the window so you still get the terrace feeling) and dive into the menu.
The dishes are smartly named after famous actors so order anything you like (there are vegetarian, meat and fish dishes) and enjoy a peaceful dinner being able to talk to whoever shares this moment with you without having to yell over loud music.",July 2018,Nice N Easy,https://www.tripadvisor.com/Restaurant_Review-g1026500-d6508901-Reviews-Nice_N_Easy-Kifissia_Attica.html,"Kifissia, Greece",restaurants,5.0,4.0
