title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Central and very Good place!,"Location is in the very center, 3 min away from caracalla and 5 min from casino and alley..all the restaurants are around..Hotel is very clean and cosy. Breakfast is very good, choicy ad fresh! Stuff is very polite and helpful! Woyld love to come again",February 2019,Hotel Roemerhof,https://www.tripadvisor.com/Hotel_Review-g187278-d1058730-Reviews-Hotel_Roemerhof-Baden_Baden_Baden_Wurttemberg.html,"Baden-Baden, Germany",hotels,5.0,4.0
Great place!,Great place to see..unbelievable legends:)))) preferably to go at 8 so won't be so hot and not that many tourists :))),September 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Highly recommend!,"Highly recommend ""Athens Taxi Tour 360"" ! We had a great tour day with Teo! Very educated and polite gentlmen, clean car and attentive driving. Lots of historical info were giving during the tour by Teo. Thanks a lot for unforgettable experience!!!!",September 2018,Athens Taxi Tour 360°,https://www.tripadvisor.com/Attraction_Review-g189400-d13336029-Reviews-Athens_Taxi_Tour_360-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Great value!,"Great place with tasty food, good service, good price! Location is perfect and close to all sights. No table or service charge!",March 2018,La Grotta di Leo,https://www.tripadvisor.com/Restaurant_Review-g187895-d1405714-Reviews-La_Grotta_di_Leo-Florence_Tuscany.html,"Florence, Italy",restaurants,5.0,4.0
Awful place!,"Unacceptable bad mannered administrator that let himself to shout on customer! Dirty, noisy, untidy room with ripped curtains, not enough light in the room and not everywhere light in the corridor, in 4 days/3 nights towels were not changed, disgusting place !
highly not recommended!!!!!",March 2018,HHB Hotel,https://www.tripadvisor.com/Hotel_Review-g187895-d10408081-Reviews-HHB_Hotel-Florence_Tuscany.html,"Florence, Italy",hotels,1.0,2.5
Brill place!,"Great location! In a Walking distance to all sights, big choice for breakfast, mobile was given so GPS was in use all the time as internet was 24/7! Free calls to many countries! Clean and quiet ..was very happy and for sure will come again",January 2018,Augusta Lucilla Palace,https://www.tripadvisor.com/Hotel_Review-g187791-d1060784-Reviews-Augusta_Lucilla_Palace-Rome_Lazio.html,"Rome, Italy",hotels,5.0,4.0
highly recommended!,"great location..hotel is in the centre and no need to use any kind of transport to get to all sightseen, big choice for breakfast..food was fresh and tasty, very helpful stuff! clean room and comfortable bed :)",October 2017,Hotel Colloseum,https://www.tripadvisor.com/Hotel_Review-g274707-d586583-Reviews-Hotel_Colloseum-Prague_Bohemia.html,"Prague, Czech Republic",hotels,5.0,3.0
Not worth it,Bed is good..breakfast just no comments :(...honestly no breakfast!..some juice and tea you can have and croissant or cake from the packets.. fssss..left 5 sandwiches in the fridge and 2 of them were stolen! So...really don't reccomend,May 2017,B&B Madam,https://www.tripadvisor.com/Hotel_Review-g187869-d1763024-Reviews-B_B_Madam-Treviso_Province_of_Treviso_Veneto.html,"Treviso, Italy",hotels,2.0,3.5
1* star maximum,"Dont recommend at all!!! Room wasn't the one I paid for :(...No refund Or discount was offered.no menu for breakfast but breakfast was OK at least...no glasses in room, one towel in bathroom..had to remind at reception to switch the water on to have shower!",April 2017,Electra Guest house,https://www.tripadvisor.com/Hotel_Review-g190316-d234331-Reviews-Electra_Guest_house-Marsalforn_Island_of_Gozo.html,"Island of Gozo, Malta",hotels,3.0,4.0
Perfect place for weekend break!,Very nice place !! Great time we had :)..recommend to visit for sure! Food..people..service..sightseeing..prices!! Would love to go back again!!,October 2016,Funierice - Erice Cableway,https://www.tripadvisor.com/Attraction_Review-g194757-d2294078-Reviews-Funierice_Erice_Cableway-Erice_Province_of_Trapani_Sicily.html,"Sicily, Italy",attractions,5.0,4.5
Super bar with super owner Garry!!!,Great place to relax with friends ..super place to watch sport matches or play darts! Lovely people always there..big choice of drinks and very good prices!,April 2017,Step Down Bar,https://www.tripadvisor.com/Attraction_Review-g190327-d4243522-Reviews-Step_Down_Bar-Sliema_Island_of_Malta.html,"Island of Malta, Malta",attractions,5.0,5.0
perfect place for relaxing time,"perfect place for relaxing time by the sea any time of the day, excellent service, nice food and good prices!",January 2016,The Compass Lounge,https://www.tripadvisor.com/Restaurant_Review-g190327-d4348418-Reviews-The_Compass_Lounge-Sliema_Island_of_Malta.html,"Island of Malta, Malta",restaurants,5.0,4.5
