title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Best Meal we have on BVI trip,"Perfect setting, very friendly staff and fresh food for a small island venue. They happily accommodated 16 of us at one large table. Seafood was delicious and the vegetables were fresh. The bread plate was fantastic! Wine menu was great too with a lot of options that didn't break the bank.",February 2020,Cooper Island Beach Club Restaurant,https://www.tripadvisor.com/Restaurant_Review-g2674307-d1062790-Reviews-Cooper_Island_Beach_Club_Restaurant-Cooper_Island_British_Virgin_Islands.html,Cooper Island,restaurants,4.0,4.5
Our favorite mooring in the BVI,"This is our favorite place (especially with Saba Rock / Bitter End closed) and always spend two of our 8 nights here when we're on our bareboat vacation. It's a gorgeous setting, the restaurant, coffee bar and Rum bar are excellent. It's easy to take a dingy up to Cistern point to snorkle. Great place to spend a few days!

This time we were able to secure our mooring through the new Boaty Ball app but while we were just off the two main docks, we were in a kind of swirly / odd current area. Normally our mooring ball has been a calm, easy swim to shore experience. Not sure what was going on this year but you could see the boats all swinging around in all different directions, strange!",February 2020,Cooper Island Beach Club,https://www.tripadvisor.com/Hotel_Review-g2674307-d150923-Reviews-Cooper_Island_Beach_Club-Cooper_Island_British_Virgin_Islands.html,Cooper Island,hotels,5.0,5.0
Perfect place to stay if you're just passing through for the night.,"Easy to walk to/from terminals. They have a free shuttle bus that takes you to downtown Rome. We had a flight that arrived at 7pm and we were able to pick up luggage, walk to hotel, get checked in and make the 8pm shuttle bus to go into town for dinner. Easy and no stress! Took their last shuttle back to hotel and left the next morning on an early flight.

The hotel / rooms are what you'd expect. Nothing fancy, a wee bit tired and worn, but it's what we imagined for the price and felt it was a good value. The staff was very efficient and friendly. Would do this again for an ""overnight"" layover type situation. If we had two nights or more we'd stay in downtown Rome.",September 2019,Hilton Rome Airport Hotel,https://www.tripadvisor.com/Hotel_Review-g656615-d228406-Reviews-Hilton_Rome_Airport_Hotel-Fiumicino_Province_of_Rome_Lazio.html,"Fiumicino, Italy",hotels,4.0,3.5
"Why not, maybe your wish will come true?","If you're in old town it's right in striking distance. It would be a shame to not see it, touch his toe and make a wish. The statue is much larger than I anticipated and it is also right outside The Golden Gate so why risk missing out on a wish and seeing both of these historic sights!",September 2019,Grgur Ninski Statue,https://www.tripadvisor.com/Attraction_Review-g295370-d550408-Reviews-Grgur_Ninski_Statue-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",attractions,4.0,4.0
Stay in Old Split!,"We enjoyed staying in old town. You have the opportunity to easily enjoy it daytime as well as night time. The historic sights are easy to find, the cafes and restaurants are plentiful and delicious, and there are great accommodations in unique old historic buildings. Fun to stay right in the heart of things.",September 2019,Old Split,https://www.tripadvisor.com/Attraction_Review-g295370-d548054-Reviews-Old_Split-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",attractions,5.0,4.5
"Meh - not the best view for sunset, but unique setting for sure.","Hanging outside the wall this was a fun place to find. If you do the ""wall walk"" you can look over the edge and see it - it's an inviting looking spot! It takes a bit to seek it our and we learned there is Buza 1 and Buza 2. We went to both and I think I would enjoy it more during the daytime. We went at sunset and it was crowded and you couldn't really see the full sunset (couldn't see the sun drop into the sea from our angle / time of year). A great place to watch the sunset is the Rooftop Bar at the hotel, Villa Dubrovnik (about a 10 minute walk outside the Ploce gate).",September 2019,Cafe Buza,https://www.tripadvisor.com/Attraction_Review-g295371-d552668-Reviews-Cafe_Buza-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",attractions,3.0,4.0
Go at night - gorgeous with lights and you'll probably catch live music!,"We went here both during the day and at night. Different experiences and equally nice but on a warm evening, seeing it all light up and hearing live music - gave it a special significance. If you go to Split you'll likely visit the old town area and this is right in the heart - you'll easily stumble upon it. Enjoy!",September 2019,The Peristyle of Diocletian's Palace,https://www.tripadvisor.com/Attraction_Review-g295370-d4816096-Reviews-The_Peristyle_of_Diocletian_s_Palace-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",attractions,5.0,4.5
"So much going on here ... Rooftop dining, basement nightclub!","Nice ambiance whether on the rooftop, at a table in the alley, or in the lowest floor nightclub / night bar. Food was ok - not overly remarkable but solid. Hostess and servers were very friendly and attentive.",September 2019,Passarola,https://www.tripadvisor.com/Attraction_Review-g303808-d10680315-Reviews-Passarola-Hvar_Hvar_Island_Split_Dalmatia_County_Dalmatia.html,"Hvar Island, Croatia",attractions,4.0,4.0
"Good Pizza, Good People Watching.","Pizza was solid but not ""best ever"". Nice selection of wines and the whole experience was enjoyable other than the wait. We waited in line for quite a while but at least we were able to get a glass of wine while we stood and waited. My only complaint is it seemed obvious that other ""2 tops"" were seated in front of us that came much later and also didn't have reservations. Oh well, we're on vacation - don't get fussed, right! I'm sure they were locals or regulars and truthfully they should get that privilege! After all, we're tourists in their town.",September 2019,Pizzeria Castro,https://www.tripadvisor.com/Restaurant_Review-g295371-d3135308-Reviews-Pizzeria_Castro-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",restaurants,3.0,4.5
Mexican Food in Croatia with all that great seafood? Yup.,"Great find for something different. I find it hard to believe but we were ready for a break from the fabulous Mediterranean inspired dishes and fresh seafood we'd been eating in Croatia but this hit the spot. Delicious margaritas, good fresh salsas and inventive dishes enjoyed in a nice outdoor area. Good people watching too! We enjoyed it.",September 2019,Mex Cantina Bona Fide,https://www.tripadvisor.com/Restaurant_Review-g295371-d6654118-Reviews-Mex_Cantina_Bona_Fide-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",restaurants,4.0,4.5
