title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fantastic....,You cannot go to Athens without visiting Thanasis at least once. Food is fantastic. Everything was just great.,December 2018,O Thanasis,https://www.tripadvisor.com/Restaurant_Review-g189400-d929471-Reviews-O_Thanasis-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Great....,In the heart of Athens close to all amenities!!! Will most def visit again in the future. Thanks it was GREAT!!!,November 2018,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.0
London jewel!!!,Visiting London this quaint hotel was just perfect. Clean and friendly staff. Close to all the requirements needed when going on holiday. Will definitely book again on our next visit in the future. Thanks for the memories...,December 2017,Hotel Tavistock,https://www.tripadvisor.com/Hotel_Review-g186338-d210745-Reviews-Hotel_Tavistock-London_England.html,"London, United Kingdom",hotels,5.0,3.5
History in its awe!!!,"The majestic feeling of Parthenon is a must when visiting Greece, you cannot go to Greece without going to the Parthenon! One of the top ancient Wonders, is just what is required to relax and spend the whole day here!!",November 2018,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great food...,The place has a fantastic setting with great food and music in the heart of Nicosia. Just perfect for family outings or a night with good friends.,November 2018,Kathodon,https://www.tripadvisor.com/Restaurant_Review-g190383-d2044584-Reviews-Kathodon-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,4.0,4.0
Nice Greek food.....,Nice place to go with family or friends or even colleagues. The food is just great and the quantity just right.,July 2018,Zanettos,https://www.tripadvisor.com/Restaurant_Review-g190383-d1984712-Reviews-Zanettos-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,5.0,4.5
Just de wine....,Nice place to just chill and have a good time... Wine is just fab and the atmosphere amazing. Would definitely recommend this venue.,June 2018,Vino Cultura,https://www.tripadvisor.com/Restaurant_Review-g190383-d2531063-Reviews-Vino_Cultura-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,4.0,4.5
Just relax in the extreme beauty of Cypurs...,"Wow, what a beautiful hotel in all its extremities. Just amazing, the building the atmosphere just everything about this hotel is amazing. I would most definitely visit again in the future and recommend to friends and family.",July 2018,Elysium Hotel,https://www.tripadvisor.com/Hotel_Review-g190384-d267704-Reviews-Elysium_Hotel-Paphos_Paphos_District.html,"Paphos, Cyprus",hotels,5.0,4.5
Acropolis oh my Acropolis,Going to Greece and not visiting the Acropolis is like going to the fountain and not drinking water. Being on the top point of Athens and seen the city from below is just mind blowing. Such an amazing view.,December 2017,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Back in time....,So nice to go back in time and see things like they were in the olden days. This was an incredible visit. New and old all in one place. Archaeological digs as you enter taking you back to old times.,November 2017,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Summerising our visit,Good place for fast eating. Nice to go in a group with friends or family. I would visit again.......,June 2018,Piatsa Gourounaki,https://www.tripadvisor.com/Restaurant_Review-g190383-d6078892-Reviews-Piatsa_Gourounaki-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,3.0,4.5
Excellent place to go for good food.,Very nice place to go and eat. Been for lunch and it was very nice. I would most def recommend this place to other people.,June 2018,Cook Shop,https://www.tripadvisor.com/Restaurant_Review-g190383-d7676045-Reviews-Cook_Shop-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,5.0,4.5
Satisfied :-)),"Our stay at the hotel was pleasurable, everything was attended to with professionalism. Breakfast included everything and more. When returning to Thessaloniki we will most definitely choose your hotel again. Thank you for everything.",July 2016,Makedonia Palace,https://www.tripadvisor.com/Hotel_Review-g189473-d253419-Reviews-Makedonia_Palace-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,"Thessaloniki, Greece",hotels,4.0,4.5
Review of an excellent hotel.,"Great location, clean hotel all was excellent. When visiting Athens again will select this hotel for that break away in the city away from all the noise of the centre of Athens. Thanks for a pleasant stay.",November 2015,Herodion Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228864-Reviews-Herodion_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
