title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Live the thriller. Fun, fun fun","This fun day at Selvatica was the highlight of the trip. I'm soo happy we did it. The zip line was my absolute favorite. The team of workers are soo helpful, fun and professional. Thank you.",June 2019,Selvatica,https://www.tripadvisor.com/Attraction_Review-g150807-d657050-Reviews-Selvatica-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",attractions,5.0,5.0
Impressive menu,"This is a great place for lunch, as you can see the nice park across. I prefered the upstairs rooms, more private and view is even better.
Service is fantastic, food is very flavorful and they offer great variety. We tried the tacos to share (rib eye and pig) organic chicken soup and cauliflower... Lamb, and jamon iberico are a must!",March 2019,Emilio,https://www.tripadvisor.com/Restaurant_Review-g150800-d7241466-Reviews-Emilio-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Mexico City, Mexico",restaurants,5.0,4.5
Flavors meet classy autmosphere.,"This is a fantastic restaurant if you are looking to impress anyone on a date, or business.
It's beautiful (the smoking area is outdoors setting with beautiful lights, not too smoky) The inside is very beautiful and classy. Food wise, the kitchen is spectacular. I order a pasta with beef ragu and fresh mint, THE BEST I EVER HAD.. my clients ordered fish and lamb, both great choices. Arugula salad with strawberries and balsamic dressing is full of flavors... dessert is a must! try the figs, canolini and the sorbet.
TIP: make sure you ask for the price of the wine before you order from the ones recommended, as they will try to sell the more expensive, nothing wrong with that, because they are delicouse, just dont be surprised with a bottle's price tag.",March 2019,Cantinetta Del Becco,https://www.tripadvisor.com/Restaurant_Review-g150800-d2490627-Reviews-Cantinetta_Del_Becco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Mexico City, Mexico",restaurants,5.0,4.0
More than a five star,"This is an amazing hotel. Amazing amenities, gym and spa. Top restaurants inside the hotel are King fish, The palm, and a French restaurant. Rooms are super spacious and clean. Staff is very professional and helpful. Many great restaurants near by, like Carolo...I will greatly recommend this hotel for business and family.",January 2019,InterContinental Presidente Santa Fe,https://www.tripadvisor.com/Hotel_Review-g150800-d2622264-Reviews-InterContinental_Presidente_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Mexico City, Mexico",hotels,5.0,4.5
Excellent food and service.,"We visited the Santa Fe location. It was for a meeting. Great idea. Food was spectacular, fresh, authentic and tasty. Service was top notch. Jonathan was attentive and knowledgeable. Thank u.",January 2019,Carolo Santa Fe,https://www.tripadvisor.com/Restaurant_Review-g150800-d6433942-Reviews-Carolo_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Mexico City, Mexico",restaurants,5.0,4.0
SIX STAR REVIEW *******,"Too bad there isn't a six star review. This is the best restaurant in town!
The food was exquisite. Grilled vegetables, also highly recommend the Asparagus with truffles. Lamb dish was spectacular. and they have the best wine selection. There are two areas of this restaurant, we sat in the more quiet area, more romantic. Service is amazing. Location is not centric, but worth getting here!",August 2018,Corina Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189421-d2540459-Reviews-Corina_Restaurant-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Little Italy with BIG favors,This is a very nice gem-restaurant. Food was fantastic. We had the lamb and fish dish. The ambiance is great and romantic. Perfect for a couples dinner.,August 2018,Veneto Wine Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189421-d1538788-Reviews-Veneto_Wine_Restaurant-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Best spot for a coffee or drink,The coffee here is delicious. Its a beautiful place to sit and relax in the afternoon. Perfect view of the harbor. Have lunch at one of the many restaurants located alongside the board walk.,August 2018,Nuvel,https://www.tripadvisor.com/Restaurant_Review-g189421-d10512751-Reviews-Nuvel-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",restaurants,4.0,4.0
a Walk To Walk..,"Get ready to experience spectacular views from the top hill of the Fortezza. Wear comfortable shoes and clothes. It's a long walk, but worth every bit. soo much history and beauty combined. Bring water too.",August 2018,The Venetian Fortezza,https://www.tripadvisor.com/Attraction_Review-g189421-d195898-Reviews-The_Venetian_Fortezza-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.0
Walking distance to old times,"Take a nice walk in the afternoon in this beautiful area. soo romantic. even though you don't get a view of sunsets on this side of town, u still get to see the beautiful colors, lots of restaurants and entertainment.",August 2018,Rethymnon Old Town,https://www.tripadvisor.com/Attraction_Review-g189421-d3374517-Reviews-Rethymnon_Old_Town-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.5
Real Authentic Cretan Gastronomy,"This is a must visit restaurant. We came here for lunch. It is fresh, flavorful, authentic and looks like family owed. It is a very casual place. The bread is first served, obviously home-made, hot. We also ordered a Greek salad, and of course a Gyro..
Cooffee is amazing. Staff is friendly and food is served fast... Bottom line...
Great service, great location, great food and service... it's a must when visiting Rethymno.",August 2018,Othonas taverna,https://www.tripadvisor.com/Restaurant_Review-g189421-d2394494-Reviews-Othonas_taverna-Rethymnon_Rethymnon_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
"A must, but with a tourist guiede.",You must visit this spectacular site with a tourist guide. It will be worth every penny. I also recommend a small group or a personal. Otherwise the groups get too large. It's important to understand the history.,August 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
History explained in a modern display. Amazing,"You must visit this amazing museum, but should do it with a tour guide. Otherwise not worth it. To much history and details to be explained.",August 2018,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
