title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Budget friendly,"The location is excellent, easy access to the mall through hotel with key card, beautiful pool area, clean rooms with microwave and refrigerator. I love the strict security/safety measures, and most importantly, it's budget friendly.",January 2021,Suites Malecon Cancun,https://www.tripadvisor.com/Hotel_Review-g150807-d4586043-Reviews-Suites_Malecon_Cancun-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",hotels,4.0,4.0
"The staff are great, so is the place.","we stayed from 2- 8th January 2020. All the front desk staff were very helpful and friendly. the hotel is always clean and lovely, great location, there are restaurants around and its close to the mall, there's a bank in the mall that have currency exchange without tax. the rooms were cleaned daily so were towel changes and bed making. easy access to buses when you want to go to downtown.",January 2020,201 Hotel,https://www.tripadvisor.com/Hotel_Review-g1093088-d13346824-Reviews-201_Hotel-Kopavogur_Capital_Region.html,"Kopavogur, Iceland",hotels,5.0,4.0
Startlingly impressive,"My trip to the blue lagoon was on Tuesday January 7, 2020. great feeling, you must feel it to understand how awesome it is. the temperature of the water is perfect, it's a must see/feel when you visit Iceland. it's worth all the fuse, musk, dink, and towel comes with the comfort entry fee (pre-book), I wouldn't go for the premium, it makes no difference, you don't need a pair of slippers, you can go bare footed and the towel is just fine. the feel of the water is what you don't wanna miss.",January 2020,Blue Lagoon,https://www.tripadvisor.com/Attraction_Review-g608874-d207805-Reviews-Blue_Lagoon-Grindavik_Reykjanes_Peninsula.html,"Grindavik, Iceland",attractions,5.0,4.5
Magnificent,"Our tour was on Monday January 6, 2020. very impressive and highly recommended tour if you ever visit Iceland. we had a great tour guard, Pade, he was very nice and patient . the whole experience was awesome from the waterfall, gorgeous black beach, breathtaking glacier hike, and LAVA. even the rain wasn't gonna mess the day up for us.",January 2020,"South Coast: Glacier Hike, LAVA Centre, Waterfalls & Black Sand Beach",https://www.tripadvisor.com/AttractionProductReview-g189970-d13282378-South_Coast_Glacier_Hike_LAVA_Centre_Waterfalls_Black_Sand_Beach-Reykjavik_Capital.html,"Reykjavik, Iceland",activities,5.0,5.0
It was ok,I actually booked air Canada from laguardia but flight was delayed and was gonna miss my connecting flight in Canada so they put me on delta. Straight flight which was good but their services hasn't changed much. No improvement.,March 2019,Delta Air Lines,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Delta-Air-Lines,World,flights,3.0,4.0
Ancient beauty,Great sight seeing the ancient gods. It's on a mountain top hence a great sight of the whole city. Lots of restaurants around the area with good food and good prices. Just be prepared for lots of tourists.,December 2018,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Magnificent,"I did not go inside because I didn't meet outfit code, but from the outside,it was beautiful. It is one huge mosque with such beautiful designs. It's a beauty on its own.",May 2018,Blue Mosque,https://www.tripadvisor.com/Attraction_Review-g293974-d294495-Reviews-Blue_Mosque-Istanbul.html,"Istanbul, Turkey",attractions,4.0,4.5
Great experience,"We had a great tour guide that took us into the town of old Jaffa. We started the tour from the clock tower and made our way into the old town. THE TOUR WAS TOTALLY FREE!!! You just gave a tip after the tour if you wish to, which is recommended. Overall it was a beautiful learning experience",December 2018,SANDEMANs NEW Europe - Tel Aviv,https://www.tripadvisor.com/Attraction_Review-g293984-d1783181-Reviews-SANDEMANs_NEW_Europe_Tel_Aviv-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",attractions,5.0,5.0
Great history,Went to Egypt under Jakarda tours. It was very informative and interesting trip to embark on. The history behind the pyramids are great. The private tour is budget friendly and very convenient. The sunset at the pyramid restaurant was amazing. Food was actually very cheap around the area.,May 2018,Pyramids of Giza,https://www.tripadvisor.com/Attraction_Review-g294202-d317746-Reviews-Pyramids_of_Giza-Giza_Giza_Governorate.html,"Giza, Egypt",attractions,5.0,4.5
Great place,"A day trip from montegobay, by the time we got there it was pouring. I didn't enjoy the place like I wanted but when the rain finally stopped, we got the chance to see a beautiful sunset. The natural pool was awesome, seeing people dive from the highest cliff was quiet scary. The staff are friendly and the bathrooms were very neat.",August 2018,Day-Trip to Rick's Cafe from Montego Bay,https://www.tripadvisor.com/AttractionProductReview-g147311-d11474518-Day_Trip_to_Rick_s_Cafe_from_Montego_Bay-Montego_Bay_Saint_James_Parish_Jamaica.html,Jamaica,activities,5.0,4.5
