title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A must see!,"The most famous monument in Athens, has a magnificent view and aura once you have climbed up. It is truly magnificent and mustn’t be missed by anyone visiting Athens!",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Standing on history,"Don’t miss it! A must see for anyone traveling to Athens! Once on the rock, and walking among the remains you feel you are standing on the history of this land!",December 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
The museum to see in Athens,A remarkable effort to support the most famous monument in Athens! Spectacular items and views of the Parthenon situated opposite! Don’t miss it if you are in town!,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Church,So impressive a must visit! Recently renovated itt surprises you pleasantly when you enter and impresses you with the inside!,February 2020,Church of the Savior on Spilled Blood,https://www.tripadvisor.com/Attraction_Review-g298507-d300133-Reviews-Church_of_the_Savior_on_Spilled_Blood-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,5.0
Crown plaza,"Located very centrally has an unbeatable advantage! We enjoyed our stay there and would choose to stay there again! Although it’s location we were not bothered by noise and were close to the metro, buses and taxis.",August 2019,Crowne Plaza Times Square Manhattan,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html,"New York City, New York",hotels,5.0,4.0
Purée,"A different, warm, cozy homy environment with friendly faces! The chandeliers make all the difference!",April 2019,Pirée,https://www.tripadvisor.com/Restaurant_Review-g189403-d10173898-Reviews-Piree-Piraeus_Piraeus_Region_Attica.html,"Piraeus, Greece",restaurants,5.0,4.0
Red Square,"It has so much to see so give it time. Combine with the Armoury, the fund reserve, the tomb of the unknown soldier, and the Farberge museum, After having seen it all, you can enjoy opposite their mall called Gum.",February 2020,Red Square,https://www.tripadvisor.com/Attraction_Review-g298484-d300366-Reviews-Red_Square-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
Sapsan,"We flew to Moscow and travelled to Saint Petersburg with the Sapsan. It was comfortable, on time, and gives you the opportunity to enjoy the vast landscapes as you travel! We did it in winter and as you travel you get to see real Russia.",February 2020,High-Speed Train Sapsan,https://www.tripadvisor.com/Attraction_Review-g298484-d2263785-Reviews-High_Speed_Train_Sapsan-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
Bolshoi,"Even without a ticket, walk around it. It is a historical renowned theater with such history. If you can afford a ticket, don’t miss it!",February 2020,Bolshoi Theatre,https://www.tripadvisor.com/Attraction_Review-g298484-d302506-Reviews-Bolshoi_Theatre-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
The Armory,"So much history and incredible wealth found here! It is in a beautiful building, with must see items !",February 2020,Armoury Chamber,https://www.tripadvisor.com/Attraction_Review-g298484-d300396-Reviews-Armoury_Chamber-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
Moscow metro,"safe and easy to use, when you arrive at the station you are taken by the beautiful statues, it’s grandness and its cleanliness!",February 2020,Moscow Metro,https://www.tripadvisor.com/Attraction_Review-g298484-d300623-Reviews-Moscow_Metro-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
Must see,"Such a well known site, outside the Kremlin is a must see! It was very cold the day we visited and although we feared cues, it was well organized",February 2020,Saint Basil's Cathedral,https://www.tripadvisor.com/Attraction_Review-g298484-d300367-Reviews-Saint_Basil_s_Cathedral-Moscow_Central_Russia.html,"Moscow, Russia",attractions,5.0,4.5
A place to visit,"Lovely restaurant with a secret garden where you can have wonderful tasty food, located in a must visit museum!!!",February 2020,B&E Goulandris Cafe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d19139979-Reviews-B_E_Goulandris_Cafe_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
A “must” see for anyone traveling to Athens!,"One of the newest museums in Athens, with extraordinary exhibits! A must see for anyone visiting Athens! It is located oposite the Parthenon, in a new building accessible to all. If you have the time, it has a very good restaurant!",March 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
An emotional and moving museum to visit!,"It was an emotional experience visiting this moving museum. It is a must if you are in the area visiting
Ground zero and the memorial!",August 2018,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
