title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Once again great service!,"We used Rome cab transfer on our way in and out of the city and both times the driver arrived early and was kind and polite and speaks good English.
In my previous visit to Rome, I already used the service of Rome cab transfer and I'll not hesitate to do so next time again.",December 2019,Rome Cab Transfer,https://www.tripadvisor.com/Attraction_Review-g187791-d10185697-Reviews-Rome_Cab_Transfer-Rome_Lazio.html,"Rome, Italy",attractions,5.0,5.0
Good Tiramisu,"We visited twice this little Tiramisu shop in the center of the city. The idea of 2 sizes is clever since it allows you to taste more than one flavor at once. The original and the Pistaciu are better than the other flavors. Nice for a quick stop or a take away because there are only a few seats on the bar
We ate good Tiramisu in other places in Rome so I wouldn't define it as the best like we read here in some reviews before but it is certainly one of the best in the center of the city.",December 2019,Two Sizes -Tiramisù in Rome-,https://www.tripadvisor.com/Restaurant_Review-g187791-d11917500-Reviews-Two_Sizes_Tiramisu_in_Rome-Rome_Lazio.html,"Rome, Italy",restaurants,4.0,5.0
Plan to come back!,"We enjoyed a 3 nights stay in Hotel Damaso.
the location is central and the service was very good.
We enjoyed the breakfast buffet which is very diversified and the additions of an omelet that is prepared on the spot specifically to your requests and a good cappuccino were very nice touches.
The room and the bathroom were spacious, modern and convenient. Once again a final touch of some chocolates before bedtime was appreciated.
The only thing that bothers a bit is the noise from the street since the hotel is located on the main street on one side, each night we couldn't avoid the noise of police cars and ambulance sirens.
We do plan to come back and ask for a rear room.",December 2019,Hotel Damaso,https://www.tripadvisor.com/Hotel_Review-g187791-d12497396-Reviews-Hotel_Damaso-Rome_Lazio.html,"Rome, Italy",hotels,5.0,5.0
Disappointing service and too loud music,"When we first entered the restaurant the ambiance seems cool with middle eastern music that matched the dishes served later. Unfortunately, the music was so loud that you couldn't speak to a person next to you and it's quite annoying and more appropriate for a dance club and not a restaurant where you want to have a nice dinner.
The food was good except for the dessert that was a huge disappointment. seems that someone in the kitchen forgot the sauce that is a crucial part of the cake we've ordered and hence it was so untasty.
The service was unprofessional across the whole evening with a waiter that forgot a glass of wine although he was reminded twice, a random waiter or waitress that served us and eventually no one cares that most of the dessert was left on the plate. The only one of the team that seems to care was the waitress that gave us our coats before we left that wanted to understand why we were so disappointed with the dessert. But although she was, for a change, attentive she didn't offer any sort of compensation.
Overall it's not a cheap restaurant, for similar prices, we ate much better food and got a much more excellent service in the other evenings during this trip to London.",October 2019,Coal Office Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d15049972-Reviews-Coal_Office_Restaurant-London_England.html,"London, United Kingdom",restaurants,3.0,4.5
Great street art tour at Shoreditch!,We enjoyed exploring the neighbourhood of Shoreditch with a friendly and knowledgeable guide that revelled us some secret street art and explained very interestingly about street art and the different artists that creates it.,October 2019,Strawberry Tours,https://www.tripadvisor.com/Attraction_Review-g186338-d4521959-Reviews-Strawberry_Tours-London_England.html,"London, United Kingdom",attractions,5.0,5.0
Good value for money and very convenient location!,"The room was small but very well organized, it was designed with lots of thought and so every inch is used wisely. Lots of storage place in drawers under the bed so you can unpack your suitcase when you come for a few days.
For 5 pounds you get a varied breakfast and we used it every morning during our stay there.
There is also very reasonable pricing on cocktails, beers, and light food in the evenings and you can get tea and coffee for free all day long (although it would have been more convenient if there was a kettle in the room).
And last but not least: the location was very convenient with lots of public transport to anywhere in the city and of course super convenient for taking the Eurostar -only 5 minutes' walk to the railway station.",October 2019,hub by Premier Inn London King's Cross hotel,https://www.tripadvisor.com/Hotel_Review-g186338-d12503727-Reviews-Hub_by_Premier_Inn_London_King_s_Cross_hotel-London_England.html,"London, United Kingdom",hotels,5.0,4.5
Wonderful B & B,"We spent 1 night in this lovely small B & B.
The room was clean and when we had a problem with the hot water it was solved promptly.
The best thing here is definitely the breakfast - delicious yogurt with fresh fruits was served as a delicious dessert and seems that there is lots of attention to every little detail.
Definitely recommend it if you're travelling in the Kerry region.",June 2019,Teac Seain,https://www.tripadvisor.com/Hotel_Review-g983232-d1416536-Reviews-Teac_Seain-Annascaul_Dingle_Peninsula_County_Kerry.html,"Annascaul, Ireland",hotels,5.0,4.5
Just ok,"It's quite evident that a lot of money was spent on this huge museum but unfortunately, it doesn't add too much to the knowledge regarding the Titanic.
The building itself is quite impressing and the trolley ride inside is fun (we were quite lucky not to wait a long time in line) but otherwise, if you have only half a day to spend in Belfast (like we had) it's best to do the Black Cab Tour and wonder in the city and not necessarily visit this museum.",June 2019,Titanic Belfast Entrance Ticket: Titanic Visitor Experience Including SS Nomadic,https://www.tripadvisor.com/AttractionProductReview-g186470-d12027392-Titanic_Belfast_Entrance_Ticket_Titanic_Visitor_Experience_Including_SS_Nomadic-Be.html,"Belfast, United Kingdom",activities,3.0,4.5
Heart breaking memorial,"Those sculptures describe quite vividly the famine in Ireland during the 19th century.
It's not something that you have to save special time for visiting, you just walked there for a few minutes and it's quite moving.",June 2019,The Famine Sculptures,https://www.tripadvisor.com/Attraction_Review-g186605-d216537-Reviews-The_Famine_Sculptures-Dublin_County_Dublin.html,"Dublin, Ireland",attractions,4.0,4.5
Fun food tour,"We had a lovely tour with a small group of 5 (including both of us).
Our local young guide Noel gave us some information about the city as well and led us pleasantly to local ""food institutions"" that we probably wouldn't found by ourselves.
It's a tasty and recommendable tour.",June 2019,Dublin Secret Food Tour w/ Private Tour Option,https://www.tripadvisor.com/AttractionProductReview-g186605-d12812653-Dublin_Secret_Food_Tour_w_Private_Tour_Option-Dublin_County_Dublin.html,"Dublin, Ireland",activities,5.0,5.0
