title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Amazing turkish delights,"Every time i visit istanbul i should visit this place
They the most delicious and amazing turkish delights.
Highly recommended",April 2021,Ali Muhiddin Haci Bekir,https://www.tripadvisor.com/Restaurant_Review-g293974-d4587456-Reviews-Ali_Muhiddin_Haci_Bekir-Istanbul.html,"Istanbul, Turkey",restaurants,4.0,4.5
Simply amazing,"Visited this place is a must when you are in Istanbul
Very tasty Tantouni sandwich
Simply this place is amazing and highly recommended",April 2021,Ayla Tantuni,https://www.tripadvisor.com/Restaurant_Review-g293974-d10160330-Reviews-Ayla_Tantuni-Istanbul.html,"Istanbul, Turkey",restaurants,4.0,4.0
Very good fish,"While walking in Karakoy we visited this place for lunch
Amazing view
Friendly waiters
Very tasty fish and shrimps
I recommend this restaurant",April 2021,Dersaadet Cafe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293974-d1128535-Reviews-Dersaadet_Cafe_Restaurant-Istanbul.html,"Istanbul, Turkey",restaurants,4.0,4.0
Average shisha,"Visited this place for shisha with my friends
The hostess is not friendly at all
The waiter is friendly and always smiling
They dont have disposable shisha hose
The shisha looks nice but very bad taste and not worth the cost
I dont recommend and definitely I will not visit this place again",April 2021,Lotiz Lounge & Hookah,https://www.tripadvisor.com/Restaurant_Review-g293974-d17348282-Reviews-Lotiz_Lounge_Hookah-Istanbul.html,"Istanbul, Turkey",restaurants,2.0,5.0
Just amazing,"Visited this restaurant for the first time after reservation over the phone
Amazing view
Very tasty food
Simply amazinggggg
Highly recommended",April 2021,Hamdi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293974-d6936751-Reviews-Hamdi_Restaurant-Istanbul.html,"Istanbul, Turkey",restaurants,4.0,4.0
Istanbul Visit,"Visited istanbul with friends
Its not the first time we visit Faros
Very Good restaurant
Waiters very friendly
Very tasty food
Simply this restaurant is highly recommended",April 2021,Faros Restaurant Taksim,https://www.tripadvisor.com/Restaurant_Review-g293974-d2010449-Reviews-Faros_Restaurant_Taksim-Istanbul.html,"Istanbul, Turkey",restaurants,4.0,4.0
Amazing place and food,Visited with friends for lunch. Very tasty food. Professional waiters always smiling and very helpful. Food is amazing. Highly recommended,September 2020,Locanda - A la Granda,https://www.tripadvisor.com/Restaurant_Review-g298264-d1372235-Reviews-Locanda_A_la_Granda-Byblos_Mount_Lebanon_Governorate.html,"Byblos, Lebanon",restaurants,4.0,4.5
Very nice place,Went with my friends for a coffee. Very cute place. Tasty coffee. Smiling professional waiter. Highly recommended,September 2020,Cafe Les Deux Magots,https://www.tripadvisor.com/Restaurant_Review-g187147-d714904-Reviews-Cafe_Les_Deux_Magots-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,4.0
Highly recommended restaurant in Nice,Visited this place with my friends for a dinner. We tried salad pizza and pasta. Food is really amazing. And the restaurant is highly recommended,January 2020,La Villa d'Este,https://www.tripadvisor.com/Restaurant_Review-g187234-d779674-Reviews-La_Villa_d_Este-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,5.0,4.0
Beat food,Visiting this place for a dinner in one night in Rome. Waiter is professional. Place is very nice and cozy. Food is amazing. Highly recommended,January 2020,La Campana,https://www.tripadvisor.com/Restaurant_Review-g187791-d716276-Reviews-La_Campana-Rome_Lazio.html,"Rome, Italy",restaurants,5.0,4.0
Best Pizza,Visited this place with a friend for dinner. Waiters are always smiling and professional. Food amazing we ordered 2 Pizzas and 1 Focaccia. Price are affordable. Highly recommended,January 2020,Basilic & Co Nice (Pastorelli),https://www.tripadvisor.com/Restaurant_Review-g187234-d17763414-Reviews-Basilic_Co_Nice_Pastorelli-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html,"Nice, France",restaurants,5.0,4.5
Best Dinner,Visited this place with my friends for a dinner. The staff are all very friendly. Waiter Joe always smiling and very professional. Food is amazing. Desert is really wow especially Molten chocolate and pain perdu. Highly recommended,January 2020,Swiss Butter,https://www.tripadvisor.com/Restaurant_Review-g294005-d12665055-Reviews-Swiss_Butter-Beirut.html,"Beirut, Lebanon",restaurants,5.0,4.0
Very nice place,Visited this place for a cappuccino. Very professional and friendly waiter. Tasty coffee. Nice location. Highly recommended,December 2019,Monsieur Albert,https://www.tripadvisor.com/Restaurant_Review-g187234-d14071877-Reviews-Monsieur_Albert-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,5.0,3.5
Amazing Hotel and service,"Visited Amsterdam for a friend Birthday and we have chosen the Hendrick’s hotel based on reviews on TripAdvisor
The hotel was excellent
The room was perfect, the staff very friendly, the hotel is clean and easily accessible
They have an employee called Meedo responsible of the breakfast: he is very friendly, professional and always smiling

This hotel is highly recommended",November 2019,The Hendrick's Hotel,https://www.tripadvisor.com/Hotel_Review-g188590-d12579757-Reviews-The_Hendrick_s_Hotel-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",hotels,5.0,5.0
Nice Shisha lounge,"Visited this place for shisha with my friends
Staff very friendly
Nice shisha
Very tasty morrocan tea
Highly recommended",November 2019,Hookah Lounge Amsterdam,https://www.tripadvisor.com/Attraction_Review-g188590-d8510506-Reviews-Hookah_Lounge_Amsterdam-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,4.0,4.0
Amazing experience,"Visited this place with my friends
Very friendly staff
Price per person 21€
We had a very nice experience
Highly recommended when Visiting Amsterdam",November 2019,Heineken Experience,https://www.tripadvisor.com/Attraction_Review-g188590-d240813-Reviews-Heineken_Experience-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,4.0,4.0
Tasty Breakfast,"Visited this place for breakfast
Very friendly and professional staff
Very tasty food
Affordable price
Highly recommended",November 2019,Bakers & Roasters,https://www.tripadvisor.com/Restaurant_Review-g188590-d8863669-Reviews-Bakers_Roasters-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,4.0,4.5
Clean and nice hotel,Stayed in the hotel for 2 nights for my university visit in Nice. The hotel is very clean. Easy accessible. 10 mns walk frok Massena Square. Very clean rooms. Tasty breakfast. Friendly and professional staff. I have to visit Nice every month and i will check the rates and choose Hotel Vendome again. Its highly recommended,November 2019,Hotel Vendome,https://www.tripadvisor.com/Hotel_Review-g187234-d197208-Reviews-Hotel_Vendome-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",hotels,4.0,4.0
Great place for Shisha in Nice,Visited this place for arguile shisha. The place is very nice. Friendly and very polite staff. Visited twice during my stay in Nice. The shisha is 15euros (very affordable). Will visit again. Highly recommended,November 2019,Pacific,https://www.tripadvisor.com/Restaurant_Review-g187234-d10510632-Reviews-Pacific-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,5.0,4.5
Nice place,Visited this place in November for a business trip in Nice. Very nice place its a must when visiting the wonderful city Nice,November 2019,Place Massena,https://www.tripadvisor.com/Attraction_Review-g187234-d195902-Reviews-Place_Massena-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",attractions,5.0,4.5
Tasty Burger,Visited this place for lunch. I had a burger and fries. Very tasty. The place is very nice decorated. The staff all friendly. Highly recommended,November 2019,Hippopotamus,https://www.tripadvisor.com/Restaurant_Review-g187234-d1322782-Reviews-Hippopotamus-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,4.0,4.0
Nice café,Always visiting this place for shisha lunch and dinner. Very tasty food. Very nice staff (Mohamad Ali) always smiling and professional. The place is highly recommended,November 2019,Mandarine,https://www.tripadvisor.com/Restaurant_Review-g294005-d12871433-Reviews-Mandarine-Beirut.html,"Beirut, Lebanon",restaurants,5.0,4.0
Amazing place,Visited in October with family and friends. Very nice place. Very lively always. Safe place and nice encounter. Nice restaurants and cafés,October 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Very nice,Visited in October with family and friends. We visited the acropolis for the second time very nice organized historical place,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Very nice hotel. Friendly staff,"Visited the hotel in October for the second time. Very clean hotel. Staff are all friendly very helpful and very professional. Breakfast is very tasty and we had many choices. Rooms are clean and well organized. We asked for a cake to celebrate 2 friends birthday, the hotel presented the cake on the house and it was very kind from them. Simply this hotel is Highly recommended",October 2019,NEW Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d206785-Reviews-NEW_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.5
Visited this restaurant with family,"Visited this restaurant with family in a trip to Athens
Very good restaurant
Very tasty
Good service
Highly recommended",October 2019,Efcharis,https://www.tripadvisor.com/Restaurant_Review-g189400-d4746098-Reviews-Efcharis-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Amazing Chicha,Visited this place for a chicha with friends. Very nice street. Very lively. Waiters all nice. Shisha for 15 euros all flavors. Highly recommended,September 2019,Planet-Chicha Café,https://www.tripadvisor.com/Restaurant_Review-g187147-d8106523-Reviews-Planet_Chicha_Cafe-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,4.0
Nice place,Visited this place for a dinner with 4 friends. Waiters are very professional and always smiling. Nice view on Champs Elysées. Very tasty food and affordable price. Highly recommended,September 2019,Cafe Di Roma,https://www.tripadvisor.com/Restaurant_Review-g187147-d12334932-Reviews-Cafe_Di_Roma-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,3.5
Bon café,"Visited with friends for a morning coffee
Waiter is very friendly
Delicious coffee
Nice place
Highly recommended",September 2019,Le Chat Blanc Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d13283504-Reviews-Le_Chat_Blanc_Restaurant-Paris_Ile_de_France.html,"Paris, France",restaurants,4.0,4.0
Medium,We visited Ahwak Broumana branch. The staff are all friendly and the waiter was very professional and always smiling. The food wasnt wow. We ordered Fatoush was perfect. Shaknlish not tasty. Batata harra not tasty at all. Baby chicken not bad,August 2019,Ahwak,https://www.tripadvisor.com/Restaurant_Review-g294005-d13511699-Reviews-Ahwak-Beirut.html,"Beirut, Lebanon",restaurants,3.0,4.0
Very nice food,We have visited Duo ABC Verdun. Very friendly staff. Very nice ambiance. Food was amazing. Very tasty salad bar. We ordered vegetarian Pizza and sushi. Highly recommended,August 2019,Duo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298265-d16814696-Reviews-Duo_Restaurant-Dbayeh_Mount_Lebanon_Governorate.html,"Dbayeh, Lebanon",restaurants,4.0,4.5
Good food,Visited Crepaway in city center for a dinner. Very friendly hostess. Professional waiter. Very tasty food. Recommended,July 2019,Crepaway,https://www.tripadvisor.com/Restaurant_Review-g294005-d792734-Reviews-Crepaway-Beirut.html,"Beirut, Lebanon",restaurants,4.0,4.0
