title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice archaeological site,"Nice archaeological site. This temple was twice the size of the Parthenon. Simply when you come you admire how it was build and what it looked like when was new.
I recommend buying tickets here for more sites, as the line is smaller. The ticket for ALL sites costs 30 euro..",November 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Athens Center,"A nice little square in the heart of Athens. It is located between Plaka and Psyri. There are nice restaurants in the surrounding streets. And plenty of gift shops. Whether it's day or night, the square is always crowded.",November 2019,Monastiraki,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
Great place,"Athens area similar to Plaka, but slightly newer. There are even more restaurants, with great food. Prices are for everyone's pocket.",November 2019,Psirri,https://www.tripadvisor.com/Attraction_Review-g189400-d198777-Reviews-Psirri-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
The oldest part of Athens,"The oldest part of Athens. Be sure to visit and enjoy the atmosphere. Every street is different and each is full of restaurants and cafes. Pay attention to the prices, as they can be expensive. But a drink and maybe some salad is a must.",November 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Magnificent,Complex of building that proudly standing above Athens. From almost every point in Athens you will be able to see it. Day or night. Be prepared for walking.,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Magnificent,You look at the Parthenon and wonder about the story behind it. You can’t not go to Athens without stopping at Parthenon. No need for a tour - you can take it all in as you go yourself and then do so at your own pace. Lots of walking and stairs involved.,November 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Very nice place,The whole area is very nicely kept. Offers a great walk around the site. Dolphin show is same as in any other zoo. If you never went to these show than you should go.,November 2019,Skip the Line: Athens Attica Zoological Park General Admission Ticket,https://www.tripadvisor.com/AttractionProductReview-g562627-d12993395-Skip_the_Line_Athens_Attica_Zoological_Park_General_Admission_Ticket-Spata_East_At.html,"Spata, Greece",activities,4.0,4.5
Casual Sports Bar/casual dinner,"Excellent place to go for a bear or casual dinner. Place is very live and friendly. Always placed with peoples so make reservation. Every food that you will order will be great!! Portions are perfect size. Also if you like karaoke, got to basement. Every Thursday you can spend great time singing your favorite songs. On Tuesday there are young local musicians.",April 2019,Rhodeside Grill,https://www.tripadvisor.com/Restaurant_Review-g30242-d494860-Reviews-Rhodeside_Grill-Arlington_Virginia.html,"Arlington, Virginia",restaurants,5.0,4.0
Nice dinner,"Excellent place for pizza and pasta. Only advice will be do not take vine. Service was good, place was clean.",April 2019,Il Radicchio,https://www.tripadvisor.com/Restaurant_Review-g30242-d494820-Reviews-Il_Radicchio-Arlington_Virginia.html,"Arlington, Virginia",restaurants,4.0,4.0
Good place to stay,"Excellent location. Rooms are big. In every room there is microwave and if you choose double bedroom you will get oven. Every room is equipped with at least two TVs, with on demand video and dishwasher. On 6th, 8th, 10th, and 12th floor there are shared washers. Gym is on a small side, but if you stay for 2 or more weeks, you have 15$ per month membership in ""Gold's Gym"". It is 3 min from hotel.
Only down side of this hotel is breakfast. It is modest. But on a plus side there is complementary dinner every Thursday.
Target, Safeway, CSV pharmacy and metro are 5 min walk.",April 2019,Residence Inn Arlington Rosslyn,https://www.tripadvisor.com/Hotel_Review-g30242-d110499-Reviews-Residence_Inn_Arlington_Rosslyn-Arlington_Virginia.html,"Arlington, Virginia",hotels,4.0,4.5
Very satisfied,"Location is very good. It is close to Koukunaries beach. But Troulos beach is very good but smaller then Koukunaries. It is 30 meters (100feet) from bus station. Stuff are friendly. Breakfast is not good. Every day it is the same: butter, bread, honey, eggs and jam. Rums are clean but do not expect something special. Hotel is about 150 meters from beach. You have WiFi but don't expect yo be fast.",September 2014,Hotel Korali,https://www.tripadvisor.com/Hotel_Review-g189499-d290755-Reviews-Hotel_Korali-Skiathos_Sporades.html,"Skiathos, Greece",hotels,4.0,4.5
