title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Stunning views,"While in Jordan we took a trip to Wadi Rum a Unesco World Heritage site.
At the entrance of the site we got transferred to the back of a pick up truck en enjoyed a few hours ride through the dessert with absolutely stunning views of the rock formations. This place is a must see as it is a different experience.",April 2019,Wadi Rum Protected Area,https://www.tripadvisor.com/Attraction_Review-g303973-d1555385-Reviews-Wadi_Rum_Protected_Area-Wadi_Rum_Al_Aqabah_Governorate.html,"Wadi Rum, Jordan",attractions,5.0,5.0
Simply Stunning,"We planned our trip to divide and spend as much efficient time at the most interesting sites. Petra was our first stop and totally unbelievable.
We took the mountain trail from the back end and worked ourselves to the visitor centre. This is a full day trip with, at some point, climbing through risky mountain passes.
Stunning views and beautiful historic sites.",April 2019,Petra,https://www.tripadvisor.com/Attraction_Review-g318895-d319461-Reviews-Petra-Petra_Wadi_Musa_Ma_an_Governorate.html,"Petra - Wadi Musa, Jordan",attractions,5.0,5.0
Superb and beyond expectations,"I was looking at day tours for my stay in Greece during the month of April.

Did my homework and got mixed feelings about a group tour to Delphi. I ended up booking with George's Taxi, a little more expensive but was it ever worth the money!!!!!
Our driver was Michael, polite, punctual and well represented. He picked us up on time at our hotel and started our day. Michael did everything and beyond to make our day outstanding and comfortable.

Thank you very much to make this the best day of our stay in Greece.

Adrian and Faye.",April 2019,George's Taxi,https://www.tripadvisor.com/Attraction_Review-g189400-d1905851-Reviews-George_s_Taxi-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Love Plaka,"Plaka is an area located right of the Acropolis. It is a tasteful historic section of Athens with lots of authentic Greek restaurants and gift shops. It makes a wonderful day to visit and enjoy the shops,",April 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A wonderful museum to visit,"We had a rainy day in Athens which made it a perfect time to visit the Acropolis Museum.
Amazing to see the treasures, from 420 to 460AD, that were found at the slopes of the Acropolis. This museum is very nicely laid out very friendly to visit for a reasonable price.",April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing history well worth to visit.,"Visited the Acropolis, a very historic site in Athens, Greece.

It was a beautiful sunny day as we had arrived about an hour or two from Canada.
We loved the site as it is always impressive when you think back how they made such structures thousands of years ago.
The unfortunate part of the site is that there is always construction going on which takes away of the historic beauty.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Nice place to drop in for spontaneous bar food.,"Dropped n this place for the first time in February 2019 and enjoyed the atmosphere food and service.
A nice place to drop in when you do not feel for making an evening dinner. A nice menu with a good variety. Would drop in again at any time.",February 2019,Boar's Head Pub,https://www.tripadvisor.com/Restaurant_Review-g155015-d938844-Reviews-Boar_s_Head_Pub-Stratford_Ontario.html,"Stratford, Canada",restaurants,4.0,4.0
Professional work,Koolen Fine Arts is the place to to be for framing paintings that have meaning to you. They also clean old / new paintings in a very professional manner and their services also include restoration. This place is a gem to have in Stratford and we should be proud of.,December 2018,Koolen Fine Arts,https://www.tripadvisor.com/Attraction_Review-g155015-d12029995-Reviews-Koolen_Fine_Arts-Stratford_Ontario.html,"Stratford, Canada",attractions,5.0,5.0
Wonderful menu,"The menu changes from time to time with the availability of the local produce.
It is definitely one of my favourite places in Stratford.
A nice local restaurant with a great staff!!!!",December 2018,Mercer Kitchen and Beer Hall,https://www.tripadvisor.com/Restaurant_Review-g155015-d3316962-Reviews-Mercer_Kitchen_and_Beer_Hall-Stratford_Ontario.html,"Stratford, Canada",restaurants,5.0,4.0
Not impressed,"Went with my wife for dinner to the Keytone Alley all excited for a nice dinner.
It had been several years that I had dinner there but remembered that the food was very impressive. Well this has changed dramatically.
We ordered some fish and chips because we both felt like it. As an appetizer we had six perogies.
The appetizer was a little disappointing but when we got the fish and chips it got a little worse. The fish was battered in a thick layer of greasy batter and was not appetizing at all. Even the little peace of fish in it was far below .
It will be a while before I return to this restaurant and certainly will not recommend it.

Thank you",February 2019,The Alley (Formerly Keystone Alley),https://www.tripadvisor.com/Restaurant_Review-g155015-d685977-Reviews-The_Alley_Formerly_Keystone_Alley-Stratford_Ontario.html,"Stratford, Canada",restaurants,2.0,4.5
