title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
An excellent hotel !,"This was my second visit to Suzdal, and both times I stayed in this wonderful hotel! I was here in September 2018, as a member of a small group traveling across Russia. On that trip, I was alone, and I stayed for two nights. I was here again in September 2019, with my wife, as a member of a much larger group, we stayed just one night. My second stay was not as pleasant as the first one. Why? Well, we (my wife and I) were in a small room, in the main building. The room had everything we needed, and the bathroom was adequate, but on my previous stay I was in one of the villas, where the rooms are really sumptuous. However, there are advantages to staying in the main building: you don't need to walk far to the dining room, it is in the same building! Also, you don't need to drag your luggage across the cobble-stoned streets. Take your pick: grand room, but far to walk, and probably inconvenient for those who find it difficult to handle luggage over long distances. Small room, but close to all facilities! Breakfast, like the previous trip, was good. Plenty of choice. If ever I go again to Suzdal, I would love to stay in the same hotel !! Given my age, I might stay in the smaller room!",September 2019,Pushkarskaya Sloboda Hotel,https://www.tripadvisor.com/Hotel_Review-g580269-d625100-Reviews-Pushkarskaya_Sloboda_Hotel-Suzdal_Suzdalsky_District_Vladimir_Oblast_Central_Russia.html,"Suzdal, Russia",hotels,5.0,4.5
Simply stunning! The best thing to see in the Golden Ring!,"I have seen several places in the Golden Ring, and I can say categorically that this huge complex of churches and other buildings is the single best thing to see! If you have at least ONE day to spare while visiting Moscow, please use it to see this wonderful place. If possible, get a guide, or join a good conducted tour, because there is a lot of explaining required. We were on a group tour, and I am really grateful to our wonderful guide for making this a most memorable day. This place is very important in Russian history, and it is amazingly photogenic. We were lucky, it was a bright sunny day. There is a fair bit of walking involved. Definitely NOT an activity to plan for a rainy day!",September 2019,The Holy Trinity-St. Sergius Lavra,https://www.tripadvisor.com/Attraction_Review-g445047-d321306-Reviews-The_Holy_Trinity_St_Sergius_Lavra-Sergiyev_Posad_Sergiyevo_Posadsky_District_Mosco.html,"Sergiyev Posad, Russia",attractions,5.0,5.0
Unmissable if you are in Yaroslavl !! Especially good for photo buffs.,"We saw this lovely city on our conducted tour around the Golden Ring, and we were here for one night and half a day. In my opinion, the BEST thing, by far, in Yaroslavl was the riverside walk along the Volga River. One of the best riverbank walks I have experienced, anywhere in the world. The river looks great, and there are some very interesting churches on the walk, apart from some other beautiful buildings. Very very photogenic. Even in bad weather! If it is a nice sunny day, you could not ask for more! Remember, this city is over a thousand years old, our guide regaled us with plenty of stories of the past. It is the biggest city between Moscow and the Arctic.",September 2019,Yaroslavl Embankment,https://www.tripadvisor.com/Attraction_Review-g298488-d2705594-Reviews-Yaroslavl_Embankment-Yaroslavl_Yaroslavl_Oblast_Central_Russia.html,"Yaroslavl, Russia",attractions,5.0,5.0
"Worth seeing, but be prepared to walk !!","This was my second visit to Russia, and my third museum of wooden buildings (I had seen a huge one in 2018, near Lake Baikal, on the way to Listvyanka, and I had also seen a small one the same year in Suzdal). This museum is sort of in-between. Definitely worth seeing if you are doing a Golden Ring tour. We were on a group tour, and it was an ""included"" item. We had a great guide, and I feel a guide is an absolute must to get the best out of such a museum. Some of the buildings are truly amazing. Some don't have a single nail, entirely wooden. The Russians have a real knack of doing things with wood, and museums such as this are proof. Fortunately we were given about two hours to see the place, it was well worth the effort! You can go inside most of the buildings. Don't miss the churches!",September 2019,Museum of Wooden Architecture,https://www.tripadvisor.com/Attraction_Review-g298482-d2357372-Reviews-Museum_of_Wooden_Architecture-Kostroma_Kostroma_Oblast_Central_Russia.html,"Kostroma, Russia",attractions,4.0,4.5
A grand hotel !!,"We were on a group tour of Russia, and we were in Yaroslavl for just one night, on our tour of Golden Ring cities. This hotel was chosen by our tour operator, and I am very happy with the choice. The room was quite big, and was very well furnished. The bathroom was a bit small, but well equipped. The dining room where we had breakfast was not very big, but good enough for the number of guests in the hotel at the time. The choice of food for breakfast was good, and the food was quite delicious. Overall, I am very happy with the place, and if ever I go to Yaroslavl on my own, I would have no hesitation in staying in this hotel.",September 2019,Royal Hotel Spa & Wellness,https://www.tripadvisor.com/Hotel_Review-g298488-d3487781-Reviews-Royal_Hotel_Spa_Wellness-Yaroslavl_Yaroslavl_Oblast_Central_Russia.html,"Yaroslavl, Russia",hotels,5.0,4.5
A wonderful hotel.,"My wife and I were on a group tour, and the hotel was chosen by the tour operator. A very good choice indeed. I would love to stay here again, if ever I went to Moscow on my own. It is near the city centre, and there is at least one metro station very near. It is a very nice locality, with shops within walking distance. The room was not very big, but it was well furnished, and the bathroom was adequate. Excellent free wifi. Breakfast was good, very wide choice of food. As it is a very popular hotel, you need to go a little early for breakfast, to avoid the crowds. Staff at the front desk speak English and they are very friendly and helpful. I would strongly recommend this hotel.",September 2019,AZIMUT Hotel Olympic Moscow,https://www.tripadvisor.com/Hotel_Review-g298484-d299815-Reviews-AZIMUT_Hotel_Olympic_Moscow-Moscow_Central_Russia.html,"Moscow, Russia",hotels,5.0,4.5
Worth seeing. A really beautiful church.,"One for the history buffs! This beautiful church is built on the site where a much loved Czar (Alexander the second) was assassinated in the 1880's. (the Finns adore this Czar, it was he who gave the Finns autonomy, they are proud to display a huge statue of him in one of Helsinki's main squares. Surprisingly, I did not see any similar statue of him in Russia!). The problem in visiting this church is that it is easily accessible and is so beautiful that it is very popular with tour groups. That means huge crowds. Plus, the area surrounding the church is filled with stalls selling all sorts of souvenirs and other knick-knacks. These stalls add to the general confusion. Everything about this church is so photogenic. The inside, the outside, the floor, the ceilings, etc...etc... Well worth a visit.",September 2019,Church of the Savior on Spilled Blood,https://www.tripadvisor.com/Attraction_Review-g298507-d300133-Reviews-Church_of_the_Savior_on_Spilled_Blood-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,4.0,5.0
"Great for history buffs, and photos freely allowed.","This is not just a jewellery tour. The Faberge museum is a lesson in Russian history. I missed seeing this on my first trip to the city in 2018, but on my second trip last year I was delighted to note that our group leader had budgeted two hours for this wonderful place. True, if you don't get excited by history, and by small historical objects, you should give this a miss, but you may not have a choice if you are on a group tour. If you do this on your own, PLEASE GET AN AUDIO GUIDE! It is an absolute must, well worth the extra cost. We had a wonderful guide, so we got great explanations of the important pieces. There are wonderful stories behind many of the pieces. Photos freely allowed, and some of the pieces are simply stunning. It is not all Faberge eggs, many of the pieces are small masterpieces of miniaturisation of everyday objects! One word of caution: it can be crowded, so those with a stroller may find negotiating the narrow spaces a bit difficult!",September 2019,Faberge Museum,https://www.tripadvisor.com/Attraction_Review-g298507-d6580510-Reviews-Faberge_Museum-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,4.5
Very good hotel,"Well, it is a huge huge hotel. Perhaps the biggest hotel I have stayed in my whole life! We were on a conducted group tour, and our tour company chose the hotel. Would I stay there again, if I went on my own to St. Petersburg? Probably, if I get a good deal, price-wise. Nothing to complain. Good, spacious room, everything worked. But, being a massive Soviet era building, distances were huge. Our room was about five minutes walk from the nearest lift! Breakfast was quite good. Wide choice, and food was tasty. Staff were quite friendly, and many of them spoke some English. Overall, a good place to stay.",September 2019,Park Inn by Radisson Pribaltiyskaya St Petersburg,https://www.tripadvisor.com/Hotel_Review-g298507-d300215-Reviews-Park_Inn_by_Radisson_Pribaltiyskaya_St_Petersburg-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",hotels,4.0,3.5
Simply unmissable !! Especially for anyone with an interest in history.,"This was my second visit to St. Petersburg, both were conducted group tours, and I was very very sorry to miss this on my first trip. This was the highlight of my second trip. Even if you are not a history buff, this is one place you should NOT miss if you come to this city. A monument to the heroic defence of Leningrad (old name for the city), when it was besieged by the Nazi forces in WW2. One of the longest and most destructive sieges (in terms of human and material losses) in the history of mankind. Above ground the most striking object is a 50 metre obelisk, and huge statues depicting soldiers and civilians. Below it is a huge metal ring, (a symbol of the besieging forces surrounding the city). But, the best is underground. There is a huge cathedral-like hall, with all sorts of exhibits relating to the siege. You must budget at least an hour (if not two!) to see all the exhibits. There are a couple of excellent short documentaries depicting life during the siege. If you do not have a guide, ask the staff to run it for you. All very very moving. It is only when you see this memorial that you realise how awfully the Russian people suffered in WW2 ( the USSR lost around 26 million people in the war, soldiers and civilians). Photos freely allowed.",September 2019,Monument To Heroic Defenders of Leningrad,https://www.tripadvisor.com/Attraction_Review-g298507-d302303-Reviews-Monument_To_Heroic_Defenders_of_Leningrad-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",attractions,5.0,4.5
