title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
WOW!!!!,After 7month from going out due to COVID we decided to go and celebrate my birthday at Genki. We ordered online and they have a very userfriendly website. The price is very reasonable and great portions. All was very good and we were given the food the time we booked. I would have took photos but the smell was so delicious that we ate all.,October 2020,Genki Asian Cafe,https://www.tripadvisor.com/Restaurant_Review-g1854775-d12569149-Reviews-Genki_Asian_Cafe-Msida_Island_of_Malta.html,"Island of Malta, Malta",restaurants,5.0,4.5
Simply WOW,"We planned a family reunion and we were over 30people so we obviously opted for Browns restaurant. The food was delicious as always, although we were a lot the food didn't take long. The service staff were very helpful, polite and quick. Children menu is varied and bathrooms very clean. It was a beautiful lunch with family and Browns restaurant made it even better.",January 2020,Browns Kitchen,https://www.tripadvisor.com/Restaurant_Review-g190328-d2268124-Reviews-Browns_Kitchen-Valletta_Island_of_Malta.html,"Island of Malta, Malta",restaurants,5.0,4.5
Super well done,A great excellent friendly hotel. The rooms are super clean and beautiful. We stayed for 4nights and had children with us. The breakfast is so scumptious delicious and with a lot of varity. Very polite smiling staff. Close to metro. Will surely revisit. WELL DONE and effaristos,November 2019,Pallas Athena Grecotel Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d530568-Reviews-Pallas_Athena_Grecotel_Boutique_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Impressive,Though they are ruins they are stinning to see their grandeur from close. It is interesting if you could omagine all rebuilt and the statue of Zeus and Adrian in it. Very beautiful and lots of photos of the site with the acropolis at the back,November 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Beautiful views,We caught the metro and walked it up to the telefeken the funicular which then took us up to the top. Very tiring to walk up till the funicular if i would rego i would catch a taxi. very clean and worth visiting since you would have a 360 view of athens. there is also a nice church to visit and a great restaurant which also has spectacular views.,November 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Interesting,The Agora gives you a taste how ancient Greece was. It has the only temple with roof still standing which is rare. throughout the walk make sure you wear comfy shoes and you can admire all. very clean and helpful.,November 2019,Ancient Agora of Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Wonderful,After visiting Socrates prison... we smelt a wonderful smell and decided to go in. very clean and delicious good. service is excellant friendly waiters with a smile. very genuine food and spectacilar acropolis view. child friendly and pleasant environment. Very clean. all polite,November 2019,Dionysos Zonar's,https://www.tripadvisor.com/Restaurant_Review-g189400-d1061815-Reviews-Dionysos_Zonar_s-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Divine,The ambient is perfect... great food with good value for money. Fantastic music which together with great food and company makes it a great experience. The plates are abundant and service is great very kind and cheerful. All is fantastic and also clean. The restaurant name truly shows how good it is.... food for gods.,November 2019,Athena`s Cook,https://www.tripadvisor.com/Restaurant_Review-g189400-d4834389-Reviews-Athena_s_Cook-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Very good and abundant,"Very local and fresh. Good choice of food and also for children. Very helpful and with a smile, patient to explain ingredients and all.",November 2019,Taverna Saita,https://www.tripadvisor.com/Restaurant_Review-g189400-d1758185-Reviews-Taverna_Saita-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Impressed,Beautiful to visit. we went up with 6 and 10yr old. make sure to have comfy shoes and water. the tickets were bought beforehand and there is also an app you can listen too while going up to listen to all about acropolis,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
