title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Food,"We visited this restaurant with friends, on their recommendation. I had never even heard of it, but I'm glad we came.

It was Friday evening and we arrived at 6 pm with a reservation. The place was quite empty when we arrived but within 30 minutes it was full! Timing is everything.

I generally try out the fish and chips at least once wherever I go, so that immediately got my attention. It was very nicely done, a single large fillet that was lightly battered and crispy without being overcooked. The fries were also crispy and delicious. My wife opted for the burger, it is a substantial portion and she quite liked it. I tasted a bite, there is a unique flavor to the burger and I still can't put my finger on the spice, but it was very tasty.

Service was very friendly and the food arrived amazingly fast.

All in all a very nice evening.",October 2020,Free Bird,https://www.tripadvisor.com/Restaurant_Review-g6826465-d17426336-Reviews-Free_Bird-Lumsden_Saskatchewan.html,"Lumsden, Canada",restaurants,5.0,5.0
Wow!,"Made this hike on the recommendation of friends and loved it. From the parking lot it was a fairly easy 8 km hike in just under 3 hours, which included lots of gawking and picture taking. My first exposure to Wells Gray, and I need to come back!",September 2020,Helmcken Falls,https://www.tripadvisor.com/Attraction_Review-g182209-d254960-Reviews-Helmcken_Falls-Clearwater_British_Columbia.html,"Clearwater, Canada",attractions,5.0,4.5
Mmmm Goodness,"After hiking the rim trail to Helmcken Falls our group of 4 was ready for some grub, and Hop n Hog was a great was to end the day.

We arrived about 8 pm and while things appeared to be thinning out we still needed to wait about 20 minutes for a table. Thanks to COVID we would have preferred an outside table but had to settle for inside, but table use was spaced out widely and all was good. Service was quick and friendly, just like it should be.

My wife and I ordered the pulled pork mac n cheese and a smoked combo plate with brisket and chicken, to share. The combo plate was delicious, but we found the mac n cheese a little lacking. Maybe on it's own it would have been fine, but when competing with the smoked meat flavors it came up short. Not bad, but not 'jump off the plate' goodness either. Next time I will pass on the mac n cheese and pick something else.

Prices seemed a bit higher than I expected ($22 and $32 for the mains) but this is good food in the middle of nowhere with a short season, so probably not out of line.",September 2020,Hop N Hog Tap & Smokehouse,https://www.tripadvisor.com/Restaurant_Review-g182209-d8060869-Reviews-Hop_N_Hog_Tap_Smokehouse-Clearwater_British_Columbia.html,"Clearwater, Canada",restaurants,4.0,4.5
Great Ride!,"This has been on our radar for a while and we finally made the trek. It had threatened rain in the morning which thinned the crowds substantially and made the 11 km ride to Ruth Station and back quite a bit more enjoyable. Given that most of the trestles are only wide enough for single file I can see how large crowds would make for slow going, so it is definitely worth timing your visit for off-peak times.

The last few km's of the road are gravel which is rough in places, but certainly manageable in any kind of vehicle.

This was well worth the effort to visit and ride.",September 2020,Myra Canyon Park,https://www.tripadvisor.com/Attraction_Review-g154933-d2233786-Reviews-Myra_Canyon_Park-Kelowna_Okanagan_Valley_British_Columbia.html,"Kelowna, Canada",attractions,5.0,5.0
Great first visit,"We joined some friends for a pint and a burger after biking the nearby trestle rail trail, and it was lovely. The place was mostly empty inside but we were able to find an open table outside - which was our preference. The burgers were great, the beer cold, and service quick and friendly. And the views on the patio not to shabby either! The cost for everything was $100 after taxes but before tip. Quite reasonable and delicious.",September 2020,McCulloch Station Pub,https://www.tripadvisor.com/Restaurant_Review-g154933-d784178-Reviews-McCulloch_Station_Pub-Kelowna_Okanagan_Valley_British_Columbia.html,"Kelowna, Canada",restaurants,5.0,3.5
"Well, that's a first...","Now that we are slowly getting back into visiting restaurants during the pandemic, it's been really nice to see how everyone has adjusted procedures to keep customers safe. Unfortunately this business missed the mark. Twice.

Since we are pulling our camper the drive-through was not an option for us and we had no choice to go in. I always avoid the self-order terminals (minimizes risk) and go to the counter. But with a single entry door and the first self-order terminal right inside the door it's hard not to brush anyone at the terminal when you walk it. Definitely no 6 ft separation possible there!

While waiting for our order of breakfast meals and coffee I had time to watch the staff behind the counter. All were masked and working quite efficiently, but I couldn't help but notice one young guy filling order bags. He first grabbed the outside centre of his mask and pulled it down over his chin while standing over the food, then a minute later pulled it back up over his mouth (not his nose) and reached down to grab the last of the sandwiches and fries and plop them into a bag. Our bag. All without sanitizing his hands. When he delivered our order to the counter I pointed out his lack of proper procedure and refused to touch the order, which they then remade for us. I realize that wearing a mask is not normal for most of us, and resisting the temptation to not handle it is incredibly tough. But it's essential now that we seem to be living with COVID for the long haul.

On the upside, the food was great once we got it.",September 2020,McDonald's,https://www.tripadvisor.com/Restaurant_Review-g181773-d4868448-Reviews-McDonald_s-Salmon_Arm_British_Columbia.html,"Salmon Arm, Canada",restaurants,1.0,3.5
So So...,"First visit here for my wife and I, and I would say it was average. COVID precautions were adequate, and that was nice to see, and service was very friendly. But the place feels pretty worn, and thought the prices a bit high. All we had were a couple omelletes and coffees and the bill was $40 before tip.

So, pretty average.",August 2020,Ricky's All Day Grill,https://www.tripadvisor.com/Restaurant_Review-g154919-d981267-Reviews-Ricky_s_All_Day_Grill-Lethbridge_Alberta.html,"Lethbridge, Canada",restaurants,3.0,3.5
First visit - mixed reviews,"Based on previous reviews and proximity to the RV park we are staying in, we decided to stop here for a late dinner on Monday night. Upon arriving at 7:30 pm we were told they were closing at 8 pm (something not noted on their website, which I checked before arrival) and were only offerring a limited menu.

So we quickly made our choices, only to be informed a few minutes later that my wife would need to change her order: they were out of chicken breasts and couldn't provide the chicken burger she requested. So the limited menu was even more limited! Chicken is a pretty basic item, who runs out of that?

In the end, both my fish and chips and her stacked burger were delicious, the price was quite reasonable ($41 total before tax and tip, including 1 beer), their COVID precautions were spot on, and the service by Rachel was very good.

Had it not been for the surprise hours and the lack of chicken this visit would have been worth at least a 4, maybe even 5.",August 2020,Brandts Creek Neighborhood Pub,https://www.tripadvisor.com/Restaurant_Review-g154933-d774575-Reviews-Brandts_Creek_Neighborhood_Pub-Kelowna_Okanagan_Valley_British_Columbia.html,"Kelowna, Canada",restaurants,3.0,4.0
Great Location and Facility,"Based on a previous recommendation we stayed here for 4 nights and loved it. This adult oriented park has a number of rules about noise, etc that may seem restrictive to some, but we loved it. It was very quiet and exceedingly well kept. Staff were always super friendly and were always out and about prepping sites between visitors, mowing and watering lawns, and generally keeping an eye on things. We had a great visit and would happily stay here again.",August 2020,Kootenay River RV Park,https://www.tripadvisor.com/Hotel_Review-g181791-d6921872-Reviews-Kootenay_River_RV_Park-Castlegar_Kootenay_Rockies_British_Columbia.html,"Castlegar, Canada",hotels,5.0,5.0
Great Find,"After several hours of cycling on the nearby Slocan Rail Trail we decided to grab a late lunch here, for no other reason than proximity to the trailhead.

Our group of 6 all ordered various paninis (the Wally, Reuben or Melted Brie) and were all pleased with both the quality and quantity. Judging by all the toys and play equipment, they go out of their way to cater to young families, although that wasn't of interest to us.

Cost was in the range of $35-40 per couple.",August 2020,Frog Peak Cafe,https://www.tripadvisor.com/Restaurant_Review-g4263275-d3605651-Reviews-Frog_Peak_Cafe-Crescent_Valley_Kootenay_Rockies_British_Columbia.html,"Crescent Valley, Canada",restaurants,4.0,4.5
