title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good but small,The museum is good and well designed. It only displays Acropolis related exhibits. A visit of one hour is probably enough for most.,November 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Good icecream,"We had one of the ice cream cakes, which was good. They have almost solely ice creams, don’t expect other things.",November 2019,Le Greche,https://www.tripadvisor.com/Restaurant_Review-g189400-d6885819-Reviews-Le_Greche-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
The main attraction,"The main attraction in Athens. A short climb but full of tourists. A must see. Allow at least one hour, two is preferable.",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Gourmet!,"Amazing food, the steak and moussaka were delicious. The service was efficient polite and welcoming. Wine selection was a bit small.",November 2019,V1935 Mediterranean Tastes,https://www.tripadvisor.com/Restaurant_Review-g189400-d17698357-Reviews-V1935_Mediterranean_Tastes-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Best Italian I had in a while,"Great place. Pasta and pizza were amazing, and the tiramisu as well. The service was great. Great if you are looking for Italian food in Athens.",November 2019,Belpaese,https://www.tripadvisor.com/Restaurant_Review-g189400-d3323606-Reviews-Belpaese-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Simply excellent,We had a pasta with minced veal and a sea bass. Both were exquisite. The sitting is nice and comfortable and the prices reasonable.,November 2019,Mani Mani,https://www.tripadvisor.com/Restaurant_Review-g189400-d695929-Reviews-Mani_Mani-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Bad pizza,We came for a quick lunch and had a salad and a pizza. The pizza was bad and the salad ok. The baklava dessert was also ok and the service was kind but slow.,November 2019,Smile Cafe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1902225-Reviews-Smile_Cafe_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,2.0,4.5
A nice smoothie break,Wide variety of great smoothies. The place looks newly renovated and is cozy and nice to sit in. A great break,November 2019,Happy Blender,https://www.tripadvisor.com/Restaurant_Review-g189400-d12357640-Reviews-Happy_Blender-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Superb,"Great atmosphere and really good food. We had the fish of the day, lamb shank and orange soufflé which was unique. Service was great",November 2019,Ellevoro,https://www.tripadvisor.com/Restaurant_Review-g189400-d11917392-Reviews-Ellevoro-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Huge wine variety,The wine menu is huge with all Greek wine options. The wine we had was great. On the other hand the food options are very limited.,November 2019,Wine O'Clock,https://www.tripadvisor.com/Attraction_Review-g189400-d11644847-Reviews-Wine_O_Clock-Athens_Attica.html,"Athens, Greece",attractions,4.0,5.0
A break with a view,We went for dessert and coffee. Everything was great. The view to the city is beautiful. The only downside is the smoking,November 2019,Ciel Athens,https://www.tripadvisor.com/Restaurant_Review-g189400-d15211528-Reviews-Ciel_Athens-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Good food cramped sitting,"Good Greek salad, great souvlaki, ok lambs chops and amazing lemon tart. The service was great and efficient. The sitting was too cramped",November 2019,Gods' Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1724517-Reviews-Gods_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Great place,"We had the lamb, a salad and pavlova desert. All was great and the service very good. The menu is very diverse and the alcohol menu is quite large",November 2019,Balcony Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d10689208-Reviews-Balcony_Restaurant_Bar-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Great experience,"Beautiful restaurant with excellent food and great service. The menu is rich and diverse and the portions big and tasty.
We had the lamb ribs and a salad.",September 2018,Taverna Dionysos,https://www.tripadvisor.com/Restaurant_Review-g274887-d696117-Reviews-Taverna_Dionysos-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Great desserts but tasteless food,"We went there twice. The desserts were great, but the food wasn't. The service was good at one time but very bad at the other- I had to ask for the bill three times. The place inside is beautiful.",September 2018,Gerbeaud,https://www.tripadvisor.com/Restaurant_Review-g274887-d952413-Reviews-Gerbeaud-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,4.0
AMAZING!,Great food and great wine (thanks to the waiter's recommendation). The service was perfect and the restaurant is beautiful. If you like Italian this restaurant is for you.,September 2018,Bottega di Brontolo Ristorante Italiano,https://www.tripadvisor.com/Restaurant_Review-g274887-d10323830-Reviews-Bottega_di_Brontolo_Ristorante_Italiano-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Nice breakfast,We had poached eggs coffee and freshly squeezed orange juice. Everything was delicious and the service was good.,September 2018,Kuglof,https://www.tripadvisor.com/Restaurant_Review-g274887-d4051288-Reviews-Kuglof-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Best macaroons we ever had,"Wow!
Amazing macaroons - we had nine of them they were so good. The pistachio are recommended the most.",September 2018,Chez Dodo Artisan Macarons and Café,https://www.tripadvisor.com/Restaurant_Review-g274887-d7595426-Reviews-Chez_Dodo_Artisan_Macarons_and_Cafe-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,5.0
Nice concept,"The beers were nice and the food ok.
Good service and nice setting.
Recommended for beer tasting mostly",September 2018,First Craft Beer & BBQ,https://www.tripadvisor.com/Restaurant_Review-g274887-d13112118-Reviews-First_Craft_Beer_BBQ-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,4.5
Really bad coffee,"Sat there for coffee and cake but the options for desserts were very limited. The coffee was very bad.
The view is beautiful.",September 2018,Tóterasz,https://www.tripadvisor.com/Restaurant_Review-g274887-d8095407-Reviews-Toterasz-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,2.0,4.0
Great except the burgers,"Everything was great - the service, the nachos, the beer and the chips except the burgers which were mediocre.",September 2018,BB'z Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g274887-d11903781-Reviews-BB_z_Bar_Grill-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,3.0,4.5
Great atmosphere,"A very good place for wine and cheeses. They also have a large menu.
A lot of pork cold cuts, but a very good place even if you don't like cold cuts.",September 2018,Divin Porcello - Budapest,https://www.tripadvisor.com/Restaurant_Review-g274887-d3783255-Reviews-Divin_Porcello_Budapest-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Amazing and authentic!,Great Italian restaurant - pizza just like in italy. Great service and delicious dessert. If you like Italian food this is the place for you!,September 2018,La Coppola,https://www.tripadvisor.com/Restaurant_Review-g274887-d2500493-Reviews-La_Coppola-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
High quality but small portions,"The food and wine were delicious except the mousse dessert which was only ok.
The service was good and the atmosphere great - the place is very nice. The portions were small and pricey, and the menu very short. If, like us, you have restrictions in your food selection than you won't have much to choose from.",September 2018,Monk’s Bistrot,https://www.tripadvisor.com/Restaurant_Review-g274887-d7713212-Reviews-Monk_s_Bistrot-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,4.5
"Good wine and dessert, slow service",We came for glass of wine and dessert. We were ignored for a long time but the service improved after we ordered. The wine and dessert were very good.,September 2018,Kiosk Budapest,https://www.tripadvisor.com/Restaurant_Review-g274887-d4259731-Reviews-Kiosk_Budapest-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,4.0
Amazing cheese burger,I had the cheese burger with mushrooms. It comes in a cheese bun and is absolutely delicious. The service was also great. Highly recommended!,September 2018,Lucky 7 Burgers,https://www.tripadvisor.com/Restaurant_Review-g274887-d8144714-Reviews-Lucky_7_Burgers-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Nice place,"We had the caeser salad and a beer. The place is nice with a view to the street.
The prices are ok and the service quick and polite.",September 2018,Ezaz Cafe and Bistro,https://www.tripadvisor.com/Restaurant_Review-g274887-d2329751-Reviews-Ezaz_Cafe_and_Bistro-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
Great strudel,We had the apple and the curd strudel. Both were great and cheap (400-500ft). The service was good and the atmosphere nice.,September 2018,First Strudel House of Pest,https://www.tripadvisor.com/Restaurant_Review-g274887-d1790459-Reviews-First_Strudel_House_of_Pest-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.0
"Amazing service, CASH ONLY!","Good restaurant- nice food and great service. Small and cozy. We had the onion soup, carpaccio for starters and the chicken and pizza for main course. The main courses were ok and the starters were good. All dishes were generous.",September 2018,Comme Chez Soi,https://www.tripadvisor.com/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,5.0
"Great service, amazing tiramisu","We had risotto and pizza. The risotto was good, the pizza was ok, a bit plain. The tiramisu was amazing and the wine good and cheap.",May 2018,Da Stefano,https://www.tripadvisor.com/Restaurant_Review-g187221-d4346436-Reviews-Da_Stefano-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Cannes, France",restaurants,4.0,4.5
"Great meat and good wine, expensive","We had a ribeye (entrecote) steak and the rossini steak. Both were very good and the wine was also great. Everything was a bit expensive. One of the waiters was rude, the others were polite.",May 2018,Grill & Wines,https://www.tripadvisor.com/Restaurant_Review-g187221-d2717539-Reviews-Grill_Wines-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Cannes, France",restaurants,4.0,4.5
"Good streak, mediocre burger",The service and location of the restaurant are great. The burger wasn't so good and a bit overpriced. On the other hand the streak was good and cheap.,May 2018,New York - New York,https://www.tripadvisor.com/Restaurant_Review-g187221-d2707537-Reviews-New_York_New_York-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Cannes, France",restaurants,3.0,4.0
Good crepes,"We had the 4 cheeses - which was great and caramel butter- which was ok.
The service was good and efficient.",May 2018,La Galette de Marie,https://www.tripadvisor.com/Restaurant_Review-g187221-d1034927-Reviews-La_Galette_de_Marie-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Cannes, France",restaurants,4.0,4.0
"Good food, a bit too expensive","We came here twice while staying in venice, since it was very hard to find a another good restaurant in the area.
The food and service were good but the prices were too expensive.The cover charge was 3 euros a person.",September 2017,Trattoria Alla Scala,https://www.tripadvisor.com/Restaurant_Review-g187870-d1368545-Reviews-Trattoria_Alla_Scala-Venice_Veneto.html,"Venice, Italy",restaurants,4.0,4.0
Good simple food,"We had pasta and pizza, both were good but simple. The prices were fair and the service efficient. There was no cover charge.",September 2017,Ristorante Marco Polo,https://www.tripadvisor.com/Restaurant_Review-g187870-d1829552-Reviews-Ristorante_Marco_Polo-Venice_Veneto.html,"Venice, Italy",restaurants,4.0,4.0
Good simple food,"We had great lunch here, they have huge menu in reasonable prices. The dishes were big and generous and the stuff was good.",September 2017,Ristorante Pizzeria Lorenzo de' Medici,https://www.tripadvisor.com/Restaurant_Review-g187895-d1513286-Reviews-Ristorante_Pizzeria_Lorenzo_de_Medici-Florence_Tuscany.html,"Florence, Italy",restaurants,5.0,4.0
