title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lovely beach and great hospitality,"We stayed for 2 weeks during Xmas time. They have very nice pools - private, villa and a common one; and of course the hotel beach. Hotel staff is very friendly and cordial. To name few individuals for their excellent services : Zed,Saurav,Nisu,Sabin,Jenny,Ripsu,Bow,Pumkin,Ryan and Ruby. Breakfast area is lovely and live mild music was special treat. All in all fantastic place to stay and relax.

We however do have some recommendations for the resort staff.

1- please have shuttle service to the main ride more often than every two hours. It’s just bad and not properly lit during night - 1.5 km road to walk.
2-keep the restaurant prices a bit more attractive for the beach area.

Else, all good and great. And yes, your Xmas dinner program was very well done with all specials. Thank you for that.",December 2019,Santhiya Tree Koh Chang Resort,https://www.tripadvisor.com/Hotel_Review-g580110-d577083-Reviews-Santhiya_Tree_Koh_Chang_Resort-Ko_Chang_Trat_Province.html,"Ko Chang, Thailand",hotels,5.0,4.5
Awesome Indian food at relatively simple restaurant,"This is a hidden gem in Koh Chang. We tried other Indian restaurants but once we had dinner here , we went almost a week daily to the place. It’s simple restaurant but with very tasty food - especially the paneer dishes. Home made green chilli chutney is perfect dip. Service is excellent.",December 2019,Indian Chef Restaurant,https://www.tripadvisor.com/Restaurant_Review-g580110-d15592429-Reviews-Indian_Chef_Restaurant-Ko_Chang_Trat_Province.html,"Ko Chang, Thailand",restaurants,5.0,5.0
Amazing food where I would not have thought of,Reached Dorint airport hotel in Stuttgart around 22:00 and thought of getting some basic food at hotel's fantastic bar/restaurant. There I found Kashmir restaurant with Indian food. Just 100 meter walk! Fantastic vegetarian food and basmati rice with whole cardamom was a delight. Certainly looking forward to going there again.,May 2019,Restaurant KASHMIR - Echterdingen,https://www.tripadvisor.com/Restaurant_Review-g198471-d5888639-Reviews-Restaurant_KASHMIR_Echterdingen-Leinfelden_Echterdingen_Baden_Wurttemberg.html,"Leinfelden-Echterdingen, Germany",restaurants,5.0,4.0
Enjoy the ancient culture,Nothing more to add than any classical description... it's breathtakingly beautiful..easily accessible with 20 euro/person ticket price.,April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Awesome food, great service","Today by chance we walked into the restaurant Zafran . They created two Indian paneer based dishes even they were not on their menu. Even roti they prepared in Indian way. Very friendly service and with their willingness to walk extra mile, I would recommend this restaurant to anyone .. thank you to Zafran team!",April 2019,Zafran Indian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g189400-d13833848-Reviews-Zafran_Indian_Kitchen-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Service not best and fast as expected,"flight service was very slow and it tooks the at least 4 passengers sitting in different corners of the plane for stewardess to realize that Flight's entertainment system was not working for a very long time after the doors were closed and flight took off. Also, the meal/drink service was delayed for no apparent reason. In short - did not feel that its a ""First class airlines"" !",December 2018,Qatar Airways,https://www.tripadvisor.com/Airline_Review-d8729134-Reviews-Qatar-Airways,World,flights,3.0,4.0
Lots of choices of freshly prepared quality food and friendly service,"In our recent visit at Sheraton Koh Samui, we visited Coco Spice restaurant for breakfast regularly. It's a nice restaurant with great view. Freshly prepared warm breakfast and lots of variety of vegetarian dishes, with ever smiling faces of team working there made our day.

What struck me tge most was that Mr. Asker Bay, being executive Chef kept closed contact with all guests. Everyday he asked everyone of us whether we are enjoying breakfast, thus showing personal interest. Also, by and of breakfast time, he had his breakfast in the same hall where we had our breakfast. Thus showing ""he eats what he prepares"". Wonderful example of leadership in gastronomy!!

Great place with quality food and quality fresh juices..",December 2018,Coco Spice,https://www.tripadvisor.com/Restaurant_Review-g676072-d11046520-Reviews-Coco_Spice-Chaweng_Bophut_Ko_Samui_Surat_Thani_Province.html,"Chaweng, Thailand",restaurants,5.0,5.0
Very cool place,Just by chance we found this place and happily surprised by the quality and variety of food. Very friendly service too...,December 2018,The Social Samui,https://www.tripadvisor.com/Restaurant_Review-g1179396-d15276271-Reviews-The_Social_Samui-Bophut_Ko_Samui_Surat_Thani_Province.html,"Bophut, Thailand",restaurants,5.0,4.5
Unbelievable good food and service,"Indian food is so delicious, almost like home-made. It's a family owned and run restaurant. Service is very friendly and prices are ok. If you are in this area and like Indian food, this place is a must !!!",December 2018,Haveli Fine Indian Cuisine,https://www.tripadvisor.com/Restaurant_Review-g293918-d7644322-Reviews-Haveli_Fine_Indian_Cuisine-Ko_Samui_Surat_Thani_Province.html,"Ko Samui, Thailand",restaurants,5.0,4.5
19:00,"What a fantastic place and such a friendly service from Barry ! We were happily surprised by delicious food at non-expensive price. If you are in this are, it's a must !!!",December 2018,Sean Og’s,https://www.tripadvisor.com/Restaurant_Review-g1179396-d8870766-Reviews-Sean_Og_s-Bophut_Ko_Samui_Surat_Thani_Province.html,"Bophut, Thailand",restaurants,5.0,4.5
