title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Make sure you stay there for a while!,We took the cocktail class and that was a treat!! make sure you stay there for a while to try out the different cocktails and taste the delicious food!,July 2019,Chalong Bay Rum Distillery & Restaurant,https://www.tripadvisor.com/Attraction_Review-g1389361-d4026068-Reviews-Chalong_Bay_Rum_Distillery_Restaurant-Chalong_Phuket_Town_Phuket.html,"Phuket, Thailand",attractions,5.0,4.5
A personal and amazing food tour!,"This is the third time I had a tour with SFT, and I would blindly use their tours in whichever country I go to!
Thalia was a fantastic guide that gave us the best tastes of Athens without getting us to try the typical dishes that any tourist can find on their own. She weaved her own personal stories and favorite dishes in the tour so we had the best time exploring things we would have never found!",February 2020,Secret Food Tours Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d15151514-Reviews-Secret_Food_Tours_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Ask for Christian and get a sea breeze! Best cocktails i've ever had!,"I stopped by Brettos for one drink to check it off my list........but we ended up changing our day's plan just to stay there and have the best cocktails that we experienced!

Christian was a fantastic bartender who kept suggesting some of the best things we had, so do yourself a service and make a plan for an evening there.....if I had more time in Athens, thats where id be spending it!",February 2020,Brettos Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d523153-Reviews-Brettos_Bar-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A brilliant way to enjoy Greek food,"I had an absolute blast discussing recipes and cooking some of the most delicious food that I had in Athens. this would be a great experience for a couple to do.....just do one thing, skip out on a meal or two because you will have to eat A LOT.",February 2020,Athens 4-Hour Cooking Class with Central Market Visit,https://www.tripadvisor.com/AttractionProductReview-g189400-d12943111-Athens_4_Hour_Cooking_Class_with_Central_Market_Visit-Athens_Attica.html,"Athens, Greece",activities,5.0,5.0
A must if you are in Athens,"This was one of the best ways to explore the city of Athens! looking at the monuments and learning about their details was amazing, and understanding the reasoning behind the mythology while looking at the origins was eye-opening

Ioannis could have made this entire tour just sitting down at a cafe and telling me the amazing stories that he has and I would have been happy! but his approach to exploring the city made this a MUST have experience if you spend any time in Athens.",February 2020,Athens Legends: Gods and Myths Private Tour,https://www.tripadvisor.com/AttractionProductReview-g189400-d12918094-Athens_Legends_Gods_and_Myths_Private_Tour-Athens_Attica.html,"Athens, Greece",activities,5.0,5.0
A personal and amazing food tour!,"This is the third time I had a tour with SFT, and I would blindly use their tours in whichever country I go to!
Thalia was a fantastic guide that gave us the best tastes of Athens without getting us to try the typical dishes that any tourist can find on their own. She weaved her own personal stories and favorite dishes in the tour so we had the best time exploring things we would have never found!",February 2020,Private Tour: Secret Food Tours Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d19253484-Private_Tour_Secret_Food_Tours_Athens-Athens_Attica.html,"Athens, Greece",activities,5.0,5.0
Perfect time to visit,Not too many tourists and the weather is fantastic. Took an audio guide with cleo tours so id highly recommend that to take it on your own pace,February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful monument,"Allow more time than you think you need to see this beautiful monument, it has gorgeous views of the city and is right next to Lavra, so a half-day visit to this would actually be a short visit. allow for some time to just sit and walk around the monument, see the museum thats there and look at the beautiful architecture surrounding it.",August 2019,Rodina Mat (Motherland),https://www.tripadvisor.com/Attraction_Review-g294474-d636597-Reviews-Rodina_Mat_Motherland-Kyiv_Kiev.html,"Kyiv (Kiev), Ukraine",attractions,5.0,4.5
Amazing tour! Must do,"I had Nick greet me on time and the whole trip felt like I was hanging out with one of the boys, and not a tour guide! His sense of excitement added a lot to the fun of driving the BTR80!",August 2019,Driving BTR 80 and Gun Shooting Experience,https://www.tripadvisor.com/AttractionProductReview-g294474-d15658536-Driving_BTR_80_and_Gun_Shooting_Experience-Kyiv_Kiev.html,"Kyiv (Kiev), Ukraine",activities,5.0,5.0
A highlight of Thailand,"We spent 4 days at this beautiful resort and dearly wish we spent more time there.
The staff were always pleasant and the food was fantastic.
If you ever plan to stay here, keep at least two days with no other plans than to enjoy the resort, the food, and the beautiful beach.",June 2019,The Tubkaak Krabi Boutique Resort,https://www.tripadvisor.com/Hotel_Review-g3175953-d447359-Reviews-The_Tubkaak_Krabi_Boutique_Resort-Nong_Thale_Krabi_Town_Krabi_Province.html,"Nong Thale, Thailand",hotels,5.0,4.5
A Gastronomic Delight in Paris with Claire,"We really enjoyed Clair's way of exploring food and culture. As she takes you to the delicious places to eat around Paris, she tells you the interesting stories about the area and the buildings.",December 2017,Secret Food Tours Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d6825442-Reviews-Secret_Food_Tours_Paris-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,5.0
One of the best activities in Rioja!,Our guide Diego took his time explaining everything about the wine-making process and the science behind it! it was a very interactive session and we absolutely loved the wines that we got to taste and keep! the perfect activity to start everything off in rioja!,April 2016,Riojatrek,https://www.tripadvisor.com/Attraction_Review-g187513-d2102244-Reviews-Riojatrek-Logrono_La_Rioja.html,"Logrono, Spain",attractions,5.0,5.0
