title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Cabin for 5...Chella was wonderful,"Nice cabin in a pinch...storm was coming up and as we were on motorcycles needed a safe place quickly. The shared cabin was fine...nothing fancy but all was clean.
Was a good price for 5 of us and Chella (owner or manager) was more than helpful.",June 2020,San Juan Motel,https://www.tripadvisor.com/Hotel_Review-g33584-d211597-Reviews-San_Juan_Motel-Pagosa_Springs_Colorado.html,"Pagosa Springs, Colorado",hotels,4.0,3.0
Fantastically designed museum,"It's not only the amazing artifacts housed in the museum, but the museum itself...it is beautifully designed with large windows that look out on the Acropolis as you are seeing the pieces in front of it. Quite a treat and really should be considered a must-see.",April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Wonderful place to stay!,"Walking distance to Chanai harbor, beautiful accommodations, spacious room...it has it all! Staff was friendly and helpful (but not always available). Free parking a short distance away. Quiet room and, did I say BEAUTIFUL?",April 2019,Doge Hotel,https://www.tripadvisor.com/Hotel_Review-g189415-d630205-Reviews-Doge_Hotel-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",hotels,4.0,4.0
A visually and historically impressive landmark,"If you are anywhere near Athens, this is a total must-see. The historical significance can not be overstated and it is just an incredible sight to see and walk around in. If you are willing to get up early and be one of the first people there, you will not regret it. Walking around there in the early morning light with fewer people is a great reward.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Top notch accommodations for an overnight stay,"Arrived on a late flight and had an early flight out the next morning...but this was the perfect place to stay the night. The driver was fantastic and the free shuttle was the main reason we picked this apartment. The apartment accommodations, however, were a wonderful surprise...a lovely, clean, large apartment in a nice area! There was a lovely breakfast supplied and countless nice touches throughout.",March 2019,Infinity White Complex,https://www.tripadvisor.com/Hotel_Review-g1137879-d11699648-Reviews-Infinity_White_Complex-Porto_Rafti_East_Attica_Region_Attica.html,"Porto Rafti, Greece",hotels,5.0,4.5
"Efficient, timely, professional","Nice leg room, delicious meals, attentive staff, great entertainment selection, comfortable seats, on time flights, nicely priced flights...what more could you ask for?",October 2018,Qatar Airways,https://www.tripadvisor.com/Airline_Review-d8729134-Reviews-Qatar-Airways,World,flights,5.0,4.0
Best Trekking Company Ever!,"From start to finish, this trekking company's organizer, Upendra, was the most professional, most helpful, most accommodating, and most personally engaging and friendly trip manager that you could have. Every single detail from domestic flight arrangements to airport drop off to trekking route requests was handled smoothly and without any stress or miscommunication. Our guide, Raju, was perfect. He was professional and knowledgeable but his engaging and friendly manner turned him into a close friend immediately.
During the trek, our party of 5 had to split up to accommodate one of the hiking member's bout with altitude sickness and seemlessly Raju and Upendra worked to enable our group to split up to allow for one group to proceed with the hike while another member rested and met up with us a day later. Every need was taken into consideration. We could not have been more pleased with this trekking company, and with Upendra and Raju in particular.
The hiking was top notch, jaw-dropping gorgeous. We intend to plan another trek soon and will look no further than this trekking company.",October 2018,"Himalayan Leisure, Inc.",https://www.tripadvisor.com/Attraction_Review-g293890-d5123540-Reviews-Himalayan_Leisure_Inc-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,"Kathmandu, Nepal",attractions,5.0,5.0
Stunning hilltop temple,"This temple was a highlight of our stay in Kathmandu. Within easy walking distance of the Thamel district, this temple gives wonderful views of the city. The temple is impressive and exotic and is also a great place to enjoy watching monkeys.",October 2018,Swayambhunath Temple,https://www.tripadvisor.com/Attraction_Review-g293890-d2018892-Reviews-Swayambhunath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,"Kathmandu, Nepal",attractions,5.0,4.5
Staff and accommodations make this a first-rate hotel,"The staff...from the front desk, to restaurant, to cooks, to servers...made our stay the best it could be. Every single person we worked with was friendly, helpful, professional, and genuinely nice. The rooms are spacious and clean. The beds and pillows are comfortable. The complimentary breakfast is fresh and tasty. The cooks take pride in their meals and we enjoyed dinner and lunches there as well. The location in Thamel is superb and the gardens and courtyard are a welcome respite to relax and enjoy the quiet.",October 2018,Hotel Thamel Park,https://www.tripadvisor.com/Hotel_Review-g293890-d12674084-Reviews-Hotel_Thamel_Park-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,"Kathmandu, Nepal",hotels,5.0,4.5
Castle Ehrenburg,A wonderful castle to visit for incredible views and to appreciate walking through an ancient fortification. Even has a lunch option. Staff helpful. Had a great time visiting this important castle.,July 2018,Ehrenberg,https://www.tripadvisor.com/Attraction_Review-g187388-d10536395-Reviews-Ehrenberg-Wuppertal_North_Rhine_Westphalia.html,"Wuppertal, Germany",attractions,4.0,4.0
"Amazing, ancient cathedral",A gorgeous cathedral inside and out. Such an important and distinctive landmark that is a must-see. Climbing the dome was more than worth the exertion! Great views of the Rhine and city below.,July 2018,Cologne Cathedral,https://www.tripadvisor.com/Attraction_Review-g187371-d192291-Reviews-Cologne_Cathedral-Cologne_North_Rhine_Westphalia.html,"Cologne, Germany",attractions,5.0,4.5
Nice cafes and great architecture,"A great place to go during a trip to Cologne. Beautiful old part of the city right on the river. Great views, great shops. A wonderful place to relax after climbing the cathedral tower.",July 2018,Historic Old Town,https://www.tripadvisor.com/Attraction_Review-g187371-d8135291-Reviews-Historic_Old_Town-Cologne_North_Rhine_Westphalia.html,"Cologne, Germany",attractions,4.0,4.5
Confluence of two great rivers,Nice place to enjoy some beautiful views. Take the gondola ride and really enjoy some sights. The German Corner is very picturesque and the tree-lined walkway is really lovely.,July 2018,Deutsches Eck (German Corner),https://www.tripadvisor.com/Attraction_Review-g187391-d1902699-Reviews-Deutsches_Eck_German_Corner-Koblenz_Rhineland_Palatinate.html,"Koblenz, Germany",attractions,4.0,4.5
Gives a GREAT view of rivers,Nice way to enjoy the scenery of the confluence of the Rhine and Mosel Rivers. Takes you right down to the German Corner.,July 2018,Cablecar Koblenz,https://www.tripadvisor.com/Attraction_Review-g187391-d4163374-Reviews-Cablecar_Koblenz-Koblenz_Rhineland_Palatinate.html,"Koblenz, Germany",attractions,5.0,4.5
Beautiful Gardens,A lovely gardens with a chateau in the background. Beautiful place to walk and enjoy the shade and flowers.,July 2018,Kurfurstliches Schloss,https://www.tripadvisor.com/Attraction_Review-g187391-d2515709-Reviews-Kurfurstliches_Schloss-Koblenz_Rhineland_Palatinate.html,"Koblenz, Germany",attractions,4.0,4.0
Delicious kaiserschmarnn,A lovely setting and beautiful restaurant. The food was delicious and the staff pleasant and helpful. Both sweet and savory dishes were fantastic.,July 2018,Pfannkuchenhaus Coenenmuhle,https://www.tripadvisor.com/Restaurant_Review-g651907-d1038287-Reviews-Pfannkuchenhaus_Coenenmuhle-Wermelskirchen_North_Rhine_Westphalia.html,"Wermelskirchen, Germany",restaurants,5.0,4.0
A tad unusual but views are magnificient,"The castle did not interest me as much as the incredible location, views, and walk up. We parked in the public parking at bottom and enjoyed the walk up the hill. Great views from the turret.",July 2018,Schloss Drachenburg,https://www.tripadvisor.com/Attraction_Review-g198615-d2161955-Reviews-Schloss_Drachenburg-Koenigswinter_North_Rhine_Westphalia.html,"Koenigswinter, Germany",attractions,4.0,4.5
