title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The Ritz is always good to stay at,"The stay was nice and always nice with the Ritz
The Ritz staff are always nice as always and thanks everyone I met
Room was excellent with nice bed, coffee and tea and all other stuff. WiFi was very good.
Hotel location is very good. About 5-7 mins walk to the metro and near to Dubai mall (7mins by car and 20 mins walk).
The gym was good and 24hours
Breakfast was good but could be better
Below are some pictures of my stay",February 2020,"The Ritz-Carlton, Dubai International Financial Centre",https://www.tripadvisor.com/Hotel_Review-g295424-d1945968-Reviews-The_Ritz_Carlton_Dubai_International_Financial_Centre-Dubai_Emirate_of_Dubai.html,"Dubai, United Arab Emirates",hotels,4.0,4.5
Great location,The hotel was nice with great location. I came early but couldn’t check-in till around 2pm which was inconvenient specially after a very long flight around 9 hours. The room was good with comfortable beds. Breakfast was good too. Just one of the receptionist staff was not nice and I think he needs some training. The other receptionist was really nice who did our check-in,September 2019,Avenue Hotel,https://www.tripadvisor.com/Hotel_Review-g188590-d232325-Reviews-Avenue_Hotel-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",hotels,3.0,3.5
Fair in general,"It was clean and staff were nice and helpful. The location was ok not too far from the central station and the center. The room was small for two persons. Bed was really tiny, I almost fell down from the bed many times.",September 2019,The Lancaster Hotel Amsterdam,https://www.tripadvisor.com/Hotel_Review-g188590-d229170-Reviews-The_Lancaster_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",hotels,3.0,3.5
Excellent breakfast and coffee,This is a great place to have a breakfast. Coffee was really great. Service was excellent too. Recommend.,September 2019,Box Sociaal,https://www.tripadvisor.com/Restaurant_Review-g188590-d13806463-Reviews-Box_Sociaal-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,5.0,4.5
Great steak,"Nice place with a very great steak, lamb and steak are perfect. I will attach some pictures of our orders. The meat balls and goat cheese salad were very nice too",September 2019,The Hussar Grill,https://www.tripadvisor.com/Restaurant_Review-g298545-d15185213-Reviews-The_Hussar_Grill-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",restaurants,4.0,4.5
Nice experience,"I’ve been in this restaurant twice. It has nice location with nice environment and nice decor.
The food was really good and customers can cook their food for BBQ inside the restaurant.
Here some photos",July 2019,Marinade Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298545-d15597931-Reviews-Marinade_Restaurant-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",restaurants,4.0,4.0
Nice environment and location,"I came here before for lunch and was excellent. This time we came for breakfast. The food was ok. Environment and location are excellent. They need to work on the service and become faster.
They are working to have the service better and wish you luck
Here photos from our breakfast",July 2019,Aliwan Alshami Restaurant & Cafe,https://www.tripadvisor.com/Restaurant_Review-g298548-d13358407-Reviews-Aliwan_Alshami_Restaurant_Cafe-Dhahran_Eastern_Province.html,"Dhahran, Saudi Arabia",restaurants,3.0,4.0
Nice restaurant and coffee,I like the food there. I’ve tried many dishes and I like most of them. Only the soup was not excellent but the rest were very nice. Sweet and coffee was great too. I’ll attach pictures of the food we had and from inside,July 2019,Shakespeare and Co.,https://www.tripadvisor.com/Restaurant_Review-g298545-d15532175-Reviews-Shakespeare_and_Co-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",restaurants,5.0,4.0
Good place in khober,Khober cornich is a nice place for family and friends. It has a nice walking track for people like to walk. It has nice restaurants and coffee shops. Plus there are few stores for shopping. In general it’s a nice place and good spot in khober city,May 2019,Corniche,https://www.tripadvisor.com/Attraction_Review-g298545-d319508-Reviews-Corniche-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",attractions,4.0,4.0
Lack of services and entertainment,The beac is good but doesn’t really have services like restaurants entertainment. Just toilets that need to be cleaned and more maintained. The water not really clear and clean as I dived there once and wasn’t really good and nothing interesting there. The beach needs a lot of care and maintenance,May 2019,Half Moon Beach,https://www.tripadvisor.com/Attraction_Review-g298545-d4355080-Reviews-Half_Moon_Beach-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",attractions,2.0,4.0
Must visit in Barcelona,I’ve been there twice. First time as a tour and second time for a match and both of them were great and really enjoyed. It’s a must visit place when visiting Barcelona. I recommend both the tour and attending a match which really a great experience.,September 2018,Camp Nou,https://www.tripadvisor.com/Attraction_Review-g187497-d271009-Reviews-Camp_Nou-Barcelona_Catalonia.html,"Barcelona, Spain",attractions,5.0,4.5
Best shopping mall in Eastern,"It’s the best shopping mall in the eastern Province, it’s has all international brands for shopping and many restaurants and coffee shops. It’s good for shopping or going to have coffee or eat.",May 2019,Al-Rashid Mall,https://www.tripadvisor.com/Attraction_Review-g298545-d4600507-Reviews-Al_Rashid_Mall-Al_Khobar_Eastern_Province.html,"Al Khobar, Saudi Arabia",attractions,5.0,4.0
Good shopping mall for quick shopping,Good place for shopping. It has some good shops but not too many. It’s good for quick shopping. It has some fast food restaurants and coffee shops with big parking lots. The mall mainly for families.,May 2019,Ibn Khaldoun Mall,https://www.tripadvisor.com/Attraction_Review-g298547-d3653763-Reviews-Ibn_Khaldoun_Mall-Dammam_Eastern_Province.html,"Dammam, Saudi Arabia",attractions,3.0,3.5
Poor and very old,"I just want to mention in the beginning that I like this airline in general and I used it many times but I’m reviewing my last trip which was very poor.
The flight TK0152 was really bad for the following:
This flight can’t be used for international especially for big company and not cheap.
It’s very old and small flight. Very old screen tv that has nothing. The screen always on and bothering that can’t sleep. The screen has no entertainment only to bother.
The previous flight from Athens to Istanbul which about only one hour and half was much better.
Second, the crew was not professional, they just like to bother and it seems they mean it. Whenever they see you sleep they wake you up for no reason. I didn’t touch my seat once I sit on it but the air hostess kept coming to me to sit it up which really annoying. When serving food, I got water on me like she didn’t care.
I’ve been traveling on regular and this plane haven’t seen them for ages.",May 2019,Turkish Airlines,https://www.tripadvisor.com/Airline_Review-d8729174-Reviews-Turkish-Airlines,World,flights,2.0,4.0
Very nice hotel,"I really like the hotel. It’s 4 star hotel but better than some 5 star hotels I’ve been in Greece.
The room was really nice.
The staff very friendly and helpful and I got an upgrade.
Gym wasn’t wow but good.
Breakfast was very nice with many options.
Value of money was very good.
Actually everything was great but it’s about a mile from the center which was not a big deal for me.
WiFi was great.
Here are some photos of my stay.",May 2019,The Stanley,https://www.tripadvisor.com/Hotel_Review-g189400-d233051-Reviews-The_Stanley-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Amazing view,"I really like scenery and breakfast.
Staff were very friendly.
Pool was nice.
Location was good with free shuttle to the city center.
However, WiFi was very bad and no network for mobile in the room like I had to go out side to call or use my internet data.
No ventilation in the bathroom.
Too many steps. Flooring in the room makes it very dangerous to walk with socks or barefoot, needs an area carpet.
No coffee, tea, and kettle in the room.
Wish there was agm
Here are some photos of my stay",May 2019,Volcano View Hotel Santorini,https://www.tripadvisor.com/Hotel_Review-g482942-d3214958-Reviews-Volcano_View_Hotel_Santorini-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.5
Was normal,"We used the cable car from the bottom to the top for 6 euros each, I feel like little expensive for that very short trip.
Going up can be done walking, by donkeys, or the cable car",April 2019,Santorini Cable Car,https://www.tripadvisor.com/Attraction_Review-g482942-d10336407-Reviews-Santorini_Cable_Car-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,2.0,4.0
Was ok,"We went all the way down but be aware of donkeys because riders don’t know how to control them and can hit you. Then we went up by the cable car for 6 euros which is too much for that short ride
There was not much to do down only the port with couple stores
Some photos here:",April 2019,Karavolades Stairs,https://www.tripadvisor.com/Attraction_Review-g482942-d6199455-Reviews-Karavolades_Stairs-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,3.0,3.5
Normal,"It was nice but not special or must to see
It is like any church but was in the 1800s
Here are some photos",April 2019,Cathedral of Saint John the Baptist,https://www.tripadvisor.com/Attraction_Review-g482942-d7160700-Reviews-Cathedral_of_Saint_John_the_Baptist-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,3.0,4.5
Good but little pricey,"Food was good but definitely not authentic Mexican food.
A little pricey
The location was good for us since we where staying in volcano view hotel
Here are some pictures of our order and the place.",April 2019,Senor Zorba,https://www.tripadvisor.com/Restaurant_Review-g1097549-d1867523-Reviews-Senor_Zorba-Pyrgos_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,3.0,4.5
Great value for the stay,"It was conveniently located to many beaches and easy to get to the city center by bus.
WiFi was very good
Breakfast was good.
Very nice and helpful staff.
Iron clothes can’t be done in rooms only down
I’ll attach some photos of the stay",April 2019,Mina Studios,https://www.tripadvisor.com/Hotel_Review-g659660-d652749-Reviews-Mina_Studios-Platys_Gialos_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",hotels,4.0,4.0
