title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Beautiful heritage hotel, extremely accommodating staff","The hotel is in a beautiful renovated 300 year old haveli with lovely jharokhas and doors, the interiors are tastefully done. The staff is very friendly, would like to give kudos to the manager who would go out of his way to accommodate requests - i sprained my leg and asked for ice, they didn't have it in the fridge, so he got it from outside. Would highly recommend staying here.",November 2020,Madri Haveli,https://www.tripadvisor.com/Hotel_Review-g297672-d3552369-Reviews-Madri_Haveli-Udaipur_Udaipur_District_Rajasthan.html,"Udaipur, India",hotels,5.0,4.5
Evening,"Visiting in the evening during Christmas season was a great experience, a must do activity in Florence.",January 2020,Duomo - Cattedrale di Santa Maria del Fiore,https://www.tripadvisor.com/Attraction_Review-g187895-d198675-Reviews-Duomo_Cattedrale_di_Santa_Maria_del_Fiore-Florence_Tuscany.html,"Florence, Italy",attractions,5.0,4.5
Big hostel,"Big hostel a lit bit of a walk from the city centre, but there are bus stops and tram stations close by. There are quite a few restaurants in the neighbourhood especially as you start walking towards he city centre.",January 2020,Plus Florence,https://www.tripadvisor.com/Hotel_Review-g187895-d1072842-Reviews-Plus_Florence-Florence_Tuscany.html,"Florence, Italy",hotels,4.0,4.0
Beautiful,"Spent a great evening walking around the lake in the old town, lots of shipping and restaurants to choose from.",January 2020,Lake Zurich,https://www.tripadvisor.com/Attraction_Review-g188113-d285099-Reviews-Lake_Zurich-Zurich.html,"Zurich, Switzerland",attractions,4.0,4.5
Clean and affordable,"A bit far from the city centre in a residential neighbourhood but the team station is close by. Affordable and clean, with a big common area and bar downstairs. You can also buy souvenirs at their lobby.",January 2020,Zurich Youth Hostel,https://www.tripadvisor.com/Hotel_Review-g188113-d263790-Reviews-Zurich_Youth_Hostel-Zurich.html,"Zurich, Switzerland",hotels,4.0,4.0
Popular,"Popular with tourists, a Mumbai landmark in Colaba, offering a wide variety in the menu, walking around the area is also an option.",March 2020,Leopold Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d787742-Reviews-Leopold_Cafe-Mumbai_Maharashtra.html,"Mumbai, India",restaurants,5.0,4.0
CBD,Mumbai's swanky central business district with its 70s and 80s skyscrapers including the iconic Air India building.,March 2020,Nariman Point,https://www.tripadvisor.com/Attraction_Review-g304554-d3783379-Reviews-Nariman_Point-Mumbai_Maharashtra.html,"Mumbai, India",attractions,5.0,4.5
Queen's necklace,"Also called queen's necklace, beautiful art deco buildings line the road, ending with Nariman point.",March 2020,Marine Drive,https://www.tripadvisor.com/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html,"Mumbai, India",attractions,5.0,4.5
Important infrastructure project,One of India's biggest infrastructure projects providing easy connectivity between Worli and Bandra.,March 2020,Bandra-Worli Sea Link,https://www.tripadvisor.com/Attraction_Review-g304554-d2704519-Reviews-Bandra_Worli_Sea_Link-Mumbai_Maharashtra.html,"Mumbai, India",attractions,5.0,4.5
Always nice,"When I visited, it was quiet because of the reduced activity because of the pandemic, a historic Mumbai landmark.",March 2020,Gateway of India,https://www.tripadvisor.com/Attraction_Review-g304554-d311667-Reviews-Gateway_of_India-Mumbai_Maharashtra.html,"Mumbai, India",attractions,5.0,4.0
Iconic,"Iconic restaurant representative of the. Irani cafes that opened in Mumbai, in Ballard estate Fort area",March 2020,Britannia & Company Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d810625-Reviews-Britannia_Company_Restaurant-Mumbai_Maharashtra.html,"Mumbai, India",restaurants,4.0,4.0
Breakfast,"Good place for coffee and breakfast near the Central market in Monastraki, good vibe, bunch of shops close by.",January 2020,Harvest Coffee & Wine,https://www.tripadvisor.com/Restaurant_Review-g189400-d3935972-Reviews-Harvest_Coffee_Wine-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Good food,"Restaurant located on the first floor, located on the main road in Tapovan. Has Indian, Israeli and Continental dishes. Many kinds of fresh juices. ",October 2019,Tulsi Cafe,https://www.tripadvisor.com/Restaurant_Review-g580106-d13800070-Reviews-Tulsi_Cafe-Rishikesh_Dehradun_District_Uttarakhand.html,"Rishikesh, India",restaurants,4.0,4.0
Parsi cuisine ,"Parsi cuisine very close to Terminal 2 of Mumbai international airport, the restaurant is located at The Orb which is adjacent to JW Marriott. I tried the Berry Pulov, they have many options for vegetarians and a dedicated page for egg based recipes. ",October 2019,Jumjoji - The Parsi Diner,https://www.tripadvisor.com/Restaurant_Review-g304554-d15290282-Reviews-Jumjoji_The_Parsi_Diner-Mumbai_Maharashtra.html,"Mumbai, India",restaurants,5.0,4.5
Whitefield mall,"One of the biggest malls in Bangalore, close to Whitefield and KR Puram areas, many restaurants and bars close by.",February 2020,Phoenix Marketcity,https://www.tripadvisor.com/Attraction_Review-g297628-d2557691-Reviews-Phoenix_Marketcity-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,5.0,4.5
Metro,"Accessible from the Cubbon park metro station, can also walk from the Mahatma Gandhi road metro station.",February 2020,M Chinnaswamy Stadium,https://www.tripadvisor.com/Attraction_Review-g297628-d6706034-Reviews-M_Chinnaswamy_Stadium-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,4.0,4.5
MG road,"Opposite the Taj hotel on MG road, very close to Trinity circle metro station and the church, many restaurants.",February 2020,1 MG Lido Mall,https://www.tripadvisor.com/Attraction_Review-g297628-d3150243-Reviews-1_MG_Lido_Mall-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,4.0,4.0
Koramangala hangout,"The biggest mall in this part of Bangalore, one of the oldest malls in the city, many restaurants, bars and shops to choose from.",February 2020,The Forum Koramangala Mall,https://www.tripadvisor.com/Attraction_Review-g297628-d1594895-Reviews-The_Forum_Koramangala_Mall-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,4.0,4.0
Smell of Sandalwood,"At the junction of Brigade road and MG road, in an old building, run by the state government which means fixed prices.",February 2020,Cauvery Handicrafts,https://www.tripadvisor.com/Attraction_Review-g297628-d3633126-Reviews-Cauvery_Handicrafts-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,5.0,4.0
Quintessential Bangalore,"A favourite of the locals as well as tourists, great to walk around, shop, check out restaurants and bars.",February 2020,Mahatma Gandhi (MG) Road,https://www.tripadvisor.com/Attraction_Review-g297628-d631365-Reviews-Mahatma_Gandhi_MG_Road-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,5.0,4.0
Convenient,"Convenient for north-south and east-west travel in Bangalore, connecting KR Puram to Mysore road and Tumkur road to Kanakapura road.",February 2020,Bangalore Metro Rail Corporation Limited,https://www.tripadvisor.com/Attraction_Review-g297628-d10440758-Reviews-Bangalore_Metro_Rail_Corporation_Limited-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,4.0,4.5
Always fun,"Always fun to visit, many restaurants to choose from, the terrace is beautiful with outdoor seating and an amphitheatre.",February 2020,UB City,https://www.tripadvisor.com/Attraction_Review-g297628-d3807223-Reviews-UB_City-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",attractions,4.0,4.5
Church street,"Cafe downstairs, bar and lounge upstairs and a club in the front, good location on Church Street, right across the metro station.",February 2020,Rasta Cafe,https://www.tripadvisor.com/Restaurant_Review-g297628-d15697145-Reviews-Rasta_Cafe-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",restaurants,4.0,4.5
Indian,"Apparently the only Indian restaurant in Santorini, a bit far from the Fira city centre but walkable, friendly staff.",January 2020,Jaipur Palace Santorini,https://www.tripadvisor.com/Restaurant_Review-g644212-d7940038-Reviews-Jaipur_Palace_Santorini-Karteradhos_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,5.0
