title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Wonderful, long lasting products","4 years ago I bought the Lip and Body Salve, Five Minute Forecast lotion and a bar of soap. The soap of course is gone. I use the lotion sparingly, because I love it so much. It still has a wonderful scent and feels great. I use the salve on my lips almost daily and there is still plenty. It just lasts all day and feels great.",August 2019,Glacier Smoothie Soaps LLC,https://www.tripadvisor.com/Attraction_Review-g31020-d7793568-Reviews-Glacier_Smoothie_Soaps_LLC-Juneau_Alaska.html,"Juneau, Alaska",attractions,5.0,5.0
Trip to Italy,"2nd time to fly BA and we were not disappointed. The Economy Plus service and food was excellent. Seats are better than Economy, not like Business or 1st Class, but better and makes a long journey tolerable. Will definitely use them again.",October 2019,British Airways,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,World,flights,5.0,3.5
Too many delays,"1st flight of the day, we arrived very early, sat in the waiting area for some past scheduled take-off time and were finallly informed there was a maintenance issue and that we would be delayed up to another hour. Now we had a long lay-over in Dallas so it wasn't reallly an issue for us, but many did not have that luxury. Since the plane had been sitting on the tarmac over night why in the world did they not do the maintenance the night before, UNION issues. All thought it was ridiculous. This was only exceeded by the extended delay on our flight out of Dallas. Again we sat in the wiating area long past our scheduled take-off time. Boarded, got all settled and after sitting in the plane for some time we were notified there was an issue with the nose gear and it required that to service it the plane must be empty. We all had to deboard and wait again. I knew there was a reason I only fly American when it is the only choice for my trip.",January 2020,American Airlines,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,World,flights,2.0,3.0
Delicious ending to a meal,"We didn't want a heavy dessert so opted for ice cream and it was an excellent choice. I got one scoop which was more than enough. My husband chose two and regretted it as they are large and he ""had"" to finish it all and it was more than enough. Their choices are varied and unique. They also had custom chocolates, teas and coffees that we didn't have time to sample.",January 2020,Sweet Divas Chocolate,https://www.tripadvisor.com/Restaurant_Review-g34607-d6384203-Reviews-Sweet_Divas_Chocolate-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,5.0,4.5
Seafood delight,We dined at this delightful restaurant in their sidewalk dining area. The atmosphere was great and the food was delicious. My husband had their grouper stuffed with lump crab special and I had their crabcakes. We both enjoyed them immensely. The restaurant was a recommendation from a co-worker and we pass it on as an excellent dining choice.,January 2020,400 Beach Seafood and Tap House,https://www.tripadvisor.com/Restaurant_Review-g34607-d2037442-Reviews-400_Beach_Seafood_and_Tap_House-St_Petersburg_Florida.html,"St. Petersburg, Florida",restaurants,5.0,4.5
Great Rehab facility,"Not like the big commercial aquariums. This is a rehab facility that opens their doors to tourists to learn about what they are doing and see the animals. It is small, but mighty. Houses Winter and Hope from the Dolphin Tales movies. You can learn a lot in a short period of time.",January 2020,Clearwater Marine Aquarium,https://www.tripadvisor.com/Attraction_Review-g34141-d117463-Reviews-Clearwater_Marine_Aquarium-Clearwater_Florida.html,"Clearwater, Florida",attractions,4.0,4.0
Excellent evening at Bascom's,"Delicious meal with excellent service. We were only in town for a couple of days and Bascom's was recommended to us. We had a reservation, but arrived about 30 minutes early to sit in the bar and enjoy a drink while we waited. We were offered to dine at the high top by our server and glad we chose that option. Our server Lee was excellent. He gave us great recommendations and was very friendly. Our food was excellent. The servings were so large we realized we could have split everything we ordered.",January 2020,Bascom's Chop House,https://www.tripadvisor.com/Restaurant_Review-g34141-d888878-Reviews-Bascom_s_Chop_House-Clearwater_Florida.html,"Clearwater, Florida",restaurants,5.0,4.5
Tours in Tuscany treated us Royally,"Our guides and tours were excellent. We totally enjoyed every place they took us and the knowledge they shared with us. I would highly recommend their services. The winery they took us to was beautiful and the lunch we were served was deliciou.s. And of course, the views were spectacular",October 2019,Tours in Tuscany - Private Tours,https://www.tripadvisor.com/Attraction_Review-g187895-d2161590-Reviews-Tours_in_Tuscany_Private_Tours-Florence_Tuscany.html,"Florence, Italy",attractions,5.0,5.0
Great Greek Street Food,"We enjoyed the Chicken Souvlaki and a Chicken Gyro. Both were absolutely delicious. The service was a little slow, but our server offered us a complimentary dessert of Greek Yogurt and Honey which was equally delicious. Their location to the Planka and the Museum is excellent",October 2019,Arcadia Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1501262-Reviews-Arcadia_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Lovely hotel in a great location in Athens,"From the moment we checked in the service couldn't have been better. The hotel is in a great location with a view of the Acropolis. They are home to The Point restaurant and bar which made for excellent dining with an incredible view. We don't usually tip the housekeepers, but their attention to detail motivated my husband to leave a tip. They took care of us on every level and we couldn't have been happier with our selection of hotels.",October 2019,Herodion Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228864-Reviews-Herodion_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
