title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Passing by,I have got to say the best service and curry we have had in sevenoaks x we were lucky to get a table and they would do anything for you x friendly and polite x thanks for making our evening relaxing x see you any soon x,January 2020,Oaks Spice,https://www.tripadvisor.com/Restaurant_Review-g191272-d3741226-Reviews-Oaks_Spice-Sevenoaks_Sevenoaks_District_Kent_England.html,"Sevenoaks, United Kingdom",restaurants,5.0,4.5
Sunday lunch,We are going to say this is going to be our number place for Sunday roast x it's a must friendly staff with a fabulous atmosphere x food was freshly cooked large portions and the best roast potatoes ever x lots of fresh veg x next time I'm going to try something different on the menu x looking forward to coming back soon x,January 2020,The Pied Bull,https://www.tripadvisor.com/Restaurant_Review-g1887792-d3752891-Reviews-The_Pied_Bull-Farningham_Sevenoaks_District_Kent_England.html,"Farningham, United Kingdom",restaurants,5.0,4.0
Holiday,A lovely hotel in the centre x just a short walk to the resturants and bars and close to a fabulous beach x The breakfast was nice and also a good cup of tea and coffee with fresh juice x our room was a good size and was cleaned everyday with fresh towels and a nice touch folding my pj's x thanks x had a fridge in the room and liquid soap which was nice x a lovely roof top to chill and watch the sun go down x all the staff were extremely friendly and helpful I would definitely staff here again thanks for making our stay special x,December 2019,Hotel Central Sal,https://www.tripadvisor.com/Hotel_Review-g482848-d1126414-Reviews-Hotel_Central_Sal-Santa_Maria_Ilha_do_Sal.html,"Ilha do Sal, Cape Verde",hotels,4.0,3.5
Pizza,A cosy little spot to watch the sun go down xx friendly staff and fabulous service x comfy seats infront of beach x was my favourite spot to watch the world go by xx just chill chill chill xx,January 2020,Palm Beach Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482848-d4731725-Reviews-Palm_Beach_Restaurant-Santa_Maria_Ilha_do_Sal.html,"Ilha do Sal, Cape Verde",restaurants,5.0,4.0
Cocktails,Lovely spot to watch the sun go down x fabulous cocktails and friendly service xx a must resturant to visit we didn't eat here but the food looked good xx,December 2019,Bar Aquarius,https://www.tripadvisor.com/Restaurant_Review-g482848-d9871064-Reviews-Bar_Aquarius-Santa_Maria_Ilha_do_Sal.html,"Ilha do Sal, Cape Verde",restaurants,4.0,4.5
Our favourite place,We enjoyed lunch and dinner in this relaxing pub x the food was hot and delicious and I must say they do a fabulous margarita x all the staff are extremely friendly and always have a smile on their face x relaxing music x toilets are clean x we would definitely recommend this pub for a safe pair of hands for drinks and food for all travellers x thanks to the manager and all you wonderful staff for making our evening special x we will definitely be visiting again on our next visit to cape verde xxx,December 2019,The Dubliner Irish Bar,https://www.tripadvisor.com/Restaurant_Review-g482848-d14013724-Reviews-The_Dubliner_Irish_Bar-Santa_Maria_Ilha_do_Sal.html,"Ilha do Sal, Cape Verde",restaurants,5.0,4.5
Afternoon lunch,I have got to say the best pub meal we have had in a long time x served hot with large portions of fresh veg x the service was excellent with friendly staff and making sure everything is ok x a lovely cosy atmosphere definitely worth a visit x we will be back to try some more homemade meals from your menu x,January 2020,The Bell,https://www.tripadvisor.com/Restaurant_Review-g1580654-d7656175-Reviews-The_Bell-Kemsing_Sevenoaks_District_Kent_England.html,"Kemsing, United Kingdom",restaurants,5.0,4.5
Evening meal,"Just perfect lovely glass of white wine, food was large and hot freshly made and just so delious x staff were extremely friendly and we felt so relaxed x thanks for making our evening with you special x",December 2019,Taverna,https://www.tripadvisor.com/Restaurant_Review-g482848-d16755971-Reviews-Taverna-Santa_Maria_Ilha_do_Sal.html,"Ilha do Sal, Cape Verde",restaurants,5.0,4.0
Perfect,Lovely place to have a few cocktails and relax x the service was fantastic with friendly staff xx just go and chill x best cocktails ever xx thanks for making our evening special xx,November 2019,Lounge Deja Vu,https://www.tripadvisor.com/Restaurant_Review-g274958-d3780799-Reviews-Lounge_Deja_Vu-Tallinn_Harju_County.html,"Tallinn, Estonia",restaurants,5.0,4.0
Sunday roast,Absolutely amazing we just loved it x the food was hot and also had a lot of meat on our plates x tasty fresh vegetables and lovely thick gravey x we also loved the atmosphere and friendly staff x we will definitely be coming back x thanks for making our lunch relaxing x,October 2019,Old Bell,https://www.tripadvisor.com/Restaurant_Review-g1007643-d2509007-Reviews-Old_Bell-Oxted_Surrey_England.html,"Oxted, United Kingdom",restaurants,5.0,4.0
Weekend break,A pleasant hotel with friendly staff x if you turn right and then first left out of the hotel a 10 min walk you have all the excellent bars and resturants we both felt safe in the area x The room was small but had everything you needed and was cleaned with fresh towels everyday x I would recommend this hotel for a visit to the city .A safe and extra pillows in the cupboard breakfast was ok and had a lovely view of the acropolis x would be nice if it had a kettle with teas and coffee xx thanks for making our stay relaxing x,October 2019,Evripides Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d264336-Reviews-Evripides_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Acropolis,Amazing we spent 3 hours walking around and as we had already got our tickets didn't have to queue up x it was busy but as we didn't go in a group we could go back to area's when they were less crowded x,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent veiw,We decided to come here for a few drinks you have to go up in a very small lift x the staff were friendly but we had to wait a long time before we got a table even though most of the tables had reserved on them and still had it on them when we left x we did find the bar relaxing so I would recommend x,October 2019,A for Athens Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g189400-d2665318-Reviews-A_for_Athens_Cocktail_Bar-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
Afternoon relaxation,We got the vouiliagmeni line blue bus down from the city and spent a few hours chilling a very busy place lots of sunbeds but very close to each other was €15 each to get in x the water was lovely and refreshing fabulous for a swim x very pretty with lots of fish that like to nibble your toes x the restaurant looked nice and friendly staff around x my skin felt so soft after x a must visit.,October 2019,Lake Vouliagmeni,https://www.tripadvisor.com/Attraction_Review-g562635-d1783442-Reviews-Lake_Vouliagmeni-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",attractions,3.0,4.5
Passing by,We stopped here for a drink before getting on the bus back to the city mist say lovely atmosphere and fabulous music x we wanted to order food but it was so busy we had to wait a while before we got served and didn't want to rush x the food looked delicious x if you have time a must visit x,October 2019,Rumors Lounge - Cafe,https://www.tripadvisor.com/Restaurant_Review-g562635-d3482928-Reviews-Rumors_Lounge_Cafe-Vouliagmeni_East_Attica_Region_Attica.html,"Vouliagmeni, Greece",restaurants,4.0,4.0
Perfect,We stopped in here for a few drinks a couple of time on our way back to our hotel after a busy day touring the city x was just perfect x staff friendly fabulous music lots of tasty olives x drinks good and my partner love it x thanks for making our evenings so special x,October 2019,OLd Fashioned Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d7159233-Reviews-OLd_Fashioned_Bar-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Interesting,We spent 40 mins looking around this site with friendly staff inside the museum x nice to sit on the seats around the ground and smell the pine and watch the birds very interesting read around each area x also a lovely church you can visit x would definitely recommend the €30 seven sites ticket x,October 2019,Kerameikos Cemetery,https://www.tripadvisor.com/Attraction_Review-g189400-d242832-Reviews-Kerameikos_Cemetery-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
